Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
1,ARI,2014-09-08,294,2,109,0,2,238,52,31:49,Mon,1,1,,LAC,W 18-17,24,37,13,64.9,294,2,0,5.4,0.0,108.4,2,10,5.13,7.9,7.54,9.03,8.56,12.3,24,52,2.2,1,21,36,58.3,238,1,0,0,1,75.9,26,109,4.2,0,403,65,6.20,60,4.83,2,31:49,3:08
2,ARI,2014-09-14,142,0,124,1,0,260,81,27:31,Sun,2,2,@,NYG,W 25-14,14,29,15,48.3,142,0,0,0.0,0.0,66.3,4,25,12.12,4.9,4.30,4.90,4.30,10.1,27,81,3.0,0,26,39,66.7,260,2,2,17,2,81.1,28,124,4.4,1,266,61,4.36,68,5.01,0,27:31,3:00
3,ARI,2014-09-21,254,2,84,0,1,236,82,27:40,Sun,3,3,,SFO,W 23-14,19,34,15,55.9,254,2,0,5.9,0.0,99.4,0,0,0.00,7.5,7.47,8.65,8.65,13.4,23,82,3.6,1,29,37,78.4,236,1,1,9,0,102.3,27,84,3.1,0,338,61,5.54,61,5.21,1,27:40,3:02
4,ARI,2014-10-05,178,1,37,1,0,476,92,24:43,Sun,4,5,@,DEN,L 20-41,12,34,22,35.3,178,1,0,2.9,0.0,65.7,3,21,8.11,5.2,4.81,5.82,5.35,14.8,28,92,3.3,1,31,47,66.0,476,4,1,3,2,109.9,19,37,1.9,1,215,56,3.84,76,7.47,0,24:43,3:16
5,ARI,2014-10-12,243,2,74,0,0,335,72,34:19,Sun,5,6,,WAS,W 30-20,28,44,16,63.6,243,2,0,4.5,0.0,93.9,1,7,2.22,5.5,5.40,6.43,6.29,8.7,17,72,4.2,0,24,38,63.2,335,2,2,19,3,76.1,23,74,3.2,0,317,68,4.66,57,7.14,0,34:19,3:20
6,ARI,2014-10-19,242,2,123,1,1,164,56,36:57,Sun,6,7,@,LVR,W 24-13,22,31,9,71.0,242,2,1,6.5,3.2,103.3,1,11,3.13,7.8,7.56,7.65,7.41,11.0,19,56,2.9,1,16,28,57.1,164,0,1,9,0,74.1,37,123,3.3,1,365,69,5.29,48,4.58,1,36:57,2:57
7,ARI,2014-10-26,329,2,71,1,1,411,110,28:50,Sun,7,8,,PHI,W 24-20,20,42,22,47.6,329,2,0,4.8,0.0,90.3,0,0,0.00,7.8,7.83,8.79,8.79,16.5,25,110,4.4,0,36,62,58.1,411,2,0,0,2,75.4,23,71,3.1,1,400,65,6.15,87,5.99,1,28:50,3:39
8,ARI,2014-11-02,237,3,102,1,1,174,92,31:28,Sun,8,9,@,DAL,W 28-17,22,34,12,64.7,237,3,1,8.8,2.9,103.7,2,12,5.56,7.0,6.58,7.41,7.00,10.8,25,92,3.7,0,18,33,54.5,174,1,1,9,2,54.4,29,102,3.5,1,339,65,5.22,59,4.51,1,31:28,2:56
9,ARI,2014-11-09,307,1,28,1,1,174,70,33:20,Sun,9,10,,LAR,W 31-14,28,41,13,68.3,307,1,1,2.4,2.4,90.1,3,19,6.82,7.5,6.98,6.88,6.41,11.0,22,70,3.2,1,17,30,56.7,174,1,6,42,2,56.8,22,28,1.3,1,335,66,5.08,58,4.21,1,33:20,3:02
10,ARI,2014-11-16,306,2,46,0,2,164,98,30:43,Sun,10,11,,DET,W 14-6,21,32,11,65.6,306,2,2,6.3,6.3,91.4,0,0,0.00,9.6,9.56,8.00,8.00,14.6,19,98,5.2,0,18,30,60.0,164,0,4,19,1,61.0,26,46,1.8,0,352,58,6.07,53,4.94,2,30:43,2:52
11,ARI,2014-11-23,140,0,64,0,1,169,124,24:33,Sun,11,12,@,SEA,L 3-19,14,26,12,53.8,140,0,1,0.0,3.8,54.8,3,9,10.34,5.4,4.83,3.65,3.28,10.0,29,124,4.3,0,17,22,77.3,169,1,7,42,0,113.6,20,64,3.2,0,204,49,4.16,58,5.05,1,24:33,2:45
12,ARI,2014-11-30,294,1,35,0,3,358,142,22:57,Sun,12,13,@,ATL,L 18-29,24,39,15,61.5,294,1,2,2.6,5.1,72.0,0,0,0.00,7.5,7.54,5.74,5.74,12.3,34,142,4.2,0,30,41,73.2,358,2,1,3,1,105.5,11,35,3.2,0,329,50,6.58,76,6.58,3,22:57,3:02
13,ARI,2014-12-07,225,1,141,0,0,264,126,30:01,Sun,13,14,,KAN,W 17-14,15,30,15,50.0,225,1,0,3.3,0.0,88.1,2,14,6.25,7.5,7.03,8.17,7.66,15.0,17,126,7.4,1,26,39,66.7,264,1,5,29,1,83.7,33,141,4.3,0,366,65,5.63,61,6.39,0,30:01,3:10
14,ARI,2014-12-11,131,0,143,0,0,211,69,34:24,Thu,14,15,@,LAR,W 12-6,16,30,14,53.3,131,0,0,0.0,0.0,65.8,1,8,3.23,4.4,4.23,4.37,4.23,8.2,20,69,3.5,0,20,39,51.3,211,0,2,18,1,56.7,33,143,4.3,0,274,64,4.28,61,4.59,0,34:24,3:09
15,ARI,2014-12-21,187,0,29,0,1,329,267,26:57,Sun,15,16,,SEA,L 6-35,18,45,27,40.0,187,0,1,0.0,2.2,46.2,4,29,8.16,4.2,3.82,3.16,2.90,10.4,34,267,7.9,3,21,32,65.6,329,2,1,10,0,120.4,15,29,1.9,0,216,64,3.38,67,8.90,1,26:57,3:14
16,ARI,2014-12-28,299,2,98,0,3,189,206,30:36,Sun,16,17,@,SFO,L 17-20,23,40,17,57.5,299,2,3,5.0,7.5,68.3,2,17,4.76,7.5,7.12,5.10,4.86,13.0,33,206,6.2,0,15,26,57.7,189,2,1,15,0,106.1,25,98,3.9,0,397,67,5.93,60,6.58,3,30:36,3:03
17,ARI,2015-09-13,307,3,120,1,1,354,54,26:36,Sun,1,1,,NOR,W 31-19,19,32,13,59.4,307,3,0,9.4,0.0,122.8,0,0,0.00,9.6,9.59,11.47,11.47,16.2,20,54,2.7,0,30,48,62.5,354,1,2,1,1,83.2,25,120,4.8,1,427,57,7.49,70,5.83,1,26:36,3:07
18,ARI,2015-09-20,185,4,115,1,2,226,109,30:04,Sun,2,2,@,CHI,W 48-23,17,24,7,70.8,185,4,1,16.7,4.2,115.5,0,0,0.00,7.7,7.71,9.17,9.17,10.9,28,109,3.9,1,22,32,68.8,226,1,2,15,2,73.2,28,115,4.1,1,300,52,5.77,62,5.40,2,30:04,3:18
19,ARI,2015-09-27,307,2,139,2,1,53,103,36:32,Sun,3,3,,SFO,W 47-7,20,32,12,62.5,307,2,1,6.3,3.1,102.5,1,4,3.03,9.6,9.30,9.44,9.15,15.4,29,103,3.6,1,9,19,47.4,53,0,2,14,4,14.5,37,139,3.8,2,446,70,6.37,50,3.12,1,36:32,2:53
20,ARI,2015-10-04,334,1,113,0,3,164,164,33:13,Sun,4,4,,LAR,L 22-24,29,46,17,63.0,334,1,1,2.2,2.2,84.7,4,18,8.00,7.3,6.68,6.72,6.18,11.5,26,164,6.3,0,16,24,66.7,164,3,1,7,0,125.7,21,113,5.4,0,447,71,6.30,51,6.43,3,33:13,3:02
21,ARI,2015-10-11,158,3,187,3,0,379,56,23:28,Sun,5,5,@,DET,W 42-17,12,18,6,66.7,158,3,0,16.7,0.0,136.8,2,13,10.00,8.8,7.90,12.11,10.90,13.2,18,56,3.1,0,41,70,58.6,379,2,1,0,4,59.2,25,187,7.5,3,345,45,7.67,89,4.89,0,23:28,3:15
22,ARI,2015-10-18,414,1,55,0,3,169,141,31:09,Sun,6,6,@,PIT,L 13-25,29,45,16,64.4,414,1,2,2.2,4.4,83.7,1,7,2.17,9.2,9.00,7.64,7.48,14.3,32,141,4.4,0,11,20,55.0,169,2,1,5,0,116.5,20,55,2.8,0,469,66,7.11,53,5.85,3,31:09,3:09
23,ARI,2015-10-26,264,2,150,1,0,221,55,29:36,Mon,7,7,,BAL,W 26-18,20,29,9,69.0,264,2,0,6.9,0.0,122.1,2,11,6.45,9.1,8.52,10.48,9.81,13.2,16,55,3.4,1,26,40,65.0,221,1,3,31,1,77.2,28,150,5.4,1,414,59,7.02,59,4.68,0,29:36,3:02
24,ARI,2015-11-01,372,4,119,0,4,215,39,34:23,Sun,8,8,@,CLE,W 34-20,23,38,15,60.5,372,4,1,10.5,2.6,117.7,1,2,2.56,9.8,9.54,10.71,10.44,16.2,20,39,2.0,0,21,40,52.5,215,3,1,8,1,82.8,38,119,3.1,0,491,77,6.38,61,4.16,4,34:23,3:20
25,ARI,2015-11-15,334,3,117,1,3,228,115,38:52,Sun,9,10,@,SEA,W 39-32,29,47,18,61.7,334,3,1,6.4,2.1,98.1,3,29,6.00,7.1,6.68,7.43,6.98,11.5,18,115,6.4,2,14,32,43.8,228,1,2,12,1,65.6,33,117,3.5,1,451,83,5.43,52,6.60,3,38:52,3:53
26,ARI,2015-11-22,301,4,82,0,2,278,99,28:45,Sun,10,11,,CIN,W 34-31,20,31,11,64.5,301,4,2,12.9,6.5,111.2,2,16,6.06,9.7,9.12,9.39,8.82,15.1,28,99,3.5,2,22,39,56.4,278,2,4,37,0,95.9,25,82,3.3,0,383,58,6.60,71,5.31,2,28:45,3:18
27,ARI,2015-11-29,267,0,70,2,0,301,67,37:27,Sun,11,12,@,SFO,W 19-13,24,40,16,60.0,267,0,0,0.0,0.0,80.3,1,4,2.44,6.7,6.51,6.68,6.51,11.1,17,67,3.9,0,25,36,69.4,301,1,2,17,1,92.5,29,70,2.4,2,337,70,4.81,55,6.69,0,37:27,3:03
28,ARI,2015-12-06,349,2,175,1,0,146,66,39:47,Sun,12,13,@,LAR,W 27-3,27,41,14,65.9,349,2,0,4.9,0.0,110.0,2,13,4.65,8.5,8.12,9.49,9.05,12.9,15,66,4.4,0,15,35,42.9,146,0,0,0,1,43.3,36,175,4.9,1,524,79,6.63,50,4.24,0,39:47,3:14
29,ARI,2015-12-10,296,2,97,0,0,317,72,31:59,Thu,13,14,,MIN,W 23-20,25,35,10,71.4,296,2,0,5.7,0.0,117.6,2,14,5.41,8.5,8.00,9.60,9.08,11.8,24,72,3.0,1,25,36,69.4,317,1,3,18,0,105.9,29,97,3.3,0,393,66,5.95,63,6.17,0,31:59,2:59
30,ARI,2015-12-20,263,1,230,3,0,350,74,37:28,Sun,14,15,@,PHI,W 40-17,20,33,13,60.6,263,1,0,3.0,0.0,97.3,2,11,5.71,8.0,7.51,8.58,8.09,13.2,20,74,3.7,0,28,41,68.3,350,2,2,11,2,90.5,39,230,5.9,3,493,74,6.66,63,6.73,0,37:28,3:00
31,ARI,2015-12-27,260,2,121,1,2,77,101,30:16,Sun,15,16,,GNB,W 38-8,19,28,9,67.9,260,2,1,7.1,3.6,107.6,2,9,6.67,9.3,8.67,9.11,8.50,13.7,26,101,3.9,0,16,29,55.2,77,1,9,78,1,57.7,26,121,4.7,1,381,56,6.80,64,2.78,2,30:16,3:02
32,ARI,2016-01-03,205,1,27,0,3,209,145,23:23,Sun,16,17,,SEA,L 6-36,20,43,23,46.5,205,1,3,2.3,7.0,40.2,2,8,4.44,4.8,4.56,2.09,2.00,10.3,36,145,4.0,1,22,32,68.8,209,3,1,16,0,117.8,13,27,2.1,0,232,58,4.00,69,5.13,3,23:23,2:57
33,ARI,2016-09-11,252,2,92,1,0,257,106,26:01,Sun,1,1,,NWE,L 21-23,24,37,13,64.9,252,2,0,5.4,0.0,104.7,3,19,7.50,6.8,6.30,7.89,7.30,10.5,31,106,3.4,1,24,33,72.7,257,1,2,7,0,105.2,19,92,4.8,1,344,59,5.83,66,5.50,0,26:01,3:03
34,ARI,2016-09-18,311,3,105,1,0,221,85,29:03,Sun,2,2,,TAM,W 40-7,18,34,16,52.9,311,3,0,8.8,0.0,114.2,1,4,2.86,9.1,8.89,10.91,10.60,17.3,21,85,4.0,0,27,52,51.9,221,1,3,22,4,37.4,30,105,3.5,1,416,65,6.40,76,4.03,0,29:03,3:12
35,ARI,2016-09-25,260,0,88,2,5,89,208,34:00,Sun,3,3,@,BUF,L 18-33,26,50,24,52.0,260,0,4,0.0,8.0,36.0,5,27,9.09,5.2,4.73,1.60,1.45,10.0,32,208,6.5,3,14,25,56.0,89,0,4,30,1,46.9,22,88,4.0,2,348,77,4.52,61,4.87,5,34:00,3:18
36,ARI,2016-10-02,302,1,118,0,5,247,41,32:09,Sun,4,4,,LAR,L 13-17,27,47,20,57.4,302,1,3,2.1,6.4,59.3,3,23,6.00,6.4,6.04,3.98,3.74,11.2,23,41,1.8,0,18,30,60.0,247,2,2,19,0,108.6,25,118,4.7,0,420,75,5.60,55,5.24,5,32:09,3:12
37,ARI,2016-10-06,116,2,172,2,0,135,151,31:44,Thu,5,5,@,SFO,W 33-21,11,28,17,39.3,116,2,0,7.1,0.0,77.1,1,8,3.45,4.1,4.00,5.57,5.38,10.5,36,151,4.2,2,18,31,58.1,135,1,7,27,2,52.5,37,172,4.6,2,288,66,4.36,74,3.86,0,31:44,3:06
38,ARI,2016-10-17,225,1,171,3,0,197,33,36:02,Mon,6,6,,NYJ,W 28-3,24,35,11,68.6,225,1,0,2.9,0.0,95.5,0,0,0.00,6.4,6.43,7.00,7.00,9.4,14,33,2.4,0,20,37,54.1,197,0,1,8,2,46.8,35,171,4.9,3,396,70,5.66,52,4.42,0,36:02,3:05
39,ARI,2016-10-23,311,0,132,0,0,205,52,46:21,Sun,7,7,,SEA,T 6-6 (OT),29,49,20,59.2,311,0,0,0.0,0.0,80.5,4,31,7.55,6.3,5.87,6.35,5.87,10.7,19,52,2.7,0,24,37,64.9,205,0,1,20,0,79.2,37,132,3.6,0,443,90,4.92,57,4.51,0,46:21,3:41
40,ARI,2016-10-30,316,3,24,0,2,208,141,29:12,Sun,8,8,@,CAR,L 20-30,35,46,11,76.1,316,3,1,6.5,2.2,111.1,8,47,14.81,6.9,5.85,7.20,6.13,9.0,36,141,3.9,2,14,27,51.9,208,0,1,4,0,77.4,10,24,2.4,0,340,64,5.31,64,5.45,2,29:12,3:32
41,ARI,2016-11-13,363,1,80,1,4,198,83,32:18,Sun,9,10,,SFO,W 23-20,30,49,19,61.2,363,1,2,2.0,4.1,74.9,2,13,3.92,7.4,7.12,5.98,5.75,12.1,28,83,3.0,1,17,30,56.7,198,1,3,12,0,87.9,23,80,3.5,1,443,74,5.99,61,4.61,4,32:18,3:09
42,ARI,2016-11-20,155,2,135,1,2,145,72,31:02,Sun,10,11,@,MIN,L 24-30,20,38,18,52.6,155,2,2,5.3,5.3,63.3,4,43,9.52,4.1,3.69,2.76,2.50,7.8,24,72,3.0,1,20,28,71.4,145,1,2,24,0,95.1,28,135,4.8,1,290,70,4.14,54,4.02,2,31:02,3:11
43,ARI,2016-11-27,274,2,58,0,1,244,116,25:38,Sun,11,12,@,ATL,L 19-38,25,45,20,55.6,274,2,1,4.4,2.2,80.7,2,15,4.26,6.1,5.83,5.98,5.72,11.0,30,116,3.9,3,26,34,76.5,244,2,3,25,1,103.1,14,58,4.1,0,332,61,5.44,67,5.37,1,25:38,3:01
44,ARI,2016-12-04,281,3,88,1,0,246,87,33:46,Sun,12,13,,WAS,W 31-23,30,46,16,65.2,281,3,0,6.5,0.0,105.3,2,19,4.17,6.1,5.85,7.41,7.10,9.4,18,87,4.8,1,21,37,56.8,246,1,2,25,1,74.8,24,88,3.7,1,369,72,5.13,57,5.84,0,33:46,3:12
45,ARI,2016-12-11,125,2,175,1,4,231,83,29:56,Sun,13,14,@,MIA,L 23-26,18,33,15,54.5,125,2,2,6.1,6.1,60.8,3,20,8.33,3.8,3.47,2.27,2.08,6.9,31,83,2.7,0,18,25,72.0,231,3,1,11,1,123.5,27,175,6.5,1,300,63,4.76,57,5.51,4,29:56,3:30
46,ARI,2016-12-18,309,2,116,3,2,358,130,22:47,Sun,14,15,,NOR,L 41-48,28,40,12,70.0,309,2,0,5.0,0.0,110.2,1,9,2.44,7.7,7.54,8.73,8.51,11.0,32,130,4.1,2,37,48,77.1,358,4,3,31,0,125.2,15,116,7.7,3,425,56,7.59,83,5.88,2,22:47,3:21
47,ARI,2016-12-24,276,1,94,3,1,313,78,26:18,Sat,15,16,@,SEA,W 34-31,16,27,11,59.3,276,1,0,3.7,0.0,107.6,1,8,3.57,10.2,9.86,10.96,10.57,17.3,27,78,2.9,0,29,45,64.4,313,4,6,37,0,114.4,29,94,3.2,3,370,57,6.49,78,5.01,1,26:18,3:21
