Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
1,BAL,2014-09-07,329,1,94,1,2,301,79,29:30,Sun,1,1,,CIN,L 16-23,35,62,27,56.5,329,1,1,1.6,1.6,71.0,3,16,4.62,5.3,5.06,4.90,4.68,9.4,26,79,3.0,0,25,38,65.8,301,1,0,0,0,98.7,20,94,4.7,1,423,85,4.98,64,5.94,2,29:30,3:14
2,BAL,2014-09-11,166,2,157,0,0,202,99,35:08,Thu,2,2,,PIT,W 26-6,21,29,8,72.4,166,2,0,6.9,0.0,109.3,0,0,0.00,5.7,5.72,7.10,7.10,7.9,18,99,5.5,0,22,37,59.5,202,0,2,15,1,63.1,36,157,4.4,0,323,65,4.97,57,5.28,0,35:08,2:56
3,BAL,2014-09-21,217,1,160,1,1,290,85,30:55,Sun,3,3,@,CLE,W 23-21,19,31,12,61.3,217,1,1,3.2,3.2,79.6,0,0,0.00,7.0,7.00,6.19,6.19,11.4,30,85,2.8,2,19,25,76.0,290,1,0,0,0,127.1,33,160,4.8,1,377,64,5.89,55,6.82,1,30:55,2:57
4,BAL,2014-09-28,327,3,127,2,0,248,67,30:24,Sun,4,4,,CAR,W 38-10,22,31,9,71.0,327,3,0,9.7,0.0,137.4,0,0,0.00,10.5,10.55,12.48,12.48,14.9,26,67,2.6,0,20,34,58.8,248,1,2,20,0,91.3,30,127,4.2,2,454,61,7.44,62,5.08,0,30:24,2:55
5,BAL,2014-10-05,197,0,90,1,3,305,127,21:17,Sun,5,5,@,IND,L 13-20,22,38,16,57.9,197,0,1,0.0,2.6,65.1,4,38,9.52,5.2,4.69,4.00,3.62,9.0,30,127,4.2,1,32,49,65.3,305,1,1,7,2,72.2,15,90,6.0,1,287,57,5.04,80,5.40,3,21:17,3:08
6,BAL,2014-10-12,306,5,169,1,1,277,87,32:14,Sun,6,6,@,TAM,W 48-17,21,28,7,75.0,306,5,0,17.9,0.0,149.7,0,0,0.00,10.9,10.93,14.50,14.50,14.6,18,87,4.8,0,24,44,54.5,277,2,5,37,1,79.5,35,169,4.8,1,475,63,7.54,67,5.43,1,32:14,3:01
7,BAL,2014-10-19,248,2,123,1,3,186,68,33:13,Sun,7,7,,ATL,W 29-7,16,25,9,64.0,248,2,2,8.0,8.0,91.7,1,10,3.85,9.9,9.54,7.92,7.62,15.5,16,68,4.3,0,29,44,65.9,186,1,5,42,0,82.2,36,123,3.4,1,371,62,5.98,65,3.91,3,33:13,3:00
8,BAL,2014-10-26,187,0,107,2,2,239,111,29:16,Sun,8,8,@,CIN,L 24-27,17,34,17,50.0,187,0,2,0.0,5.9,43.1,1,8,2.86,5.5,5.34,2.85,2.77,11.0,34,111,3.3,3,21,28,75.0,239,0,2,27,1,85.3,26,107,4.1,2,294,61,4.82,64,5.47,2,29:16,2:59
9,BAL,2014-11-02,269,2,63,0,2,321,55,28:34,Sun,9,9,@,PIT,L 23-43,30,45,15,66.7,269,2,1,4.4,2.2,91.2,4,34,8.16,6.0,5.49,5.87,5.39,9.0,25,55,2.2,0,25,37,67.6,321,6,3,19,0,134.1,18,63,3.5,0,332,67,4.96,65,5.78,2,28:34,3:39
10,BAL,2014-11-09,161,1,151,2,0,143,67,30:47,Sun,10,10,,TEN,W 21-7,16,27,11,59.3,161,1,0,3.7,0.0,89.9,1,8,3.57,6.0,5.75,6.70,6.46,10.1,22,67,3.0,0,16,27,59.3,143,1,5,36,1,70.4,34,151,4.4,2,312,62,5.03,54,3.89,0,30:47,2:55
11,BAL,2014-11-24,234,1,215,2,1,399,126,30:15,Mon,11,12,@,NOR,W 34-27,18,24,6,75.0,234,1,0,4.2,0.0,120.7,1,9,4.00,9.8,9.36,10.58,10.16,13.0,21,126,6.0,0,35,45,77.8,399,3,4,21,1,116.6,32,215,6.7,2,449,57,7.88,70,7.50,1,30:15,3:08
12,BAL,2014-11-30,225,2,125,1,0,376,64,30:11,Sun,12,13,,LAC,L 33-34,19,31,12,61.3,225,2,0,6.5,0.0,104.9,0,0,0.00,7.3,7.26,8.55,8.55,11.8,18,64,3.6,1,34,45,75.6,376,3,2,7,1,112.8,32,125,3.9,1,350,63,5.56,65,6.77,0,30:11,3:24
13,BAL,2014-12-07,264,2,183,2,1,186,63,30:18,Sun,13,14,@,MIA,W 28-13,25,33,8,75.8,264,2,1,6.1,3.0,106.8,1,5,2.94,8.0,7.76,7.85,7.62,10.6,16,63,3.9,0,23,33,69.7,186,1,6,41,0,93.7,31,183,5.9,2,447,65,6.88,55,4.53,1,30:18,3:05
14,BAL,2014-12-14,221,1,93,0,1,166,82,28:18,Sun,14,15,,JAX,W 20-12,20,30,10,66.7,221,1,0,3.3,0.0,99.4,0,0,0.00,7.4,7.37,8.03,8.03,11.1,23,82,3.6,0,22,38,57.9,166,0,8,63,1,57.6,26,93,3.6,0,314,56,5.61,69,3.59,1,28:18,3:07
15,BAL,2014-12-21,178,2,33,0,3,190,123,25:02,Sun,15,16,@,HOU,L 13-25,21,50,29,42.0,178,2,3,4.0,6.0,41.7,2,17,3.85,3.6,3.42,1.66,1.60,8.5,38,123,3.2,0,21,43,48.8,190,1,0,0,1,59.3,16,33,2.1,0,211,68,3.10,81,3.86,3,25:02,3:30
16,BAL,2014-12-28,290,2,129,0,0,150,109,29:17,Sun,16,17,,CLE,W 20-10,22,36,14,61.1,290,2,0,5.6,0.0,107.6,1,22,2.70,8.1,7.84,9.17,8.92,13.2,29,109,3.8,1,14,28,50.0,150,0,4,27,1,51.2,28,129,4.6,0,419,65,6.45,61,4.25,0,29:17,3:05
17,BAL,2015-09-13,100,0,73,0,2,150,69,22:43,Sun,1,1,@,DEN,L 13-19,18,32,14,56.3,100,0,2,0.0,6.3,38.2,2,17,5.88,3.1,2.94,0.31,0.29,5.6,25,69,2.8,0,24,40,60.0,150,0,4,25,1,57.3,23,73,3.2,0,173,57,3.04,69,3.17,2,22:43,2:56
18,BAL,2015-09-20,384,2,109,1,2,351,97,30:27,Sun,2,2,@,LVR,L 33-37,32,45,13,71.1,384,2,1,4.4,2.2,102.5,0,0,0.00,8.5,8.53,8.42,8.42,12.0,19,97,5.1,1,30,46,65.2,351,3,1,0,1,100.9,25,109,4.4,1,493,70,7.04,66,6.79,2,30:27,3:25
19,BAL,2015-09-27,362,2,36,0,1,372,86,29:52,Sun,3,3,,CIN,L 24-28,32,49,17,65.3,362,2,1,4.1,2.0,92.4,0,0,0.00,7.4,7.39,7.29,7.29,11.3,31,86,2.8,1,20,32,62.5,372,3,2,11,1,120.8,18,36,2.0,0,398,67,5.94,65,7.05,1,29:52,3:27
20,BAL,2015-10-01,165,1,191,1,2,96,167,37:43,Thu,4,4,@,PIT,W 23-20 (OT),21,34,13,61.8,165,1,1,2.9,2.9,73.9,5,21,12.82,4.9,4.23,4.12,3.59,7.9,33,167,5.1,1,19,26,73.1,96,1,4,28,0,91.2,39,191,4.9,1,356,78,4.56,63,4.17,2,37:43,3:23
21,BAL,2015-10-11,196,1,181,3,0,422,83,29:01,Sun,5,5,,CLE,L 30-33 (OT),19,35,16,54.3,196,1,0,2.9,0.0,81.8,1,14,2.78,5.6,5.44,6.17,6.00,10.3,25,83,3.3,1,36,51,70.6,422,2,4,35,0,108.5,31,181,5.8,3,377,67,5.63,80,6.31,0,29:01,3:40
