Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
1,BUF,2014-09-07,167,1,193,1,1,341,86,30:32,Sun,1,1,@,CHI,W 23-20 (OT),16,22,6,72.7,1,1,4.5,4.5,91.7,1,6,4.35,7.6,7.26,6.45,6.17,10.4,18,4.8,0,34,49,69.4,2,2,8,2,85.5,33,360,56,6.43,69,6.19,1,3:17,3,9,108,4,43,3,2,33.3,41.7,15,7,8,0,12,4,33.3,0,0,,427,3,9,108,4,43,13,151,2,2,2,2,2,0,360,56,6.43,69,6.19,1,3:17,29,5,19,5,12,5,41.7,0,0,,2,2,2,3,3,0,0,0
2,BUF,2014-09-14,202,1,113,0,0,210,80,28:43,Sun,2,2,,MIA,W 29-10,16,26,10,61.5,1,0,3.8,0.0,98.6,0,0,0.0,7.8,7.77,8.54,8.54,12.6,21,3.8,0,31,49,63.3,1,4,31,1,71.0,33,315,59,5.34,74,3.92,0,3:07,2,6,40,3,20,5,1,33.3,31.3,13,3,10,0,15,5,33.3,0,0,,290,2,6,40,3,20,9,60,1,1,1,1,1,0,315,59,5.34,74,3.92,0,3:07,23,4,16,3,16,5,31.3,4,1,25.0,2,2,2,6,5,0,0,0
3,BUF,2014-09-21,205,1,87,0,0,250,83,28:26,Sun,3,3,,LAC,L 10-22,23,40,17,57.5,1,0,2.5,0.0,83.1,3,33,6.98,5.1,4.77,5.63,5.23,8.9,36,2.3,0,18,25,72.0,2,2,6,0,130.4,22,292,65,4.49,63,5.29,0,3:04,0,11,110,6,44,1,2,42.9,38.5,18,6,9,3,14,6,42.9,2,0,0.0,333,0,11,110,6,44,17,154,2,2,2,2,2,1,292,65,4.49,63,5.29,0,3:04,20,4,11,5,13,5,38.5,0,0,,1,1,1,1,1,0,0,0
4,BUF,2014-09-28,220,2,96,0,2,264,37,29:04,Sun,4,4,@,HOU,L 17-23,21,44,23,47.7,2,2,4.5,4.5,59.4,2,5,4.35,5.0,4.78,3.86,3.7,10.5,23,1.6,0,25,37,67.6,1,3,4,2,74.6,23,316,69,4.58,63,4.78,2,3:24,3,8,40,8,90,1,3,31.3,35.7,17,3,12,2,16,5,31.3,0,0,,301,3,8,40,8,90,16,130,2,2,2,3,3,0,316,69,4.58,63,4.78,2,3:24,19,2,13,4,14,5,35.7,0,0,,2,2,2,1,1,0,0,0
5,BUF,2014-10-05,294,1,49,0,1,204,69,32:19,Sun,5,5,@,DET,W 17-14,30,43,13,69.8,1,1,2.3,2.3,88.1,2,14,4.44,6.8,6.53,6.26,5.98,9.8,20,3.5,0,18,31,58.1,1,6,27,1,75.2,22,343,67,5.12,57,4.79,1,3:24,2,11,74,8,62,3,0,31.3,9.1,19,2,15,2,16,5,31.3,0,0,,273,2,11,74,8,62,19,136,2,2,2,3,0,0,343,67,5.12,57,4.79,1,3:24,13,3,7,3,11,1,9.1,0,0,,1,0,0,4,3,1,1,0
6,BUF,2014-10-12,268,2,68,1,3,346,50,29:40,Sun,6,6,,NWE,L 22-37,24,38,14,63.2,2,1,5.3,2.6,94.1,5,31,11.63,7.1,6.23,6.92,6.12,11.2,27,1.9,0,27,37,73.0,4,2,15,0,137.9,23,336,66,5.09,66,6.0,3,3:20,0,8,107,9,60,0,3,53.3,46.7,19,3,15,1,15,8,53.3,2,1,50.0,396,0,8,107,9,60,17,167,4,4,4,4,3,0,336,66,5.09,66,6.0,3,3:20,22,4,13,5,15,7,46.7,0,0,,3,2,2,0,0,1,1,0
7,BUF,2014-10-19,255,2,118,0,4,118,158,27:37,Sun,7,7,,MIN,W 17-16,31,43,12,72.1,2,1,4.7,2.3,95.4,6,28,12.24,5.9,5.2,5.81,5.1,8.2,29,5.4,0,15,26,57.7,1,5,39,2,49.8,19,373,68,5.49,60,4.6,4,3:10,2,8,48,7,50,1,3,33.3,31.3,22,3,17,2,12,4,33.3,1,1,100.0,276,2,8,48,7,50,15,98,1,1,1,3,3,0,373,68,5.49,60,4.6,4,3:10,16,6,8,2,16,5,31.3,0,0,,2,2,2,1,1,0,0,0
8,BUF,2014-10-26,213,4,67,1,0,137,175,27:43,Sun,8,8,@,NYJ,W 43-23,10,17,7,58.8,4,0,23.5,0.0,142.8,4,25,19.05,12.5,10.14,17.24,13.95,21.3,33,5.3,3,20,44,45.5,0,4,21,4,15.1,32,280,53,5.28,81,3.85,0,3:20,6,7,49,10,90,3,1,25.0,47.4,12,2,7,3,12,3,25.0,0,0,,312,6,7,49,10,90,17,139,3,2,2,1,1,0,280,53,5.28,81,3.85,0,3:20,22,11,9,2,19,9,47.4,1,1,100.0,5,5,4,3,3,0,0,0
9,BUF,2014-11-09,253,1,111,0,3,151,127,30:42,Sun,9,10,,KAN,L 13-17,29,48,19,60.4,1,0,2.1,0.0,81.9,1,6,2.04,5.3,5.16,5.69,5.57,8.7,24,5.3,2,17,29,58.6,0,6,26,0,72.6,22,364,71,5.13,59,4.71,3,3:02,1,6,44,3,19,2,1,43.8,23.1,21,6,15,0,16,7,43.8,1,0,0.0,278,1,6,44,3,19,9,63,2,2,2,1,1,0,364,71,5.13,59,4.71,3,3:02,16,7,8,1,13,3,23.1,1,1,100.0,1,1,1,2,2,0,0,0
10,BUF,2014-11-13,183,0,54,0,0,205,125,27:38,Thu,10,11,@,MIA,L 9-22,22,39,17,56.4,0,0,0.0,0.0,69.7,2,10,4.88,4.7,4.46,4.69,4.46,8.3,24,5.2,0,26,34,76.5,2,5,35,0,110.5,19,237,60,3.95,63,5.24,0,2:58,2,7,70,4,30,3,2,40.0,44.4,13,4,9,0,15,6,40.0,2,0,0.0,330,2,7,70,4,30,11,100,2,2,2,2,2,1,237,60,3.95,63,5.24,0,2:58,24,6,15,3,9,4,44.4,0,0,,0,0,0,4,3,0,0,0
