Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
1,CIN,2014-09-07,301,1,79,0,0,329,94,30:30,Sun,1,1,@,BAL,W 23-16,25,38,13,65.8,1,0,2.6,0.0,98.7,0,0,0.0,7.9,7.92,8.45,8.45,12.0,20,4.7,1,35,62,56.5,1,3,16,1,69.9,26,380,64,5.94,85,4.98,0,3:14,2,4,45,3,29,5,1,28.6,47.1,16,4,11,1,14,4,28.6,0,0,,423,2,4,45,3,29,7,74,2,1,1,2,1,0,380,64,5.94,85,4.98,0,3:14,26,8,16,2,17,8,47.1,2,1,50.0,1,0,0,6,5,1,1,0
2,CIN,2014-09-14,302,1,170,2,0,212,97,32:59,Sun,2,2,,ATL,W 24-10,16,24,8,66.7,1,0,4.2,0.0,123.6,0,0,0.0,12.6,12.58,13.42,13.42,18.9,19,5.1,0,24,44,54.5,1,2,19,3,46.8,45,472,69,6.84,65,4.75,0,3:11,3,7,55,7,56,1,1,42.9,25.0,21,10,10,1,14,6,42.9,0,0,,309,3,7,55,7,56,14,111,1,1,1,1,1,0,472,69,6.84,65,4.75,0,3:11,19,6,11,2,12,3,25.0,2,1,50.0,3,3,3,4,1,0,0,0
3,CIN,2014-09-21,184,1,116,3,1,177,149,28:44,Sun,3,3,,TEN,W 33-7,17,26,9,65.4,1,1,3.8,3.8,82.9,0,0,0.0,7.1,7.08,6.12,6.12,10.8,28,5.3,1,17,34,50.0,0,2,8,2,40.9,31,300,57,5.26,64,5.09,1,2:56,2,7,50,11,99,1,0,33.3,16.7,25,11,10,4,9,3,33.3,1,0,0.0,326,2,7,50,11,99,18,149,1,1,1,2,0,0,300,57,5.26,64,5.09,1,2:56,22,11,7,4,12,2,16.7,2,1,50.0,4,4,4,1,1,0,0,1
4,CIN,2014-10-05,241,2,79,0,3,285,220,21:04,Sun,4,5,@,NWE,L 17-43,18,29,11,62.1,2,0,6.9,0.0,112.6,1,8,3.33,8.3,8.03,9.69,9.37,13.4,46,4.8,1,23,35,65.7,2,1,7,0,109.8,18,320,48,6.67,82,6.16,3,3:00,0,4,37,12,114,1,5,0.0,37.5,17,4,8,5,7,0,0.0,1,0,0.0,505,0,4,37,12,114,16,151,4,4,4,5,5,0,320,48,6.67,82,6.16,3,3:00,30,11,17,2,16,6,37.5,1,1,100.0,2,2,2,2,1,0,0,0
5,CIN,2014-10-12,320,2,193,2,2,284,147,35:30,Sun,5,6,,CAR,T 37-37 (OT),33,43,10,76.7,2,2,4.7,4.7,93.5,1,3,2.27,7.4,7.27,6.28,6.14,9.7,34,4.3,2,29,46,63.0,2,0,0,1,85.8,31,513,75,6.84,80,5.39,2,3:59,1,13,119,8,60,3,3,62.5,47.1,29,8,18,3,16,10,62.5,0,0,,431,1,13,119,8,60,21,179,4,4,4,4,3,0,513,75,6.84,80,5.39,2,3:59,29,10,14,5,17,8,47.1,2,2,100.0,4,4,4,4,3,0,0,0
6,CIN,2014-10-19,103,0,32,0,0,335,171,20:17,Sun,6,7,@,IND,L 0-27,18,38,20,47.4,0,0,0.0,0.0,55.4,4,23,9.52,2.7,2.45,2.71,2.45,5.7,34,5.0,1,27,42,64.3,2,2,9,0,104.8,12,135,54,2.5,78,6.49,0,3:06,2,4,20,8,57,0,2,7.7,38.5,8,1,5,2,13,1,7.7,1,0,0.0,506,2,4,20,8,57,12,77,3,3,3,2,2,0,135,54,2.5,78,6.49,0,3:06,27,11,15,1,13,5,38.5,0,0,,0,0,0,0,0,0,0,0
7,CIN,2014-10-26,239,0,111,3,2,187,107,30:44,Sun,7,8,,BAL,W 27-24,21,28,7,75.0,0,1,0.0,3.6,89.3,2,27,6.67,8.5,7.97,6.93,6.47,11.4,26,4.1,2,17,34,50.0,0,1,8,2,42.2,34,350,64,5.47,61,4.82,2,2:59,2,6,40,7,51,2,3,57.1,38.5,19,8,10,1,14,8,57.1,1,1,100.0,294,2,6,40,7,51,13,91,2,1,1,3,3,0,350,64,5.47,61,4.82,2,2:59,18,8,9,1,13,5,38.5,3,1,33.3,3,3,3,2,2,0,0,0
8,CIN,2014-11-02,232,2,191,2,2,233,132,32:44,Sun,8,9,,JAX,W 33-23,19,31,12,61.3,2,2,6.5,6.5,79.1,2,1,6.06,7.5,7.03,5.87,5.52,12.2,25,5.3,1,22,33,66.7,2,2,14,1,94.6,34,423,67,6.31,60,6.08,2,3:13,1,6,40,3,35,1,1,46.2,33.3,23,11,12,0,13,6,46.2,0,0,,365,1,6,40,3,35,9,75,3,2,2,1,1,0,423,67,6.31,60,6.08,2,3:13,19,4,14,1,12,4,33.3,0,0,,4,4,4,1,1,0,0,1
9,CIN,2014-11-06,79,0,86,0,4,198,170,24:11,Thu,9,10,,CLE,L 3-24,13,39,26,33.3,0,3,0.0,7.7,10.3,2,14,4.88,2.0,1.93,-1.44,-1.37,6.1,52,3.3,3,15,23,65.2,0,0,0,0,92.3,22,165,63,2.62,75,4.91,4,3:14,1,7,55,6,62,1,1,17.6,43.8,11,6,4,1,17,3,17.6,1,1,100.0,368,1,7,55,6,62,13,117,3,3,3,2,1,0,165,63,2.62,75,4.91,4,3:14,21,9,11,1,16,7,43.8,0,0,,0,0,0,1,1,0,0,0
10,CIN,2014-11-16,219,3,186,0,0,255,75,29:14,Sun,10,11,@,NOR,W 27-10,16,22,6,72.7,3,0,13.6,0.0,143.9,1,1,4.35,10.0,9.52,12.68,12.13,13.7,26,2.9,0,33,41,80.5,1,0,0,0,100.7,36,405,59,6.86,67,4.93,0,2:50,1,4,33,5,34,2,1,69.2,61.5,22,7,13,2,13,9,69.2,0,0,,330,1,4,33,5,34,9,67,1,1,1,1,1,0,405,59,6.86,67,4.93,0,2:50,24,3,18,3,13,8,61.5,1,0,0.0,3,3,3,2,2,0,0,0
11,CIN,2014-11-23,233,1,139,1,1,184,64,39:10,Sun,11,12,@,HOU,W 22-13,24,35,11,68.6,1,1,2.9,2.9,84.6,0,0,0.0,6.7,6.66,5.94,5.94,9.7,19,3.4,0,21,45,46.7,0,1,5,1,48.8,43,372,78,4.77,65,3.82,1,3:02,1,6,60,3,15,2,2,55.0,28.6,24,6,17,1,20,11,55.0,1,0,0.0,248,1,6,60,3,15,9,75,1,1,1,2,2,0,372,78,4.77,65,3.82,1,3:02,18,4,11,3,14,4,28.6,3,2,66.7,2,2,2,2,2,0,0,1
12,CIN,2014-11-30,176,1,112,1,3,188,75,30:37,Sun,12,13,@,TAM,W 14-13,20,28,8,71.4,1,3,3.6,10.7,61.8,2,11,6.67,6.3,5.87,2.18,2.03,8.8,25,3.0,1,15,29,51.7,0,1,2,1,57.8,28,288,58,4.97,55,4.78,3,3:03,1,10,73,13,94,0,2,45.5,18.2,19,7,10,2,11,5,45.5,0,0,,263,1,10,73,13,94,23,167,1,1,1,2,2,0,288,58,4.97,55,4.78,3,3:03,14,4,7,3,11,2,18.2,1,0,0.0,2,2,2,0,0,0,0,0
13,CIN,2014-12-07,322,2,86,1,2,350,193,27:15,Sun,13,14,,PIT,L 21-42,25,35,10,71.4,2,0,5.7,0.0,119.6,3,5,7.89,9.2,8.47,10.34,9.53,12.9,31,6.2,2,25,39,64.1,3,0,0,0,118.5,21,408,59,6.92,70,7.76,2,3:11,0,7,54,3,20,0,2,27.3,50.0,16,6,10,0,11,3,27.3,1,0,0.0,543,0,7,54,3,20,10,74,5,4,4,2,2,0,408,59,6.92,70,7.76,2,3:11,25,8,16,1,16,8,50.0,0,0,,3,3,3,0,0,0,0,0
14,CIN,2014-12-14,103,0,244,3,1,54,53,38:52,Sun,14,15,@,CLE,W 30-0,14,24,10,58.3,0,1,0.0,4.2,53.6,2,14,7.69,4.3,3.96,2.42,2.23,7.4,17,3.1,0,10,18,55.6,0,3,26,2,21.3,45,347,71,4.89,38,2.82,1,2:50,2,5,41,9,68,3,0,50.0,10.0,24,16,6,2,14,7,50.0,2,2,100.0,107,2,5,41,9,68,14,109,0,0,0,0,0,0,347,71,4.89,38,2.82,1,2:50,5,1,2,2,10,1,10.0,1,1,100.0,3,3,3,3,3,0,0,0
15,CIN,2014-12-22,146,2,207,1,2,300,85,31:38,Mon,15,16,,DEN,W 37-28,17,25,8,68.0,2,1,8.0,4.0,93.1,0,0,0.0,5.8,5.84,5.64,5.64,8.6,19,4.5,1,28,44,63.6,2,2,11,4,60.8,37,353,62,5.69,65,5.92,2,3:20,4,7,45,6,72,3,0,18.2,41.7,20,10,8,2,11,2,18.2,1,1,100.0,385,4,7,45,6,72,13,117,4,4,4,1,0,0,353,62,5.69,65,5.92,2,3:20,22,6,15,1,12,5,41.7,0,0,,4,4,4,3,3,0,0,0
16,CIN,2014-12-28,221,2,116,0,3,317,29,34:58,Sun,16,17,@,PIT,L 17-27,27,38,11,71.1,2,2,5.3,5.3,83.7,3,23,7.32,5.8,5.39,4.5,4.17,8.2,18,1.6,0,24,39,61.5,2,0,0,2,83.0,29,337,70,4.81,57,6.07,3,3:00,3,5,45,1,10,1,2,42.9,27.3,19,7,12,0,14,6,42.9,3,2,66.7,346,3,5,45,1,10,6,55,3,3,3,2,2,0,337,70,4.81,57,6.07,3,3:00,18,1,14,3,11,3,27.3,1,0,0.0,2,2,2,2,1,0,0,0
17,CIN,2015-09-13,269,2,127,2,0,183,63,32:32,Sun,1,1,@,LVR,W 33-13,25,34,9,73.5,2,0,5.9,0.0,115.9,0,0,0.0,7.9,7.91,9.09,9.09,10.8,16,3.9,0,30,43,69.8,2,2,20,1,83.8,31,396,65,6.09,61,4.03,0,3:02,2,6,50,5,32,2,0,30.8,25.0,22,7,13,2,13,4,30.8,1,1,100.0,246,2,6,50,5,32,11,82,2,1,1,0,0,0,396,65,6.09,61,4.03,0,3:02,16,1,13,2,12,3,25.0,3,2,66.7,4,4,3,2,2,0,0,0
