Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
1,CLE,2014-09-07,198,1,191,2,0,376,127,27:33,Sun,1,1,@,PIT,L 27-30,18,30,12,60.0,1,0,3.3,0.0,94.0,3,24,9.09,6.6,6.0,7.27,6.61,11.0,29,4.4,2,24,35,68.6,1,3,14,1,101.6,31,389,64,6.08,67,7.51,0,3:07,1,8,55,11,96,2,3,18.2,33.3,23,9,11,3,11,2,18.2,0,0,,503,1,8,55,11,96,19,151,3,3,3,3,3,0,389,64,6.08,67,7.51,0,3:07,24,6,16,2,12,4,33.3,1,1,100.0,3,3,3,2,2,0,0,0
2,CLE,2014-09-14,202,1,122,1,0,223,174,28:10,Sun,2,2,,NOR,W 26-24,24,41,17,58.5,1,0,2.4,0.0,79.7,1,2,2.38,4.9,4.81,5.41,5.29,8.4,27,6.4,1,27,40,67.5,2,2,14,1,87.8,30,324,72,4.5,69,5.75,0,3:08,2,4,30,5,39,2,1,43.8,53.8,23,7,14,2,16,7,43.8,2,2,100.0,397,2,4,30,5,39,9,69,3,3,3,1,1,0,324,72,4.5,69,5.75,0,3:08,26,10,16,0,13,7,53.8,0,0,,3,2,2,2,2,1,0,0
3,CLE,2014-09-21,290,1,85,2,0,217,160,29:05,Sun,3,3,,BAL,L 21-23,19,25,6,76.0,1,0,4.0,0.0,127.1,0,0,0.0,11.6,11.6,12.4,12.4,15.3,33,4.8,1,19,31,61.3,1,0,0,1,79.6,30,375,55,6.82,64,5.89,0,2:57,1,12,94,5,32,0,3,45.5,33.3,19,6,11,2,11,5,45.5,0,0,,377,1,12,94,5,32,17,126,2,2,2,3,3,0,375,55,6.82,64,5.89,0,2:57,23,12,8,3,12,4,33.3,1,0,0.0,3,3,3,2,0,0,0,0
4,CLE,2014-10-05,284,3,176,0,1,261,149,29:17,Sun,4,5,@,TEN,W 29-28,21,37,16,56.8,3,1,8.1,2.7,97.9,1,7,2.63,7.7,7.47,8.08,7.87,13.5,30,5.0,1,21,32,65.6,3,3,12,0,122.0,36,460,74,6.22,65,6.31,1,3:23,0,7,74,7,68,2,0,33.3,57.1,27,10,16,1,12,4,33.3,2,0,0.0,410,0,7,74,7,68,14,142,4,4,4,0,0,0,460,74,6.22,65,6.31,1,3:23,22,8,11,3,14,8,57.1,1,0,0.0,3,3,3,2,2,0,0,1
5,CLE,2014-10-12,210,1,158,3,1,221,138,26:55,Sun,5,6,,PIT,W 31-10,8,17,9,47.1,1,0,5.9,0.0,113.0,1,7,5.56,12.4,11.67,13.53,12.78,26.3,32,4.3,0,21,42,50.0,1,2,7,1,63.7,38,368,56,6.57,76,4.72,1,3:07,1,6,60,6,42,1,1,36.4,37.5,19,10,7,2,11,4,36.4,0,0,,359,1,6,60,6,42,12,102,1,1,1,1,1,0,368,56,6.57,76,4.72,1,3:07,22,5,12,5,16,6,37.5,2,0,0.0,4,4,4,1,1,0,0,0
6,CLE,2014-10-19,197,0,69,0,3,151,185,28:27,Sun,6,7,@,JAX,L 6-24,16,41,25,39.0,0,1,0.0,2.4,46.3,3,18,6.82,4.8,4.48,3.71,3.45,12.3,35,5.3,2,17,31,54.8,1,2,8,3,39.2,30,266,74,3.59,68,4.94,3,3:16,3,8,50,3,25,2,1,23.5,31.3,13,2,11,0,17,4,23.5,3,0,0.0,336,3,8,50,3,25,11,75,3,3,3,1,1,0,266,74,3.59,68,4.94,3,3:16,20,10,8,2,16,5,31.3,0,0,,0,0,0,2,2,0,0,0
7,CLE,2014-10-26,267,1,39,1,0,311,76,25:08,Sun,7,8,,LVR,W 23-13,19,28,9,67.9,1,0,3.6,0.0,111.5,1,8,3.45,9.5,9.21,10.25,9.9,14.1,21,3.6,0,34,56,60.7,1,4,17,1,74.3,25,306,54,5.67,81,4.78,0,3:10,3,6,30,8,54,3,2,16.7,31.6,15,1,12,2,12,2,16.7,0,0,,387,3,6,30,8,54,14,84,1,1,1,2,2,0,306,54,5.67,81,4.78,0,3:10,19,3,16,0,19,6,31.6,4,3,75.0,2,2,2,3,3,0,0,0
8,CLE,2014-11-02,274,2,56,0,2,252,113,29:28,Sun,8,9,,TAM,W 22-17,21,34,13,61.8,2,2,5.9,5.9,85.4,4,26,10.53,8.1,7.21,6.59,5.89,13.0,26,4.3,0,17,33,51.5,2,2,8,2,71.8,27,330,65,5.08,61,5.98,2,3:04,2,7,44,4,33,3,1,35.7,33.3,19,3,16,0,14,5,35.7,2,1,50.0,365,2,7,44,4,33,11,77,2,2,2,3,1,0,330,65,5.08,61,5.98,2,3:04,20,7,11,2,12,4,33.3,1,0,0.0,2,1,1,3,3,1,0,0
9,CLE,2014-11-06,198,0,170,3,1,79,86,35:49,Thu,9,10,@,CIN,W 24-3,15,23,8,65.2,0,0,0.0,0.0,92.3,0,0,0.0,8.6,8.61,8.61,8.61,13.2,22,3.9,0,13,39,33.3,0,2,14,3,10.3,52,368,75,4.91,63,2.62,1,3:14,4,6,62,7,55,1,1,43.8,17.6,21,9,11,1,16,7,43.8,0,0,,165,4,6,62,7,55,13,117,0,0,0,1,1,0,368,75,4.91,63,2.62,1,3:14,11,6,4,1,17,3,17.6,1,1,100.0,3,3,3,2,1,0,0,0
10,CLE,2014-11-16,310,1,65,0,2,211,213,26:07,Sun,10,11,,HOU,L 7-23,20,50,30,40.0,1,1,2.0,2.0,61.2,3,20,5.66,6.2,5.85,5.7,5.38,15.5,54,3.9,0,20,30,66.7,2,0,0,1,95.3,23,375,76,4.93,84,5.05,2,3:10,1,8,67,5,55,0,3,20.0,38.9,24,4,18,2,15,3,20.0,2,0,0.0,424,1,8,67,5,55,13,122,2,2,2,4,3,0,375,76,4.93,84,5.05,2,3:10,29,13,12,4,18,7,38.9,1,1,100.0,1,1,1,1,0,0,0,0
