Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
1,DAL,2014-09-07,255,1,127,1,4,192,127,31:24,Sun,1,1,,SFO,L 17-28,23,37,14,62.2,1,3,2.7,8.1,60.8,3,26,7.5,6.9,6.38,3.78,3.5,11.1,30,4.2,1,16,23,69.6,2,1,9,0,123.8,23,382,63,6.06,54,5.91,4,3:04,0,10,72,11,78,1,0,55.6,58.3,26,8,14,4,9,5,55.6,1,1,100.0,319,0,10,72,11,78,21,150,4,4,4,1,0,0,382,63,6.06,54,5.91,4,3:04,19,6,11,2,12,7,58.3,0,0,,2,2,2,1,1,0,0,0
2,DAL,2014-09-14,148,1,220,1,1,232,82,41:11,Sun,2,2,@,TEN,W 26-10,19,29,10,65.5,1,0,3.4,0.0,93.5,4,28,12.12,5.1,4.48,5.79,5.09,7.8,13,6.3,0,18,34,52.9,1,2,2,2,59.9,43,368,76,4.84,49,6.41,1,2:56,2,4,25,5,30,4,1,56.3,20.0,26,13,10,3,16,9,56.3,0,0,,314,2,4,25,5,30,9,55,1,1,1,1,1,0,368,76,4.84,49,6.41,1,2:56,13,4,9,0,10,2,20.0,1,0,0.0,2,2,2,4,4,0,0,0
3,DAL,2014-09-21,217,2,123,1,2,327,121,27:10,Sun,3,3,@,LAR,W 34-31,18,23,5,78.3,2,1,8.7,4.3,116.8,0,0,0.0,9.4,9.43,9.22,9.22,12.1,30,4.0,0,30,42,71.4,3,0,0,2,98.0,29,340,52,6.54,72,6.22,2,3:02,3,3,15,8,119,2,1,50.0,61.5,19,5,10,4,10,5,50.0,0,0,,448,3,3,15,8,119,11,134,4,4,4,1,1,0,340,52,6.54,72,6.22,2,3:02,26,7,18,1,13,8,61.5,2,1,50.0,4,4,4,2,2,0,0,0
4,DAL,2014-09-28,255,3,190,2,0,334,104,34:45,Sun,4,4,,NOR,W 38-17,22,29,7,75.9,3,0,10.3,0.0,137.4,1,7,3.33,8.8,8.5,10.86,10.5,11.6,13,8.0,0,32,44,72.7,2,2,6,1,100.0,35,445,65,6.85,59,7.42,0,3:00,3,6,50,3,20,1,1,57.1,40.0,24,10,14,0,14,8,57.1,0,0,,438,3,6,50,3,20,9,70,2,2,2,2,1,0,445,65,6.85,59,7.42,0,3:00,20,4,14,2,10,4,40.0,2,1,50.0,5,5,5,1,1,0,0,0
5,DAL,2014-10-05,316,2,140,0,3,154,176,36:07,Sun,5,5,,HOU,W 20-17 (OT),28,41,13,68.3,2,1,4.9,2.4,98.0,1,8,2.38,7.7,7.52,7.59,7.4,11.3,31,5.7,2,16,25,64.0,0,0,0,1,64.4,33,456,75,6.08,56,5.89,3,3:11,1,7,56,5,35,2,1,57.1,30.8,24,8,16,0,14,8,57.1,0,0,,330,1,7,56,5,35,12,91,2,2,2,1,1,0,456,75,6.08,56,5.89,3,3:11,15,8,7,0,13,4,30.8,1,1,100.0,2,2,2,3,2,0,0,0
6,DAL,2014-10-12,239,2,162,1,2,126,80,37:39,Sun,6,6,@,SEA,W 30-23,21,32,11,65.6,2,0,6.3,0.0,110.2,1,11,3.03,7.5,7.24,8.72,8.45,11.4,18,4.4,1,14,28,50.0,0,2,0,1,47.6,36,401,69,5.81,48,4.29,2,3:06,1,6,46,9,58,3,3,58.8,38.5,23,6,13,4,17,10,58.8,0,0,,206,1,6,46,9,58,15,104,2,2,2,3,3,0,401,69,5.81,48,4.29,2,3:06,9,3,5,1,13,5,38.5,1,0,0.0,3,3,3,3,3,0,0,0
7,DAL,2014-10-19,267,3,156,1,1,248,104,33:49,Sun,7,7,,NYG,W 31-21,17,23,6,73.9,3,1,13.0,4.3,135.7,2,12,8.0,11.6,10.68,12.26,11.28,15.7,26,4.0,0,21,33,63.6,3,0,0,0,116.7,35,423,60,7.05,59,5.97,1,2:59,2,6,46,6,40,1,0,64.3,38.5,20,8,12,0,14,9,64.3,0,0,,352,2,6,46,6,40,12,86,3,3,3,0,0,0,423,60,7.05,59,5.97,1,2:59,20,5,13,2,13,5,38.5,1,1,100.0,4,4,4,1,1,0,0,0
8,DAL,2014-10-27,224,2,171,0,2,286,123,28:37,Mon,8,8,,WAS,L 17-20 (OT),21,34,13,61.8,2,0,5.9,0.0,107.2,5,54,12.82,6.6,5.74,7.76,6.77,10.7,31,4.0,2,25,30,83.3,0,3,13,1,92.5,25,395,64,6.17,64,6.39,2,3:13,1,3,35,6,45,1,2,41.7,42.9,20,4,15,1,12,5,41.7,1,0,0.0,409,1,3,35,6,45,9,80,2,2,2,2,2,0,395,64,6.17,64,6.39,2,3:13,19,5,14,0,14,6,42.9,1,1,100.0,2,2,2,1,1,0,0,0
9,DAL,2014-11-02,174,1,92,0,2,237,102,28:32,Sun,9,9,,ARI,L 17-28,18,33,15,54.5,1,2,3.0,6.1,55.5,1,9,2.94,5.3,5.12,3.15,3.06,9.7,29,3.5,1,22,34,64.7,3,2,12,1,102.2,25,266,59,4.51,65,5.22,2,2:56,1,5,33,6,62,1,0,27.3,60.0,18,5,10,3,11,3,27.3,1,0,0.0,339,1,5,33,6,62,11,95,4,4,4,0,0,0,266,59,4.51,65,5.22,2,2:56,22,5,15,2,15,9,60.0,0,0,,2,2,2,2,1,0,0,0
10,DAL,2014-11-09,248,3,151,1,1,262,71,31:32,Sun,10,10,@,JAX,W 31-17,21,28,7,75.0,3,0,10.7,0.0,138.1,1,6,3.45,8.9,8.55,11.0,10.62,11.8,24,3.0,2,22,37,59.5,0,4,28,1,69.9,30,399,59,6.76,65,5.12,1,3:08,3,9,65,2,19,1,0,30.8,28.6,16,6,10,0,13,4,30.8,0,0,,333,3,9,65,2,19,11,84,2,1,1,0,0,1,399,59,6.76,65,5.12,1,3:08,20,5,11,4,14,4,28.6,4,2,50.0,4,4,4,2,1,0,0,0
