Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
1,DET,2014-09-08,341,2,76,2,0,144,53,36:04,Mon,1,1,,NYG,W 35-14,22,32,10,68.8,2,0,6.3,0.0,125.3,1,5,3.03,10.7,10.33,11.91,11.55,15.5,22,2.4,1,18,33,54.5,1,2,19,2,50.6,30,417,63,6.62,57,3.46,0,2:56,2,8,85,4,25,2,0,66.7,23.1,20,5,14,1,15,10,66.7,0,0,,197,2,8,85,4,25,12,110,2,2,2,0,0,0,417,63,6.62,57,3.46,0,2:56,16,4,8,4,13,3,23.1,3,2,66.7,4,3,3,3,2,1,1,0
2,DET,2014-09-14,253,1,70,0,3,251,62,30:41,Sun,2,2,@,CAR,L 7-24,27,48,21,56.3,1,1,2.1,2.1,72.5,4,38,7.69,5.3,4.87,4.75,4.38,9.4,24,2.6,1,22,34,64.7,1,4,30,0,96.6,18,323,70,4.61,62,5.05,3,3:05,0,5,33,4,45,0,3,40.0,25.0,21,2,18,1,15,6,40.0,2,1,50.0,313,0,5,33,4,45,9,78,2,1,1,3,3,0,323,70,4.61,62,5.05,3,3:05,20,3,14,3,12,3,25.0,0,0,,1,1,1,2,0,0,0,0
3,DET,2014-09-21,238,0,115,1,3,147,76,38:13,Sun,3,3,,GNB,W 19-7,22,34,12,64.7,0,2,0.0,5.9,61.6,2,8,5.56,7.0,6.61,4.35,4.11,10.8,22,3.5,0,16,27,59.3,1,2,15,0,86.5,38,353,74,4.77,51,4.37,3,2:46,1,6,40,5,30,1,0,61.1,40.0,21,6,13,2,18,11,61.1,0,0,,223,1,6,40,5,30,11,70,1,1,1,0,0,0,353,74,4.77,51,4.37,3,2:46,14,3,9,2,10,4,40.0,1,0,0.0,2,2,2,2,1,0,0,1
4,DET,2014-09-28,272,2,88,1,0,204,132,34:53,Sun,4,4,@,NYJ,W 24-17,24,34,10,70.6,2,0,5.9,0.0,116.4,4,21,10.53,8.0,7.16,9.18,8.21,11.3,27,4.9,1,17,33,51.5,1,2,5,1,68.2,27,360,65,5.54,62,5.42,0,3:01,2,5,33,6,32,1,1,40.0,46.7,17,5,12,0,15,6,40.0,0,0,,336,2,5,33,6,32,11,65,2,2,2,1,1,0,360,65,5.54,62,5.42,0,3:01,17,8,8,1,15,7,46.7,0,0,,3,3,3,2,1,0,0,0
5,DET,2014-10-05,204,1,69,0,2,294,49,27:41,Sun,5,5,,BUF,L 14-17,18,31,13,58.1,1,1,3.2,3.2,78.8,6,27,16.22,6.6,5.51,5.77,4.84,11.3,22,2.2,0,30,43,69.8,1,2,14,1,86.8,20,273,57,4.79,67,5.12,2,3:24,1,8,62,11,74,0,3,9.1,31.3,13,3,7,3,11,1,9.1,0,0,,343,1,8,62,11,74,19,136,1,0,0,4,3,0,273,57,4.79,67,5.12,2,3:24,19,2,15,2,16,5,31.3,0,0,,2,2,2,3,0,0,0,0
6,DET,2014-10-12,155,1,100,1,0,143,69,32:21,Sun,6,6,@,MIN,W 17-3,19,33,14,57.6,1,0,3.0,0.0,83.5,4,30,10.81,4.7,4.19,5.3,4.73,8.2,18,3.8,0,23,37,62.2,0,8,45,3,36.2,28,255,65,3.92,63,3.37,0,3:02,3,5,40,9,60,1,1,7.7,21.4,18,6,9,3,13,1,7.7,2,1,50.0,212,3,5,40,9,60,14,100,0,0,0,1,1,0,255,65,3.92,63,3.37,0,3:02,15,5,8,2,14,3,21.4,1,0,0.0,2,2,2,3,1,0,0,0
7,DET,2014-10-19,285,2,59,1,2,335,73,32:18,Sun,7,7,,NOR,W 24-23,27,40,13,67.5,2,2,5.0,5.0,85.3,3,14,6.98,7.1,6.63,5.88,5.47,10.6,21,3.5,0,28,45,62.2,2,1,7,1,90.5,24,344,67,5.13,67,6.09,2,3:11,2,9,71,12,134,1,3,46.7,25.0,21,4,13,4,15,7,46.7,0,0,,408,2,9,71,12,134,21,205,2,2,2,3,3,0,344,67,5.13,67,6.09,2,3:11,25,5,15,5,12,3,25.0,2,1,50.0,3,3,3,1,1,0,0,0
8,DET,2014-10-26,325,2,60,0,1,213,78,30:55,Sun,8,8,@,ATL,W 22-21,24,47,23,51.1,2,1,4.3,2.1,78.8,0,0,0.0,6.9,6.91,6.81,6.81,13.5,26,3.0,1,20,27,74.1,2,2,15,1,105.9,23,385,70,5.5,55,5.29,1,3:00,1,8,85,5,39,3,0,53.3,50.0,22,3,17,2,15,8,53.3,0,0,,291,1,8,85,5,39,13,124,3,3,3,0,0,0,385,70,5.5,55,5.29,1,3:00,22,4,15,3,8,4,50.0,0,0,,2,1,1,3,3,1,0,0
9,DET,2014-11-09,288,2,63,0,1,178,50,31:34,Sun,9,10,,MIA,W 20-16,27,42,15,64.3,2,1,4.8,2.4,92.1,3,19,6.67,6.9,6.4,6.74,6.29,10.7,19,2.6,0,27,38,71.1,1,3,29,1,78.6,19,351,64,5.48,60,3.8,1,3:08,2,10,98,5,44,2,3,25.0,35.7,19,2,15,2,12,3,25.0,3,2,66.7,228,2,10,98,5,44,15,142,1,1,1,3,3,0,351,64,5.48,60,3.8,1,3:08,20,2,15,3,14,5,35.7,0,0,,2,2,2,3,2,0,0,0
10,DET,2014-11-16,164,0,98,0,1,306,46,29:17,Sun,10,11,@,ARI,L 6-14,18,30,12,60.0,0,1,0.0,3.3,63.6,4,19,11.76,5.5,4.82,3.97,3.5,9.1,26,1.8,0,21,32,65.6,2,0,0,2,91.4,19,262,53,4.94,58,6.07,1,2:52,2,9,80,4,35,2,0,33.3,57.1,11,4,6,1,15,5,33.3,1,0,0.0,352,2,9,80,4,35,13,115,2,2,2,0,0,0,262,53,4.94,58,6.07,1,2:52,18,3,13,2,14,8,57.1,0,0,,0,0,0,2,2,0,0,0
