Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
1,GNB,2014-09-04,175,1,80,1,1,191,207,26:40,Thu,1,1,@,SEA,L 16-36,23,33,10,69.7,1,1,3.0,3.0,81.5,3,14,8.33,5.3,4.86,4.55,4.17,7.6,37,5.6,2,19,28,67.9,2,1,0,0,110.9,21,255,57,4.47,66,6.03,1,2:56,1,8,65,4,69,1,2,50.0,36.4,19,4,13,2,12,6,50.0,1,0,0.0,398,1,8,65,4,69,12,134,4,4,4,2,2,1,255,57,4.47,66,6.03,1,2:56,25,13,8,4,11,4,36.4,1,1,100.0,2,1,1,1,1,1,0,0
2,GNB,2014-09-14,310,3,80,0,1,166,147,29:34,Sun,2,2,,NYJ,W 31-24,25,42,17,59.5,3,0,7.1,0.0,109.8,4,36,8.7,7.4,6.74,8.81,8.04,12.4,37,4.0,2,16,32,50.0,1,2,10,1,62.8,22,390,68,5.74,71,4.41,1,3:21,1,3,34,7,82,3,1,50.0,47.1,25,5,17,3,14,7,50.0,0,0,,313,1,3,34,7,82,10,116,3,3,3,1,1,0,390,68,5.74,71,4.41,1,3:21,19,7,11,1,17,8,47.1,3,2,66.7,3,2,2,3,3,1,1,0
3,GNB,2014-09-21,147,1,76,0,1,238,115,21:47,Sun,3,3,@,DET,L 7-19,16,27,11,59.3,1,0,3.7,0.0,88.8,2,15,6.9,5.4,5.07,6.19,5.76,9.2,38,3.0,1,22,34,64.7,0,2,8,2,60.7,22,223,51,4.37,74,4.77,1,2:46,3,5,30,6,40,0,1,40.0,61.1,14,3,9,2,10,4,40.0,1,0,0.0,353,3,5,30,6,40,11,70,2,2,2,2,1,1,223,51,4.37,74,4.77,1,2:46,21,6,13,2,18,11,61.1,0,0,,1,1,1,0,0,0,0,0
4,GNB,2014-09-28,302,4,56,1,0,261,235,23:38,Sun,4,4,@,CHI,W 38-17,22,28,6,78.6,4,0,14.3,0.0,151.2,1,0,3.45,10.8,10.41,13.64,13.17,13.7,41,5.7,0,23,35,65.7,2,1,4,2,83.2,18,358,47,7.62,77,6.44,0,2:56,2,9,70,6,46,1,1,50.0,63.6,21,3,16,2,8,4,50.0,0,0,,496,2,9,70,6,46,15,116,2,2,2,1,1,0,358,47,7.62,77,6.44,0,2:56,33,16,14,3,11,7,63.6,3,2,66.7,5,5,5,2,1,0,0,0
5,GNB,2014-10-02,164,3,156,2,1,188,111,27:51,Thu,5,5,,MIN,W 42-10,15,22,7,68.2,3,1,13.6,4.5,113.3,2,14,8.33,7.5,6.83,8.14,7.46,10.9,25,4.4,1,22,44,50.0,0,6,34,2,42.6,28,320,52,6.15,75,3.99,1,3:02,3,5,30,9,91,0,1,36.4,33.3,15,6,8,1,11,4,36.4,0,0,,299,3,5,30,9,91,14,121,1,1,1,1,1,0,320,52,6.15,75,3.99,1,3:02,20,6,13,1,15,5,33.3,2,1,50.0,6,6,6,0,0,0,0,0
6,GNB,2014-10-12,248,3,121,0,0,237,112,37:12,Sun,6,6,@,MIA,W 27-24,24,42,18,57.1,3,0,7.1,0.0,99.7,3,16,6.67,5.9,5.51,7.33,6.84,10.3,23,4.9,1,20,31,64.5,2,1,7,2,82.3,34,369,79,4.67,55,6.35,0,3:18,3,4,44,5,25,2,1,47.1,40.0,27,8,17,2,17,8,47.1,1,1,100.0,349,3,4,44,5,25,9,69,3,3,3,1,1,0,369,79,4.67,55,6.35,0,3:18,19,5,12,2,10,4,40.0,1,0,0.0,3,3,3,2,2,0,0,0
7,GNB,2014-10-19,241,3,122,2,0,223,108,29:49,Sun,7,7,,CAR,W 38-17,19,24,5,79.2,3,0,12.5,0.0,150.5,2,14,7.69,10.0,9.27,12.54,11.58,12.7,25,4.3,0,22,39,56.4,2,3,25,1,79.3,30,363,56,6.48,67,4.94,0,3:07,1,5,29,9,70,1,1,36.4,33.3,22,10,9,3,11,4,36.4,0,0,,331,1,5,29,9,70,14,99,2,2,2,1,1,0,363,56,6.48,67,4.94,0,3:07,23,6,14,3,12,4,33.3,1,0,0.0,5,5,5,1,1,0,0,0
8,GNB,2014-10-26,402,1,89,1,3,302,193,28:21,Sun,8,8,@,NOR,L 23-44,29,40,11,72.5,1,2,2.5,5.0,94.4,4,24,9.09,10.1,9.14,8.3,7.55,13.9,31,6.2,2,27,32,84.4,3,2,9,0,137.2,19,491,63,7.79,65,7.62,3,3:03,1,8,84,4,35,3,3,14.3,60.0,23,5,16,2,7,1,14.3,2,1,50.0,495,1,8,84,4,35,12,119,5,5,5,3,3,0,491,63,7.79,65,7.62,3,3:03,28,11,15,2,10,6,60.0,1,0,0.0,2,2,2,3,3,0,0,0
9,GNB,2014-11-09,319,6,132,0,1,256,55,29:41,Sun,9,10,,CHI,W 55-14,19,32,13,59.4,6,0,18.8,0.0,132.7,0,0,0.0,10.0,9.97,13.72,13.72,16.8,24,2.3,0,23,40,57.5,1,4,27,2,64.2,32,451,64,7.05,68,4.57,1,3:22,3,5,50,11,163,2,0,46.2,25.0,21,6,13,2,13,6,46.2,2,2,100.0,311,3,5,50,11,163,16,213,2,2,2,0,0,0,451,64,7.05,68,4.57,1,3:22,21,5,12,4,12,3,25.0,4,0,0.0,7,7,7,2,2,0,0,0
10,GNB,2014-11-16,365,3,110,1,0,320,109,32:42,Sun,10,11,,PHI,W 53-20,24,38,14,63.2,3,0,7.9,0.0,121.3,1,2,2.56,9.6,9.36,11.18,10.9,15.2,31,3.5,0,26,44,59.1,2,3,26,2,77.8,25,475,64,7.42,78,5.5,0,3:04,4,4,52,6,53,2,2,57.1,33.3,25,6,18,1,14,8,57.1,0,0,,429,4,4,52,6,53,10,105,2,2,2,2,2,0,475,64,7.42,78,5.5,0,3:04,22,5,17,0,15,5,33.3,3,2,66.7,7,6,5,3,2,1,0,0
