Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
1,HOU,2014-09-07,206,1,115,0,1,241,131,29:06,Sun,1,1,,WAS,W 17-6,14,22,8,63.6,1,0,4.5,0.0,109.3,0,0,0.0,9.4,9.36,10.27,10.27,14.7,23,5.7,1,29,37,78.4,0,3,26,0,93.8,34,321,56,5.73,63,5.9,1,2:56,2,6,45,7,71,1,0,50.0,25.0,16,5,8,3,14,7,50.0,0,0,,372,2,6,45,7,71,13,116,1,1,0,0,0,0,321,56,5.73,63,5.9,1,2:56,20,7,11,2,12,3,25.0,1,0,0.0,2,2,2,1,1,0,0,0
2,HOU,2014-09-14,139,2,188,1,0,263,101,38:36,Sun,2,2,@,LVR,W 30-14,14,19,5,73.7,2,0,10.5,0.0,129.1,0,0,0.0,7.3,7.32,9.42,9.42,9.9,17,5.9,1,27,42,64.3,1,0,0,2,69.8,46,327,65,5.03,59,6.17,0,2:58,4,7,85,5,24,3,0,60.0,22.2,20,9,9,2,15,9,60.0,0,0,,364,4,7,85,5,24,12,109,2,2,2,0,0,0,327,65,5.03,59,6.17,0,2:58,22,5,16,1,9,2,22.2,2,2,100.0,3,3,3,4,3,0,0,0
3,HOU,2014-09-21,292,1,119,1,3,226,193,27:26,Sun,3,3,@,NYG,L 17-30,21,35,14,60.0,1,3,2.9,8.6,61.5,2,7,5.41,8.3,7.89,5.06,4.78,13.9,42,4.6,1,21,28,75.0,2,1,8,0,122.0,25,411,62,6.63,71,5.9,3,2:55,1,5,40,4,31,1,3,16.7,33.3,20,4,14,2,12,2,16.7,2,1,50.0,419,1,5,40,4,31,9,71,3,3,3,3,3,0,411,62,6.63,71,5.9,3,2:55,26,14,10,2,12,4,33.3,1,0,0.0,2,2,2,1,1,0,0,0
4,HOU,2014-09-28,264,1,37,0,3,220,96,30:56,Sun,4,4,,BUF,W 23-17,25,37,12,67.6,1,2,2.7,5.4,75.1,3,4,7.5,7.1,6.6,5.24,4.85,10.6,23,4.2,0,21,44,47.7,2,2,5,2,58.9,23,301,63,4.78,69,4.58,3,3:24,2,8,90,8,40,3,1,35.7,31.3,19,2,13,4,14,5,35.7,0,0,,316,2,8,90,8,40,16,130,2,2,2,1,1,0,301,63,4.78,69,4.58,3,3:24,17,3,12,2,16,5,31.3,0,0,,2,2,2,3,3,0,0,0
5,HOU,2014-10-05,154,0,176,2,1,316,140,31:08,Sun,5,5,@,DAL,L 17-20 (OT),16,25,9,64.0,0,1,0.0,4.0,64.4,0,0,0.0,6.2,6.16,4.36,4.36,9.6,33,4.2,0,28,41,68.3,2,1,8,1,97.2,31,330,56,5.89,75,6.08,1,3:11,3,5,35,7,56,1,2,30.8,57.1,15,8,7,0,13,4,30.8,1,1,100.0,456,3,5,35,7,56,12,91,2,2,2,3,2,0,330,56,5.89,75,6.08,1,3:11,24,8,16,0,14,8,57.1,0,0,,2,2,2,1,1,0,0,0
6,HOU,2014-10-09,196,1,136,2,2,363,93,23:11,Thu,6,6,,IND,L 28-33,15,23,8,65.2,1,0,4.3,0.0,109.3,5,16,17.86,8.5,7.0,9.39,7.71,13.1,35,2.7,1,25,44,56.8,3,3,7,1,97.1,24,332,52,6.38,82,5.56,2,3:15,2,5,66,5,51,0,2,12.5,50.0,18,7,9,2,8,1,12.5,1,0,0.0,456,2,5,66,5,51,10,117,4,3,3,2,2,0,332,52,6.38,82,5.56,2,3:15,27,6,18,3,16,8,50.0,0,0,,4,4,4,1,0,0,0,0
7,HOU,2014-10-20,261,2,132,0,3,252,76,27:54,Mon,7,7,@,PIT,L 23-30,21,32,11,65.6,2,1,6.3,3.1,98.7,1,1,3.03,8.2,7.91,8.0,7.76,12.4,25,3.0,0,24,34,70.6,3,3,16,0,121.2,30,393,63,6.24,62,5.29,3,3:07,1,4,20,6,38,3,3,33.3,35.7,20,6,12,2,12,4,33.3,2,2,100.0,328,1,4,20,6,38,10,58,3,3,3,3,3,0,393,63,6.24,62,5.29,3,3:07,18,2,14,2,14,5,35.7,0,0,,2,2,2,3,3,0,0,0
8,HOU,2014-10-26,193,1,212,2,0,290,36,35:22,Sun,8,8,@,TEN,W 30-16,19,35,16,54.3,1,0,2.9,0.0,83.9,5,34,12.5,5.5,4.83,6.09,5.33,10.2,13,2.8,0,27,41,65.9,2,2,9,1,92.5,40,405,80,5.06,56,5.82,0,2:58,2,4,35,6,61,3,1,43.8,16.7,24,9,14,1,16,7,43.8,0,0,,326,2,4,35,6,61,10,96,2,1,1,1,1,0,405,80,5.06,56,5.82,0,2:58,13,1,12,0,12,2,16.7,2,1,50.0,3,3,3,3,3,0,0,0
9,HOU,2014-11-02,182,2,118,0,1,293,190,27:47,Sun,9,9,,PHI,L 21-31,13,27,14,48.1,2,1,7.4,3.7,82.8,4,21,12.9,6.7,5.87,6.56,5.71,14.0,41,4.6,1,24,34,70.6,3,4,33,3,89.5,28,300,59,5.08,79,6.11,1,3:02,4,9,54,7,55,0,1,38.5,56.3,15,5,8,2,13,5,38.5,1,0,0.0,483,4,9,54,7,55,16,109,4,4,4,1,1,0,300,59,5.08,79,6.11,1,3:02,30,12,15,3,16,9,56.3,2,2,100.0,3,3,3,1,0,0,0,0
10,HOU,2014-11-16,211,2,213,0,1,310,65,33:53,Sun,10,11,@,CLE,W 23-7,20,30,10,66.7,2,1,6.7,3.3,95.3,0,0,0.0,7.0,7.03,6.87,6.87,10.6,23,2.8,0,20,50,40.0,1,3,20,1,59.6,54,424,84,5.05,76,4.93,1,3:10,2,5,55,8,67,3,0,38.9,20.0,29,13,12,4,18,7,38.9,1,1,100.0,375,2,5,55,8,67,13,122,1,1,1,1,0,0,424,84,5.05,76,4.93,1,3:10,24,4,18,2,15,3,20.0,2,0,0.0,2,2,2,4,3,0,0,0
