Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
1,LAC,2014-09-08,238,1,52,1,1,294,109,28:11,Mon,1,1,@,ARI,L 17-18,21,36,15,58.3,1,1,2.8,2.8,75.9,0,0,0.0,6.6,6.61,5.92,5.92,11.3,26,4.2,0,24,37,64.9,2,2,10,0,107.3,24,290,60,4.83,65,6.2,1,3:08,1,9,89,10,151,4,3,50.0,28.6,24,7,10,7,22,11,50.0,3,1,33.3,258,1,9,89,10,151,19,240,1,1,1,3,3,0,297,83,3.58,55,4.69,1,3:19,13,3,8,2,14,4,28.6,0,0,,1,1,1,4,4,0,0,0
2,LAC,2014-09-14,276,3,101,0,0,180,108,42:15,Sun,2,2,,SEA,W 30-21,28,37,9,75.7,3,0,8.1,0.0,124.2,1,8,2.63,7.5,7.26,9.08,8.84,9.9,13,8.3,1,17,25,68.0,2,2,22,0,115.4,37,377,75,5.03,40,7.2,0,3:05,0,9,86,14,136,2,3,50.0,41.7,28,9,15,4,16,8,50.0,0,0,,412,0,9,86,14,136,23,222,4,4,4,3,3,0,417,80,5.21,58,7.1,2,3:26,19,8,10,1,12,5,41.7,0,0,,3,1,1,2,2,2,2,0
3,LAC,2014-09-21,250,2,83,0,0,205,87,31:34,Sun,3,3,@,BUF,W 22-10,18,25,7,72.0,2,0,8.0,0.0,131.4,2,6,7.41,10.0,9.26,11.6,10.74,13.9,22,4.0,0,23,40,57.5,1,3,33,0,79.7,36,333,63,5.29,65,4.49,0,3:04,0,8,61,13,122,1,1,38.5,33.3,24,5,13,6,13,5,38.5,0,0,,311,0,8,61,13,122,21,183,3,3,3,1,1,0,330,68,4.85,51,6.1,3,3:08,16,8,7,1,12,4,33.3,1,0,0.0,1,1,1,1,1,0,0,0
4,LAC,2014-09-28,365,3,42,0,0,235,85,29:26,Sun,4,4,,JAX,W 33-14,29,39,10,74.4,3,0,7.7,0.0,130.0,2,12,4.88,9.4,8.9,10.9,10.37,12.6,25,3.4,1,29,37,78.4,1,3,19,2,79.6,20,407,61,6.67,65,4.92,0,3:06,2,4,43,12,122,2,2,30.8,27.3,19,0,14,5,13,4,30.8,1,0,0.0,350,2,4,43,12,122,16,165,2,2,2,3,2,0,246,64,3.84,55,6.36,3,3:03,15,8,6,1,11,3,27.3,0,0,,1,1,1,3,2,0,0,0
5,LAC,2014-10-05,277,3,162,1,1,60,91,38:54,Sun,5,5,,NYJ,W 31-0,20,28,8,71.4,3,1,10.7,3.6,125.3,3,11,9.68,9.9,8.94,10.43,9.42,13.9,21,4.3,0,12,31,38.7,0,2,14,1,33.4,40,439,71,6.18,54,2.8,1,3:11,1,9,75,16,121,2,2,31.3,26.7,19,4,13,2,16,5,31.3,1,0,0.0,281,1,9,75,16,121,25,196,2,1,1,2,2,1,343,75,4.57,65,4.32,1,3:52,14,4,8,2,15,4,26.7,0,0,,2,2,2,3,2,0,0,0
6,LAC,2014-10-12,307,3,116,1,0,282,114,37:02,Sun,6,6,@,LVR,W 31-28,22,35,13,62.9,3,0,8.6,0.0,120.3,1,6,2.78,8.8,8.53,10.49,10.19,14.0,20,5.7,0,18,34,52.9,4,0,0,1,107.7,33,423,69,6.13,54,7.33,0,3:08,1,7,52,10,118,2,2,41.7,35.7,20,3,13,4,12,5,41.7,0,0,,381,1,7,52,10,118,17,170,3,3,3,2,2,0,253,55,4.6,72,5.29,1,3:17,24,8,14,2,14,5,35.7,2,2,100.0,2,2,2,2,2,0,0,0
7,LAC,2014-10-19,182,2,69,0,1,211,154,21:00,Sun,7,7,,KAN,L 20-23,17,31,14,54.8,2,1,6.5,3.2,83.4,2,23,6.06,5.9,5.52,5.71,5.36,10.7,39,3.9,1,19,28,67.9,1,3,10,0,101.9,16,251,49,5.12,70,5.21,1,3:04,0,6,44,11,110,2,1,38.5,42.9,20,4,11,5,13,5,38.5,0,0,,292,0,6,44,11,110,17,154,1,1,1,1,1,0,333,63,5.29,65,4.49,0,3:04,18,6,9,3,14,6,42.9,2,0,0.0,2,2,2,2,2,0,0,1
8,LAC,2014-10-23,245,3,61,0,2,286,139,29:14,Thu,8,8,@,DEN,L 21-35,30,41,11,73.2,3,2,7.3,4.9,92.7,2,7,4.65,6.0,5.7,5.24,5.0,8.2,30,4.6,2,25,35,71.4,3,0,0,0,124.2,15,306,58,5.28,65,6.54,2,3:05,2,7,77,9,106,1,2,20.0,27.8,16,6,9,1,15,3,20.0,0,0,,398,2,7,77,9,106,16,183,2,1,0,2,2,0,322,67,4.81,81,4.91,2,3:43,20,3,14,3,18,5,27.8,2,1,50.0,2,2,2,1,1,0,0,0
9,LAC,2014-11-02,128,0,50,0,4,309,132,23:53,Sun,9,9,@,MIA,L 0-37,13,26,13,50.0,0,3,0.0,11.5,27.9,4,20,13.33,4.9,4.27,-0.27,-0.23,9.8,35,3.8,1,26,39,66.7,3,0,0,0,116.3,19,178,49,3.63,74,5.96,4,2:58,2,3,20,12,103,4,2,23.1,40.0,16,5,9,2,13,3,23.1,1,1,100.0,304,2,3,20,12,103,15,123,1,1,1,3,2,0,265,60,4.42,68,4.47,2,3:18,16,6,10,0,15,6,40.0,1,0,0.0,1,1,1,4,4,0,0,1
10,LAC,2014-11-16,180,1,120,0,0,162,71,34:46,Sun,10,11,,LVR,W 13-6,22,34,12,64.7,1,0,2.9,0.0,89.5,2,13,5.56,5.3,5.0,5.88,5.56,8.2,19,3.7,0,16,34,47.1,0,2,10,0,61.2,32,300,68,4.41,55,4.24,0,3:05,1,9,60,8,102,3,1,33.3,46.2,23,6,14,3,15,5,33.3,1,1,100.0,310,1,9,60,8,102,17,162,3,3,3,1,1,0,438,73,6.0,60,5.17,4,3:22,18,7,9,2,13,6,46.2,0,0,,1,0,0,4,3,1,1,0
