Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
1,MIA,2014-09-07,169,2,191,1,3,226,89,30:27,Sun,1,1,,NWE,W 33-20,18,32,14,56.3,2,1,6.3,3.1,79.9,1,9,3.03,5.3,5.12,5.13,4.97,9.4,20,4.5,1,29,56,51.8,1,4,23,0,68.0,38,360,71,5.07,80,3.94,3,3:17,2,4,26,9,100,4,2,53.8,29.4,25,11,10,4,13,7,53.8,0,0,,315,2,4,26,9,100,13,126,2,2,2,2,2,0,360,71,5.07,80,3.94,3,3:17,20,7,12,1,17,5,29.4,4,2,50.0,3,3,3,4,4,0,0,0
2,MIA,2014-09-14,210,1,80,0,2,202,113,31:17,Sun,2,2,@,BUF,L 10-29,31,49,18,63.3,1,1,2.0,2.0,73.6,4,31,7.55,4.3,3.96,3.78,3.49,6.8,33,3.4,0,16,26,61.5,1,0,0,0,98.6,21,290,74,3.92,59,5.34,2,3:07,0,3,20,6,40,1,5,31.3,33.3,23,4,16,3,16,5,31.3,4,1,25.0,315,0,3,20,6,40,9,60,2,2,2,6,5,0,290,74,3.92,59,5.34,2,3:07,13,3,10,0,15,5,33.3,0,0,,1,1,1,1,1,0,0,0
3,MIA,2014-09-21,191,1,141,0,0,168,174,26:18,Sun,3,3,,KAN,L 15-34,21,43,22,48.8,1,0,2.3,0.0,70.4,4,14,8.51,4.4,4.06,4.91,4.49,9.1,41,4.2,2,19,25,76.0,3,5,18,0,133.0,20,332,67,4.96,71,4.82,0,3:01,2,6,65,4,23,2,0,26.7,56.3,18,6,12,0,15,4,26.7,2,0,0.0,342,2,6,65,4,23,10,88,5,4,4,0,0,0,332,67,4.96,71,4.82,0,3:01,23,8,14,1,16,9,56.3,1,1,100.0,1,1,1,3,2,0,0,1
4,MIA,2014-09-28,278,2,157,2,3,264,53,30:54,Sun,4,4,@,LVR,W 38-14,23,31,8,74.2,2,1,6.5,3.2,109.3,0,0,0.0,9.0,8.97,8.81,8.81,12.1,18,2.9,0,28,44,63.6,2,2,11,3,66.9,35,435,66,6.59,64,4.95,3,2:57,4,5,35,9,80,1,0,45.5,42.9,24,8,15,1,11,5,45.5,2,1,50.0,317,4,5,35,9,80,14,115,2,2,2,0,0,0,435,66,6.59,64,4.95,3,2:57,17,2,15,0,14,6,42.9,1,0,0.0,5,5,5,1,1,0,0,0
5,MIA,2014-10-12,237,2,112,1,3,248,121,22:48,Sun,5,6,,GNB,L 24-27,20,31,11,64.5,2,2,6.5,6.5,83.3,1,7,3.13,7.6,7.41,6.03,5.84,11.9,34,3.6,0,24,42,57.1,3,3,16,0,98.1,23,349,55,6.35,79,4.67,3,3:18,0,5,25,4,44,1,2,40.0,47.1,19,5,12,2,10,4,40.0,1,0,0.0,369,0,5,25,4,44,9,69,3,3,3,2,2,0,349,55,6.35,79,4.67,3,3:18,27,8,17,2,17,8,47.1,1,1,100.0,3,3,3,1,1,0,0,0
6,MIA,2014-10-19,256,2,137,1,0,172,52,37:22,Sun,6,7,@,CHI,W 27-14,25,32,7,78.1,2,0,6.3,0.0,123.6,4,21,11.11,8.0,7.11,9.25,8.22,10.2,14,3.7,1,21,34,61.8,1,3,18,1,72.2,33,393,69,5.7,51,4.39,0,2:50,3,7,84,2,15,2,0,36.4,41.7,24,7,17,0,11,4,36.4,1,1,100.0,224,3,7,84,2,15,9,99,2,2,2,0,0,0,393,69,5.7,51,4.39,0,2:50,14,3,10,1,12,5,41.7,3,2,66.7,3,3,3,4,2,0,0,0
7,MIA,2014-10-26,178,1,148,0,1,201,176,27:37,Sun,7,8,@,JAX,W 27-13,16,29,13,55.2,1,1,3.4,3.4,73.3,3,18,9.38,6.1,5.56,5.28,4.78,11.1,30,5.9,0,18,34,52.9,1,4,20,2,56.1,24,326,56,5.82,68,5.54,1,3:05,3,7,52,6,37,2,2,41.7,40.0,17,7,8,2,12,5,41.7,0,0,,377,3,7,52,6,37,13,89,1,1,1,3,2,0,326,56,5.82,68,5.54,1,3:05,19,6,11,2,15,6,40.0,2,2,100.0,3,3,3,2,2,0,0,0
8,MIA,2014-11-02,309,3,132,1,0,128,50,36:07,Sun,8,9,,LAC,W 37-0,26,39,13,66.7,3,0,7.7,0.0,116.3,0,0,0.0,7.9,7.92,9.46,9.46,11.9,19,2.6,0,13,26,50.0,0,4,20,3,24.7,35,441,74,5.96,49,3.63,0,2:58,4,3,25,7,57,3,0,57.1,27.3,28,10,17,1,14,8,57.1,1,0,0.0,178,4,3,25,7,57,10,82,0,0,0,0,0,0,441,74,5.96,49,3.63,0,2:58,10,2,8,0,11,3,27.3,1,0,0.0,4,4,4,4,3,0,0,0
9,MIA,2014-11-09,178,1,50,0,2,288,63,28:26,Sun,9,10,@,DET,L 16-20,27,38,11,71.1,1,1,2.6,2.6,81.8,3,29,7.32,4.7,4.34,4.03,3.73,6.6,19,3.3,0,27,42,64.3,2,3,19,1,90.2,19,228,60,3.8,64,5.48,2,3:08,1,5,44,10,98,3,2,35.7,25.0,20,2,15,3,14,5,35.7,0,0,,351,1,5,44,10,98,15,142,2,2,2,3,2,0,228,60,3.8,64,5.48,2,3:08,19,2,15,2,12,3,25.0,3,2,66.7,1,1,1,3,3,0,0,0
10,MIA,2014-11-13,205,2,125,0,2,183,54,32:22,Thu,10,11,,BUF,W 22-9,26,34,8,76.5,2,0,5.9,0.0,114.8,5,35,12.82,6.0,5.26,7.21,6.28,7.9,19,2.8,0,22,39,56.4,0,2,10,0,68.6,24,330,63,5.24,60,3.95,2,2:58,0,4,30,7,70,2,3,44.4,40.0,24,6,15,3,9,4,44.4,0,0,,237,0,4,30,7,70,11,100,0,0,0,4,3,0,330,63,5.24,60,3.95,2,2:58,13,4,9,0,15,6,40.0,2,0,0.0,2,2,2,2,2,0,0,1
11,MIA,2014-11-23,216,3,97,2,1,249,201,25:43,Sun,11,12,@,DEN,L 36-39,26,36,10,72.2,3,1,8.3,2.8,104.9,1,12,2.7,6.0,5.84,6.42,6.24,8.3,35,5.7,1,28,35,80.0,4,1,8,0,134.4,21,313,58,5.4,71,6.34,1,3:10,1,6,50,9,98,0,1,50.0,69.2,25,5,17,3,8,4,50.0,1,1,100.0,450,1,6,50,9,98,15,148,5,4,4,2,1,0,313,58,5.4,71,6.34,1,3:10,29,10,15,4,13,9,69.2,1,1,100.0,5,4,4,0,0,1,1,0
12,MIA,2014-12-01,217,0,74,1,1,49,277,27:25,Mon,12,13,@,NYJ,W 16-13,25,35,10,71.4,0,1,0.0,2.9,77.7,2,18,5.41,6.2,5.86,4.91,4.65,8.7,49,5.7,1,7,13,53.8,0,2,16,1,30.6,18,291,55,5.29,64,5.09,1,2:52,1,3,20,7,57,3,2,38.5,46.7,16,5,9,2,13,5,38.5,0,0,,326,1,3,20,7,57,10,77,1,1,1,4,2,0,291,55,5.29,64,5.09,1,2:52,18,13,5,0,15,7,46.7,0,0,,1,1,1,4,3,0,0,0
13,MIA,2014-12-07,186,1,63,0,0,264,183,29:42,Sun,13,14,,BAL,L 13-28,23,33,10,69.7,1,0,3.0,0.0,98.9,6,41,15.38,5.6,4.77,6.24,5.28,8.1,31,5.9,2,25,33,75.8,2,1,5,1,106.1,16,249,55,4.53,65,6.88,0,3:05,1,6,30,7,36,2,0,33.3,41.7,16,5,10,1,12,4,33.3,1,0,0.0,447,1,6,30,7,36,13,66,4,4,4,0,0,0,249,55,4.53,65,6.88,0,3:05,26,11,15,0,12,5,41.7,1,1,100.0,1,1,1,2,2,0,0,0
14,MIA,2014-12-14,308,1,76,0,2,287,108,33:46,Sun,14,15,@,NWE,L 13-41,29,47,18,61.7,1,2,2.1,4.3,73.5,4,38,7.84,6.6,6.04,5.06,4.67,10.6,29,3.7,2,21,35,60.0,2,0,0,1,93.4,23,384,74,5.19,64,6.17,2,3:08,1,5,35,5,51,2,2,18.8,61.5,23,4,16,3,16,3,18.8,5,3,60.0,395,1,5,35,5,51,10,86,5,5,5,2,2,0,384,74,5.19,64,6.17,2,3:08,23,10,12,1,13,8,61.5,0,0,,1,1,1,3,2,0,0,0
