Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
1,MIN,2014-09-07,170,2,185,1,0,246,72,28:17,Sun,1,1,@,LAR,W 34-6,17,25,8,68.0,2,0,8.0,0.0,113.7,0,0,0.0,6.8,6.8,8.4,8.4,10.0,22,3.3,0,24,36,66.7,0,5,27,2,63.0,32,355,57,6.23,63,5.05,0,3:03,2,7,60,13,121,2,2,25.0,28.6,18,6,10,2,12,3,25.0,0,0,,318,2,7,60,13,121,20,181,0,0,0,3,2,0,355,57,6.23,63,5.05,0,3:03,15,4,10,1,14,4,28.6,0,0,,4,4,4,2,2,0,0,0
2,MIN,2014-09-14,163,1,54,0,4,142,150,28:26,Sun,2,2,,NWE,L 7-30,19,36,17,52.8,1,4,2.8,11.1,39.1,6,39,14.29,4.5,3.88,0.08,0.07,8.6,37,4.1,1,14,21,66.7,1,1,7,0,101.7,19,217,61,3.56,59,4.95,4,3:03,0,7,58,15,163,0,3,36.4,35.7,17,3,9,5,11,4,36.4,1,0,0.0,292,0,7,58,15,163,22,221,3,3,3,3,3,0,217,61,3.56,59,4.95,4,3:03,16,5,9,2,14,5,35.7,1,0,0.0,1,1,1,1,0,0,0,0
3,MIN,2014-09-21,188,0,59,0,0,288,108,26:27,Sun,3,3,@,NOR,L 9-20,17,30,13,56.7,0,0,0.0,0.0,77.5,2,15,6.25,6.3,5.88,6.27,5.88,11.1,32,3.4,1,27,35,77.1,2,1,5,0,119.7,22,247,54,4.57,68,5.82,0,2:47,0,5,44,4,30,3,0,40.0,69.2,13,3,8,2,15,6,40.0,0,0,,396,0,5,44,4,30,9,74,3,3,2,0,0,0,247,54,4.57,68,5.82,0,2:47,27,8,17,2,13,9,69.2,0,0,,0,0,0,3,3,0,0,0
4,MIN,2014-09-28,317,0,241,4,0,288,123,32:52,Sun,4,4,,ATL,W 41-28,19,30,11,63.3,0,0,0.0,0.0,98.9,0,0,0.0,10.6,10.57,10.57,10.57,16.7,22,5.6,1,25,41,61.0,3,1,10,2,86.2,44,558,74,7.54,64,6.42,0,3:19,2,6,40,5,50,4,0,46.2,66.7,26,11,14,1,13,6,46.2,1,1,100.0,411,2,6,40,5,50,11,90,4,4,4,0,0,0,558,74,7.54,64,6.42,0,3:19,23,6,16,1,15,10,66.7,0,0,,4,3,3,5,4,1,1,0
5,MIN,2014-10-02,188,0,111,1,3,164,156,32:09,Thu,5,5,@,GNB,L 10-42,22,44,22,50.0,0,2,0.0,4.5,45.8,6,34,12.0,4.3,3.76,2.23,1.96,8.5,28,5.6,2,15,22,68.2,3,2,14,1,110.6,25,299,75,3.99,52,6.15,3,3:02,1,9,91,5,30,1,0,33.3,36.4,20,6,13,1,15,5,33.3,2,1,50.0,320,1,9,91,5,30,14,121,6,6,6,0,0,0,299,75,3.99,52,6.15,3,3:02,15,6,8,1,11,4,36.4,0,0,,1,1,1,1,1,0,0,0
6,MIN,2014-10-12,143,0,69,0,3,155,100,27:39,Sun,6,6,,DET,L 3-17,23,37,14,62.2,0,3,0.0,8.1,41.3,8,45,17.78,3.9,3.18,0.22,0.18,6.2,28,3.6,1,19,33,57.6,1,4,30,0,79.7,18,212,63,3.37,65,3.92,3,3:02,0,9,60,5,40,1,1,21.4,7.7,15,5,8,2,14,3,21.4,1,0,0.0,255,0,9,60,5,40,14,100,2,2,2,3,1,0,212,63,3.37,65,3.92,3,3:02,18,6,9,3,13,1,7.7,2,1,50.0,0,0,0,1,1,0,0,0
7,MIN,2014-10-19,118,1,158,0,2,255,118,32:23,Sun,7,7,@,BUF,L 16-17,15,26,11,57.7,1,2,3.8,7.7,56.1,5,39,16.13,4.5,3.81,1.85,1.55,7.9,19,6.2,0,31,43,72.1,2,6,28,1,92.7,29,276,60,4.6,68,5.49,2,3:10,4,7,50,8,48,3,1,31.3,33.3,16,6,8,2,16,5,31.3,0,0,,373,4,7,50,8,48,15,98,2,2,2,1,1,0,276,60,4.6,68,5.49,2,3:10,22,3,17,2,12,4,33.3,1,1,100.0,1,1,1,3,3,0,0,0
8,MIN,2014-10-26,235,1,97,0,0,159,66,30:34,Sun,8,8,@,TAM,W 19-13 (OT),24,42,18,57.1,1,0,2.4,0.0,81.5,1,6,2.33,5.6,5.47,6.07,5.93,9.8,23,2.9,0,19,28,67.9,1,5,12,1,79.3,22,332,65,5.11,56,4.02,0,3:09,2,6,59,8,52,2,2,40.0,8.3,22,6,12,4,15,6,40.0,0,0,,225,2,6,59,8,52,14,111,1,1,1,2,2,0,332,65,5.11,56,4.02,0,3:09,15,3,9,3,12,1,8.3,2,2,100.0,2,1,1,3,2,0,0,0
9,MIN,2014-11-02,252,1,100,3,0,225,122,30:26,Sun,9,9,,WAS,W 29-26,26,42,16,61.9,1,0,2.4,0.0,88.2,2,16,4.55,6.0,5.73,6.48,6.18,9.7,29,4.2,2,18,28,64.3,1,5,26,1,86.2,27,352,71,4.96,62,5.6,0,3:11,1,9,60,6,55,0,2,53.3,46.2,24,6,17,1,15,8,53.3,1,0,0.0,347,1,9,60,6,55,15,115,3,2,2,2,2,0,352,71,4.96,62,5.6,0,3:11,21,6,10,5,13,6,46.2,1,0,0.0,4,3,3,0,0,1,1,0
10,MIN,2014-11-16,147,1,96,0,1,330,138,21:22,Sun,10,11,@,CHI,L 13-21,18,28,10,64.3,1,1,3.6,3.6,76.2,2,11,6.67,5.3,4.9,4.36,4.07,8.2,31,4.5,0,31,43,72.1,3,0,0,2,98.0,16,243,46,5.28,74,6.32,1,2:56,2,2,18,7,60,2,0,18.2,58.8,10,2,7,1,11,2,18.2,2,2,100.0,468,2,2,18,7,60,9,78,3,3,3,1,0,0,243,46,5.28,74,6.32,1,2:56,24,8,16,0,17,10,58.8,3,2,66.7,1,1,1,3,2,0,0,0
