Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
1,NOR,2014-09-07,333,1,139,3,2,445,123,30:25,Sun,1,1,@,ATL,L 34-37 (OT),29,42,13,69.0,1,1,2.4,2.4,90.7,0,0,0.0,7.9,7.93,7.33,7.33,11.5,25,4.9,1,31,43,72.1,3,1,3,0,128.5,28,472,70,6.74,69,8.23,2,3:18,1,3,27,10,96,2,3,61.5,54.5,30,9,17,4,13,8,61.5,0,0,,568,1,3,27,10,96,13,123,4,4,4,3,3,0,472,70,6.74,69,8.23,2,3:18,28,6,21,1,11,6,54.5,0,0,,4,4,4,2,2,0,0,0
2,NOR,2014-09-14,223,2,174,1,2,202,122,31:50,Sun,2,2,@,CLE,L 24-26,27,40,13,67.5,2,1,5.0,2.5,89.3,2,14,4.76,5.6,5.31,5.45,5.19,8.3,30,4.1,1,24,41,58.5,1,1,2,0,79.5,27,397,69,5.75,72,4.5,2,3:08,0,5,39,4,30,1,2,53.8,43.8,26,10,16,0,13,7,53.8,0,0,,324,0,5,39,4,30,9,69,3,2,2,2,2,0,397,69,5.75,72,4.5,2,3:08,23,7,14,2,16,7,43.8,2,2,100.0,3,3,3,1,1,0,0,0
3,NOR,2014-09-21,288,2,108,1,0,188,59,33:33,Sun,3,3,,MIN,W 20-9,27,35,8,77.1,2,0,5.7,0.0,120.3,1,5,2.78,8.2,8.0,9.37,9.11,10.7,22,2.7,0,17,30,56.7,0,2,15,0,75.4,32,396,68,5.82,54,4.57,0,2:47,0,4,30,5,44,0,3,69.2,40.0,27,8,17,2,13,9,69.2,0,0,,247,0,4,30,5,44,9,74,0,0,0,3,3,0,396,68,5.82,54,4.57,0,2:47,13,3,8,2,15,6,40.0,0,0,,3,3,2,0,0,0,0,0
4,NOR,2014-09-28,334,2,104,0,3,255,190,25:15,Sun,4,4,@,DAL,L 17-38,32,44,12,72.7,2,1,4.5,2.3,100.6,2,6,4.35,7.6,7.26,7.48,7.15,10.4,35,5.4,2,22,29,75.9,3,1,7,0,136.4,13,438,59,7.42,65,6.85,3,3:00,0,3,20,6,50,1,1,40.0,57.1,20,4,14,2,10,4,40.0,2,1,50.0,445,0,3,20,6,50,9,70,5,5,5,1,1,0,438,59,7.42,65,6.85,3,3:00,24,10,14,0,14,8,57.1,0,0,,2,2,2,2,1,0,0,0
5,NOR,2014-10-05,371,2,140,2,3,248,66,38:32,Sun,5,5,,TAM,W 37-31 (OT),35,57,22,61.4,2,3,3.5,5.3,70.1,0,0,0.0,6.5,6.51,4.84,4.84,10.6,21,3.1,1,19,32,59.4,2,1,1,1,91.7,29,511,86,5.94,54,5.81,3,3:29,1,6,50,15,113,3,1,46.2,33.3,34,12,17,5,13,6,46.2,0,0,,314,1,6,50,15,113,21,163,4,4,4,1,1,0,511,86,5.94,54,5.81,3,3:29,20,4,13,3,9,3,33.3,0,0,,4,2,2,3,3,1,0,1
6,NOR,2014-10-19,335,2,73,0,2,285,59,27:42,Sun,6,7,@,DET,L 23-24,28,45,17,62.2,2,1,4.4,2.2,91.2,1,7,2.17,7.4,7.28,7.33,7.17,12.0,24,2.5,1,27,40,67.5,2,3,14,2,83.9,21,408,67,6.09,67,5.13,2,3:11,2,12,134,9,71,3,1,25.0,46.7,25,5,15,5,12,3,25.0,2,1,50.0,344,2,12,134,9,71,21,205,3,3,3,1,1,0,408,67,6.09,67,5.13,2,3:11,21,4,13,4,15,7,46.7,0,0,,2,2,2,3,3,0,0,0
7,NOR,2014-10-26,302,3,193,2,1,402,89,31:39,Sun,7,8,,GNB,W 44-23,27,32,5,84.4,3,0,9.4,0.0,138.4,2,9,5.88,9.4,8.88,11.31,10.65,11.2,19,4.7,1,29,40,72.5,1,4,24,2,91.9,31,495,65,7.62,63,7.79,1,3:03,3,4,35,8,84,3,3,60.0,14.3,28,11,15,2,10,6,60.0,1,0,0.0,491,3,4,35,8,84,12,119,2,2,2,3,3,0,495,65,7.62,63,7.79,1,3:03,23,5,16,2,7,1,14.3,2,1,50.0,5,5,5,3,3,0,0,0
8,NOR,2014-10-30,270,1,105,3,2,122,109,35:18,Thu,8,9,@,CAR,W 28-10,24,34,10,70.6,1,1,2.9,2.9,94.9,4,27,10.53,7.9,7.11,7.21,6.45,11.3,22,5.0,1,10,28,35.7,0,4,29,1,35.1,37,375,75,5.0,54,4.28,2,2:53,2,4,36,6,67,0,1,53.8,42.9,27,7,17,3,13,7,53.8,1,1,100.0,231,2,4,36,6,67,10,103,1,1,1,1,1,0,375,75,5.0,54,4.28,2,2:53,15,7,6,2,14,6,42.9,0,0,,4,4,4,0,0,0,0,0
9,NOR,2014-11-09,287,3,136,0,3,186,144,36:00,Sun,9,10,,SFO,L 24-27 (OT),28,47,19,59.6,3,2,6.4,4.3,81.2,2,5,4.08,6.1,5.86,5.47,5.24,10.3,32,4.5,2,14,32,43.8,1,4,24,0,73.2,31,423,80,5.29,68,4.85,3,3:38,1,6,43,2,15,1,2,44.4,40.0,23,7,15,1,18,8,44.4,2,2,100.0,330,1,6,43,2,15,8,58,3,3,3,2,2,0,423,80,5.29,68,4.85,3,3:38,21,10,10,1,15,6,40.0,1,1,100.0,3,3,3,1,1,0,0,0
10,NOR,2014-11-16,255,1,75,0,1,219,186,30:46,Sun,10,11,,CIN,L 10-27,33,41,8,80.5,1,0,2.4,0.0,100.7,0,0,0.0,6.2,6.22,6.71,6.71,7.7,36,5.2,0,16,22,72.7,3,1,1,0,143.7,26,330,67,4.93,59,6.86,1,2:50,0,5,34,4,33,1,2,61.5,69.2,24,3,18,3,13,8,61.5,1,0,0.0,405,0,5,34,4,33,9,67,3,3,3,2,2,0,330,67,4.93,59,6.86,1,2:50,22,7,13,2,13,9,69.2,0,0,,1,1,1,1,1,0,0,0
