Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
1,NWE,2014-09-07,226,1,89,1,2,169,191,29:33,Sun,1,1,@,MIA,L 20-33,29,56,27,51.8,1,0,1.8,0.0,69.7,4,23,6.67,4.0,3.77,4.39,4.1,7.8,38,5.0,1,18,32,56.3,2,1,9,1,78.8,20,315,80,3.94,71,5.07,2,3:17,3,9,100,4,26,2,4,29.4,53.8,20,7,12,1,17,5,29.4,4,2,50.0,360,3,9,100,4,26,13,126,3,3,3,4,4,0,315,80,3.94,71,5.07,2,3:17,25,11,10,4,13,7,53.8,0,0,,2,2,2,2,2,0,0,0
2,NWE,2014-09-14,142,1,150,1,0,163,54,31:34,Sun,2,2,@,MIN,W 30-7,14,21,7,66.7,1,0,4.8,0.0,103.1,1,7,4.55,6.8,6.45,7.71,7.36,10.1,19,2.8,0,19,36,52.8,1,6,39,4,34.6,37,292,59,4.95,61,3.56,0,3:03,4,15,163,7,58,3,0,35.7,36.4,16,5,9,2,14,5,35.7,1,0,0.0,217,4,15,163,7,58,22,221,1,1,1,1,0,0,292,59,4.95,61,3.56,0,3:03,17,3,9,5,11,4,36.4,1,0,0.0,3,3,3,3,3,0,0,0
3,NWE,2014-09-21,221,1,76,0,0,174,67,31:35,Sun,3,3,,LVR,W 16-9,24,37,13,64.9,1,0,2.7,0.0,91.5,2,13,5.13,6.0,5.67,6.51,6.18,9.2,22,3.0,0,21,34,61.8,0,0,0,1,62.6,32,297,71,4.18,56,4.3,0,2:52,1,6,59,6,49,3,3,50.0,38.5,21,5,14,2,18,9,50.0,1,0,0.0,241,1,6,59,6,49,12,108,0,0,0,3,3,0,297,71,4.18,56,4.3,0,2:52,14,3,9,2,13,5,38.5,0,0,,1,1,1,3,3,0,0,0
4,NWE,2014-09-29,215,2,75,0,3,236,207,23:33,Mon,4,4,@,KAN,L 14-41,20,30,10,66.7,2,2,6.7,6.7,83.9,3,14,9.09,7.2,6.52,5.5,5.0,10.8,38,5.4,1,20,26,76.9,3,2,12,0,142.5,16,290,49,5.92,66,6.71,3,2:48,0,3,30,4,35,0,2,22.2,58.3,13,2,10,1,9,2,22.2,0,0,,443,0,3,30,4,35,7,65,5,5,5,2,2,0,290,49,5.92,66,6.71,3,2:48,26,10,15,1,12,7,58.3,0,0,,2,2,2,0,0,0,0,0
5,NWE,2014-10-05,285,2,220,1,0,241,79,38:56,Sun,5,5,,CIN,W 43-17,23,35,12,65.7,2,0,5.7,0.0,110.7,1,7,2.78,8.1,7.92,9.29,9.03,12.4,18,4.4,0,18,29,62.1,2,1,8,0,111.4,46,505,82,6.16,48,6.67,0,3:00,3,12,114,4,37,5,1,37.5,0.0,30,11,17,2,16,6,37.5,1,1,100.0,320,3,12,114,4,37,16,151,2,2,2,2,1,0,505,82,6.16,48,6.67,0,3:00,17,4,8,5,7,0,0.0,1,0,0.0,4,4,4,5,5,0,0,0
6,NWE,2014-10-12,346,4,50,0,0,268,68,30:20,Sun,6,6,@,BUF,W 37-22,27,37,10,73.0,4,0,10.8,0.0,139.6,2,15,5.13,9.4,8.87,11.51,10.92,12.8,23,3.0,1,24,38,63.2,2,5,31,1,90.7,27,396,66,6.0,66,5.09,0,3:20,3,9,60,8,107,3,0,46.7,53.3,22,4,13,5,15,7,46.7,0,0,,336,3,9,60,8,107,17,167,3,2,2,0,0,0,396,66,6.0,66,5.09,0,3:20,19,3,15,1,15,8,53.3,2,1,50.0,4,4,4,4,3,0,0,0
7,NWE,2014-10-16,260,3,63,0,0,205,218,19:06,Thu,7,7,,NYJ,W 27-25,20,37,17,54.1,3,0,8.1,0.0,103.5,1,1,2.63,7.0,6.84,8.65,8.42,13.0,43,5.1,1,20,34,58.8,1,3,21,0,86.0,15,323,53,6.09,80,5.29,0,3:04,0,9,64,7,70,2,4,46.2,56.3,16,2,12,2,13,6,46.2,0,0,,423,0,9,64,7,70,16,134,2,1,1,5,4,0,323,53,6.09,80,5.29,0,3:04,28,13,11,4,16,9,56.3,0,0,,3,3,3,2,2,0,0,0
8,NWE,2014-10-26,365,5,122,0,0,231,153,32:43,Sun,8,8,,CHI,W 51-23,33,38,5,86.8,5,0,13.2,0.0,147.5,1,11,2.56,9.6,9.36,12.24,11.92,11.1,26,5.9,0,21,35,60.0,3,3,18,1,96.2,32,487,71,6.86,64,6.0,0,3:02,2,7,38,5,41,3,0,63.6,36.4,32,6,25,1,11,7,63.6,0,0,,384,2,7,38,5,41,12,79,3,1,1,0,0,0,487,71,6.86,64,6.0,0,3:02,27,11,13,3,11,4,36.4,3,1,33.3,6,6,6,3,3,0,0,0
9,NWE,2014-11-02,332,4,66,0,1,429,43,29:27,Sun,9,9,,DEN,W 43-21,33,53,20,62.3,4,1,7.5,1.9,97.4,1,1,1.85,6.3,6.15,6.92,6.8,10.1,17,2.5,1,34,57,59.6,2,1,9,2,80.2,25,398,79,5.04,75,6.29,1,3:32,2,9,71,10,72,3,0,37.5,27.3,29,3,22,4,16,6,37.5,1,1,100.0,472,2,9,71,10,72,19,143,3,3,3,1,0,0,398,79,5.04,75,6.29,1,3:32,26,2,20,4,11,3,27.3,4,0,0.0,5,4,4,3,3,1,0,0
10,NWE,2014-11-16,257,2,246,4,2,303,19,34:21,Sun,10,11,@,IND,W 42-20,19,30,11,63.3,2,2,6.7,6.7,85.0,0,0,0.0,8.6,8.57,6.9,6.9,13.5,16,1.2,0,23,39,59.0,2,1,0,1,90.0,44,503,74,6.8,56,5.75,2,2:58,1,5,53,4,27,0,2,81.8,38.5,33,17,13,3,11,9,81.8,0,0,,322,1,5,53,4,27,9,80,2,2,2,2,2,0,503,74,6.8,56,5.75,2,2:58,17,1,14,2,13,5,38.5,3,1,33.3,6,6,6,0,0,0,0,0
