Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
1,NYG,2014-09-08,144,1,53,1,2,341,76,23:56,Mon,1,1,@,DET,L 14-35,18,33,15,54.5,1,2,3.0,6.1,53.0,2,19,5.71,4.4,4.11,2.24,2.11,8.0,30,2.5,2,22,32,68.8,2,1,5,0,124.6,22,197,57,3.46,63,6.62,2,2:56,0,4,25,8,85,0,2,23.1,66.7,16,4,8,4,13,3,23.1,3,2,66.7,417,0,4,25,8,85,12,110,4,3,3,3,2,0,197,57,3.46,63,6.62,2,2:56,20,5,14,1,15,10,66.7,0,0,,2,2,2,0,0,0,0,0
2,NYG,2014-09-14,260,2,81,0,4,142,124,32:29,Sun,2,2,,ARI,L 14-25,26,39,13,66.7,2,2,5.1,5.1,83.0,2,17,4.88,6.7,6.34,5.38,5.12,10.0,28,4.4,1,14,29,48.3,0,4,25,0,62.7,27,341,68,5.01,61,4.36,4,3:00,0,9,70,7,71,0,4,50.0,38.5,24,5,15,4,12,6,50.0,1,0,0.0,266,0,9,70,7,71,16,141,2,1,1,4,4,0,341,68,5.01,61,4.36,4,3:00,21,6,9,6,13,5,38.5,0,0,,2,2,2,0,0,0,0,0
3,NYG,2014-09-21,226,2,193,1,1,292,119,32:34,Sun,3,3,,HOU,W 30-17,21,28,7,75.0,2,0,7.1,0.0,123.2,1,8,3.45,8.1,7.79,9.5,9.17,10.8,25,4.8,1,21,35,60.0,1,2,7,3,60.7,42,419,71,5.9,62,6.63,1,2:55,3,4,31,5,40,3,1,33.3,16.7,26,14,10,2,12,4,33.3,1,0,0.0,411,3,4,31,5,40,9,71,2,2,2,1,1,0,419,71,5.9,62,6.63,1,2:55,20,4,14,2,12,2,16.7,2,1,50.0,3,3,3,3,3,0,0,0
4,NYG,2014-09-25,295,4,154,2,1,243,86,37:17,Thu,4,4,@,WAS,W 45-14,28,39,11,71.8,4,1,10.3,2.6,117.5,1,5,2.5,7.6,7.38,8.46,8.25,10.5,17,5.1,1,19,33,57.6,1,2,14,4,51.3,38,449,78,5.76,52,6.33,1,3:10,6,7,66,11,88,1,0,68.8,12.5,31,9,19,3,16,11,68.8,0,0,,329,6,7,66,11,88,18,154,2,2,2,0,0,0,449,78,5.76,52,6.33,1,3:10,17,4,11,2,8,1,12.5,0,0,,6,6,6,1,1,0,0,0
5,NYG,2014-10-05,193,2,124,1,2,307,90,31:41,Sun,5,5,,ATL,W 30-20,19,30,11,63.3,2,0,6.7,0.0,104.9,1,7,3.23,6.4,6.23,7.77,7.52,10.2,21,4.3,1,29,45,64.4,1,1,9,1,82.4,34,317,65,4.88,67,5.93,2,3:03,1,3,15,8,81,3,2,60.0,15.4,22,7,11,4,15,9,60.0,0,0,,397,1,3,15,8,81,11,96,2,2,2,2,2,0,317,65,4.88,67,5.93,2,3:03,20,5,13,2,13,2,15.4,2,1,50.0,3,3,3,3,3,0,0,0
6,NYG,2014-10-12,168,0,86,0,1,245,203,27:34,Sun,6,6,@,PHI,L 0-27,17,28,11,60.7,0,0,0.0,0.0,84.1,8,43,22.22,6.0,4.67,6.0,4.67,9.9,36,5.6,1,21,34,61.8,2,1,3,2,78.7,24,254,60,4.23,71,6.31,1,2:52,2,10,75,3,25,0,2,14.3,30.8,12,2,9,1,14,2,14.3,1,0,0.0,448,2,10,75,3,25,13,100,3,3,3,2,2,0,254,60,4.23,71,6.31,1,2:52,24,11,13,0,13,4,30.8,0,0,,0,0,0,0,0,0,0,0
7,NYG,2014-10-19,248,3,104,0,2,267,156,26:11,Sun,7,7,@,DAL,L 21-31,21,33,12,63.6,3,0,9.1,0.0,116.7,0,0,0.0,7.5,7.52,9.33,9.33,11.8,35,4.5,1,17,23,73.9,3,2,12,1,133.5,26,352,59,5.97,60,7.05,2,2:59,1,6,40,6,46,0,1,38.5,64.3,20,5,13,2,13,5,38.5,1,1,100.0,423,1,6,40,6,46,12,86,4,4,4,1,1,0,352,59,5.97,60,7.05,2,2:59,20,8,12,0,14,9,64.3,0,0,,3,3,3,0,0,0,0,0
8,NYG,2014-11-03,349,2,89,1,1,345,98,26:57,Mon,8,9,,IND,L 24-40,27,52,25,51.9,2,0,3.8,0.0,86.9,3,10,5.45,6.7,6.35,7.48,7.07,12.9,24,4.1,0,25,46,54.3,4,1,9,0,107.6,20,438,75,5.84,71,6.24,1,3:23,0,4,30,4,30,1,4,25.0,33.3,22,5,17,0,16,4,25.0,2,1,50.0,443,0,4,30,4,30,8,60,4,4,4,4,4,0,438,75,5.84,71,6.24,1,3:23,22,5,15,2,15,5,33.3,0,0,,3,3,3,1,1,0,0,0
9,NYG,2014-11-09,270,1,54,1,2,160,350,26:48,Sun,9,10,@,SEA,L 17-38,29,44,15,65.9,1,1,2.3,2.3,81.9,2,13,4.35,6.1,5.87,5.57,5.33,9.3,45,7.8,5,10,17,58.8,0,2,12,2,50.7,17,324,63,5.14,64,7.97,2,2:56,3,4,35,6,50,1,1,50.0,58.3,20,2,15,3,12,6,50.0,1,0,0.0,510,3,4,35,6,50,10,85,5,5,5,1,1,0,324,63,5.14,64,7.97,2,2:56,27,19,8,0,12,7,58.3,1,1,100.0,2,2,2,1,1,0,0,0
10,NYG,2014-11-16,265,1,65,0,5,185,148,25:01,Sun,10,11,,SFO,L 10-16,22,45,23,48.9,1,5,2.2,11.1,36.6,2,15,4.26,5.9,5.64,1.33,1.28,12.0,37,4.0,0,15,30,50.0,1,1,8,0,80.6,21,330,68,4.85,68,4.9,5,3:08,1,3,54,4,35,1,3,40.0,42.9,17,2,14,1,15,6,40.0,3,0,0.0,333,1,3,54,4,35,7,89,1,1,1,3,3,0,330,68,4.85,68,4.9,5,3:08,20,9,10,1,14,6,42.9,1,0,0.0,1,1,1,1,1,0,0,0
