Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
1,NYJ,2014-09-07,190,1,212,1,2,133,25,34:50,Sun,1,1,,LVR,W 19-14,23,29,6,79.3,1,1,3.4,3.4,95.5,2,31,6.45,6.6,6.13,5.69,5.32,8.3,15,1.7,0,20,32,62.5,2,2,18,0,92.3,34,402,65,6.18,49,3.22,2,2:58,0,11,105,4,20,2,0,41.7,25.0,20,10,9,1,12,5,41.7,0,0,,158,0,11,105,4,20,15,125,2,2,2,0,0,0,402,65,6.18,49,3.22,2,2:58,11,2,7,2,12,3,25.0,0,0,,2,1,1,2,2,1,0,0
2,NYJ,2014-09-14,166,1,147,2,1,310,80,30:26,Sun,2,2,@,GNB,L 24-31,16,32,16,50.0,1,1,3.1,3.1,64.1,2,10,5.88,5.2,4.88,4.41,4.15,10.4,22,3.6,0,25,42,59.5,3,4,36,0,106.2,37,313,71,4.41,68,5.74,1,3:21,1,7,82,3,34,1,3,47.1,50.0,19,7,11,1,17,8,47.1,3,2,66.7,390,1,7,82,3,34,10,116,3,2,2,3,3,0,313,71,4.41,68,5.74,1,3:21,25,5,17,3,14,7,50.0,0,0,,3,3,3,1,1,0,0,0
3,NYJ,2014-09-22,300,1,114,0,3,197,60,31:52,Mon,3,3,,CHI,L 19-27,26,43,17,60.5,1,2,2.3,4.7,71.5,3,16,6.52,7.0,6.52,5.35,5.0,11.5,21,2.9,0,23,38,60.5,2,4,28,0,91.7,26,414,72,5.75,63,4.08,3,3:14,1,6,78,9,95,4,2,40.0,46.7,21,3,15,3,15,6,40.0,2,1,50.0,257,1,6,78,9,95,15,173,3,3,3,2,2,0,414,72,5.75,63,4.08,3,3:14,17,4,11,2,15,7,46.7,0,0,,1,1,1,4,4,0,0,0
4,NYJ,2014-09-28,204,1,132,1,2,272,88,25:07,Sun,4,4,,DET,L 17-24,17,33,16,51.5,1,1,3.0,3.0,68.9,2,5,5.71,6.2,5.83,5.42,5.11,12.0,27,3.3,1,24,34,70.6,2,4,21,0,113.8,27,336,62,5.42,65,5.54,2,3:01,0,6,32,5,33,1,1,46.7,40.0,17,8,8,1,15,7,46.7,0,0,,360,0,6,32,5,33,11,65,3,3,3,2,1,0,336,62,5.42,65,5.54,2,3:01,17,5,12,0,15,6,40.0,0,0,,2,2,2,1,1,0,0,0
5,NYJ,2014-10-05,60,0,91,0,2,277,162,21:06,Sun,5,5,@,LAC,L 0-31,12,31,19,38.7,0,1,0.0,3.2,33.4,2,14,6.06,1.9,1.82,0.48,0.45,5.0,40,4.1,1,20,28,71.4,3,3,11,1,123.7,21,151,54,2.8,71,6.18,2,3:11,1,12,94,5,76,0,1,8.3,66.7,11,5,4,2,12,1,8.3,1,0,0.0,439,1,12,94,5,76,17,170,4,4,4,1,1,0,151,54,2.8,71,6.18,2,3:11,21,6,13,2,18,12,66.7,0,0,,0,0,0,0,0,0,0,0
6,NYJ,2014-10-12,173,2,31,0,2,221,138,26:26,Sun,6,6,,DEN,L 17-31,23,43,20,53.5,2,1,4.7,2.3,70.9,4,17,8.51,4.0,3.68,3.91,3.57,7.5,33,4.2,0,22,33,66.7,3,2,16,0,115.8,15,204,62,3.29,68,5.28,2,3:16,0,2,9,11,101,1,1,35.7,43.8,15,1,13,1,14,5,35.7,0,0,,359,0,2,9,11,101,13,110,4,4,4,1,1,0,204,62,3.29,68,5.28,2,3:16,21,7,13,1,16,7,43.8,0,0,,2,2,2,1,1,0,0,0
7,NYJ,2014-10-16,205,1,218,1,0,260,63,40:54,Thu,7,7,@,NWE,L 25-27,20,34,14,58.8,1,0,2.9,0.0,88.6,3,21,8.11,6.0,5.54,6.62,6.08,10.3,15,4.2,0,20,37,54.1,3,1,1,0,103.4,43,423,80,5.29,53,6.09,0,3:04,0,7,70,9,64,4,2,56.3,46.2,28,13,11,4,16,9,56.3,0,0,,323,0,7,70,9,64,16,134,3,3,3,2,2,0,423,80,5.29,53,6.09,0,3:04,16,2,12,2,13,6,46.2,0,0,,2,1,1,5,4,1,0,0
8,NYJ,2014-10-26,137,0,175,3,6,213,67,32:17,Sun,8,8,,BUF,L 23-43,20,44,24,45.5,0,4,0.0,9.1,17.0,4,21,8.33,3.1,2.85,-0.98,-0.9,6.9,32,2.1,1,10,17,58.8,4,4,25,0,142.8,33,312,81,3.85,53,5.28,6,3:20,0,10,90,7,49,1,3,47.4,25.0,22,11,9,2,19,9,47.4,1,1,100.0,280,0,10,90,7,49,17,139,5,5,4,3,3,0,312,81,3.85,53,5.28,6,3:20,12,2,7,3,12,3,25.0,0,0,,3,2,2,1,1,1,0,0
9,NYJ,2014-11-02,225,1,139,0,0,196,113,31:35,Sun,9,9,@,KAN,L 10-24,24,36,12,66.7,1,0,2.8,0.0,94.1,3,10,7.69,6.3,5.77,6.81,6.28,9.4,24,4.7,1,21,31,67.7,2,1,3,0,106.4,30,364,69,5.28,56,5.52,0,2:47,0,5,40,3,20,1,1,33.3,61.5,22,9,13,0,12,4,33.3,5,2,40.0,309,0,5,40,3,20,8,60,3,3,3,1,1,0,364,69,5.28,56,5.52,0,2:47,23,6,14,3,13,8,61.5,0,0,,1,1,1,1,1,0,0,0
10,NYJ,2014-11-09,125,2,150,0,0,326,36,30:33,Sun,10,10,,PIT,W 20-13,10,18,8,55.6,2,0,11.1,0.0,116.0,4,7,18.18,6.9,5.68,9.17,7.5,12.5,17,2.1,0,30,43,69.8,1,2,17,2,80.2,36,275,58,4.74,62,5.84,0,2:58,4,9,75,3,20,2,2,40.0,54.5,15,8,7,0,15,6,40.0,0,0,,362,4,9,75,3,20,12,95,1,1,1,3,2,0,275,58,4.74,62,5.84,0,2:58,22,4,15,3,11,6,54.5,1,0,0.0,2,2,2,3,2,0,0,0
