Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
1,PHI,2014-09-07,275,2,145,1,3,242,64,30:46,Sun,1,1,,JAX,W 34-17,27,45,18,60.0,275,2,1,4.4,2.2,87.5,5,47,10.00,6.1,5.50,6.00,5.40,10.2,24,64,2.7,0,24,43,55.8,242,2,3,24,0,87.5,32,145,4.5,1,420,82,5.12,70,4.37,3,30:46,3:23
2,PHI,2014-09-15,331,1,127,2,1,172,169,23:45,Mon,2,2,@,IND,W 30-27,21,37,16,56.8,331,1,1,2.7,2.7,84.4,0,0,0.00,8.9,8.95,8.27,8.27,15.8,38,169,4.4,0,20,34,58.8,172,3,0,0,1,89.3,27,127,4.7,2,458,64,7.16,72,4.74,1,23:45,3:01
3,PHI,2014-09-21,325,3,54,0,1,427,84,25:12,Sun,3,3,,WAS,W 37-34,27,41,14,65.9,325,3,0,7.3,0.0,114.4,0,0,0.00,7.9,7.93,9.39,9.39,12.0,28,84,3.0,1,30,48,62.5,427,3,0,0,1,103.4,25,54,2.2,0,379,66,5.74,76,6.72,1,25:12,3:33
4,PHI,2014-09-28,191,0,22,0,4,189,218,17:43,Sun,4,4,@,SFO,L 21-26,21,43,22,48.8,191,0,2,0.0,4.7,42.3,1,4,2.27,4.4,4.34,2.35,2.30,9.1,42,218,5.2,0,17,30,56.7,189,2,4,29,1,83.9,12,22,1.8,0,213,56,3.80,76,5.36,4,17:43,3:25
5,PHI,2014-10-05,207,2,145,0,3,341,125,27:01,Sun,5,5,,LAR,W 34-28,24,37,13,64.9,207,2,1,5.4,2.7,86.2,0,0,0.00,5.6,5.59,5.46,5.46,8.6,23,125,5.4,1,29,49,59.2,341,3,4,34,0,100.8,33,145,4.4,0,352,70,5.03,76,6.13,3,27:01,3:13
6,PHI,2014-10-12,245,2,203,1,2,168,86,32:26,Sun,6,6,,NYG,W 27-0,21,34,13,61.8,245,2,2,5.9,5.9,79.0,1,3,2.86,7.2,7.00,5.74,5.57,11.7,24,86,3.6,0,17,28,60.7,168,0,8,43,0,77.7,36,203,5.6,1,448,71,6.31,60,4.23,2,32:26,2:52
7,PHI,2014-10-26,411,2,110,0,3,329,71,31:10,Sun,7,8,@,ARI,L 20-24,36,62,26,58.1,411,2,2,3.2,3.2,75.4,0,0,0.00,6.6,6.63,5.82,5.82,11.4,23,71,3.1,1,20,42,47.6,329,2,0,0,0,90.3,25,110,4.4,0,521,87,5.99,65,6.15,3,31:10,3:39
8,PHI,2014-11-02,293,3,190,1,4,182,118,32:13,Sun,8,9,@,HOU,W 31-21,24,34,10,70.6,293,3,3,8.8,8.8,93.5,4,33,10.53,8.6,7.71,6.41,5.74,12.2,28,118,4.2,0,13,27,48.1,182,2,4,21,1,79.6,41,190,4.6,1,483,79,6.11,59,5.08,4,32:13,3:02
9,PHI,2014-11-10,328,2,37,2,0,215,102,21:55,Mon,9,10,,CAR,W 45-21,20,38,18,52.6,328,2,0,5.3,0.0,99.9,1,4,2.56,8.6,8.41,9.68,9.44,16.4,32,102,3.2,1,25,40,62.5,215,2,9,91,3,62.0,23,37,1.6,2,365,62,5.89,81,3.91,0,21:55,3:10
10,PHI,2014-11-16,320,2,109,0,4,365,110,27:18,Sun,10,11,@,GNB,L 20-53,26,44,18,59.1,320,2,2,4.5,4.5,80.3,3,26,6.38,7.3,6.81,6.14,5.74,12.3,25,110,4.4,1,24,38,63.2,365,3,1,2,0,121.1,31,109,3.5,0,429,78,5.50,64,7.42,4,27:18,3:04
11,PHI,2014-11-23,298,1,164,2,2,299,52,33:12,Sun,11,12,,TEN,W 43-24,30,43,13,69.8,298,1,2,2.3,4.7,78.3,2,9,4.44,6.9,6.62,5.30,5.07,9.9,19,52,2.7,1,20,39,51.3,299,2,5,46,1,83.2,38,164,4.3,2,462,83,5.57,63,5.57,2,33:12,3:34
12,PHI,2014-11-27,208,1,256,2,1,174,93,30:25,Thu,12,13,@,DAL,W 33-10,20,29,9,69.0,208,1,0,3.4,0.0,102.2,1,9,3.33,7.2,6.93,7.86,7.60,10.4,25,93,3.7,1,18,29,62.1,174,0,4,25,2,50.1,45,256,5.7,2,464,75,6.19,58,4.60,1,30:25,3:13
13,PHI,2014-12-07,82,2,57,0,2,252,188,18:04,Sun,13,14,,SEA,L 14-24,10,20,10,50.0,82,2,1,10.0,5.0,76.2,3,14,13.04,4.1,3.57,3.85,3.35,8.2,46,188,4.1,1,22,37,59.5,252,2,2,11,0,98.0,22,57,2.6,0,139,45,3.09,85,5.18,2,18:04,3:17
14,PHI,2014-12-14,219,0,75,3,3,249,115,18:05,Sun,14,15,,DAL,L 27-38,17,28,11,60.7,219,0,2,0.0,7.1,60.4,4,33,12.50,7.8,6.84,4.61,4.03,12.9,42,115,2.7,2,22,31,71.0,249,3,3,16,0,126.9,21,75,3.6,3,294,53,5.55,76,4.79,3,18:05,3:04
15,PHI,2014-12-20,361,2,134,1,2,205,100,32:04,Sat,15,16,@,WAS,L 24-27,37,50,13,74.0,361,2,1,4.0,2.0,99.9,3,13,5.66,7.2,6.81,7.12,6.72,9.8,29,100,3.4,3,16,23,69.6,205,0,2,15,1,79.1,31,134,4.3,1,495,84,5.89,54,5.65,2,32:04,3:06
16,PHI,2014-12-28,262,2,164,1,1,429,76,25:23,Sun,16,17,@,NYG,W 34-26,23,36,13,63.9,262,2,1,5.6,2.8,96.1,4,30,10.00,7.3,6.55,7.14,6.43,11.4,25,76,3.0,1,28,53,52.8,429,1,0,0,1,78.3,32,164,5.1,1,426,72,5.92,78,6.47,1,25:23,3:14
17,PHI,2015-09-14,336,1,63,2,2,290,105,24:33,Mon,1,1,@,ATL,L 24-26,36,52,16,69.2,336,1,2,1.9,3.8,77.1,0,0,0.00,6.5,6.46,5.12,5.12,9.3,35,105,3.0,0,23,34,67.6,290,2,1,8,2,89.1,16,63,3.9,2,399,68,5.87,70,5.64,2,24:33,3:03
18,PHI,2015-09-20,219,1,7,0,3,250,109,19:30,Sun,2,2,,DAL,L 10-20,23,37,14,62.2,219,1,2,2.7,5.4,65.6,1,5,2.63,5.9,5.76,4.03,3.92,9.5,33,109,3.3,0,25,34,73.5,250,1,3,18,0,103.8,17,7,0.4,0,226,55,4.11,70,5.13,3,19:30,3:13
19,PHI,2015-09-27,108,1,123,1,1,276,47,28:11,Sun,3,3,@,NYJ,W 24-17,14,28,14,50.0,108,1,0,3.6,0.0,73.2,1,10,3.45,3.9,3.72,4.57,4.41,7.7,16,47,2.9,0,35,58,60.3,276,2,1,7,3,62.1,38,123,3.2,1,231,67,3.45,75,4.31,1,28:11,3:15
20,PHI,2015-10-04,233,3,87,0,2,290,127,18:52,Sun,4,4,@,WAS,L 20-23,15,28,13,53.6,233,3,0,10.7,0.0,122.6,5,37,15.15,8.3,7.06,10.46,8.88,15.5,32,127,4.0,1,31,46,67.4,290,1,1,0,0,91.8,18,87,4.8,0,320,51,6.27,79,5.28,2,18:52,3:08
21,PHI,2015-10-11,333,2,186,2,2,292,96,34:02,Sun,5,5,,NOR,W 39-17,32,45,13,71.1,333,2,2,4.4,4.4,88.5,0,0,0.00,7.4,7.40,6.29,6.29,10.4,21,96,4.6,0,26,43,60.5,292,2,5,43,1,86.6,34,186,5.5,2,519,79,6.57,69,5.62,2,34:02,3:08
22,PHI,2015-10-19,270,1,158,1,4,166,81,30:30,Mon,6,6,,NYG,W 27-7,24,38,14,63.2,270,1,3,2.6,7.9,61.3,1,10,2.56,7.1,6.92,4.08,3.97,11.3,23,81,3.5,0,24,38,63.2,166,1,3,23,2,59.8,37,158,4.3,1,428,76,5.63,64,3.86,4,30:30,3:05
23,PHI,2015-10-25,172,0,177,1,1,190,204,31:06,Sun,7,7,@,CAR,L 16-27,26,46,20,56.5,172,0,1,0.0,2.2,58.7,5,33,9.80,3.7,3.37,2.76,2.49,6.6,33,204,6.2,2,14,24,58.3,190,1,1,7,3,58.0,30,177,5.9,1,349,81,4.31,58,6.79,1,31:06,3:18
24,PHI,2015-11-08,287,1,172,2,0,277,134,25:42,Sun,8,9,@,DAL,W 33-27 (OT),25,36,11,69.4,287,1,0,2.8,0.0,103.4,1,8,2.70,8.0,7.76,8.53,8.30,11.5,29,134,4.6,0,25,38,65.8,277,3,4,22,1,102.6,35,172,4.9,2,459,72,6.38,71,5.79,0,25:42,3:26
25,PHI,2015-11-15,353,1,83,1,1,190,99,31:07,Sun,9,10,,MIA,L 19-20,33,48,15,68.8,353,1,1,2.1,2.1,91.7,4,39,7.69,7.4,6.79,6.83,6.31,10.7,26,99,3.8,0,21,36,58.3,190,2,4,27,0,91.2,35,83,2.4,1,436,87,5.01,66,4.38,1,31:07,3:12
26,PHI,2015-11-22,247,2,136,0,4,238,283,24:06,Sun,10,11,,TAM,L 17-45,26,41,15,63.4,247,2,3,4.9,7.3,67.2,3,14,6.82,6.0,5.61,3.71,3.45,9.5,42,283,6.7,0,19,29,65.5,238,5,1,8,0,130.5,28,136,4.9,0,383,72,5.32,72,7.24,4,24:06,3:13
27,PHI,2015-11-26,159,2,68,0,1,322,108,22:49,Thu,11,12,@,DET,L 14-45,19,27,8,70.4,159,2,0,7.4,0.0,116.1,6,40,18.18,5.9,4.82,7.37,6.03,8.4,30,108,3.6,1,27,38,71.1,322,5,2,15,0,136.2,25,68,2.7,0,227,58,3.91,70,6.14,1,22:49,3:03
28,PHI,2015-12-06,120,2,128,0,1,324,103,25:44,Sun,12,13,@,NWE,W 35-28,14,24,10,58.3,120,2,0,8.3,0.0,99.3,1,0,4.00,5.0,4.80,6.67,6.40,8.6,25,103,4.1,1,30,57,52.6,324,3,4,24,2,72.6,33,128,3.9,0,248,58,4.28,86,4.97,1,25:44,3:10
29,PHI,2015-12-13,232,1,116,1,1,260,152,24:58,Sun,13,14,,BUF,W 23-20,23,38,15,60.5,232,1,1,2.6,2.6,77.4,1,15,2.56,6.1,5.95,5.45,5.31,10.1,32,152,4.8,1,19,36,52.8,260,1,1,8,1,73.8,34,116,3.4,1,348,73,4.77,69,5.97,1,24:58,3:21
30,PHI,2015-12-20,350,2,74,0,4,263,230,22:32,Sun,14,15,,ARI,L 17-40,28,41,13,68.3,350,2,2,4.9,4.9,91.6,2,11,4.65,8.5,8.14,7.32,6.98,12.5,39,230,5.9,3,20,33,60.6,263,1,2,11,0,95.9,20,74,3.7,0,424,63,6.73,74,6.66,4,22:32,3:00
31,PHI,2015-12-26,353,1,45,2,2,351,67,25:56,Sat,15,16,,WAS,L 24-38,37,56,19,66.1,353,1,0,1.8,0.0,91.4,5,27,8.20,6.3,5.79,6.66,6.11,9.5,26,67,2.6,0,31,46,67.4,351,4,2,14,0,119.0,16,45,2.8,2,398,77,5.17,74,5.65,2,25:56,3:21
32,PHI,2016-01-03,315,2,120,2,2,294,208,28:06,Sun,16,17,@,NYG,W 35-30,30,38,8,78.9,315,2,1,5.3,2.6,108.3,1,5,2.56,8.3,8.08,8.16,7.95,10.5,36,208,5.8,1,24,43,55.8,294,2,2,8,0,92.6,26,120,4.6,2,435,65,6.69,81,6.20,2,28:06,2:57
