Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
1,PIT,2014-09-07,376,1,127,2,1,198,191,32:27,Sun,1,1,,CLE,W 30-27,24,35,11,68.6,1,1,2.9,2.9,103.3,3,14,7.89,10.7,9.89,10.03,9.24,15.7,31,6.2,2,18,30,60.0,1,3,24,0,90.7,29,503,67,7.51,64,6.08,1,3:07,0,11,96,8,55,3,2,33.3,18.2,24,6,16,2,12,4,33.3,1,1,100.0,389,0,11,96,8,55,19,151,3,3,3,2,2,0,503,67,7.51,64,6.08,1,3:07,23,9,11,3,11,2,18.2,0,0,,3,3,3,3,3,0,0,0
2,PIT,2014-09-11,202,0,99,0,3,166,157,24:52,Thu,2,2,@,BAL,L 6-26,22,37,15,59.5,0,1,0.0,2.7,64.8,2,15,5.13,5.5,5.18,4.24,4.03,9.2,36,4.4,0,21,29,72.4,2,0,0,0,109.3,18,301,57,5.28,65,4.97,3,2:56,0,9,75,4,35,2,4,50.0,41.7,17,5,11,1,12,6,50.0,0,0,,323,0,9,75,4,35,13,110,2,2,2,4,4,0,301,57,5.28,65,4.97,3,2:56,25,9,11,5,12,5,41.7,1,1,100.0,0,0,0,2,2,0,0,0
3,PIT,2014-09-21,190,2,264,1,0,307,42,34:39,Sun,3,3,@,CAR,W 37-19,22,30,8,73.3,2,0,6.7,0.0,112.6,1,6,3.23,6.3,6.13,7.67,7.42,8.6,10,4.2,0,29,41,70.7,2,3,23,0,108.5,34,454,65,6.98,54,6.46,0,3:13,2,11,91,7,105,3,2,27.3,33.3,24,12,9,3,11,3,27.3,1,1,100.0,349,2,11,91,7,105,18,196,2,1,1,2,2,0,454,65,6.98,54,6.46,0,3:13,20,3,14,3,12,4,33.3,1,1,100.0,4,4,4,3,3,0,0,0
4,PIT,2014-09-28,305,3,85,0,1,287,63,34:15,Sun,4,4,,TAM,L 24-27,30,41,11,73.2,3,0,7.3,0.0,121.1,5,26,10.87,7.4,6.63,8.9,7.93,10.2,19,3.3,1,21,43,48.8,2,1,15,1,76.4,27,390,73,5.34,63,5.56,1,3:23,1,13,125,9,50,1,2,42.9,53.8,27,6,18,3,14,6,42.9,1,1,100.0,350,1,13,125,9,50,22,175,3,3,3,2,2,0,390,73,5.34,63,5.56,1,3:23,21,7,11,3,13,7,53.8,1,0,0.0,3,3,3,2,1,0,0,0
5,PIT,2014-10-05,261,1,111,0,1,187,56,35:17,Sun,5,5,@,JAX,W 17-9,26,36,10,72.2,1,0,2.8,0.0,103.1,4,12,10.0,7.3,6.53,7.81,7.03,10.0,15,3.7,0,22,36,61.1,0,1,4,2,51.5,28,372,68,5.47,52,4.67,1,2:54,2,7,50,4,34,1,3,50.0,25.0,20,5,15,0,16,8,50.0,0,0,,243,2,7,50,4,34,11,84,0,0,0,3,3,0,372,68,5.47,52,4.67,1,2:54,12,4,8,0,12,3,25.0,1,1,100.0,2,2,2,1,1,0,0,0
6,PIT,2014-10-12,221,1,138,0,1,210,158,33:05,Sun,6,6,@,CLE,L 10-31,21,42,21,50.0,1,1,2.4,2.4,64.4,2,7,4.55,5.3,5.02,4.67,4.45,10.5,38,4.2,3,8,17,47.1,1,1,7,0,112.4,32,359,76,4.72,56,6.57,1,3:07,1,6,42,6,60,1,1,37.5,36.4,22,5,12,5,16,6,37.5,2,0,0.0,368,1,6,42,6,60,12,102,4,4,4,1,1,0,359,76,4.72,56,6.57,1,3:07,19,10,7,2,11,4,36.4,0,0,,1,1,1,1,1,0,0,0
7,PIT,2014-10-20,252,3,76,0,1,261,132,32:06,Mon,7,7,,HOU,W 30-23,24,34,10,70.6,3,0,8.8,0.0,123.2,3,16,8.11,7.4,6.81,9.18,8.43,10.5,30,4.4,0,21,32,65.6,2,1,1,1,98.6,25,328,62,5.29,63,6.24,1,3:07,3,6,38,4,20,3,3,35.7,33.3,18,2,14,2,14,5,35.7,0,0,,393,3,6,38,4,20,10,58,2,2,2,3,3,0,328,62,5.29,63,6.24,1,3:07,20,6,12,2,12,4,33.3,2,2,100.0,3,3,3,3,3,0,0,0
8,PIT,2014-10-26,522,6,117,0,2,385,63,39:43,Sun,8,8,,IND,W 51-34,40,49,9,81.6,6,0,12.2,0.0,150.6,0,0,0.0,10.7,10.65,13.1,13.1,13.1,10,6.3,1,26,45,57.8,3,2,15,2,89.6,32,639,81,7.89,57,7.86,2,3:31,2,10,59,5,43,0,2,61.5,50.0,34,7,25,2,13,8,61.5,1,1,100.0,448,2,10,59,5,43,15,102,4,4,4,2,2,0,639,81,7.89,57,7.86,2,3:31,26,2,17,7,10,5,50.0,0,0,,7,7,7,0,0,0,0,0
9,PIT,2014-11-02,321,6,55,0,1,269,63,31:26,Sun,9,9,,BAL,W 43-23,25,37,12,67.6,6,0,16.2,0.0,136.3,3,19,7.5,8.7,8.03,11.92,11.03,12.8,18,3.5,0,30,45,66.7,2,4,34,1,88.1,25,376,65,5.78,67,4.96,1,3:39,2,7,67,10,108,0,1,42.9,23.1,22,4,13,5,14,6,42.9,1,1,100.0,332,2,7,67,10,108,17,175,3,2,2,1,1,0,376,65,5.78,67,4.96,1,3:39,22,2,18,2,13,3,23.1,2,2,100.0,6,5,5,0,0,1,1,0
10,PIT,2014-11-09,326,1,36,0,4,125,150,29:27,Sun,10,10,@,NYJ,L 13-20,30,43,13,69.8,1,2,2.3,4.7,81.8,2,17,4.44,7.6,7.24,5.95,5.69,10.9,36,4.2,0,10,18,55.6,2,4,7,0,114.4,17,362,62,5.84,58,4.74,4,2:58,0,3,20,9,75,2,2,54.5,40.0,22,4,15,3,11,6,54.5,1,0,0.0,275,0,3,20,9,75,12,95,2,2,2,3,2,0,362,62,5.84,58,4.74,4,2:58,15,8,7,0,15,6,40.0,0,0,,1,1,1,3,2,0,0,0
