Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
1,SFO,2014-09-07,192,2,127,1,0,255,127,28:36,Sun,1,1,@,DAL,W 28-17,16,23,7,69.6,2,0,8.7,0.0,125.5,1,9,4.17,8.3,8.0,10.09,9.67,12.0,23,5.5,1,23,37,62.2,1,3,26,3,57.8,30,319,54,5.91,63,6.06,0,3:04,4,11,78,10,72,0,1,58.3,55.6,19,6,11,2,12,7,58.3,0,0,,382,4,11,78,10,72,21,150,2,2,2,1,1,0,319,54,5.91,63,6.06,0,3:04,26,8,14,4,9,5,55.6,1,1,100.0,4,4,4,1,0,0,0,0
2,SFO,2014-09-14,232,1,127,1,4,170,46,33:51,Sun,2,2,,CHI,L 20-28,21,34,13,61.8,1,3,2.9,8.8,57.0,4,16,10.53,6.8,6.11,3.44,3.08,11.0,17,2.7,0,23,34,67.6,4,1,6,0,118.5,27,359,65,5.52,52,4.15,4,3:15,0,16,118,10,58,2,0,53.8,33.3,19,5,13,1,13,7,53.8,2,1,50.0,216,0,16,118,10,58,26,176,4,4,4,0,0,0,359,65,5.52,52,4.15,4,3:15,19,3,10,6,9,3,33.3,0,0,,2,2,2,2,2,0,0,0
3,SFO,2014-09-21,236,1,82,1,0,254,84,32:20,Sun,3,3,@,ARI,L 14-23,29,37,8,78.4,1,0,2.7,0.0,103.3,1,9,2.63,6.4,6.21,6.92,6.74,8.1,27,3.1,0,19,34,55.9,2,0,0,0,99.4,23,318,61,5.21,61,5.54,0,3:02,1,9,107,5,36,0,3,50.0,61.5,20,4,15,1,12,6,50.0,1,1,100.0,338,1,9,107,5,36,14,143,2,2,2,3,3,0,318,61,5.21,61,5.54,0,3:02,24,5,12,7,13,8,61.5,1,1,100.0,2,2,2,1,0,0,0,0
4,SFO,2014-09-28,189,2,218,0,1,191,22,42:17,Sun,4,4,,PHI,W 26-21,17,30,13,56.7,2,1,6.7,3.3,87.9,4,29,11.76,6.3,5.56,6.13,5.41,11.1,12,1.8,0,21,43,48.8,0,1,4,2,41.9,42,407,76,5.36,56,3.8,1,3:25,4,10,80,10,70,4,0,42.1,38.5,20,8,8,4,19,8,42.1,0,0,,213,4,10,80,10,70,20,150,3,3,3,0,0,0,407,76,5.36,56,3.8,1,3:25,11,1,10,0,13,5,38.5,2,0,0.0,2,2,2,4,4,0,0,0
5,SFO,2014-10-05,186,1,171,0,0,158,107,36:04,Sun,5,5,,KAN,W 22-17,14,27,13,51.9,1,0,3.7,0.0,88.7,3,15,10.0,6.9,6.2,7.63,6.87,13.3,20,5.4,1,16,30,53.3,1,0,0,1,65.7,40,357,70,5.1,50,5.3,0,2:55,1,2,10,4,29,5,1,37.5,54.5,22,10,10,2,16,6,37.5,1,1,100.0,265,1,2,10,4,29,6,39,2,2,2,1,1,0,357,70,5.1,50,5.3,0,2:55,14,3,11,0,11,6,54.5,0,0,,1,1,1,5,5,0,0,0
6,SFO,2014-10-13,343,3,89,0,1,216,93,28:38,Mon,6,6,@,LAR,W 31-17,22,35,13,62.9,3,0,8.6,0.0,123.9,0,0,0.0,9.8,9.8,11.51,11.51,15.6,24,3.9,1,21,42,50.0,1,5,20,1,63.2,30,432,65,6.65,71,4.35,1,3:14,1,5,23,8,38,1,1,42.9,35.7,17,5,10,2,14,6,42.9,2,0,0.0,309,1,5,23,8,38,13,61,2,2,2,1,1,0,432,65,6.65,71,4.35,1,3:14,19,5,12,2,14,5,35.7,0,0,,4,4,4,1,1,0,0,0
7,SFO,2014-10-19,248,2,62,0,1,304,115,32:01,Sun,7,7,@,DEN,L 17-42,27,46,19,58.7,2,1,4.3,2.2,83.7,6,53,11.54,5.4,4.77,5.28,4.67,9.2,27,4.3,2,22,27,81.5,4,2,14,0,153.2,18,310,70,4.43,56,7.48,1,3:08,0,6,62,8,75,1,0,23.1,55.6,22,3,16,3,13,3,23.1,2,1,50.0,419,0,6,62,8,75,14,137,6,6,6,0,0,0,310,70,4.43,56,7.48,1,3:08,23,6,14,3,9,5,55.6,0,0,,2,2,2,2,1,0,0,0
8,SFO,2014-11-02,183,1,80,0,2,102,91,32:26,Sun,8,9,,LAR,L 10-13,22,33,11,66.7,1,0,3.0,0.0,97.7,8,54,19.51,5.5,4.46,6.15,4.95,8.3,27,3.4,0,13,24,54.2,1,1,3,2,44.1,21,263,62,4.24,52,3.71,2,3:07,2,9,44,9,83,1,2,25.0,33.3,20,4,12,4,12,3,25.0,0,0,,193,2,9,44,9,83,18,127,1,1,1,2,2,0,263,62,4.24,52,3.71,2,3:07,13,3,8,2,12,4,33.3,0,0,,1,1,1,2,1,0,0,0
9,SFO,2014-11-09,186,1,144,2,1,287,136,33:46,Sun,9,10,@,NOR,W 27-24 (OT),14,32,18,43.8,1,0,3.1,0.0,76.3,4,24,11.11,5.8,5.17,6.44,5.72,13.3,31,4.4,0,28,47,59.6,3,2,5,2,80.7,32,330,68,4.85,80,5.29,1,3:38,3,2,15,6,43,2,1,40.0,44.4,21,10,10,1,15,6,40.0,1,1,100.0,423,3,2,15,6,43,8,58,3,3,3,1,1,0,330,68,4.85,80,5.29,1,3:38,23,7,15,1,18,8,44.4,2,2,100.0,3,3,3,2,2,0,0,0
10,SFO,2014-11-16,185,1,148,0,1,265,65,34:59,Sun,10,11,@,NYG,W 16-10,15,30,15,50.0,1,0,3.3,0.0,81.7,1,8,3.23,6.2,5.97,6.83,6.61,12.3,21,3.1,0,22,45,48.9,1,2,15,5,35.2,37,333,68,4.9,68,4.85,1,3:08,5,4,35,3,54,3,1,42.9,40.0,20,9,10,1,14,6,42.9,1,0,0.0,330,5,4,35,3,54,7,89,1,1,1,1,1,0,333,68,4.9,68,4.85,1,3:08,17,2,14,1,15,6,40.0,3,0,0.0,1,1,1,3,3,0,0,0
11,SFO,2014-11-23,246,1,66,1,3,77,136,30:05,Sun,11,12,,WAS,W 17-13,20,29,9,69.0,1,1,3.4,3.4,93.5,2,10,6.45,8.5,7.94,7.62,7.13,12.3,27,5.0,1,11,20,55.0,0,5,29,0,64.0,29,312,60,5.2,52,4.1,3,2:56,1,5,47,7,53,1,2,38.5,15.4,16,5,10,1,13,5,38.5,2,2,100.0,213,1,5,47,7,53,12,100,1,1,1,2,2,0,312,60,5.2,52,4.1,3,2:56,12,7,4,1,13,2,15.4,0,0,,2,2,2,1,1,0,0,0
12,SFO,2014-11-27,100,0,64,0,3,222,157,24:41,Thu,12,13,,SEA,L 3-19,16,29,13,55.2,0,2,0.0,6.9,36.7,4,21,12.12,3.4,3.03,0.34,0.3,6.3,34,4.6,0,15,22,68.2,1,4,14,0,116.1,18,164,51,3.22,60,6.32,3,3:01,0,3,20,14,105,1,4,36.4,35.7,16,3,8,5,11,4,36.4,0,0,,379,0,3,20,14,105,17,125,1,1,1,4,4,0,164,51,3.22,60,6.32,3,3:01,16,5,10,1,14,5,35.7,1,0,0.0,0,0,0,1,1,0,0,0
13,SFO,2014-12-07,151,1,97,0,2,245,85,27:05,Sun,13,14,@,LVR,L 13-24,18,33,15,54.5,1,2,3.0,6.1,54.4,5,23,13.16,4.6,3.97,2.45,2.13,8.4,31,2.7,0,22,28,78.6,3,1,9,0,138.8,18,248,56,4.43,60,5.5,2,3:04,0,7,50,10,84,2,1,27.3,46.2,18,5,10,3,11,3,27.3,1,1,100.0,330,0,7,50,10,84,17,134,3,3,3,1,1,0,248,56,4.43,60,5.5,2,3:04,19,5,13,1,13,6,46.2,1,0,0.0,1,1,1,3,2,0,0,0
14,SFO,2014-12-14,105,0,140,1,0,138,152,31:02,Sun,14,15,@,SEA,L 7-17,11,19,8,57.9,0,0,0.0,0.0,81.2,6,36,24.0,5.5,4.2,5.53,4.2,9.5,32,4.8,1,12,24,50.0,1,5,30,1,64.2,32,245,57,4.3,61,4.75,0,2:57,1,8,78,7,50,0,1,40.0,57.1,14,7,7,0,15,6,40.0,4,2,50.0,290,1,8,78,7,50,15,128,2,2,2,1,1,0,245,57,4.3,61,4.75,0,2:57,18,10,5,3,14,8,57.1,0,0,,1,1,1,0,0,0,0,0
15,SFO,2014-12-20,92,1,355,3,3,348,98,30:35,Sat,15,16,,LAC,L 35-38 (OT),15,24,9,62.5,1,0,4.2,0.0,87.8,2,22,7.69,3.8,3.54,4.67,4.31,6.1,24,4.1,0,33,54,61.1,4,2,8,3,81.4,40,447,66,6.77,80,5.58,3,3:51,3,9,92,8,38,0,1,45.5,50.0,21,12,6,3,11,5,45.5,1,0,0.0,446,3,9,92,8,38,17,130,5,5,5,1,1,0,447,66,6.77,80,5.58,3,3:51,28,6,19,3,16,8,50.0,3,3,100.0,5,5,5,1,0,0,0,0
16,SFO,2014-12-28,189,2,206,0,0,299,98,29:24,Sun,16,17,,ARI,W 20-17,15,26,11,57.7,2,0,7.7,0.0,108.5,1,15,3.7,7.3,7.0,8.81,8.48,12.6,25,3.9,0,23,40,57.5,2,2,17,3,66.6,33,395,60,6.58,67,5.93,0,3:03,3,10,78,3,21,2,1,41.7,40.0,18,8,9,1,12,5,41.7,0,0,,397,3,10,78,3,21,13,99,2,2,2,1,1,0,395,60,6.58,67,5.93,0,3:03,26,7,17,2,10,4,40.0,0,0,,2,2,2,2,2,0,0,0
17,SFO,2015-09-14,165,0,230,2,1,177,71,33:02,Mon,1,1,,MIN,W 20-3,17,26,9,65.4,0,0,0.0,0.0,83.0,1,0,3.7,6.3,6.11,6.35,6.11,9.7,17,4.2,0,23,32,71.9,0,5,54,1,72.0,39,395,66,5.98,54,4.59,1,2:49,1,8,57,5,25,2,1,41.7,11.1,25,14,8,3,12,5,41.7,0,0,,248,1,8,57,5,25,13,82,0,0,0,2,1,0,395,66,5.98,54,4.59,1,2:49,17,5,11,1,9,1,11.1,2,0,0.0,2,2,2,3,2,0,0,0
18,SFO,2015-09-20,298,2,111,0,1,369,84,36:59,Sun,2,2,@,PIT,L 18-43,33,46,13,71.7,2,0,4.3,0.0,106.7,5,37,9.8,6.5,5.84,7.35,6.63,9.0,25,3.4,3,21,27,77.8,3,0,0,0,155.8,31,409,82,4.99,52,8.71,1,3:04,0,7,46,7,58,1,0,41.2,60.0,27,7,18,2,17,7,41.2,5,3,60.0,453,0,7,46,7,58,14,104,6,4,3,0,0,0,409,82,4.99,52,8.71,1,3:04,21,6,14,1,10,6,60.0,0,0,,2,1,1,1,1,1,1,0
19,SFO,2015-09-27,53,0,103,1,4,307,139,23:28,Sun,3,3,@,ARI,L 7-47,9,19,10,47.4,0,4,0.0,21.1,16.7,2,14,9.52,2.8,2.52,-6.68,-6.05,5.9,37,3.8,2,20,32,62.5,2,1,4,1,102.0,29,156,50,3.12,70,6.37,4,2:53,1,6,45,4,24,0,1,33.3,46.2,10,7,3,0,12,4,33.3,0,0,,446,1,6,45,4,24,10,69,6,6,6,1,1,1,156,50,3.12,70,6.37,4,2:53,28,9,15,4,13,6,46.2,1,1,100.0,1,1,1,0,0,0,0,0
20,SFO,2015-10-04,119,0,77,0,1,200,162,23:26,Sun,4,4,,GNB,L 3-17,13,25,12,52.0,0,1,0.0,4.0,55.4,6,41,19.35,4.8,3.84,2.96,2.39,9.2,33,4.9,1,22,32,68.8,1,3,24,0,95.8,19,196,50,3.92,68,5.32,1,2:50,0,4,30,8,65,1,1,30.8,33.3,8,1,7,0,13,4,30.8,1,0,0.0,362,0,4,30,8,65,12,95,2,2,2,2,1,0,196,50,3.92,68,5.32,1,2:50,18,9,8,1,15,5,33.3,2,2,100.0,0,0,0,1,1,0,0,0
21,SFO,2015-10-11,256,2,124,1,0,441,84,28:02,Sun,5,5,@,NYG,L 27-30,23,35,12,65.7,2,0,5.7,0.0,107.1,2,6,5.41,7.3,6.92,8.46,8.0,11.1,21,4.0,0,41,54,75.9,3,0,0,1,110.2,27,380,64,5.94,75,7.0,0,3:05,1,4,28,6,65,2,3,57.1,64.3,22,8,11,3,14,8,57.1,0,0,,525,1,4,28,6,65,10,93,3,3,3,3,3,0,380,64,5.94,75,7.0,0,3:05,30,6,23,1,14,9,64.3,0,0,,3,3,3,2,2,0,0,0
22,SFO,2015-10-18,326,2,65,0,0,343,77,26:53,Sun,6,6,,BAL,W 25-20,16,27,11,59.3,2,0,7.4,0.0,128.2,3,14,10.0,12.1,10.87,13.56,12.2,20.4,22,3.5,0,33,53,62.3,2,0,0,2,77.8,25,391,55,7.11,75,5.6,0,3:01,2,4,25,3,15,4,2,38.5,30.8,15,2,11,2,13,5,38.5,0,0,,420,2,4,25,3,15,7,40,2,2,2,3,2,0,391,55,7.11,75,5.6,0,3:01,25,9,16,0,13,4,30.8,1,1,100.0,2,1,1,4,4,1,0,0
23,SFO,2015-10-22,81,0,61,0,0,212,176,21:55,Thu,7,7,,SEA,L 3-20,13,24,11,54.2,0,0,0.0,0.0,68.7,6,43,20.0,3.4,2.7,3.38,2.7,6.2,41,4.3,1,18,24,75.0,1,5,23,2,80.6,15,142,45,3.16,70,5.54,0,2:53,2,4,33,6,50,1,2,9.1,38.5,8,3,5,0,11,1,9.1,0,0,,388,2,4,33,6,50,10,83,2,2,2,2,2,0,142,45,3.16,70,5.54,0,2:53,21,11,9,1,13,5,38.5,1,1,100.0,0,0,0,1,1,0,0,0
24,SFO,2015-11-01,151,0,38,0,0,191,197,28:02,Sun,8,8,@,LAR,L 6-27,20,41,21,48.8,0,0,0.0,0.0,59.2,3,11,6.82,3.7,3.43,3.68,3.43,7.6,41,4.8,2,14,23,60.9,1,0,0,0,101.9,21,189,65,2.91,64,6.06,0,3:24,1,13,93,12,93,2,1,17.6,8.3,11,1,8,2,17,3,17.6,1,0,0.0,388,1,13,93,12,93,25,186,3,2,2,2,1,1,189,65,2.91,64,6.06,0,3:24,16,7,5,4,12,1,8.3,0,0,,0,0,0,2,2,0,0,0
25,SFO,2015-11-08,185,2,133,0,2,285,17,27:52,Sun,9,9,,ATL,W 17-16,15,26,11,57.7,2,2,7.7,7.7,73.4,0,0,0.0,7.1,7.12,5.19,5.19,12.3,14,1.2,0,30,45,66.7,1,2,18,0,91.4,38,318,64,4.97,61,4.95,2,3:05,0,5,30,6,63,1,3,40.0,33.3,18,8,8,2,15,6,40.0,2,2,100.0,302,0,5,30,6,63,11,93,1,1,1,3,3,0,318,64,4.97,61,4.95,2,3:05,17,2,15,0,15,5,33.3,0,0,,2,2,2,1,1,0,0,0
26,SFO,2015-11-22,247,1,59,0,0,253,255,22:21,Sun,10,11,@,SEA,L 13-29,22,34,12,64.7,1,0,2.9,0.0,98.2,2,17,5.56,7.3,6.86,7.85,7.42,11.2,44,5.8,1,24,29,82.8,3,2,7,0,137.5,16,306,52,5.88,75,6.77,0,3:06,0,5,42,8,51,2,1,18.2,57.1,14,3,11,0,11,2,18.2,0,0,,508,0,5,42,8,51,13,93,4,4,2,1,1,0,306,52,5.88,75,6.77,0,3:06,28,14,14,0,14,8,57.1,0,0,,1,1,1,2,2,0,0,0
27,SFO,2015-11-29,301,1,67,0,2,267,70,22:33,Sun,11,12,,ARI,L 13-19,25,36,11,69.4,1,1,2.8,2.8,94.4,2,17,5.26,8.4,7.92,7.67,7.26,12.0,29,2.4,2,24,40,60.0,0,1,4,0,79.9,17,368,55,6.69,70,4.81,2,3:03,0,13,81,7,47,2,2,0.0,50.0,17,3,14,0,9,0,0.0,2,1,50.0,337,0,13,81,7,47,20,128,2,2,1,2,2,0,368,55,6.69,70,4.81,2,3:03,26,5,14,7,14,7,50.0,1,0,0.0,1,1,1,2,2,0,0,0
28,SFO,2015-12-06,170,1,121,2,0,194,170,24:46,Sun,12,13,@,CHI,W 26-20 (OT),18,32,14,56.3,1,0,3.1,0.0,84.9,4,26,11.11,5.3,4.72,5.94,5.28,9.4,42,4.0,2,18,31,58.1,0,1,8,1,63.1,23,291,59,4.93,74,4.92,0,3:19,1,6,50,8,72,0,2,43.8,47.1,13,7,6,0,16,7,43.8,0,0,,364,1,6,50,8,72,14,122,2,2,2,4,2,0,291,59,4.93,74,4.92,0,3:19,20,12,8,0,17,8,47.1,0,0,,4,3,2,0,0,0,0,0
29,SFO,2015-12-13,150,1,71,0,0,251,230,22:21,Sun,13,14,@,CLE,L 10-24,18,28,10,64.3,1,0,3.6,0.0,96.4,9,44,24.32,5.4,4.05,6.07,4.59,8.3,41,5.6,2,21,31,67.7,1,2,19,1,89.6,17,221,54,4.09,74,6.5,0,2:59,2,5,40,8,71,1,1,15.4,50.0,15,4,8,3,13,2,15.4,3,1,33.3,481,2,5,40,8,71,13,111,3,3,3,2,1,0,221,54,4.09,74,6.5,0,2:59,28,11,14,3,12,6,50.0,0,0,,1,1,1,1,1,0,0,0
30,SFO,2015-12-20,263,1,55,1,4,174,68,29:01,Sun,14,15,,CIN,L 14-24,30,50,20,60.0,1,3,2.0,6.0,58.3,4,32,7.41,5.3,4.87,2.96,2.74,8.8,36,1.9,2,15,21,71.4,1,4,18,0,112.0,17,318,71,4.48,61,3.97,4,3:17,1,11,98,6,45,0,1,14.3,28.6,17,4,12,1,14,2,14.3,2,2,100.0,242,1,11,98,6,45,17,143,3,3,3,1,1,0,318,71,4.48,61,3.97,4,3:17,14,5,7,2,14,4,28.6,1,0,0.0,2,2,2,1,0,0,0,0
31,SFO,2015-12-27,201,2,121,0,1,284,87,23:30,Sun,15,16,@,DET,L 17-32,22,33,11,66.7,2,0,6.1,0.0,106.2,3,24,8.33,6.1,5.58,7.3,6.69,9.1,28,3.1,1,29,37,78.4,2,2,17,0,116.7,23,322,59,5.46,67,5.54,1,3:15,0,11,65,7,71,1,4,11.1,33.3,20,6,11,3,9,1,11.1,2,0,0.0,371,0,11,65,7,71,18,136,3,2,2,4,4,0,322,59,5.46,67,5.54,1,3:15,26,8,15,3,12,4,33.3,1,1,100.0,2,2,2,2,1,0,0,0
32,SFO,2016-01-03,350,1,108,0,1,231,133,33:03,Sun,16,17,,LAR,W 19-16 (OT),28,44,16,63.6,1,1,2.3,2.3,86.7,1,4,2.22,8.0,7.78,7.39,7.22,12.5,33,4.0,1,22,38,57.9,0,0,0,0,75.7,33,458,78,5.87,71,5.13,1,3:25,0,7,60,11,105,4,3,44.4,23.1,21,5,13,3,18,8,44.4,1,0,0.0,364,0,7,60,11,105,18,165,1,1,1,5,3,0,458,78,5.87,71,5.13,1,3:25,21,9,11,1,13,3,23.1,1,0,0.0,1,1,1,4,4,0,0,0
33,SFO,2016-09-12,170,1,150,3,1,120,65,32:10,Mon,1,1,,LAR,W 28-0,22,35,13,62.9,1,0,2.9,0.0,84.2,0,0,0.0,4.9,4.86,5.43,5.43,7.7,23,2.8,0,17,35,48.6,0,2,10,2,33.0,42,320,77,4.16,60,3.08,1,3:05,2,2,10,10,102,0,0,47.1,20.0,28,11,10,7,17,8,47.1,2,1,50.0,185,2,2,10,10,102,12,112,0,0,0,0,0,0,320,77,4.16,60,3.08,1,3:05,10,4,6,0,15,3,20.0,2,1,50.0,4,4,4,0,0,0,0,0
34,SFO,2016-09-18,237,2,65,1,3,353,176,24:06,Sun,2,2,@,CAR,L 27-46,17,36,19,47.2,2,2,5.6,5.6,64.9,2,6,5.26,6.6,6.24,5.19,4.92,13.9,37,4.8,0,24,40,60.0,4,1,0,1,111.8,26,302,64,4.72,78,6.78,3,3:43,4,6,50,8,50,2,4,28.6,46.7,16,3,13,0,14,4,28.6,1,0,0.0,529,4,6,50,8,50,14,100,5,5,4,4,4,0,302,64,4.72,78,6.78,3,3:43,26,8,15,3,15,7,46.7,0,0,,3,3,3,2,2,0,0,0
35,SFO,2016-09-25,119,0,135,2,1,291,127,24:03,Sun,3,3,@,SEA,L 18-37,14,25,11,56.0,0,1,0.0,4.0,51.9,0,0,0.0,4.8,4.76,2.96,2.96,8.5,31,4.1,2,22,32,68.8,2,2,17,1,105.1,31,254,56,4.54,65,6.43,1,2:59,2,4,35,6,50,1,3,26.7,64.3,12,6,6,0,15,4,26.7,1,1,100.0,418,2,4,35,6,50,10,85,4,4,4,3,3,0,254,56,4.54,65,6.43,1,2:59,18,7,10,1,14,9,64.3,0,0,,2,1,1,2,1,1,1,0
36,SFO,2016-10-02,189,1,106,1,1,234,194,23:33,Sun,4,4,,DAL,L 17-24,16,23,7,69.6,1,1,4.3,4.3,91.9,1,7,4.17,8.2,7.88,7.13,6.83,11.8,39,5.0,1,23,32,71.9,2,2,11,0,113.3,29,295,53,5.57,73,5.86,1,2:59,0,5,32,6,45,1,1,57.1,42.9,14,6,8,0,14,8,57.1,1,0,0.0,428,0,5,32,6,45,11,77,3,3,3,2,1,0,295,53,5.57,73,5.86,1,2:59,26,12,11,3,14,6,42.9,0,0,,2,2,2,1,1,0,0,0
