Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
1,TEN,2014-09-07,243,2,162,0,0,178,67,37:44,Sun,1,1,@,KAN,W 26-10,22,33,11,66.7,243,2,0,6.1,0.0,111.4,4,23,10.81,7.4,6.57,8.58,7.65,11.0,17,67,3.9,0,19,35,54.3,178,1,4,24,3,42.3,38,162,4.3,0,405,75,5.40,56,4.38,0,37:44,3:22
2,TEN,2014-09-14,232,1,82,0,2,148,220,18:49,Sun,2,2,,DAL,L 10-26,18,34,16,52.9,232,1,2,2.9,5.9,60.2,2,2,5.56,6.8,6.44,4.76,4.50,12.9,43,220,5.1,1,19,29,65.5,148,1,4,28,0,89.4,13,82,6.3,0,314,49,6.41,76,4.84,2,18:49,2:56
3,TEN,2014-09-21,177,0,149,1,2,184,116,31:16,Sun,3,3,@,CIN,L 7-33,17,34,17,50.0,177,0,2,0.0,5.9,41.9,2,8,5.56,5.2,4.92,2.56,2.42,10.4,31,116,3.7,3,17,26,65.4,184,1,0,0,1,82.9,28,149,5.3,1,326,64,5.09,57,5.26,2,31:16,2:56
4,TEN,2014-09-28,176,1,85,1,3,393,105,17:39,Sun,4,4,@,IND,L 17-41,14,28,14,50.0,176,1,2,3.6,7.1,54.8,3,18,9.68,6.3,5.68,3.79,3.42,12.6,41,105,2.6,1,29,41,70.7,393,4,0,0,1,123.3,16,85,5.3,1,261,47,5.55,82,6.07,3,17:39,3:11
5,TEN,2014-10-05,261,3,149,1,0,284,176,30:43,Sun,5,5,,CLE,L 28-29,21,32,11,65.6,261,3,0,9.4,0.0,123.6,3,12,8.57,8.2,7.46,10.03,9.17,12.4,36,176,4.9,0,21,37,56.8,284,3,1,7,1,97.1,30,149,5.0,1,410,65,6.31,74,6.22,0,30:43,3:23
6,TEN,2014-10-12,220,0,70,1,0,297,82,28:53,Sun,6,6,,JAX,W 16-14,17,28,11,60.7,220,0,0,0.0,0.0,87.4,3,13,9.68,7.9,7.10,7.86,7.10,12.9,23,82,3.6,1,32,46,69.6,297,1,6,39,1,85.1,24,70,2.9,1,290,55,5.27,75,5.05,0,28:53,3:05
7,TEN,2014-10-19,160,2,76,0,2,251,100,30:56,Sun,7,7,@,WAS,L 17-19,17,26,9,65.4,160,2,1,7.7,3.8,91.8,1,0,3.70,6.2,5.93,5.96,5.74,9.4,26,100,3.8,0,21,28,75.0,251,1,3,16,1,99.0,22,76,3.5,0,236,49,4.82,57,6.16,2,30:56,3:06
8,TEN,2014-10-26,290,2,36,0,2,193,212,24:38,Sun,8,8,,HOU,L 16-30,27,41,14,65.9,290,2,1,4.9,2.4,93.4,2,9,4.65,7.1,6.74,6.95,6.63,10.7,40,212,5.3,2,19,35,54.3,193,1,5,34,0,79.8,13,36,2.8,0,326,56,5.82,80,5.06,2,24:38,2:58
9,TEN,2014-11-09,143,1,67,0,2,161,151,29:13,Sun,9,10,@,BAL,L 7-21,16,27,11,59.3,143,1,1,3.7,3.7,76.0,5,36,15.63,5.3,4.47,4.37,3.69,8.9,34,151,4.4,2,16,27,59.3,161,1,1,8,0,88.7,22,67,3.0,0,210,54,3.89,62,5.03,2,29:13,2:55
10,TEN,2014-11-17,263,2,49,1,1,180,206,20:11,Mon,10,11,,PIT,L 24-27,15,24,9,62.5,263,2,1,8.3,4.2,110.2,0,0,0.00,11.0,10.96,10.75,10.75,17.5,36,206,5.7,1,21,32,65.6,180,1,5,27,1,77.6,15,49,3.3,1,312,39,8.00,73,5.29,1,20:11,2:47
