,,,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,,,,,,,,,,,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,Penalties,Penalties,,Kicking,Kicking,Kicking,Kicking,,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,,PAT,PAT,FG,FG,,,
Rk,Team,Date,TO,TO,Pen,Yds,OppPen,OppYds,FGM,Md,3D%,Opp3D%,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,Tot,TO,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,TD,XPA,XPM,Att,Md,Sfty,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
1,ARI,2014-09-08,2,1,5,23,6,47,2,1,46.2,40.0,Mon,1,1,,SDG,W 18-17,22,4,14,4,13,6,46.2,0,0,,290,1,5,23,6,47,11,70,2,2,2,1,1,0,403,65,6.20,60,4.83,2,31:49,3:08,15,5,9,1,15,6,40.0,1,0,0.0,2,0,0,2,2,2,0,0
2,ARI,2014-09-14,0,4,7,71,9,70,4,0,38.5,50.0,Sun,2,2,@,NYG,W 25-14,21,6,9,6,13,5,38.5,0,0,,341,4,7,71,9,70,16,141,2,2,2,0,0,0,266,61,4.36,68,5.01,0,27:31,3:00,24,5,15,4,12,6,50.0,1,0,0.0,2,1,1,4,4,1,0,0
3,ARI,2014-09-21,1,0,5,36,9,107,3,0,61.5,50.0,Sun,3,3,,SFO,W 23-14,24,5,12,7,13,8,61.5,1,1,100.0,318,0,5,36,9,107,14,143,2,2,2,1,0,0,338,61,5.54,61,5.21,1,27:40,3:02,20,4,15,1,12,6,50.0,1,1,100.0,2,2,2,3,3,0,0,0
4,ARI,2014-10-05,0,2,3,15,7,67,2,2,18.8,43.8,Sun,4,5,@,DEN,L 20-41,9,1,7,1,16,3,18.8,0,0,,568,2,3,15,7,67,10,82,5,5,5,3,2,0,215,56,3.84,76,7.47,0,24:43,3:16,24,5,18,1,16,7,43.8,0,0,,2,2,2,2,2,0,0,0
5,ARI,2014-10-12,0,4,14,108,6,62,3,2,41.2,20.0,Sun,5,6,,WAS,W 30-20,19,3,15,1,17,7,41.2,0,0,,407,4,14,108,6,62,20,170,2,2,2,2,2,0,317,68,4.66,57,7.14,0,34:19,3:20,21,1,15,5,10,2,20.0,1,1,100.0,3,3,3,3,3,0,0,0
6,ARI,2014-10-19,1,0,6,43,8,74,1,2,60.0,33.3,Sun,6,7,@,OAK,W 24-13,25,7,14,4,15,9,60.0,1,0,0.0,220,0,6,43,8,74,14,117,1,1,1,2,2,0,365,69,5.29,48,4.58,1,36:57,2:57,13,3,8,2,12,4,33.3,0,0,,3,3,3,1,1,0,0,0
7,ARI,2014-10-26,1,3,10,95,11,103,1,2,41.2,45.0,Sun,7,8,,PHI,W 24-20,17,4,9,4,17,7,41.2,1,1,100.0,521,3,10,95,11,103,21,198,2,2,2,2,2,0,400,65,6.15,87,5.99,1,28:50,3:39,27,6,18,3,20,9,45.0,1,1,100.0,3,3,3,1,1,0,0,0
8,ARI,2014-11-02,1,2,6,62,5,33,0,1,60.0,27.3,Sun,8,9,@,DAL,W 28-17,22,5,15,2,15,9,60.0,0,0,,266,2,6,62,5,33,11,95,2,2,2,2,1,0,339,65,5.22,59,4.51,1,31:28,2:56,18,5,10,3,11,3,27.3,1,0,0.0,4,4,4,0,0,0,0,0
9,ARI,2014-11-09,1,3,5,35,8,80,1,0,40.0,10.0,Sun,9,10,,STL,W 31-14,21,3,18,0,15,6,40.0,0,0,,244,3,5,35,8,80,13,115,2,2,2,0,0,0,335,66,5.08,58,4.21,1,33:20,3:02,16,5,9,2,10,1,10.0,2,1,50.0,4,4,4,2,1,0,0,0
10,ARI,2014-11-16,2,1,4,35,9,80,0,2,57.1,33.3,Sun,10,11,,DET,W 14-6,18,3,13,2,14,8,57.1,0,0,,262,1,4,35,9,80,13,115,0,0,0,2,2,0,352,58,6.07,53,4.94,2,30:43,2:52,11,4,6,1,15,5,33.3,1,0,0.0,2,2,2,0,0,0,0,0
