Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,ATL,2014-09-07,1,2,10,96,3,27,3,2,54.5,61.5,Sun,1,1,,NOR,W 37-34 (OT),28,6,21,1,11,6,54.5,0,0,,472,2,10,96,3,27,13,123,4,4,4,2,2,0,568,69,8.23,70,6.74,1,31:18,3:18,30,9,17,4,13,8,61.5,0,0,,4,4,4,3,3,0,0,0
2,ATL,2014-09-14,3,0,7,56,7,55,1,1,25.0,42.9,Sun,2,2,@,CIN,L 10-24,19,6,11,2,12,3,25.0,2,1,50.0,472,0,7,56,7,55,14,111,3,3,3,4,1,0,309,65,4.75,69,6.84,3,27:01,3:11,21,10,10,1,14,6,42.9,0,0,,1,1,1,1,1,0,0,0
3,ATL,2014-09-18,4,5,5,50,11,110,0,0,72.7,23.1,Thu,3,3,,TAM,W 56-14,26,7,17,2,11,8,72.7,0,0,,217,5,5,50,11,110,16,160,2,2,2,0,0,0,488,65,7.51,57,3.81,4,32:39,3:13,10,3,7,0,13,3,23.1,1,1,100.0,8,8,8,1,0,0,0,0
4,ATL,2014-09-28,2,0,5,50,6,40,0,4,66.7,46.2,Sun,4,4,@,MIN,L 28-41,23,6,16,1,15,10,66.7,0,0,,558,0,5,50,6,40,11,90,4,3,3,5,4,0,411,64,6.42,74,7.54,2,27:08,3:19,26,11,14,1,13,6,46.2,1,1,100.0,4,4,4,0,0,0,0,0
5,ATL,2014-10-05,1,2,8,81,3,15,2,3,15.4,60.0,Sun,5,5,@,NYG,L 20-30,20,5,13,2,13,2,15.4,2,1,50.0,317,2,8,81,3,15,11,96,3,3,3,3,3,0,397,67,5.93,65,4.88,1,28:19,3:03,22,7,11,4,15,9,60.0,0,0,,2,2,2,2,2,0,0,0
6,ATL,2014-10-12,1,0,6,52,7,47,2,2,30.8,46.7,Sun,6,6,,CHI,L 13-27,12,2,10,0,13,4,30.8,2,0,0.0,478,0,6,52,7,47,13,99,3,2,1,2,2,0,287,54,5.31,69,6.93,1,23:45,3:04,23,7,15,1,15,7,46.7,0,0,,1,1,1,2,2,0,0,0
7,ATL,2014-10-19,1,3,7,76,9,72,0,2,26.7,36.4,Sun,7,7,@,BAL,L 7-29,16,4,11,1,15,4,26.7,3,1,33.3,371,3,7,76,9,72,16,148,3,3,3,2,2,1,254,65,3.91,62,5.98,1,26:47,3:00,23,8,12,3,11,4,36.4,1,1,100.0,1,1,1,1,0,0,0,0
8,ATL,2014-10-26,1,1,5,39,8,85,0,3,50.0,53.3,Sun,8,8,,DET,L 21-22,22,4,15,3,8,4,50.0,0,0,,385,1,5,39,8,85,13,124,2,1,1,3,3,0,291,55,5.29,70,5.50,1,29:05,3:00,22,3,17,2,15,8,53.3,0,0,,3,3,3,0,0,0,0,0
9,ATL,2014-11-09,0,3,5,30,10,79,4,1,50.0,70.6,Sun,9,10,@,TAM,W 27-17,19,6,10,3,12,6,50.0,0,0,,373,3,5,30,10,79,15,109,2,2,2,1,1,0,322,60,5.37,70,5.33,0,29:48,3:13,23,5,17,1,17,12,70.6,1,0,0.0,2,1,1,4,4,1,1,0
10,ATL,2014-11-16,1,2,5,58,1,15,4,1,33.3,23.1,Sun,10,11,@,CAR,W 19-17,22,3,18,1,15,5,33.3,0,0,,391,2,5,58,1,15,6,73,2,2,2,3,1,0,346,74,4.68,64,6.11,1,31:58,3:07,22,5,15,2,13,3,23.1,0,0,,1,1,1,4,4,0,0,0
