,,,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,,,,,,,,,,,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,Penalties,Penalties,,Kicking,Kicking,Kicking,Kicking,,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,,PAT,PAT,FG,FG,,,
Rk,Team,Date,TO,TO,Pen,Yds,OppPen,OppYds,FGM,Md,3D%,Opp3D%,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,Tot,TO,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,TD,XPA,XPM,Att,Md,Sfty,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
1,BAL,2014-09-07,2,0,3,29,4,45,1,5,47.1,28.6,Sun,1,1,,CIN,L 16-23,26,8,16,2,17,8,47.1,2,1,50.0,380,0,3,29,4,45,7,74,1,0,0,6,5,0,423,85,4.98,64,5.94,2,29:30,3:14,16,4,11,1,14,4,28.6,0,0,,2,1,1,2,1,1,0,0
2,BAL,2014-09-11,0,3,4,35,9,75,4,2,41.7,50.0,Thu,2,2,,PIT,W 26-6,25,9,11,5,12,5,41.7,1,1,100.0,301,3,4,35,9,75,13,110,0,0,0,2,2,0,323,65,4.97,57,5.28,0,35:08,2:56,17,5,11,1,12,6,50.0,0,0,,2,2,2,4,4,0,0,0
3,BAL,2014-09-21,1,0,5,32,12,94,3,0,33.3,45.5,Sun,3,3,@,CLE,W 23-21,23,12,8,3,12,4,33.3,1,0,0.0,375,0,5,32,12,94,17,126,3,3,3,2,0,0,377,64,5.89,55,6.82,1,30:55,2:57,19,6,11,2,11,5,45.5,0,0,,2,2,2,3,3,0,0,0
4,BAL,2014-09-28,0,1,4,40,7,59,1,1,76.9,66.7,Sun,4,4,,CAR,W 38-10,25,7,15,3,13,10,76.9,0,0,,315,1,4,40,7,59,11,99,1,1,1,1,1,0,454,61,7.44,62,5.08,0,30:24,2:55,20,2,16,2,15,10,66.7,0,0,,5,5,5,2,1,0,0,0
5,BAL,2014-10-05,3,4,5,36,6,83,2,2,9.1,46.7,Sun,5,5,@,IND,L 13-20,15,4,9,2,11,1,9.1,3,1,33.3,432,4,5,36,6,83,11,119,2,2,2,2,2,0,287,57,5.04,80,5.40,3,21:17,3:08,26,6,19,1,15,7,46.7,1,0,0.0,1,1,1,2,2,0,0,0
6,BAL,2014-10-12,1,1,8,70,5,43,2,1,53.8,16.7,Sun,6,6,@,TAM,W 48-17,23,9,13,1,13,7,53.8,0,0,,364,1,8,70,5,43,13,113,2,2,2,2,1,0,475,63,7.54,67,5.43,1,32:14,3:01,22,5,14,3,12,2,16.7,2,0,0.0,6,6,6,3,2,0,0,0
7,BAL,2014-10-19,3,1,9,72,7,76,2,0,36.4,26.7,Sun,7,7,,ATL,W 29-7,23,8,12,3,11,4,36.4,1,1,100.0,254,1,9,72,7,76,16,148,1,1,1,1,0,0,371,62,5.98,65,3.91,3,33:13,3:00,16,4,11,1,15,4,26.7,3,1,33.3,3,3,3,2,2,0,0,1
8,BAL,2014-10-26,2,2,7,51,6,40,3,2,38.5,57.1,Sun,8,8,@,CIN,L 24-27,18,8,9,1,13,5,38.5,3,1,33.3,350,2,7,51,6,40,13,91,3,3,3,2,2,0,294,61,4.82,64,5.47,2,29:16,2:59,19,8,10,1,14,8,57.1,1,1,100.0,2,1,1,3,3,1,1,0
9,BAL,2014-11-02,2,1,10,108,7,67,1,0,23.1,42.9,Sun,9,9,@,PIT,L 23-43,22,2,18,2,13,3,23.1,2,2,100.0,376,1,10,108,7,67,17,175,6,5,5,0,0,0,332,67,4.96,65,5.78,2,28:34,3:39,22,4,13,5,14,6,42.9,1,1,100.0,3,2,2,1,1,1,0,0
