,,,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,,,,,,,,,,,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,Penalties,Penalties,,Kicking,Kicking,Kicking,Kicking,,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,,PAT,PAT,FG,FG,,,
Rk,Team,Date,TO,TO,Pen,Yds,OppPen,OppYds,FGM,Md,3D%,Opp3D%,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,Tot,TO,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,TD,XPA,XPM,Att,Md,Sfty,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
1,CAR,2014-09-07,0,3,6,55,3,15,2,0,40.0,50.0,Sun,1,1,@,TAM,W 20-14,19,5,14,0,15,6,40.0,1,1,100.0,264,3,6,55,3,15,9,70,2,2,2,0,0,0,334,68,4.91,55,4.80,0,35:12,2:54,17,5,10,2,12,6,50.0,0,0,,2,2,2,3,2,0,0,0
2,CAR,2014-09-14,0,3,4,45,5,33,3,0,25.0,40.0,Sun,2,2,,DET,W 24-7,20,3,14,3,12,3,25.0,0,0,,323,3,4,45,5,33,9,78,1,1,1,2,0,0,313,62,5.05,70,4.61,0,29:19,3:05,21,2,18,1,15,6,40.0,2,1,50.0,2,1,1,3,3,1,1,0
3,CAR,2014-09-21,2,0,7,105,11,91,2,3,33.3,27.3,Sun,3,3,,PIT,L 19-37,20,3,14,3,12,4,33.3,1,1,100.0,454,0,7,105,11,91,18,196,4,4,4,3,3,0,349,54,6.46,65,6.98,2,25:21,3:13,24,12,9,3,11,3,27.3,1,1,100.0,2,1,1,2,2,1,0,0
4,CAR,2014-09-28,1,0,7,59,4,40,1,1,66.7,76.9,Sun,4,4,@,BAL,L 10-38,20,2,16,2,15,10,66.7,0,0,,454,0,7,59,4,40,11,99,5,5,5,2,1,0,315,62,5.08,61,7.44,1,29:36,2:55,25,7,15,3,13,10,76.9,0,0,,1,1,1,1,1,0,0,0
5,CAR,2014-10-05,3,4,3,30,10,79,1,1,41.7,38.5,Sun,5,5,,CHI,W 31-24,22,5,15,2,12,5,41.7,0,0,,347,4,3,30,10,79,13,109,3,3,3,2,1,0,322,63,5.11,62,5.60,3,27:01,3:10,17,5,11,1,13,5,38.5,1,0,0.0,4,4,4,1,1,0,0,0
6,CAR,2014-10-12,1,2,8,60,13,119,3,3,47.1,62.5,Sun,6,6,@,CIN,T 37-37 (OT),29,10,14,5,17,8,47.1,2,2,100.0,513,2,8,60,13,119,21,179,4,4,4,4,3,0,431,80,5.39,75,6.84,1,39:30,3:59,29,8,18,3,16,10,62.5,0,0,,4,4,4,4,3,0,0,0
7,CAR,2014-10-19,1,0,9,70,5,29,1,1,33.3,36.4,Sun,7,7,@,GNB,L 17-38,23,6,14,3,12,4,33.3,1,0,0.0,363,0,9,70,5,29,14,99,5,5,5,1,1,0,331,67,4.94,56,6.48,1,30:11,3:07,22,10,9,3,11,4,36.4,0,0,,2,2,2,1,1,0,0,0
8,CAR,2014-10-26,2,2,4,20,7,41,3,2,20.0,36.4,Sun,8,8,,SEA,L 9-13,17,9,7,1,10,2,20.0,2,1,50.0,310,2,4,20,7,41,11,61,1,1,1,2,2,0,266,56,4.75,59,5.25,2,31:00,2:49,19,8,9,2,11,4,36.4,0,0,,0,0,0,3,3,0,0,0
9,CAR,2014-10-30,2,2,6,67,4,36,1,0,42.9,53.8,Thu,9,9,,NOR,L 10-28,15,7,6,2,14,6,42.9,0,0,,375,2,6,67,4,36,10,103,4,4,4,0,0,0,231,54,4.28,75,5.00,2,24:42,2:53,27,7,17,3,13,7,53.8,1,1,100.0,1,1,1,1,1,0,0,0
10,CAR,2014-11-10,5,0,4,30,5,50,0,1,50.0,33.3,Mon,10,10,@,PHI,L 21-45,21,7,13,1,20,10,50.0,1,0,0.0,365,0,4,30,5,50,9,80,6,6,6,1,1,0,317,81,3.91,62,5.89,5,38:05,3:10,17,3,14,0,15,5,33.3,1,0,0.0,3,3,3,0,0,0,0,0
11,CAR,2014-11-16,2,1,1,15,5,58,1,4,23.1,33.3,Sun,11,11,,ATL,L 17-19,22,5,15,2,13,3,23.1,0,0,,346,1,1,15,5,58,6,73,1,1,1,4,4,0,391,64,6.11,74,4.68,2,28:02,3:07,22,3,18,1,15,5,33.3,0,0,,2,2,2,3,1,0,0,0
12,CAR,2014-11-30,1,0,4,35,5,25,2,1,43.8,36.4,Sun,12,13,@,MIN,L 13-31,23,12,10,1,16,7,43.8,1,1,100.0,210,0,4,35,5,25,9,60,4,4,4,1,1,0,348,72,4.83,48,4.38,1,35:48,2:50,12,3,8,1,11,4,36.4,0,0,,1,1,1,2,2,0,0,0
13,CAR,2014-12-07,0,2,6,55,4,30,2,1,46.7,35.7,Sun,13,14,@,NOR,W 41-10,24,11,11,2,15,7,46.7,0,0,,310,2,6,55,4,30,10,85,1,1,1,2,1,0,497,73,6.81,68,4.56,0,36:00,3:16,18,7,11,0,14,5,35.7,2,1,50.0,5,5,5,2,2,0,0,0
14,CAR,2014-12-14,1,3,4,25,4,29,4,1,38.5,41.7,Sun,14,15,,TAM,W 19-17,28,9,18,1,13,5,38.5,0,0,,287,3,4,25,4,29,8,54,2,2,2,1,1,0,392,75,5.23,54,5.31,1,37:23,3:10,15,6,9,0,12,5,41.7,0,0,,1,1,1,5,4,0,0,0
15,CAR,2014-12-21,2,1,5,49,6,49,1,2,56.3,25.0,Sun,15,16,,CLE,W 17-13,27,12,12,3,16,9,56.3,0,0,,228,1,5,49,6,49,11,98,1,1,1,2,2,0,404,77,5.25,46,4.96,2,38:03,3:02,8,3,4,1,12,3,25.0,0,0,,2,2,2,2,1,0,0,0
16,CAR,2014-12-28,0,3,5,36,6,36,2,1,40.0,43.8,Sun,16,17,@,ATL,W 34-3,17,11,6,0,10,4,40.0,1,0,0.0,288,3,5,36,6,36,11,72,0,0,0,1,1,0,306,52,5.88,69,4.17,0,31:13,2:51,16,2,13,1,16,7,43.8,3,1,33.3,4,4,4,2,2,0,0,0
17,CAR,2015-09-13,1,3,3,22,3,25,2,1,47.1,25.0,Sun,1,1,@,JAX,W 20-9,17,6,10,1,17,8,47.1,1,1,100.0,265,3,3,22,3,25,6,47,1,1,0,2,1,0,263,68,3.87,66,4.02,1,34:06,3:07,18,6,12,0,12,3,25.0,2,1,50.0,2,2,2,4,2,0,0,0
18,CAR,2015-09-20,1,1,10,92,10,70,1,1,30.8,26.3,Sun,2,2,,HOU,W 24-17,25,9,13,3,13,4,30.8,0,0,,300,1,10,92,10,70,20,162,2,2,2,1,1,0,350,72,4.86,82,3.66,1,32:29,3:39,21,5,11,5,19,5,26.3,4,2,50.0,3,3,3,2,1,0,0,0
19,CAR,2015-09-27,0,2,10,88,8,55,2,1,45.5,58.3,Sun,3,3,,NOR,W 27-22,24,7,15,2,11,5,45.5,1,1,100.0,380,2,10,88,8,55,18,143,3,1,1,1,1,0,431,62,6.95,63,6.03,0,27:16,3:10,27,5,18,4,12,7,58.3,1,1,100.0,3,3,3,2,2,0,0,0
20,CAR,2015-10-04,1,5,5,45,5,48,3,1,27.3,50.0,Sun,4,4,@,TAM,W 37-23,17,8,7,2,11,3,27.3,0,0,,411,5,5,45,5,48,10,93,3,3,2,3,1,0,244,57,4.28,75,5.48,1,27:50,3:10,25,8,15,2,16,8,50.0,2,2,100.0,3,4,4,3,3,0,0,0
21,CAR,2015-10-18,2,0,5,25,7,48,0,3,36.4,28.6,Sun,5,6,@,SEA,W 27-23,25,10,14,1,11,4,36.4,1,0,0.0,334,0,5,25,7,48,12,73,2,2,2,3,3,0,383,72,5.32,60,5.57,2,32:12,3:12,14,4,10,0,14,4,28.6,0,0,,4,4,3,0,0,0,0,0
22,CAR,2015-10-25,3,1,5,43,7,46,2,3,22.2,38.9,Sun,6,7,,PHI,W 27-16,21,9,11,1,9,2,22.2,0,0,,349,1,5,43,7,46,12,89,1,1,1,4,3,0,394,58,6.79,81,4.31,3,28:54,3:18,20,6,12,2,18,7,38.9,2,1,50.0,3,3,3,2,2,0,0,0
23,CAR,2015-11-02,3,4,6,55,2,15,3,4,25.0,33.3,Mon,7,8,,IND,W 29-26 (OT),17,7,10,0,16,4,25.0,2,2,100.0,359,4,6,55,2,15,8,70,2,2,2,4,4,0,379,73,5.19,84,4.27,3,33:40,3:50,19,5,14,0,18,6,33.3,1,1,100.0,3,3,2,3,3,0,0,0
24,CAR,2015-11-08,1,2,6,45,7,87,3,0,33.3,21.4,Sun,8,9,,GNB,W 37-29,20,9,10,1,15,5,33.3,0,0,,402,2,6,45,7,87,13,132,4,3,3,0,0,0,427,66,6.47,72,5.58,1,32:12,3:40,21,3,16,2,14,3,21.4,3,2,66.7,4,4,4,4,3,0,0,0
25,CAR,2015-11-15,0,2,5,45,4,30,2,1,53.8,41.7,Sun,9,10,@,TEN,W 27-10,24,10,13,1,13,7,53.8,0,0,,242,2,5,45,4,30,9,75,1,1,1,1,1,0,303,64,4.73,46,5.26,0,35:55,2:59,11,3,8,0,12,5,41.7,0,0,,3,3,3,2,2,0,0,0
26,CAR,2015-11-22,0,5,8,66,9,68,3,0,50.0,22.2,Sun,10,11,,WAS,W 44-16,27,8,17,2,14,7,50.0,1,0,0.0,186,5,8,66,9,68,17,134,2,2,2,0,0,1,368,75,4.91,47,3.96,0,38:07,3:08,9,1,8,0,9,2,22.2,1,1,100.0,5,5,5,3,3,0,0,0
27,CAR,2015-11-26,0,3,8,53,5,40,4,2,50.0,46.2,Thu,11,12,@,DAL,W 33-14,18,9,8,1,16,8,50.0,0,0,,210,3,8,53,5,40,13,93,1,0,0,2,2,0,294,65,4.52,56,3.75,0,35:14,3:13,14,3,10,1,13,6,46.2,1,0,0.0,3,3,3,5,4,0,0,0
28,CAR,2015-12-06,3,1,8,87,11,104,0,0,37.5,30.0,Sun,12,13,@,NOR,W 41-38,33,9,18,6,8,3,37.5,2,2,100.0,334,1,8,87,11,104,19,191,5,4,4,1,0,0,497,76,6.54,58,5.76,3,36:34,3:21,21,5,13,3,10,3,30.0,1,0,0.0,6,6,5,0,0,0,0,0
29,CAR,2015-12-13,0,4,6,60,6,54,1,0,50.0,28.6,Sun,13,14,,ATL,W 38-0,20,7,12,1,12,6,50.0,1,0,0.0,230,4,6,60,6,54,12,114,0,0,0,0,0,0,424,61,6.95,62,3.71,0,31:21,3:10,15,3,11,1,14,4,28.6,4,1,25.0,5,5,5,1,1,0,0,0
30,CAR,2015-12-20,1,2,7,88,7,47,1,0,52.9,40.0,Sun,14,15,@,NYG,W 38-35,28,7,20,1,17,9,52.9,0,0,,406,2,7,88,7,47,14,135,5,5,5,0,0,0,480,77,6.23,73,5.56,1,30:52,3:24,21,7,11,3,15,6,40.0,2,2,100.0,5,5,5,2,1,0,0,0
31,CAR,2015-12-27,1,1,4,40,3,20,2,2,40.0,60.0,Sun,15,16,@,ATL,L 13-20,18,11,7,0,10,4,40.0,1,0,0.0,373,1,4,40,3,20,7,60,2,2,2,3,2,0,268,52,5.15,62,6.02,1,24:22,2:55,21,6,13,2,15,9,60.0,0,0,,1,1,1,2,2,0,0,0
32,CAR,2016-01-03,2,3,7,33,5,65,1,1,70.0,50.0,Sun,16,17,,TAM,W 38-10,23,10,12,1,10,7,70.0,0,0,,386,3,7,33,5,65,12,98,1,1,1,1,1,0,366,62,5.90,71,5.44,2,31:50,3:05,21,4,16,1,16,8,50.0,2,1,50.0,5,5,5,1,1,0,0,0
33,CAR,2016-09-08,1,3,8,85,4,22,2,0,60.0,50.0,Thu,1,1,@,DEN,L 20-21,21,8,12,1,15,9,60.0,0,0,,307,3,8,85,4,22,12,107,3,3,3,0,0,0,333,68,4.90,57,5.39,1,32:19,3:12,21,9,11,1,10,5,50.0,1,1,100.0,2,2,2,3,2,0,0,0
34,CAR,2016-09-18,4,3,8,50,6,50,4,2,46.7,28.6,Sun,2,2,,SFO,W 46-27,26,8,15,3,15,7,46.7,0,0,,302,3,8,50,6,50,14,100,3,3,3,2,2,0,529,78,6.78,64,4.72,4,35:54,3:43,16,3,13,0,14,4,28.6,1,0,0.0,5,5,4,4,4,0,0,0
35,CAR,2016-09-25,3,0,10,65,6,42,1,2,37.5,25.0,Sun,3,3,,MIN,L 10-22,18,6,10,2,16,6,37.5,2,0,0.0,211,0,10,65,6,42,16,107,2,1,0,2,2,1,306,72,4.25,54,3.91,3,34:52,3:05,13,2,11,0,12,3,25.0,0,0,,1,1,1,2,1,0,0,0
36,CAR,2016-10-02,2,1,6,55,8,77,1,2,43.8,61.5,Sun,4,4,@,ATL,L 33-48,20,3,16,1,16,7,43.8,1,1,100.0,571,1,6,55,8,77,14,132,6,6,6,2,2,0,378,64,5.91,65,8.78,2,26:11,3:16,25,7,18,0,13,8,61.5,0,0,,4,2,2,1,1,2,2,0
