,,,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,,,,,,,,,,,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,Penalties,Penalties,,Kicking,Kicking,Kicking,Kicking,,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,,PAT,PAT,FG,FG,,,
Rk,Team,Date,TO,TO,Pen,Yds,OppPen,OppYds,FGM,Md,3D%,Opp3D%,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,Tot,TO,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,TD,XPA,XPM,Att,Md,Sfty,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
1,CHI,2014-09-07,3,1,4,43,9,108,2,3,41.7,33.3,Sun,1,1,,BUF,L 20-23 (OT),29,5,19,5,12,5,41.7,0,0,,360,1,4,43,9,108,13,151,2,2,2,3,3,0,427,69,6.19,56,6.43,3,34:42,3:17,15,7,8,0,12,4,33.3,0,0,,2,2,2,2,2,0,0,0
2,CHI,2014-09-14,0,4,10,58,16,118,0,2,33.3,53.8,Sun,2,2,@,SFO,W 28-20,19,3,10,6,9,3,33.3,0,0,,359,4,10,58,16,118,26,176,2,2,2,2,2,0,216,52,4.15,65,5.52,0,26:09,3:15,19,5,13,1,13,7,53.8,2,1,50.0,4,4,4,0,0,0,0,0
3,CHI,2014-09-22,1,3,9,95,6,78,2,4,46.7,40.0,Mon,3,3,@,NYJ,W 27-19,17,4,11,2,15,7,46.7,0,0,,414,3,9,95,6,78,15,173,1,1,1,4,4,0,257,63,4.08,72,5.75,1,28:08,3:14,21,3,15,3,15,6,40.0,2,1,50.0,3,3,3,2,2,0,0,0
4,CHI,2014-09-28,2,0,6,46,9,70,1,1,63.6,50.0,Sun,4,4,,GNB,L 17-38,33,16,14,3,11,7,63.6,3,2,66.7,358,0,6,46,9,70,15,116,5,5,5,2,1,0,496,77,6.44,47,7.62,2,36:22,2:56,21,3,16,2,8,4,50.0,0,0,,2,2,2,1,1,0,0,0
5,CHI,2014-10-05,4,3,10,79,3,30,1,1,38.5,41.7,Sun,5,5,@,CAR,L 24-31,17,5,11,1,13,5,38.5,1,0,0.0,322,3,10,79,3,30,13,109,4,4,4,1,1,0,347,62,5.60,63,5.11,4,32:59,3:10,22,5,15,2,12,5,41.7,0,0,,3,3,3,2,1,0,0,0
6,CHI,2014-10-12,0,1,7,47,6,52,2,2,46.7,30.8,Sun,6,6,@,ATL,W 27-13,23,7,15,1,15,7,46.7,0,0,,287,1,7,47,6,52,13,99,1,1,1,2,2,0,478,69,6.93,54,5.31,0,36:15,3:04,12,2,10,0,13,4,30.8,2,0,0.0,3,2,1,2,2,1,1,0
7,CHI,2014-10-19,3,0,2,15,7,84,0,2,41.7,36.4,Sun,7,7,,MIA,L 14-27,14,3,10,1,12,5,41.7,3,2,66.7,393,0,2,15,7,84,9,99,3,3,3,4,2,0,224,51,4.39,69,5.70,3,22:38,2:50,24,7,17,0,11,4,36.4,1,1,100.0,2,2,2,0,0,0,0,0
8,CHI,2014-10-26,2,0,5,41,7,38,0,3,36.4,63.6,Sun,8,8,@,NWE,L 23-51,27,11,13,3,11,4,36.4,3,1,33.3,487,0,5,41,7,38,12,79,6,6,6,3,3,0,384,64,6.00,71,6.86,2,27:17,3:02,32,6,25,1,11,7,63.6,0,0,,3,1,1,0,0,2,2,0
9,CHI,2014-11-09,3,1,11,163,5,50,0,2,25.0,46.2,Sun,9,10,@,GNB,L 14-55,21,5,12,4,12,3,25.0,4,0,0.0,451,1,11,163,5,50,16,213,7,7,7,2,2,0,311,68,4.57,64,7.05,3,30:19,3:22,21,6,13,2,13,6,46.2,2,2,100.0,2,2,2,0,0,0,0,0
10,CHI,2014-11-16,2,1,7,60,2,18,0,2,58.8,18.2,Sun,10,11,,MIN,W 21-13,24,8,16,0,17,10,58.8,3,2,66.7,243,1,7,60,2,18,9,78,1,1,1,3,2,0,468,74,6.32,46,5.28,2,38:38,2:56,10,2,7,1,11,2,18.2,2,2,100.0,3,3,3,1,0,0,0,0
11,CHI,2014-11-23,1,4,6,45,9,87,0,2,25.0,41.2,Sun,11,12,,TAM,W 21-13,12,4,6,2,16,4,25.0,0,0,,367,4,6,45,9,87,15,132,1,1,1,2,2,0,204,56,3.64,75,4.89,1,29:50,3:17,17,3,14,0,17,7,41.2,1,0,0.0,3,3,3,1,0,0,0,0
12,CHI,2014-11-27,2,1,5,41,5,38,1,2,41.7,41.7,Thu,12,13,@,DET,L 17-34,18,0,16,2,12,5,41.7,0,0,,474,1,5,41,5,38,10,79,4,4,4,2,2,0,269,59,4.56,70,6.77,2,26:35,3:11,28,7,19,2,12,5,41.7,2,1,50.0,2,2,2,1,1,0,0,0
13,CHI,2014-12-04,2,0,9,54,8,97,0,2,20.0,50.0,Thu,13,14,,DAL,L 28-41,23,5,14,4,10,2,20.0,3,3,100.0,397,0,9,54,8,97,17,151,5,5,5,2,2,0,376,61,6.16,62,6.40,2,27:32,3:08,21,7,13,1,14,7,50.0,2,2,100.0,4,3,2,0,0,1,1,0
14,CHI,2014-12-15,3,1,9,74,3,25,0,1,16.7,36.4,Mon,14,15,,NOR,L 15-31,16,8,8,0,12,2,16.7,2,0,0.0,443,1,9,74,3,25,12,99,4,4,4,2,1,0,278,58,4.79,64,6.92,3,26:29,3:03,25,3,19,3,11,4,36.4,0,0,,2,1,1,0,0,1,1,0
15,CHI,2014-12-21,1,3,5,86,7,60,0,2,33.3,38.5,Sun,15,16,,DET,L 14-20,17,2,12,3,15,5,33.3,3,1,33.3,367,3,5,86,7,60,12,146,2,2,2,3,2,0,234,63,3.71,69,5.32,1,28:04,3:03,22,6,14,2,13,5,38.5,2,2,100.0,2,2,2,0,0,0,0,0
16,CHI,2014-12-28,0,1,8,50,4,25,3,2,26.7,53.3,Sun,16,17,@,MIN,L 9-13,12,5,7,0,15,4,26.7,3,2,66.7,311,1,8,50,4,25,12,75,1,1,1,2,2,0,264,59,4.47,61,5.10,0,31:33,2:53,15,6,9,0,15,8,53.3,1,0,0.0,0,0,0,4,3,0,0,0
17,CHI,2015-09-13,1,0,6,64,10,74,3,1,64.7,60.0,Sun,1,1,,GNB,L 23-31,25,10,12,3,17,11,64.7,3,2,66.7,322,0,6,64,10,74,16,138,4,4,4,1,1,0,402,71,5.66,53,6.08,1,31:52,3:15,21,10,10,1,10,6,60.0,1,1,100.0,2,2,2,3,3,0,0,0
18,CHI,2015-09-20,2,2,14,170,8,58,3,0,16.7,55.6,Sun,2,2,,ARI,L 23-48,18,8,7,3,12,2,16.7,1,0,0.0,300,2,14,170,8,58,22,228,7,7,6,0,0,0,335,62,5.40,52,5.77,2,29:56,3:18,21,6,12,3,9,5,55.6,1,1,100.0,2,2,2,3,3,0,0,0
19,CHI,2015-09-27,0,0,6,40,5,41,0,4,23.1,31.3,Sun,3,3,@,SEA,L 0-26,7,5,2,0,13,3,23.1,0,0,,371,0,6,40,5,41,11,81,2,2,2,4,4,0,146,46,3.17,63,5.89,0,27:24,2:54,17,5,12,0,16,5,31.3,2,2,100.0,0,0,0,0,0,0,0,0
20,CHI,2015-10-04,3,2,7,48,5,47,3,2,58.8,46.2,Sun,4,4,,OAK,W 22-20,23,4,17,2,17,10,58.8,1,1,100.0,266,2,7,48,5,47,12,95,2,2,2,2,2,0,371,75,4.95,57,4.67,3,33:22,3:18,16,3,12,1,13,6,46.2,0,0,,2,2,1,3,3,0,0,0
21,CHI,2015-10-11,1,0,6,49,3,49,2,1,42.9,35.7,Sun,5,5,@,KAN,W 18-17,21,5,14,2,14,6,42.9,1,0,0.0,287,0,6,49,3,49,9,98,2,2,2,3,1,0,328,73,4.49,58,4.95,1,33:37,3:14,16,6,9,1,14,5,35.7,0,0,,2,0,0,2,2,2,0,0
22,CHI,2015-10-18,1,3,9,76,10,98,4,3,42.9,52.9,Sun,6,6,@,DET,L 34-37 (OT),24,7,13,4,14,6,42.9,0,0,,546,3,9,76,10,98,19,174,4,4,4,3,3,0,444,73,6.08,76,7.18,1,33:34,3:55,26,6,17,3,17,9,52.9,1,1,100.0,3,2,2,4,4,1,1,0
