,,,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,,,,,,,,,,,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,Penalties,Penalties,,Kicking,Kicking,Kicking,Kicking,,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,,PAT,PAT,FG,FG,,,
Rk,Team,Date,TO,TO,Pen,Yds,OppPen,OppYds,FGM,Md,3D%,Opp3D%,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,Tot,TO,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,TD,XPA,XPM,Att,Md,Sfty,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
1,CIN,2014-09-07,0,2,4,45,3,29,5,1,28.6,47.1,Sun,1,1,@,BAL,W 23-16,16,4,11,1,14,4,28.6,0,0,,423,2,4,45,3,29,7,74,2,1,1,2,1,0,380,64,5.94,85,4.98,0,30:30,3:14,26,8,16,2,17,8,47.1,2,1,50.0,1,0,0,6,5,1,1,0
2,CIN,2014-09-14,0,3,7,55,7,56,1,1,42.9,25.0,Sun,2,2,,ATL,W 24-10,21,10,10,1,14,6,42.9,0,0,,309,3,7,55,7,56,14,111,1,1,1,1,1,0,472,69,6.84,65,4.75,0,32:59,3:11,19,6,11,2,12,3,25.0,2,1,50.0,3,3,3,4,1,0,0,0
3,CIN,2014-09-21,1,2,7,50,11,99,1,0,33.3,16.7,Sun,3,3,,TEN,W 33-7,25,11,10,4,9,3,33.3,1,0,0.0,326,2,7,50,11,99,18,149,1,1,1,2,0,0,300,57,5.26,64,5.09,1,28:44,2:56,22,11,7,4,12,2,16.7,2,1,50.0,4,4,4,1,1,0,0,1
4,CIN,2014-10-05,3,0,4,37,12,114,1,5,0.0,37.5,Sun,4,5,@,NWE,L 17-43,17,4,8,5,7,0,0.0,1,0,0.0,505,0,4,37,12,114,16,151,4,4,4,5,5,0,320,48,6.67,82,6.16,3,21:04,3:00,30,11,17,2,16,6,37.5,1,1,100.0,2,2,2,2,1,0,0,0
5,CIN,2014-10-12,2,1,13,119,8,60,3,3,62.5,47.1,Sun,5,6,,CAR,T 37-37 (OT),29,8,18,3,16,10,62.5,0,0,,431,1,13,119,8,60,21,179,4,4,4,4,3,0,513,75,6.84,80,5.39,2,35:30,3:59,29,10,14,5,17,8,47.1,2,2,100.0,4,4,4,4,3,0,0,0
6,CIN,2014-10-19,0,2,4,20,8,57,0,2,7.7,38.5,Sun,6,7,@,IND,L 0-27,8,1,5,2,13,1,7.7,1,0,0.0,506,2,4,20,8,57,12,77,3,3,3,2,2,0,135,54,2.50,78,6.49,0,20:17,3:06,27,11,15,1,13,5,38.5,0,0,,0,0,0,0,0,0,0,0
7,CIN,2014-10-26,2,2,6,40,7,51,2,3,57.1,38.5,Sun,7,8,,BAL,W 27-24,19,8,10,1,14,8,57.1,1,1,100.0,294,2,6,40,7,51,13,91,2,1,1,3,3,0,350,64,5.47,61,4.82,2,30:44,2:59,18,8,9,1,13,5,38.5,3,1,33.3,3,3,3,2,2,0,0,0
8,CIN,2014-11-02,2,1,6,40,3,35,1,1,46.2,33.3,Sun,8,9,,JAX,W 33-23,23,11,12,0,13,6,46.2,0,0,,365,1,6,40,3,35,9,75,3,2,2,1,1,0,423,67,6.31,60,6.08,2,32:44,3:13,19,4,14,1,12,4,33.3,0,0,,4,4,4,1,1,0,0,1
9,CIN,2014-11-06,4,1,7,55,6,62,1,1,17.6,43.8,Thu,9,10,,CLE,L 3-24,11,6,4,1,17,3,17.6,1,1,100.0,368,1,7,55,6,62,13,117,3,3,3,2,1,0,165,63,2.62,75,4.91,4,24:11,3:14,21,9,11,1,16,7,43.8,0,0,,0,0,0,1,1,0,0,0
10,CIN,2014-11-16,0,1,4,33,5,34,2,1,69.2,61.5,Sun,10,11,@,NOR,W 27-10,22,7,13,2,13,9,69.2,0,0,,330,1,4,33,5,34,9,67,1,1,1,1,1,0,405,59,6.86,67,4.93,0,29:14,2:50,24,3,18,3,13,8,61.5,1,0,0.0,3,3,3,2,2,0,0,0
11,CIN,2014-11-23,1,1,6,60,3,15,2,2,55.0,28.6,Sun,11,12,@,HOU,W 22-13,24,6,17,1,20,11,55.0,1,0,0.0,248,1,6,60,3,15,9,75,1,1,1,2,2,0,372,78,4.77,65,3.82,1,39:10,3:02,18,4,11,3,14,4,28.6,3,2,66.7,2,2,2,2,2,0,0,1
12,CIN,2014-11-30,3,1,10,73,13,94,0,2,45.5,18.2,Sun,12,13,@,TAM,W 14-13,19,7,10,2,11,5,45.5,0,0,,263,1,10,73,13,94,23,167,1,1,1,2,2,0,288,58,4.97,55,4.78,3,30:37,3:03,14,4,7,3,11,2,18.2,1,0,0.0,2,2,2,0,0,0,0,0
13,CIN,2014-12-07,2,0,7,54,3,20,0,2,27.3,50.0,Sun,13,14,,PIT,L 21-42,16,6,10,0,11,3,27.3,1,0,0.0,543,0,7,54,3,20,10,74,5,4,4,2,2,0,408,59,6.92,70,7.76,2,27:15,3:11,25,8,16,1,16,8,50.0,0,0,,3,3,3,0,0,0,0,0
14,CIN,2014-12-14,1,2,5,41,9,68,3,0,50.0,10.0,Sun,14,15,@,CLE,W 30-0,24,16,6,2,14,7,50.0,2,2,100.0,107,2,5,41,9,68,14,109,0,0,0,0,0,0,347,71,4.89,38,2.82,1,38:52,2:50,5,1,2,2,10,1,10.0,1,1,100.0,3,3,3,3,3,0,0,0
