Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,GNB,2014-09-04,1,1,8,65,4,69,1,2,50.0,36.4,Thu,1,1,@,SEA,L 16-36,19,4,13,2,12,6,50.0,1,0,0.0,398,1,8,65,4,69,12,134,4,4,4,2,2,1,255,57,4.47,66,6.03,1,26:40,2:56,25,13,8,4,11,4,36.4,1,1,100.0,2,1,1,1,1,1,0,0
2,GNB,2014-09-14,1,1,3,34,7,82,3,1,50.0,47.1,Sun,2,2,,NYJ,W 31-24,25,5,17,3,14,7,50.0,0,0,,313,1,3,34,7,82,10,116,3,3,3,1,1,0,390,68,5.74,71,4.41,1,29:34,3:21,19,7,11,1,17,8,47.1,3,2,66.7,3,2,2,3,3,1,1,0
3,GNB,2014-09-21,1,3,5,30,6,40,0,1,40.0,61.1,Sun,3,3,@,DET,L 7-19,14,3,9,2,10,4,40.0,1,0,0.0,353,3,5,30,6,40,11,70,2,2,2,2,1,1,223,51,4.37,74,4.77,1,21:47,2:46,21,6,13,2,18,11,61.1,0,0,,1,1,1,0,0,0,0,0
4,GNB,2014-09-28,0,2,9,70,6,46,1,1,50.0,63.6,Sun,4,4,@,CHI,W 38-17,21,3,16,2,8,4,50.0,0,0,,496,2,9,70,6,46,15,116,2,2,2,1,1,0,358,47,7.62,77,6.44,0,23:38,2:56,33,16,14,3,11,7,63.6,3,2,66.7,5,5,5,2,1,0,0,0
5,GNB,2014-10-02,1,3,5,30,9,91,0,1,36.4,33.3,Thu,5,5,,MIN,W 42-10,15,6,8,1,11,4,36.4,0,0,,299,3,5,30,9,91,14,121,1,1,1,1,1,0,320,52,6.15,75,3.99,1,27:51,3:02,20,6,13,1,15,5,33.3,2,1,50.0,6,6,6,0,0,0,0,0
6,GNB,2014-10-12,0,3,4,44,5,25,2,1,47.1,40.0,Sun,6,6,@,MIA,W 27-24,27,8,17,2,17,8,47.1,1,1,100.0,349,3,4,44,5,25,9,69,3,3,3,1,1,0,369,79,4.67,55,6.35,0,37:12,3:18,19,5,12,2,10,4,40.0,1,0,0.0,3,3,3,2,2,0,0,0
7,GNB,2014-10-19,0,1,5,29,9,70,1,1,36.4,33.3,Sun,7,7,,CAR,W 38-17,22,10,9,3,11,4,36.4,0,0,,331,1,5,29,9,70,14,99,2,2,2,1,1,0,363,56,6.48,67,4.94,0,29:49,3:07,23,6,14,3,12,4,33.3,1,0,0.0,5,5,5,1,1,0,0,0
8,GNB,2014-10-26,3,1,8,84,4,35,3,3,14.3,60.0,Sun,8,8,@,NOR,L 23-44,23,5,16,2,7,1,14.3,2,1,50.0,495,1,8,84,4,35,12,119,5,5,5,3,3,0,491,63,7.79,65,7.62,3,28:21,3:03,28,11,15,2,10,6,60.0,1,0,0.0,2,2,2,3,3,0,0,0
9,GNB,2014-11-09,1,3,5,50,11,163,2,0,46.2,25.0,Sun,9,10,,CHI,W 55-14,21,6,13,2,13,6,46.2,2,2,100.0,311,3,5,50,11,163,16,213,2,2,2,0,0,0,451,64,7.05,68,4.57,1,29:41,3:22,21,5,12,4,12,3,25.0,4,0,0.0,7,7,7,2,2,0,0,0
10,GNB,2014-11-16,0,4,4,52,6,53,2,2,57.1,33.3,Sun,10,11,,PHI,W 53-20,25,6,18,1,14,8,57.1,0,0,,429,4,4,52,6,53,10,105,2,2,2,2,2,0,475,64,7.42,78,5.50,0,32:42,3:04,22,5,17,0,15,5,33.3,3,2,66.7,7,6,5,3,2,1,0,0
11,GNB,2014-11-23,0,1,8,75,7,77,1,2,54.5,38.5,Sun,11,12,@,MIN,W 24-21,24,11,10,3,11,6,54.5,0,0,,308,1,8,75,7,77,15,152,2,1,1,2,2,0,362,62,5.84,64,4.81,0,31:45,2:57,20,7,11,2,13,5,38.5,1,1,100.0,3,3,3,1,1,0,0,0
12,GNB,2014-11-30,0,0,4,22,4,25,4,0,58.8,40.0,Sun,12,13,,NWE,W 26-21,24,6,16,2,17,10,58.8,0,0,,320,0,4,22,4,25,8,47,3,3,3,1,0,0,478,70,6.83,54,5.93,0,36:35,3:00,20,5,14,1,10,4,40.0,1,1,100.0,2,2,2,5,4,0,0,0
13,GNB,2014-12-08,0,1,5,40,3,11,3,1,58.3,45.5,Mon,13,14,,ATL,W 43-37,28,10,17,1,12,7,58.3,1,0,0.0,465,1,5,40,3,11,8,51,5,4,4,2,1,0,502,67,7.49,64,7.27,0,33:01,3:16,26,8,17,1,11,5,45.5,3,3,100.0,5,5,4,3,3,0,0,0
14,GNB,2014-12-14,2,1,9,70,10,75,2,4,28.6,25.0,Sun,14,15,@,BUF,L 13-21,21,8,12,1,14,4,28.6,0,0,,253,1,9,70,10,75,19,145,1,1,1,4,4,1,333,67,4.97,63,4.02,2,27:02,3:14,13,7,6,0,16,4,25.0,0,0,,1,1,1,3,2,0,0,0
15,GNB,2014-12-21,1,1,5,40,3,30,2,1,46.2,28.6,Sun,15,16,@,TAM,W 20-3,23,6,17,0,13,6,46.2,1,0,0.0,109,1,5,40,3,30,8,70,0,0,0,1,1,0,431,72,5.99,47,2.32,1,38:38,2:44,6,1,5,0,14,4,28.6,1,1,100.0,2,2,2,3,2,0,0,0
16,GNB,2014-12-28,2,1,5,40,10,53,0,0,61.5,36.4,Sun,16,17,,DET,W 30-20,24,7,14,3,13,8,61.5,1,0,0.0,313,1,5,40,10,53,15,93,3,2,2,0,0,0,377,62,6.08,66,4.74,2,34:18,3:16,23,8,14,1,11,4,36.4,3,1,33.3,4,4,4,1,0,0,0,1
17,GNB,2015-09-13,0,1,10,74,6,64,1,3,60.0,64.7,Sun,1,1,@,CHI,W 31-23,21,10,10,1,10,6,60.0,1,1,100.0,402,1,10,74,6,64,16,138,2,2,2,3,3,0,322,53,6.08,71,5.66,0,28:08,3:15,25,10,12,3,17,11,64.7,3,2,66.7,4,4,4,1,1,0,0,0
18,GNB,2015-09-20,1,2,6,35,6,92,4,1,36.4,33.3,Sun,2,2,,SEA,W 27-17,21,7,11,3,11,4,36.4,0,0,,324,2,6,35,6,92,12,127,2,2,2,1,1,0,361,64,5.64,57,5.68,1,33:18,3:26,21,8,12,1,9,3,33.3,0,0,,2,1,1,4,4,1,1,0
