Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,HOU,2014-09-07,1,2,6,45,7,71,1,0,50.0,25.0,Sun,1,1,,WAS,W 17-6,16,5,8,3,14,7,50.0,0,0,,372,2,6,45,7,71,13,116,1,1,0,0,0,0,321,56,5.73,63,5.90,1,29:06,2:56,20,7,11,2,12,3,25.0,1,0,0.0,2,2,2,1,1,0,0,0
2,HOU,2014-09-14,0,4,7,85,5,24,3,0,60.0,22.2,Sun,2,2,@,OAK,W 30-14,20,9,9,2,15,9,60.0,0,0,,364,4,7,85,5,24,12,109,2,2,2,0,0,0,327,65,5.03,59,6.17,0,38:36,2:58,22,5,16,1,9,2,22.2,2,2,100.0,3,3,3,4,3,0,0,0
3,HOU,2014-09-21,3,1,5,40,4,31,1,3,16.7,33.3,Sun,3,3,@,NYG,L 17-30,20,4,14,2,12,2,16.7,2,1,50.0,419,1,5,40,4,31,9,71,3,3,3,3,3,0,411,62,6.63,71,5.90,3,27:26,2:55,26,14,10,2,12,4,33.3,1,0,0.0,2,2,2,1,1,0,0,0
4,HOU,2014-09-28,3,2,8,90,8,40,3,1,35.7,31.3,Sun,4,4,,BUF,W 23-17,19,2,13,4,14,5,35.7,0,0,,316,2,8,90,8,40,16,130,2,2,2,1,1,0,301,63,4.78,69,4.58,3,30:56,3:24,17,3,12,2,16,5,31.3,0,0,,2,2,2,3,3,0,0,0
5,HOU,2014-10-05,1,3,5,35,7,56,1,2,30.8,57.1,Sun,5,5,@,DAL,L 17-20 (OT),15,8,7,0,13,4,30.8,1,1,100.0,456,3,5,35,7,56,12,91,2,2,2,3,2,0,330,56,5.89,75,6.08,1,31:08,3:11,24,8,16,0,14,8,57.1,0,0,,2,2,2,1,1,0,0,0
6,HOU,2014-10-09,2,2,5,66,5,51,0,2,12.5,50.0,Thu,6,6,,IND,L 28-33,18,7,9,2,8,1,12.5,1,0,0.0,456,2,5,66,5,51,10,117,4,3,3,2,2,0,332,52,6.38,82,5.56,2,23:11,3:15,27,6,18,3,16,8,50.0,0,0,,4,4,4,1,0,0,0,0
7,HOU,2014-10-20,3,1,4,20,6,38,3,3,33.3,35.7,Mon,7,7,@,PIT,L 23-30,20,6,12,2,12,4,33.3,2,2,100.0,328,1,4,20,6,38,10,58,3,3,3,3,3,0,393,63,6.24,62,5.29,3,27:54,3:07,18,2,14,2,14,5,35.7,0,0,,2,2,2,3,3,0,0,0
8,HOU,2014-10-26,0,2,4,35,6,61,3,1,43.8,16.7,Sun,8,8,@,TEN,W 30-16,24,9,14,1,16,7,43.8,0,0,,326,2,4,35,6,61,10,96,2,1,1,1,1,0,405,80,5.06,56,5.82,0,35:22,2:58,13,1,12,0,12,2,16.7,2,1,50.0,3,3,3,3,3,0,0,0
9,HOU,2014-11-02,1,4,9,54,7,55,0,1,38.5,56.3,Sun,9,9,,PHI,L 21-31,15,5,8,2,13,5,38.5,1,0,0.0,483,4,9,54,7,55,16,109,4,4,4,1,1,0,300,59,5.08,79,6.11,1,27:47,3:02,30,12,15,3,16,9,56.3,2,2,100.0,3,3,3,1,0,0,0,0
10,HOU,2014-11-16,1,2,5,55,8,67,3,0,38.9,20.0,Sun,10,11,@,CLE,W 23-7,29,13,12,4,18,7,38.9,1,1,100.0,375,2,5,55,8,67,13,122,1,1,1,1,0,0,424,84,5.05,76,4.93,1,33:53,3:10,24,4,18,2,15,3,20.0,2,0,0.0,2,2,2,4,3,0,0,0
11,HOU,2014-11-23,1,1,3,15,6,60,2,2,28.6,55.0,Sun,11,12,,CIN,L 13-22,18,4,11,3,14,4,28.6,3,2,66.7,372,1,3,15,6,60,9,75,2,2,2,2,2,1,248,65,3.82,78,4.77,1,20:50,3:02,24,6,17,1,20,11,55.0,1,0,0.0,1,1,1,2,2,0,0,0
12,HOU,2014-11-30,1,4,5,40,6,66,1,0,64.7,33.3,Sun,12,13,,TEN,W 45-21,24,5,18,1,17,11,64.7,1,1,100.0,320,4,5,40,6,66,11,106,3,3,3,0,0,0,457,69,6.62,56,5.71,1,33:16,3:00,19,6,10,3,9,3,33.3,0,0,,6,6,6,2,1,0,0,0
13,HOU,2014-12-07,0,1,7,64,6,40,2,2,21.4,33.3,Sun,13,14,@,JAX,W 27-13,19,9,7,3,14,3,21.4,2,2,100.0,262,1,7,64,6,40,13,104,1,1,1,2,2,0,304,63,4.83,66,3.97,0,32:29,3:00,17,4,10,3,15,5,33.3,2,0,0.0,3,3,3,2,2,0,0,0
14,HOU,2014-12-14,2,2,8,66,7,45,1,1,31.3,16.7,Sun,14,15,@,IND,L 10-17,14,5,7,2,16,5,31.3,3,0,0.0,278,2,8,66,7,45,15,111,2,2,2,1,1,0,289,67,4.31,64,4.34,2,31:05,3:06,20,5,12,3,12,2,16.7,0,0,,1,1,1,1,1,0,0,0
15,HOU,2014-12-21,1,3,7,69,7,56,6,0,33.3,26.7,Sun,15,16,,BAL,W 25-13,18,8,9,1,21,7,33.3,0,0,,211,3,7,69,7,56,14,125,2,1,1,0,0,0,313,81,3.86,68,3.10,1,34:58,3:30,15,1,11,3,15,4,26.7,2,0,0.0,1,1,1,6,6,0,0,0
16,HOU,2014-12-28,2,0,6,55,4,25,0,1,55.6,0.0,Sun,16,17,,JAX,W 23-17,24,9,13,2,18,10,55.6,0,0,,233,0,6,55,4,25,10,80,2,2,2,2,1,0,358,77,4.65,53,4.40,2,39:48,3:07,13,5,4,4,11,0,0.0,2,1,50.0,3,3,3,0,0,0,0,1
17,HOU,2015-09-13,2,0,6,39,2,25,2,2,21.4,23.1,Sun,1,1,,KAN,L 20-27,24,6,17,1,14,3,21.4,1,0,0.0,330,0,6,39,2,25,8,64,3,3,3,3,2,0,396,73,5.42,67,4.93,2,24:41,3:16,19,7,12,0,13,3,23.1,0,0,,2,1,0,2,2,1,1,0
18,HOU,2015-09-20,1,1,10,70,10,92,1,1,26.3,30.8,Sun,2,2,@,CAR,L 17-24,21,5,11,5,19,5,26.3,4,2,50.0,350,1,10,70,10,92,20,162,3,3,3,2,1,0,300,82,3.66,72,4.86,1,27:31,3:39,25,9,13,3,13,4,30.8,0,0,,2,2,2,1,1,0,0,0
19,HOU,2015-09-27,1,1,6,58,10,84,2,1,44.4,8.3,Sun,3,3,,TAM,W 19-9,30,10,16,4,18,8,44.4,0,0,,318,1,6,58,10,84,16,142,1,1,0,4,1,0,413,86,4.80,56,5.68,1,36:16,3:19,14,2,11,1,12,1,8.3,0,0,,2,2,1,3,2,0,0,0
20,HOU,2015-10-04,4,0,5,35,10,80,0,0,46.7,56.3,Sun,4,4,@,ATL,L 21-48,24,3,19,2,15,7,46.7,2,0,0.0,378,0,5,35,10,80,15,115,7,6,6,0,0,0,428,75,5.71,64,5.91,4,24:08,3:18,22,8,10,4,16,9,56.3,1,1,100.0,3,3,3,1,0,0,0,0
21,HOU,2015-10-08,2,0,13,125,7,65,2,2,50.0,27.3,Thu,5,5,,IND,L 20-27,24,5,17,2,16,8,50.0,1,1,100.0,323,0,13,125,7,65,20,190,3,3,3,2,2,0,444,70,6.34,59,5.47,2,32:27,3:01,22,6,10,6,11,3,27.3,1,1,100.0,2,2,2,2,2,0,0,0
22,HOU,2015-10-18,0,3,10,69,7,64,1,0,50.0,33.3,Sun,6,6,@,JAX,W 31-20,24,6,15,3,14,7,50.0,2,1,50.0,394,3,10,69,7,64,17,133,3,3,2,0,0,0,382,68,5.62,77,5.12,0,30:02,3:28,26,4,18,4,15,5,33.3,2,2,100.0,4,4,4,1,1,0,0,0
23,HOU,2015-10-25,1,1,3,25,8,52,0,1,40.0,11.1,Sun,7,7,@,MIA,L 26-44,24,6,18,0,15,6,40.0,1,0,0.0,503,1,3,25,8,52,11,77,6,6,5,1,1,0,322,78,4.13,59,8.53,1,27:55,3:19,21,8,11,2,9,1,11.1,0,0,,4,3,2,0,0,1,0,0
24,HOU,2015-11-01,0,3,7,85,6,45,2,2,26.7,8.3,Sun,8,8,,TEN,W 20-6,14,1,11,2,15,4,26.7,1,0,0.0,211,3,7,85,6,45,13,130,0,0,0,2,2,0,270,61,4.43,58,3.64,0,28:52,2:56,15,3,9,3,12,1,8.3,1,0,0.0,2,2,2,2,2,0,0,0
