Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
1,JAX,2014-09-07,242,2,64,0,1,275,145,29:14,Sun,1,1,@,PHI,L 17-34,24,43,19,55.8,2,0,4.7,0.0,89.9,3,24,6.52,5.6,5.26,6.56,6.13,10.1,32,4.5,1,27,45,60.0,2,5,47,1,83.1,24,306,70,4.37,82,5.12,1,3:23
2,JAX,2014-09-14,123,1,25,0,1,258,191,20:59,Sun,2,2,@,WAS,L 10-41,14,28,14,50.0,1,1,3.6,3.6,69.5,10,70,26.32,4.4,3.24,3.5,2.58,8.8,42,4.5,3,24,36,66.7,2,3,30,0,106.0,10,148,48,3.08,81,5.54,1,3:15
3,JAX,2014-09-21,239,2,105,0,3,385,144,22:57,Sun,3,3,,IND,L 17-44,18,31,13,58.1,2,2,6.5,6.5,79.5,4,17,11.43,7.7,6.83,6.1,5.4,13.3,29,5.0,0,33,43,76.7,4,2,5,0,134.4,20,344,55,6.25,74,7.15,3,3:05
4,JAX,2014-09-28,235,1,85,1,3,365,42,30:34,Sun,4,4,@,LAC,L 14-33,29,37,8,78.4,1,2,2.7,5.4,81.8,3,19,7.5,6.4,5.88,4.46,4.13,8.1,20,2.1,0,29,39,74.4,3,2,12,0,128.7,25,320,65,4.92,61,6.67,3,3:06
5,JAX,2014-10-05,187,0,56,0,2,261,111,24:43,Sun,5,5,,PIT,L 9-17,22,36,14,61.1,0,2,0.0,5.6,52.0,1,4,2.7,5.2,5.05,2.69,2.62,8.5,28,4.0,0,26,36,72.2,1,4,12,0,101.7,15,243,52,4.67,68,5.47,2,2:54
6,JAX,2014-10-12,297,1,82,1,2,220,70,31:07,Sun,6,6,@,TEN,L 14-16,32,46,14,69.6,1,1,2.2,2.2,88.7,6,39,11.54,6.5,5.71,5.91,5.23,9.3,24,2.9,1,17,28,60.7,0,3,13,0,85.4,23,379,75,5.05,55,5.27,2,3:05
7,JAX,2014-10-19,151,1,185,2,3,197,69,31:33,Sun,7,7,,CLE,W 24-6,17,31,14,54.8,1,3,3.2,9.7,40.3,2,8,6.06,4.9,4.58,1.16,1.09,8.9,30,2.3,0,16,41,39.0,0,3,18,1,44.5,35,336,68,4.94,74,3.59,3,3:16
8,JAX,2014-10-26,201,1,176,0,3,178,148,32:23,Sun,8,8,,MIA,L 13-27,18,34,16,52.9,1,2,2.9,5.9,58.6,4,20,10.53,5.9,5.29,3.85,3.45,11.2,24,6.2,0,16,29,55.2,1,3,18,1,70.8,30,377,68,5.54,56,5.82,3,3:05
9,JAX,2014-11-02,233,2,132,1,1,232,191,27:16,Sun,9,9,@,CIN,L 23-33,22,33,11,66.7,2,1,6.1,3.0,96.4,2,14,5.71,7.1,6.66,6.91,6.51,10.6,34,5.6,2,19,31,61.3,2,2,1,2,79.0,25,365,60,6.08,67,6.31,1,3:13
10,JAX,2014-11-09,262,0,71,2,3,248,151,28:28,Sun,10,10,,DAL,L 17-31,22,37,15,59.5,0,1,0.0,2.7,73.0,4,28,9.76,7.1,6.39,5.86,5.29,11.9,30,5.0,1,21,28,75.0,3,1,6,0,137.2,24,333,65,5.12,59,6.76,3,3:08
