Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,STL,2014-09-07,2,0,13,121,7,60,2,2,28.6,25.0,Sun,1,1,,MIN,L 6-34,15,4,10,1,14,4,28.6,0,0,,355,0,13,121,7,60,20,181,4,4,4,2,2,0,318,63,5.05,57,6.23,2,31:43,3:03,18,6,10,2,12,3,25.0,0,0,,0,0,0,3,2,0,0,0
2,STL,2014-09-14,1,1,5,65,4,30,4,1,45.5,50.0,Sun,2,2,@,TAM,W 19-17,20,6,14,0,11,5,45.5,0,0,,332,1,5,65,4,30,9,95,2,2,2,2,1,0,339,60,5.65,52,6.38,1,32:05,3:41,18,8,7,3,8,4,50.0,0,0,,1,1,1,4,4,0,0,0
3,STL,2014-09-21,3,2,8,119,3,15,1,2,61.5,50.0,Sun,3,3,,DAL,L 31-34,26,7,18,1,13,8,61.5,2,1,50.0,340,2,8,119,3,15,11,134,4,4,4,2,2,0,448,72,6.22,52,6.54,3,32:50,3:02,19,5,10,4,10,5,50.0,0,0,,4,4,4,1,1,0,0,0
4,STL,2014-10-05,3,3,10,82,4,39,0,2,50.0,53.3,Sun,4,5,@,PHI,L 28-34,29,7,21,1,14,7,50.0,1,0,0.0,352,3,10,82,4,39,14,121,4,4,4,2,2,0,466,76,6.13,70,5.03,3,32:59,3:13,22,7,13,2,15,8,53.3,0,0,,4,4,4,0,0,0,0,0
5,STL,2014-10-13,1,1,8,38,5,23,1,1,35.7,42.9,Mon,5,6,,SFO,L 17-31,19,5,12,2,14,5,35.7,0,0,,432,1,8,38,5,23,13,61,4,4,4,1,1,0,309,71,4.35,65,6.65,1,31:22,3:14,17,5,10,2,14,6,42.9,2,0,0.0,2,2,2,1,1,0,0,0
6,STL,2014-10-19,0,0,2,20,10,86,0,2,44.4,50.0,Sun,6,7,,SEA,W 28-26,18,6,10,2,9,4,44.4,1,1,100.0,463,0,2,20,10,86,12,106,3,2,2,2,2,0,275,48,5.73,68,6.81,0,27:36,3:02,25,9,16,0,12,6,50.0,0,0,,4,4,4,1,0,0,0,0
7,STL,2014-10-26,1,1,8,68,7,51,0,2,27.3,50.0,Sun,7,8,@,KAN,L 7-34,13,5,8,0,11,3,27.3,1,0,0.0,355,1,8,68,7,51,15,119,4,4,4,2,2,0,200,51,3.92,64,5.55,1,24:22,2:59,23,9,10,4,12,6,50.0,0,0,,1,1,1,1,0,0,0,0
8,STL,2014-11-02,2,2,9,83,9,44,2,1,33.3,25.0,Sun,8,9,@,SFO,W 13-10,13,3,8,2,12,4,33.3,0,0,,263,2,9,83,9,44,18,127,1,1,1,2,1,0,193,52,3.71,62,4.24,2,27:34,3:07,20,4,12,4,12,3,25.0,0,0,,1,1,1,2,2,0,0,0
9,STL,2014-11-09,3,1,8,80,5,35,0,1,10.0,40.0,Sun,9,10,@,ARI,L 14-31,16,5,9,2,10,1,10.0,2,1,50.0,335,1,8,80,5,35,13,115,4,4,4,2,1,0,244,58,4.21,66,5.08,3,26:40,3:02,21,3,18,0,15,6,40.0,0,0,,2,2,2,0,0,0,0,0
10,STL,2014-11-16,0,2,3,25,8,62,5,0,35.3,33.3,Sun,10,11,,DEN,W 22-7,16,4,12,0,17,6,35.3,0,0,,397,2,3,25,8,62,11,87,1,1,1,0,0,0,337,65,5.18,66,6.02,0,35:50,3:02,21,1,19,1,12,4,33.3,3,0,0.0,1,1,1,5,5,0,0,0
