Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,MIA,2014-09-07,3,2,4,26,9,100,4,2,53.8,29.4,Sun,1,1,,NWE,W 33-20,25,11,10,4,13,7,53.8,0,0,,315,2,4,26,9,100,13,126,2,2,2,2,2,0,360,71,5.07,80,3.94,3,30:27,3:17,20,7,12,1,17,5,29.4,4,2,50.0,3,3,3,4,4,0,0,0
2,MIA,2014-09-14,2,0,3,20,6,40,1,5,31.3,33.3,Sun,2,2,@,BUF,L 10-29,23,4,16,3,16,5,31.3,4,1,25.0,315,0,3,20,6,40,9,60,2,2,2,6,5,0,290,74,3.92,59,5.34,2,31:17,3:07,13,3,10,0,15,5,33.3,0,0,,1,1,1,1,1,0,0,0
3,MIA,2014-09-21,0,2,6,65,4,23,2,0,26.7,56.3,Sun,3,3,,KAN,L 15-34,18,6,12,0,15,4,26.7,2,0,0.0,342,2,6,65,4,23,10,88,5,4,4,0,0,0,332,67,4.96,71,4.82,0,26:18,3:01,23,8,14,1,16,9,56.3,1,1,100.0,1,1,1,3,2,0,0,1
4,MIA,2014-09-28,3,4,5,35,9,80,1,0,45.5,42.9,Sun,4,4,@,OAK,W 38-14,24,8,15,1,11,5,45.5,2,1,50.0,317,4,5,35,9,80,14,115,2,2,2,0,0,0,435,66,6.59,64,4.95,3,30:54,2:57,17,2,15,0,14,6,42.9,1,0,0.0,5,5,5,1,1,0,0,0
5,MIA,2014-10-12,3,0,5,25,4,44,1,2,40.0,47.1,Sun,5,6,,GNB,L 24-27,19,5,12,2,10,4,40.0,1,0,0.0,369,0,5,25,4,44,9,69,3,3,3,2,2,0,349,55,6.35,79,4.67,3,22:48,3:18,27,8,17,2,17,8,47.1,1,1,100.0,3,3,3,1,1,0,0,0
6,MIA,2014-10-19,0,3,7,84,2,15,2,0,36.4,41.7,Sun,6,7,@,CHI,W 27-14,24,7,17,0,11,4,36.4,1,1,100.0,224,3,7,84,2,15,9,99,2,2,2,0,0,0,393,69,5.70,51,4.39,0,37:22,2:50,14,3,10,1,12,5,41.7,3,2,66.7,3,3,3,4,2,0,0,0
7,MIA,2014-10-26,1,3,7,52,6,37,2,2,41.7,40.0,Sun,7,8,@,JAX,W 27-13,17,7,8,2,12,5,41.7,0,0,,377,3,7,52,6,37,13,89,1,1,1,3,2,0,326,56,5.82,68,5.54,1,27:37,3:05,19,6,11,2,15,6,40.0,2,2,100.0,3,3,3,2,2,0,0,0
8,MIA,2014-11-02,0,4,3,25,7,57,3,0,57.1,27.3,Sun,8,9,,SDG,W 37-0,28,10,17,1,14,8,57.1,1,0,0.0,178,4,3,25,7,57,10,82,0,0,0,0,0,0,441,74,5.96,49,3.63,0,36:07,2:58,10,2,8,0,11,3,27.3,1,0,0.0,4,4,4,4,3,0,0,0
9,MIA,2014-11-09,2,1,5,44,10,98,3,2,35.7,25.0,Sun,9,10,@,DET,L 16-20,20,2,15,3,14,5,35.7,0,0,,351,1,5,44,10,98,15,142,2,2,2,3,2,0,228,60,3.80,64,5.48,2,28:26,3:08,19,2,15,2,12,3,25.0,3,2,66.7,1,1,1,3,3,0,0,0
10,MIA,2014-11-13,2,0,4,30,7,70,2,3,44.4,40.0,Thu,10,11,,BUF,W 22-9,24,6,15,3,9,4,44.4,0,0,,237,0,4,30,7,70,11,100,0,0,0,4,3,0,330,63,5.24,60,3.95,2,32:22,2:58,13,4,9,0,15,6,40.0,2,0,0.0,2,2,2,2,2,0,0,1
