Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,NOR,2014-09-07,2,1,3,27,10,96,2,3,61.5,54.5,Sun,1,1,@,ATL,L 34-37 (OT),30,9,17,4,13,8,61.5,0,0,,568,1,3,27,10,96,13,123,4,4,4,3,3,0,472,70,6.74,69,8.23,2,30:25,3:18,28,6,21,1,11,6,54.5,0,0,,4,4,4,2,2,0,0,0
2,NOR,2014-09-14,2,0,5,39,4,30,1,2,53.8,43.8,Sun,2,2,@,CLE,L 24-26,26,10,16,0,13,7,53.8,0,0,,324,0,5,39,4,30,9,69,3,2,2,2,2,0,397,69,5.75,72,4.50,2,31:50,3:08,23,7,14,2,16,7,43.8,2,2,100.0,3,3,3,1,1,0,0,0
3,NOR,2014-09-21,0,0,4,30,5,44,0,3,69.2,40.0,Sun,3,3,,MIN,W 20-9,27,8,17,2,13,9,69.2,0,0,,247,0,4,30,5,44,9,74,0,0,0,3,3,0,396,68,5.82,54,4.57,0,33:33,2:47,13,3,8,2,15,6,40.0,0,0,,3,3,2,0,0,0,0,0
4,NOR,2014-09-28,3,0,3,20,6,50,1,1,40.0,57.1,Sun,4,4,@,DAL,L 17-38,20,4,14,2,10,4,40.0,2,1,50.0,445,0,3,20,6,50,9,70,5,5,5,1,1,0,438,59,7.42,65,6.85,3,25:15,3:00,24,10,14,0,14,8,57.1,0,0,,2,2,2,2,1,0,0,0
5,NOR,2014-10-05,3,1,6,50,15,113,3,1,46.2,33.3,Sun,5,5,,TAM,W 37-31 (OT),34,12,17,5,13,6,46.2,0,0,,314,1,6,50,15,113,21,163,4,4,4,1,1,0,511,86,5.94,54,5.81,3,38:32,3:29,20,4,13,3,9,3,33.3,0,0,,4,2,2,3,3,1,0,1
6,NOR,2014-10-19,2,2,12,134,9,71,3,1,25.0,46.7,Sun,6,7,@,DET,L 23-24,25,5,15,5,12,3,25.0,2,1,50.0,344,2,12,134,9,71,21,205,3,3,3,1,1,0,408,67,6.09,67,5.13,2,27:42,3:11,21,4,13,4,15,7,46.7,0,0,,2,2,2,3,3,0,0,0
7,NOR,2014-10-26,1,3,4,35,8,84,3,3,60.0,14.3,Sun,7,8,,GNB,W 44-23,28,11,15,2,10,6,60.0,1,0,0.0,491,3,4,35,8,84,12,119,2,2,2,3,3,0,495,65,7.62,63,7.79,1,31:39,3:03,23,5,16,2,7,1,14.3,2,1,50.0,5,5,5,3,3,0,0,0
8,NOR,2014-10-30,2,2,4,36,6,67,0,1,53.8,42.9,Thu,8,9,@,CAR,W 28-10,27,7,17,3,13,7,53.8,1,1,100.0,231,2,4,36,6,67,10,103,1,1,1,1,1,0,375,75,5.00,54,4.28,2,35:18,2:53,15,7,6,2,14,6,42.9,0,0,,4,4,4,0,0,0,0,0
9,NOR,2014-11-09,3,1,6,43,2,15,1,2,44.4,40.0,Sun,9,10,,SFO,L 24-27 (OT),23,7,15,1,18,8,44.4,2,2,100.0,330,1,6,43,2,15,8,58,3,3,3,2,2,0,423,80,5.29,68,4.85,3,36:00,3:38,21,10,10,1,15,6,40.0,1,1,100.0,3,3,3,1,1,0,0,0
10,NOR,2014-11-16,1,0,5,34,4,33,1,2,61.5,69.2,Sun,10,11,,CIN,L 10-27,24,3,18,3,13,8,61.5,1,0,0.0,405,0,5,34,4,33,9,67,3,3,3,2,2,0,330,67,4.93,59,6.86,1,30:46,2:50,22,7,13,2,13,9,69.2,0,0,,1,1,1,1,1,0,0,0
11,NOR,2014-11-24,1,1,5,50,6,42,2,2,41.7,69.2,Mon,11,12,,BAL,L 27-34,26,3,20,3,12,5,41.7,1,0,0.0,449,1,5,50,6,42,11,92,4,4,4,2,2,0,525,70,7.50,57,7.88,1,29:45,3:08,23,12,9,2,13,9,69.2,0,0,,3,3,3,2,2,0,0,0
12,NOR,2014-11-30,0,2,11,77,5,28,0,3,40.0,42.9,Sun,12,13,@,PIT,W 35-32,20,5,13,2,10,4,40.0,0,0,,538,2,11,77,5,28,16,105,3,1,1,4,3,0,393,54,7.28,82,6.56,0,26:01,3:18,36,6,25,5,14,6,42.9,1,0,0.0,5,5,5,0,0,0,0,0
13,NOR,2014-12-07,2,0,4,30,6,55,1,2,35.7,46.7,Sun,13,14,,CAR,L 10-41,18,7,11,0,14,5,35.7,2,1,50.0,497,0,4,30,6,55,10,85,5,5,5,2,2,0,310,68,4.56,73,6.81,2,24:00,3:16,24,11,11,2,15,7,46.7,0,0,,1,1,1,2,1,0,0,0
14,NOR,2014-12-15,1,3,3,25,9,74,1,0,36.4,16.7,Mon,14,15,@,CHI,W 31-15,25,3,19,3,11,4,36.4,0,0,,278,3,3,25,9,74,12,99,2,1,1,0,0,0,443,64,6.92,58,4.79,1,33:31,3:03,16,8,8,0,12,2,16.7,2,0,0.0,4,4,4,2,1,0,0,0
15,NOR,2014-12-21,4,0,3,25,6,64,0,3,50.0,46.7,Sun,15,16,,ATL,L 14-30,22,2,20,0,14,7,50.0,2,1,50.0,403,0,3,25,6,64,9,89,3,3,3,3,3,0,328,70,4.69,62,6.50,4,27:51,3:00,18,3,15,0,15,7,46.7,0,0,,2,2,2,0,0,0,0,0
16,NOR,2014-12-28,3,1,2,15,4,23,0,2,50.0,52.9,Sun,16,17,@,TAM,W 23-20,20,5,14,1,14,7,50.0,1,1,100.0,280,1,2,15,4,23,6,38,2,2,2,2,2,0,338,63,5.37,65,4.31,3,27:13,2:55,18,8,9,1,17,9,52.9,0,0,,3,3,3,0,0,0,0,1
17,NOR,2015-09-13,1,1,7,73,5,30,4,1,38.9,50.0,Sun,1,1,@,ARI,L 19-31,18,4,12,2,18,7,38.9,1,0,0.0,427,1,7,73,5,30,12,103,4,4,4,1,1,0,408,70,5.83,57,7.49,1,33:24,3:07,25,7,13,5,10,5,50.0,0,0,,1,1,1,4,4,0,0,0
18,NOR,2015-09-20,3,2,10,115,11,90,0,4,50.0,35.7,Sun,2,2,,TAM,L 19-26,21,8,11,2,14,7,50.0,1,1,100.0,333,2,10,115,11,90,21,205,2,2,2,5,4,0,323,69,4.68,59,5.64,3,31:28,3:16,18,6,7,5,14,5,35.7,0,0,,3,2,1,1,0,1,0,0
19,NOR,2015-09-27,2,0,8,55,10,88,1,2,58.3,45.5,Sun,3,3,@,CAR,L 22-27,27,5,18,4,12,7,58.3,1,1,100.0,431,0,8,55,10,88,18,143,3,3,3,2,2,0,380,63,6.03,62,6.95,2,32:44,3:10,24,7,15,2,11,5,45.5,1,1,100.0,3,1,1,1,1,2,0,0
20,NOR,2015-10-04,0,0,8,64,6,30,2,2,46.2,25.0,Sun,4,4,,DAL,W 26-20 (OT),27,7,17,3,13,6,46.2,1,1,100.0,335,0,8,64,6,30,14,94,2,2,2,2,2,0,438,69,6.35,57,5.88,0,30:53,3:09,21,4,11,6,12,3,25.0,1,1,100.0,3,2,2,3,2,0,0,0
21,NOR,2015-10-11,4,2,7,78,4,35,1,4,50.0,36.4,Sun,5,5,@,PHI,L 17-39,19,5,14,0,16,8,50.0,1,1,100.0,519,2,7,78,4,35,11,113,4,4,3,4,4,0,388,69,5.62,79,6.57,4,25:58,3:08,34,11,18,5,11,4,36.4,2,0,0.0,2,2,2,1,1,0,0,0
22,NOR,2015-10-15,0,3,3,15,7,41,1,0,50.0,25.0,Thu,6,6,,ATL,W 31-21,25,7,16,2,16,8,50.0,1,1,100.0,413,3,3,15,7,41,10,56,3,3,3,0,0,0,385,72,5.35,70,5.90,0,32:30,3:07,23,8,15,0,12,3,25.0,4,3,75.0,4,4,4,3,1,0,0,0
23,NOR,2015-10-25,1,3,12,100,7,42,0,0,35.0,23.1,Sun,7,7,@,IND,W 27-21,22,9,12,1,20,7,35.0,1,1,100.0,376,3,12,100,7,42,19,142,3,3,3,0,0,0,449,83,5.41,61,6.16,1,38:23,3:35,15,3,10,2,13,3,23.1,0,0,,4,4,3,0,0,0,0,0
24,NOR,2015-11-01,2,1,12,93,6,53,1,0,63.6,12.5,Sun,8,8,,NYG,W 52-49,35,10,24,1,11,7,63.6,1,1,100.0,416,1,12,93,6,53,18,146,7,7,7,0,0,0,608,76,8.00,65,6.40,2,34:59,3:33,28,5,16,7,8,1,12.5,2,2,100.0,7,7,7,1,1,0,0,0
25,NOR,2015-11-08,2,1,8,75,9,66,0,2,54.5,38.5,Sun,9,9,,TEN,L 28-34 (OT),30,5,18,7,11,6,54.5,0,0,,483,1,8,75,9,66,17,141,4,2,2,3,2,0,416,70,5.94,67,7.21,2,32:49,3:19,25,3,19,3,13,5,38.5,0,0,,4,4,4,1,0,0,0,0
