Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
1,NYJ,2014-09-07,190,1,212,1,2,133,25,34:50,Sun,1,1,,LVR,W 19-14,23,29,6,79.3,1,1,3.4,3.4,95.5,2,31,6.45,6.6,6.13,5.69,5.32,8.3,15,1.7,0,20,32,62.5,2,2,18,0,92.3,34,402,65,6.18,49,3.22,2,2:58
2,NYJ,2014-09-14,166,1,147,2,1,310,80,30:26,Sun,2,2,@,GNB,L 24-31,16,32,16,50.0,1,1,3.1,3.1,64.1,2,10,5.88,5.2,4.88,4.41,4.15,10.4,22,3.6,0,25,42,59.5,3,4,36,0,106.2,37,313,71,4.41,68,5.74,1,3:21
3,NYJ,2014-09-22,300,1,114,0,3,197,60,31:52,Mon,3,3,,CHI,L 19-27,26,43,17,60.5,1,2,2.3,4.7,71.5,3,16,6.52,7.0,6.52,5.35,5.0,11.5,21,2.9,0,23,38,60.5,2,4,28,0,91.7,26,414,72,5.75,63,4.08,3,3:14
4,NYJ,2014-09-28,204,1,132,1,2,272,88,25:07,Sun,4,4,,DET,L 17-24,17,33,16,51.5,1,1,3.0,3.0,68.9,2,5,5.71,6.2,5.83,5.42,5.11,12.0,27,3.3,1,24,34,70.6,2,4,21,0,113.8,27,336,62,5.42,65,5.54,2,3:01
5,NYJ,2014-10-05,60,0,91,0,2,277,162,21:06,Sun,5,5,@,LAC,L 0-31,12,31,19,38.7,0,1,0.0,3.2,33.4,2,14,6.06,1.9,1.82,0.48,0.45,5.0,40,4.1,1,20,28,71.4,3,3,11,1,123.7,21,151,54,2.8,71,6.18,2,3:11
6,NYJ,2014-10-12,173,2,31,0,2,221,138,26:26,Sun,6,6,,DEN,L 17-31,23,43,20,53.5,2,1,4.7,2.3,70.9,4,17,8.51,4.0,3.68,3.91,3.57,7.5,33,4.2,0,22,33,66.7,3,2,16,0,115.8,15,204,62,3.29,68,5.28,2,3:16
7,NYJ,2014-10-16,205,1,218,1,0,260,63,40:54,Thu,7,7,@,NWE,L 25-27,20,34,14,58.8,1,0,2.9,0.0,88.6,3,21,8.11,6.0,5.54,6.62,6.08,10.3,15,4.2,0,20,37,54.1,3,1,1,0,103.4,43,423,80,5.29,53,6.09,0,3:04
8,NYJ,2014-10-26,137,0,175,3,6,213,67,32:17,Sun,8,8,,BUF,L 23-43,20,44,24,45.5,0,4,0.0,9.1,17.0,4,21,8.33,3.1,2.85,-0.98,-0.9,6.9,32,2.1,1,10,17,58.8,4,4,25,0,142.8,33,312,81,3.85,53,5.28,6,3:20
9,NYJ,2014-11-02,225,1,139,0,0,196,113,31:35,Sun,9,9,@,KAN,L 10-24,24,36,12,66.7,1,0,2.8,0.0,94.1,3,10,7.69,6.3,5.77,6.81,6.28,9.4,24,4.7,1,21,31,67.7,2,1,3,0,106.4,30,364,69,5.28,56,5.52,0,2:47
10,NYJ,2014-11-09,125,2,150,0,0,326,36,30:33,Sun,10,10,,PIT,W 20-13,10,18,8,55.6,2,0,11.1,0.0,116.0,4,7,18.18,6.9,5.68,9.17,7.5,12.5,17,2.1,0,30,43,69.8,1,2,17,2,80.2,36,275,58,4.74,62,5.84,0,2:58
11,NYJ,2014-11-24,126,0,92,0,1,220,116,29:06,Mon,11,12,@,BUF,L 3-38,17,31,14,54.8,0,1,0.0,3.2,56.5,7,39,18.42,4.1,3.32,2.61,2.13,7.4,29,4.0,2,24,32,75.0,2,1,10,0,114.1,19,218,57,3.82,62,5.42,1,2:50
12,NYJ,2014-12-01,49,0,277,1,1,217,74,32:35,Mon,12,13,,MIA,L 13-16,7,13,6,53.8,0,1,0.0,7.7,35.7,2,16,13.33,3.8,3.27,0.31,0.27,7.0,18,4.1,1,25,35,71.4,0,2,18,1,75.5,49,326,64,5.09,55,5.29,1,2:52
13,NYJ,2014-12-07,242,1,168,0,2,297,114,35:52,Sun,13,14,@,MIN,L 24-30 (OT),18,29,11,62.1,1,1,3.4,3.4,87.4,3,12,9.38,8.3,7.56,7.48,6.78,13.4,28,4.1,0,19,27,70.4,2,3,12,1,115.8,42,410,74,5.54,58,7.09,2,3:17
14,NYJ,2014-12-14,163,1,114,1,0,253,89,30:03,Sun,14,15,@,TEN,W 16-11,16,28,12,57.1,1,0,3.6,0.0,88.2,3,16,9.68,5.8,5.26,6.54,5.9,10.2,28,3.2,0,16,35,45.7,0,1,7,0,70.3,29,277,60,4.62,64,5.34,0,3:15
15,NYJ,2014-12-21,191,1,116,0,1,146,85,32:21,Sun,15,16,,NWE,L 16-17,17,27,10,63.0,1,1,3.7,3.7,83.9,2,19,6.9,7.1,6.59,6.15,5.72,11.2,24,3.5,1,23,35,65.7,1,4,36,1,71.8,32,307,61,5.03,63,3.67,1,2:51
16,NYJ,2014-12-28,390,3,104,1,1,208,179,31:16,Sun,16,17,@,MIA,W 37-24,21,27,6,77.8,3,0,11.1,0.0,155.8,1,6,3.57,14.4,13.93,16.67,16.07,18.6,20,9.0,2,23,39,59.0,1,7,51,0,82.0,34,494,62,7.97,66,5.86,1,3:09
17,NYJ,2015-09-13,179,2,154,2,1,217,104,28:20,Sun,1,1,,CLE,W 31-10,15,24,9,62.5,2,1,8.3,4.2,95.7,0,0,0.0,7.5,7.46,7.25,7.25,11.9,28,3.7,0,18,32,56.3,1,3,14,1,74.6,36,333,60,5.55,63,5.1,1,3:00
18,NYJ,2015-09-21,243,2,101,0,1,250,93,31:48,Mon,2,2,@,IND,W 20-7,22,34,12,64.7,2,1,5.9,2.9,93.3,1,1,2.86,7.1,6.94,7.0,6.8,11.0,24,3.9,0,21,37,56.8,1,0,0,3,52.8,27,344,62,5.55,61,5.62,1,3:04
19,NYJ,2015-09-27,276,2,47,0,4,108,123,31:49,Sun,3,3,,PHI,L 17-24,35,58,23,60.3,2,3,3.4,5.2,62.6,1,7,1.69,4.8,4.68,3.12,3.07,7.9,38,3.2,1,14,28,50.0,1,1,10,0,71.7,16,323,75,4.31,67,3.45,4,3:15
20,NYJ,2015-10-04,218,1,207,2,1,167,59,37:23,Sun,4,4,@,MIA,W 27-14,16,29,13,55.2,1,1,3.4,3.4,76.5,0,0,0.0,7.5,7.52,6.66,6.66,13.6,11,5.4,0,19,44,43.2,2,3,31,2,50.1,43,425,72,5.9,58,3.9,1,3:27
21,NYJ,2015-10-18,253,2,221,2,3,191,34,32:39,Sun,5,6,,WAS,W 34-20,19,26,7,73.1,2,1,7.7,3.8,113.1,0,0,0.0,9.7,9.73,9.54,9.54,13.3,17,2.0,0,25,44,56.8,1,1,5,2,56.2,41,474,67,7.07,62,3.63,3,3:03
22,NYJ,2015-10-25,283,2,89,0,1,337,16,33:03,Sun,6,7,@,NWE,L 23-30,22,39,17,56.4,2,0,5.1,0.0,97.7,2,12,4.88,7.3,6.9,8.28,7.88,12.9,9,1.8,1,34,54,63.0,2,3,18,0,92.9,29,372,70,5.31,66,5.35,1,3:16
23,NYJ,2015-11-01,292,2,74,0,1,333,118,29:22,Sun,7,8,@,LVR,L 20-34,31,47,16,66.0,2,1,4.3,2.1,89.9,3,19,6.0,6.2,5.84,6.11,5.74,9.4,25,4.7,0,23,36,63.9,4,0,0,0,130.9,21,366,71,5.15,61,7.39,1,3:08
24,NYJ,2015-11-08,261,2,29,2,0,338,98,30:44,Sun,8,9,,JAX,W 28-23,21,34,13,61.8,2,0,5.9,0.0,106.5,2,11,5.56,7.7,7.25,8.85,8.36,12.4,19,5.2,0,24,40,60.0,2,6,43,2,83.1,28,290,64,4.53,65,6.71,0,3:10
25,NYJ,2015-11-12,190,2,128,0,4,132,148,26:44,Thu,9,10,,BUF,L 17-22,15,34,19,44.1,2,2,5.9,5.9,57.6,1,3,2.86,5.6,5.43,4.12,4.0,12.7,33,4.5,0,17,27,63.0,1,4,26,0,87.3,24,318,59,5.39,64,4.38,4,3:21
26,NYJ,2015-11-22,197,1,70,1,2,241,123,26:35,Sun,10,11,@,HOU,L 17-24,19,39,20,48.7,1,2,2.6,5.1,52.9,3,19,7.14,5.1,4.69,3.26,3.02,10.4,37,3.3,0,17,35,48.6,3,1,9,0,99.8,21,267,63,4.24,73,4.99,2,3:13
27,NYJ,2015-11-29,274,4,137,1,0,321,12,31:16,Sun,11,12,,MIA,W 38-20,22,37,15,59.5,4,0,10.8,0.0,118.9,1,3,2.63,7.4,7.21,9.57,9.32,12.5,9,1.3,0,33,58,56.9,3,3,30,1,82.6,34,411,72,5.71,70,4.76,0,3:29
28,NYJ,2015-12-06,373,2,90,0,1,281,74,38:31,Sun,12,13,@,NYG,W 23-20 (OT),36,50,14,72.0,2,0,4.0,0.0,107.9,3,17,5.66,7.5,7.04,8.26,7.79,10.4,24,3.1,0,18,34,52.9,1,3,16,1,78.2,24,463,77,6.01,61,5.82,1,3:21
29,NYJ,2015-12-13,256,3,183,0,0,268,24,35:56,Sun,13,14,,TEN,W 30-8,21,36,15,58.3,3,0,8.3,0.0,108.9,1,7,2.7,7.1,6.92,8.78,8.54,12.2,13,1.8,0,22,40,55.0,1,5,47,1,73.7,34,439,71,6.18,58,5.03,0,2:59
30,NYJ,2015-12-19,299,1,73,1,1,176,133,32:17,Sat,14,15,@,DAL,W 19-16,26,39,13,66.7,1,1,2.6,2.6,87.4,2,0,4.88,7.7,7.29,7.03,6.68,11.5,21,6.3,0,18,33,54.5,1,2,19,4,40.3,26,372,67,5.55,56,5.52,1,3:04
