Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
1,PIT,2014-09-07,376,1,127,2,1,198,191,32:27,Sun,1,1,,CLE,W 30-27,24,35,11,68.6,1,1,2.9,2.9,103.3,3,14,7.89,10.7,9.89,10.03,9.24,15.7,31,6.2,2,18,30,60.0,1,3,24,0,90.7,29,503,67,7.51,64,6.08,1,3:07
2,PIT,2014-09-11,202,0,99,0,3,166,157,24:52,Thu,2,2,@,BAL,L 6-26,22,37,15,59.5,0,1,0.0,2.7,64.8,2,15,5.13,5.5,5.18,4.24,4.03,9.2,36,4.4,0,21,29,72.4,2,0,0,0,109.3,18,301,57,5.28,65,4.97,3,2:56
3,PIT,2014-09-21,190,2,264,1,0,307,42,34:39,Sun,3,3,@,CAR,W 37-19,22,30,8,73.3,2,0,6.7,0.0,112.6,1,6,3.23,6.3,6.13,7.67,7.42,8.6,10,4.2,0,29,41,70.7,2,3,23,0,108.5,34,454,65,6.98,54,6.46,0,3:13
4,PIT,2014-09-28,305,3,85,0,1,287,63,34:15,Sun,4,4,,TAM,L 24-27,30,41,11,73.2,3,0,7.3,0.0,121.1,5,26,10.87,7.4,6.63,8.9,7.93,10.2,19,3.3,1,21,43,48.8,2,1,15,1,76.4,27,390,73,5.34,63,5.56,1,3:23
5,PIT,2014-10-05,261,1,111,0,1,187,56,35:17,Sun,5,5,@,JAX,W 17-9,26,36,10,72.2,1,0,2.8,0.0,103.1,4,12,10.0,7.3,6.53,7.81,7.03,10.0,15,3.7,0,22,36,61.1,0,1,4,2,51.5,28,372,68,5.47,52,4.67,1,2:54
6,PIT,2014-10-12,221,1,138,0,1,210,158,33:05,Sun,6,6,@,CLE,L 10-31,21,42,21,50.0,1,1,2.4,2.4,64.4,2,7,4.55,5.3,5.02,4.67,4.45,10.5,38,4.2,3,8,17,47.1,1,1,7,0,112.4,32,359,76,4.72,56,6.57,1,3:07
7,PIT,2014-10-20,252,3,76,0,1,261,132,32:06,Mon,7,7,,HOU,W 30-23,24,34,10,70.6,3,0,8.8,0.0,123.2,3,16,8.11,7.4,6.81,9.18,8.43,10.5,30,4.4,0,21,32,65.6,2,1,1,1,98.6,25,328,62,5.29,63,6.24,1,3:07
8,PIT,2014-10-26,522,6,117,0,2,385,63,39:43,Sun,8,8,,IND,W 51-34,40,49,9,81.6,6,0,12.2,0.0,150.6,0,0,0.0,10.7,10.65,13.1,13.1,13.1,10,6.3,1,26,45,57.8,3,2,15,2,89.6,32,639,81,7.89,57,7.86,2,3:31
9,PIT,2014-11-02,321,6,55,0,1,269,63,31:26,Sun,9,9,,BAL,W 43-23,25,37,12,67.6,6,0,16.2,0.0,136.3,3,19,7.5,8.7,8.03,11.92,11.03,12.8,18,3.5,0,30,45,66.7,2,4,34,1,88.1,25,376,65,5.78,67,4.96,1,3:39
10,PIT,2014-11-09,326,1,36,0,4,125,150,29:27,Sun,10,10,@,NYJ,L 13-20,30,43,13,69.8,1,2,2.3,4.7,81.8,2,17,4.44,7.6,7.24,5.95,5.69,10.9,36,4.2,0,10,18,55.6,2,4,7,0,114.4,17,362,62,5.84,58,4.74,4,2:58
