Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,SFO,2014-09-07,0,4,11,78,10,72,0,1,58.3,55.6,Sun,1,1,@,DAL,W 28-17,19,6,11,2,12,7,58.3,0,0,,382,4,11,78,10,72,21,150,2,2,2,1,1,0,319,54,5.91,63,6.06,0,28:36,3:04,26,8,14,4,9,5,55.6,1,1,100.0,4,4,4,1,0,0,0,0
2,SFO,2014-09-14,4,0,16,118,10,58,2,0,53.8,33.3,Sun,2,2,,CHI,L 20-28,19,5,13,1,13,7,53.8,2,1,50.0,216,0,16,118,10,58,26,176,4,4,4,0,0,0,359,65,5.52,52,4.15,4,33:51,3:15,19,3,10,6,9,3,33.3,0,0,,2,2,2,2,2,0,0,0
3,SFO,2014-09-21,0,1,9,107,5,36,0,3,50.0,61.5,Sun,3,3,@,ARI,L 14-23,20,4,15,1,12,6,50.0,1,1,100.0,338,1,9,107,5,36,14,143,2,2,2,3,3,0,318,61,5.21,61,5.54,0,32:20,3:02,24,5,12,7,13,8,61.5,1,1,100.0,2,2,2,1,0,0,0,0
4,SFO,2014-09-28,1,4,10,80,10,70,4,0,42.1,38.5,Sun,4,4,,PHI,W 26-21,20,8,8,4,19,8,42.1,0,0,,213,4,10,80,10,70,20,150,3,3,3,0,0,0,407,76,5.36,56,3.80,1,42:17,3:25,11,1,10,0,13,5,38.5,2,0,0.0,2,2,2,4,4,0,0,0
5,SFO,2014-10-05,0,1,2,10,4,29,5,1,37.5,54.5,Sun,5,5,,KAN,W 22-17,22,10,10,2,16,6,37.5,1,1,100.0,265,1,2,10,4,29,6,39,2,2,2,1,1,0,357,70,5.10,50,5.30,0,36:04,2:55,14,3,11,0,11,6,54.5,0,0,,1,1,1,5,5,0,0,0
6,SFO,2014-10-13,1,1,5,23,8,38,1,1,42.9,35.7,Mon,6,6,@,STL,W 31-17,17,5,10,2,14,6,42.9,2,0,0.0,309,1,5,23,8,38,13,61,2,2,2,1,1,0,432,65,6.65,71,4.35,1,28:38,3:14,19,5,12,2,14,5,35.7,0,0,,4,4,4,1,1,0,0,0
7,SFO,2014-10-19,1,0,6,62,8,75,1,0,23.1,55.6,Sun,7,7,@,DEN,L 17-42,22,3,16,3,13,3,23.1,2,1,50.0,419,0,6,62,8,75,14,137,6,6,6,0,0,0,310,70,4.43,56,7.48,1,32:01,3:08,23,6,14,3,9,5,55.6,0,0,,2,2,2,2,1,0,0,0
8,SFO,2014-11-02,2,2,9,44,9,83,1,2,25.0,33.3,Sun,8,9,,STL,L 10-13,20,4,12,4,12,3,25.0,0,0,,193,2,9,44,9,83,18,127,1,1,1,2,2,0,263,62,4.24,52,3.71,2,32:26,3:07,13,3,8,2,12,4,33.3,0,0,,1,1,1,2,1,0,0,0
9,SFO,2014-11-09,1,3,2,15,6,43,2,1,40.0,44.4,Sun,9,10,@,NOR,W 27-24 (OT),21,10,10,1,15,6,40.0,1,1,100.0,423,3,2,15,6,43,8,58,3,3,3,1,1,0,330,68,4.85,80,5.29,1,33:46,3:38,23,7,15,1,18,8,44.4,2,2,100.0,3,3,3,2,2,0,0,0
10,SFO,2014-11-16,1,5,4,35,3,54,3,1,42.9,40.0,Sun,10,11,@,NYG,W 16-10,20,9,10,1,14,6,42.9,1,0,0.0,330,5,4,35,3,54,7,89,1,1,1,1,1,0,333,68,4.90,68,4.85,1,34:59,3:08,17,2,14,1,15,6,40.0,3,0,0.0,1,1,1,3,3,0,0,0
