Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,TAM,2014-09-07,3,0,3,15,6,55,0,2,50.0,40.0,Sun,1,1,,CAR,L 14-20,17,5,10,2,12,6,50.0,0,0,,334,0,3,15,6,55,9,70,2,2,2,3,2,0,264,55,4.80,68,4.91,3,24:48,2:54,19,5,14,0,15,6,40.0,1,1,100.0,2,2,2,0,0,0,0,0
2,TAM,2014-09-14,1,1,4,30,5,65,1,4,50.0,45.5,Sun,2,2,,STL,L 17-19,18,8,7,3,8,4,50.0,0,0,,339,1,4,30,5,65,9,95,1,1,1,4,4,0,332,52,6.38,60,5.65,1,27:55,3:41,20,6,14,0,11,5,45.5,0,0,,2,2,2,2,1,0,0,0
3,TAM,2014-09-18,5,4,11,110,5,50,0,0,23.1,72.7,Thu,3,3,@,ATL,L 14-56,10,3,7,0,13,3,23.1,1,1,100.0,488,4,11,110,5,50,16,160,8,8,8,1,0,0,217,57,3.81,65,7.51,5,27:21,3:13,26,7,17,2,11,8,72.7,0,0,,2,2,2,0,0,0,0,0
4,TAM,2014-09-28,1,1,9,50,13,125,2,1,53.8,42.9,Sun,4,4,@,PIT,W 27-24,21,7,11,3,13,7,53.8,1,0,0.0,390,1,9,50,13,125,22,175,3,3,3,2,1,0,350,63,5.56,73,5.34,1,25:45,3:23,27,6,18,3,14,6,42.9,1,1,100.0,3,3,3,2,2,0,0,0
5,TAM,2014-10-05,1,3,15,113,6,50,1,3,33.3,46.2,Sun,5,5,@,NOR,L 31-37 (OT),20,4,13,3,9,3,33.3,0,0,,511,3,15,113,6,50,21,163,4,2,2,3,3,1,314,54,5.81,86,5.94,1,27:04,3:29,34,12,17,5,13,6,46.2,0,0,,4,4,4,1,1,0,0,0
6,TAM,2014-10-12,1,1,5,43,8,70,1,2,16.7,53.8,Sun,6,6,,BAL,L 17-48,22,5,14,3,12,2,16.7,2,0,0.0,475,1,5,43,8,70,13,113,6,6,6,3,2,0,364,67,5.43,63,7.54,1,27:46,3:01,23,9,13,1,13,7,53.8,0,0,,2,2,2,2,1,0,0,0
7,TAM,2014-10-26,2,0,8,52,6,59,2,2,8.3,40.0,Sun,7,8,,MIN,L 13-19 (OT),15,3,9,3,12,1,8.3,2,2,100.0,332,0,8,52,6,59,14,111,2,1,1,3,2,0,225,56,4.02,65,5.11,2,29:43,3:09,22,6,12,4,15,6,40.0,0,0,,1,1,1,2,2,0,0,0
8,TAM,2014-11-02,2,2,4,33,7,44,1,3,33.3,35.7,Sun,8,9,@,CLE,L 17-22,20,7,11,2,12,4,33.3,1,0,0.0,330,2,4,33,7,44,11,77,2,1,1,3,3,0,365,61,5.98,65,5.08,2,30:32,3:04,19,3,16,0,14,5,35.7,2,1,50.0,2,2,2,3,1,0,0,0
9,TAM,2014-11-09,3,0,10,79,5,30,1,4,70.6,50.0,Sun,9,10,,ATL,L 17-27,23,5,17,1,17,12,70.6,1,0,0.0,322,0,10,79,5,30,15,109,2,1,1,4,4,0,373,70,5.33,60,5.37,3,30:12,3:13,19,6,10,3,12,6,50.0,0,0,,2,2,2,1,1,0,0,0
10,TAM,2014-11-16,1,3,11,101,9,67,2,0,30.0,30.8,Sun,10,11,@,WAS,W 27-7,12,3,8,1,10,3,30.0,0,0,,322,3,11,101,9,67,20,168,1,1,1,2,0,0,329,46,7.15,69,4.67,1,25:49,2:55,20,9,8,3,13,4,30.8,1,1,100.0,3,3,3,2,2,0,0,0
11,TAM,2014-11-23,4,1,9,87,6,45,2,0,41.2,25.0,Sun,11,12,@,CHI,L 13-21,17,3,14,0,17,7,41.2,1,0,0.0,204,1,9,87,6,45,15,132,3,3,3,1,0,0,367,75,4.89,56,3.64,4,30:10,3:17,12,4,6,2,16,4,25.0,0,0,,1,1,1,2,2,0,0,0
12,TAM,2014-11-30,1,3,13,94,10,73,2,0,18.2,45.5,Sun,12,13,,CIN,L 13-14,14,4,7,3,11,2,18.2,1,0,0.0,288,3,13,94,10,73,23,167,2,2,2,0,0,0,263,55,4.78,58,4.97,1,29:23,3:03,19,7,10,2,11,5,45.5,0,0,,1,1,1,2,2,0,0,0
13,TAM,2014-12-07,3,1,5,50,9,122,1,2,28.6,46.7,Sun,13,14,@,DET,L 17-34,15,0,11,4,14,4,28.6,1,0,0.0,407,1,5,50,9,122,14,172,4,4,4,2,2,0,233,59,3.95,69,5.90,3,23:25,3:10,22,3,19,0,15,7,46.7,2,0,0.0,2,2,2,1,1,0,0,0
14,TAM,2014-12-14,3,1,4,29,4,25,1,4,41.7,38.5,Sun,14,15,@,CAR,L 17-19,15,6,9,0,12,5,41.7,0,0,,392,1,4,29,4,25,8,54,1,1,1,5,4,0,287,54,5.31,75,5.23,3,22:37,3:10,28,9,18,1,13,5,38.5,0,0,,2,2,2,1,1,0,0,0
15,TAM,2014-12-21,1,1,3,30,5,40,1,2,28.6,46.2,Sun,15,16,,GNB,L 3-20,6,1,5,0,14,4,28.6,1,1,100.0,431,1,3,30,5,40,8,70,2,2,2,3,2,0,109,47,2.32,72,5.99,1,21:22,2:44,23,6,17,0,13,6,46.2,1,0,0.0,0,0,0,1,1,0,0,0
16,TAM,2014-12-28,1,3,4,23,2,15,2,0,52.9,50.0,Sun,16,17,,NOR,L 20-23,18,8,9,1,17,9,52.9,0,0,,338,3,4,23,2,15,6,38,3,3,3,0,0,1,280,65,4.31,63,5.37,1,32:47,2:55,20,5,14,1,14,7,50.0,1,1,100.0,2,2,2,2,2,0,0,0
17,TAM,2015-09-13,2,1,12,97,8,55,0,0,21.4,44.4,Sun,1,1,,TEN,L 14-42,16,4,11,1,14,3,21.4,4,2,50.0,309,1,12,97,8,55,20,152,6,6,6,0,0,0,273,63,4.33,49,6.31,2,28:30,3:06,20,7,11,2,9,4,44.4,0,0,,2,2,2,0,0,0,0,0
18,TAM,2015-09-20,2,3,11,90,10,115,4,0,35.7,50.0,Sun,2,2,@,NOR,W 26-19,18,6,7,5,14,5,35.7,0,0,,323,3,11,90,10,115,21,205,3,2,1,1,0,0,333,59,5.64,69,4.68,2,28:32,3:16,21,8,11,2,14,7,50.0,1,1,100.0,2,2,2,5,4,0,0,0
19,TAM,2015-09-27,1,1,10,84,6,58,1,2,8.3,44.4,Sun,3,3,@,HOU,L 9-19,14,2,11,1,12,1,8.3,0,0,,413,1,10,84,6,58,16,142,2,2,1,3,2,0,318,56,5.68,86,4.80,1,23:44,3:19,30,10,16,4,18,8,44.4,0,0,,1,1,0,4,1,0,0,0
