Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
1,CHI,2014-09-07,341,2,86,0,3,167,193,34:42,Sun,1,1,,BUF,L 20-23 (OT),34,49,15,69.4,2,2,4.1,4.1,86.2,2,8,3.92,7.0,6.69,5.94,5.71,10.0,33,5.8,1,16,22,72.7,1,1,6,1,90.5,18,427,69,6.19,56,6.43,3,3:17
2,CHI,2014-09-14,170,4,46,0,0,232,127,26:09,Sun,2,2,@,SFO,W 28-20,23,34,11,67.6,4,0,11.8,0.0,119.2,1,6,2.86,5.0,4.86,7.35,7.14,7.4,27,4.7,1,21,34,61.8,1,4,16,3,55.0,17,216,52,4.15,65,5.52,0,3:15
3,CHI,2014-09-22,197,2,60,0,1,300,114,28:08,Mon,3,3,@,NYJ,W 27-19,23,38,15,60.5,2,0,5.3,0.0,94.7,4,28,9.52,5.2,4.69,6.24,5.64,8.6,26,4.4,0,26,43,60.5,1,3,16,2,69.9,21,257,63,4.08,72,5.75,1,3:14
4,CHI,2014-09-28,261,2,235,0,2,302,56,36:22,Sun,4,4,,GNB,L 17-38,23,35,12,65.7,2,2,5.7,5.7,83.6,1,4,2.78,7.5,7.25,6.03,5.86,11.3,18,3.1,1,22,28,78.6,4,1,0,0,151.2,41,496,77,6.44,47,7.62,2,2:56
5,CHI,2014-10-05,262,2,85,1,4,231,91,32:59,Sun,5,5,@,CAR,L 24-31,28,36,8,77.8,2,2,5.6,5.6,95.5,4,27,10.0,7.3,6.55,5.89,5.3,9.4,26,3.5,1,19,35,54.3,2,2,24,1,82.0,22,347,62,5.6,63,5.11,4,3:10
6,CHI,2014-10-12,375,1,103,2,0,245,42,36:15,Sun,6,6,@,ATL,W 27-13,26,38,12,68.4,1,0,2.6,0.0,109.6,2,6,5.0,9.9,9.38,10.39,9.88,14.4,13,3.2,0,19,37,51.4,1,4,26,1,70.2,29,478,69,6.93,54,5.31,0,3:04
7,CHI,2014-10-19,172,1,52,1,3,256,137,22:38,Sun,7,7,,MIA,L 14-27,21,34,13,61.8,1,1,2.9,2.9,74.4,3,18,8.11,5.1,4.65,4.32,3.97,8.2,33,4.2,1,25,32,78.1,2,4,21,0,120.8,14,224,51,4.39,69,5.7,3,2:50
8,CHI,2014-10-26,231,3,153,0,2,365,122,27:17,Sun,8,8,@,NWE,L 23-51,21,35,14,60.0,3,1,8.6,2.9,98.4,3,18,7.89,6.6,6.08,7.03,6.47,11.0,32,3.8,0,33,38,86.8,5,1,11,0,146.3,26,384,64,6.0,71,6.86,2,3:02
9,CHI,2014-11-09,256,1,55,0,3,319,132,30:19,Sun,9,10,@,GNB,L 14-55,23,40,17,57.5,1,2,2.5,5.0,67.0,4,27,9.09,6.4,5.82,4.65,4.23,11.1,32,4.1,0,19,32,59.4,6,0,0,0,132.7,24,311,68,4.57,64,7.05,3,3:22
10,CHI,2014-11-16,330,3,138,0,2,147,96,38:38,Sun,10,11,,MIN,W 21-13,31,43,12,72.1,3,2,7.0,4.7,98.0,0,0,0.0,7.7,7.67,6.98,6.98,10.6,16,6.0,0,18,28,64.3,1,2,11,1,74.6,31,468,74,6.32,46,5.28,2,2:56
11,CHI,2014-11-23,112,1,92,2,1,301,66,29:50,Sun,11,12,,TAM,W 21-13,17,27,10,63.0,1,0,3.7,0.0,87.0,3,18,10.0,4.1,3.73,4.89,4.4,6.6,22,3.0,0,25,48,52.1,1,5,40,2,61.2,26,204,56,3.64,75,4.89,1,3:17
12,CHI,2014-11-27,256,2,13,0,2,383,91,26:35,Thu,12,13,@,DET,L 17-34,31,48,17,64.6,2,2,4.2,4.2,76.7,3,24,5.88,5.3,5.02,4.29,4.04,8.3,23,4.0,2,34,45,75.6,2,2,7,0,115.3,8,269,59,4.56,70,6.77,2,3:11
