Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
1,DEN,2014-09-07,259,3,102,1,0,354,54,32:24,Sun,1,1,,IND,W 31-24,22,36,14,61.1,3,0,8.3,0.0,111.9,1,10,2.7,7.2,7.0,8.86,8.62,11.8,14,3.9,1,35,53,66.0,2,3,16,2,81.8,32,361,69,5.23,70,5.83,0,3:13
2,DEN,2014-09-14,237,3,88,0,0,247,133,23:46,Sun,2,2,,KAN,W 24-17,21,26,5,80.8,3,0,11.5,0.0,143.9,1,5,3.7,9.1,8.78,11.42,11.0,11.3,31,4.3,2,26,42,61.9,0,2,8,0,78.2,19,325,46,7.07,75,5.07,0,3:08
3,DEN,2014-09-21,296,2,36,0,2,255,129,27:42,Sun,3,3,@,SEA,L 20-26 (OT),31,49,18,63.3,2,1,4.1,2.0,85.7,1,7,2.0,6.0,5.92,5.94,5.82,9.5,37,3.5,1,25,35,71.4,2,3,20,1,99.1,20,332,70,4.74,75,5.12,2,3:33
4,DEN,2014-10-05,476,4,92,1,2,178,37,35:17,Sun,4,5,,ARI,W 41-20,31,47,16,66.0,4,2,8.5,4.3,110.2,1,3,2.08,10.1,9.92,9.91,9.71,15.4,19,1.9,1,12,34,35.3,1,3,21,0,63.1,28,568,76,7.47,56,3.84,2,3:16
5,DEN,2014-10-12,221,3,138,0,0,173,31,33:34,Sun,5,6,@,NYJ,W 31-17,22,33,11,66.7,3,0,9.1,0.0,117.9,2,16,5.71,6.7,6.31,8.52,8.03,10.0,15,2.1,0,23,43,53.5,2,4,17,1,69.2,33,359,68,5.28,62,3.29,0,3:16
6,DEN,2014-10-19,304,4,115,2,0,248,62,27:59,Sun,6,7,,SFO,W 42-17,22,27,5,81.5,4,0,14.8,0.0,155.3,2,14,6.9,11.3,10.48,14.22,13.24,13.8,18,3.4,0,27,46,58.7,2,6,53,1,78.9,27,419,56,7.48,70,4.43,0,3:08
7,DEN,2014-10-23,286,3,139,2,0,245,61,30:46,Thu,7,8,,LAC,W 35-21,25,35,10,71.4,3,0,8.6,0.0,124.2,0,0,0.0,8.2,8.17,9.89,9.89,11.4,15,4.1,0,30,41,73.2,3,2,7,2,92.0,30,425,65,6.54,58,5.28,0,3:05
8,DEN,2014-11-02,429,2,43,1,2,332,66,30:33,Sun,8,9,@,NWE,L 21-43,34,57,23,59.6,2,2,3.5,3.5,80.9,1,9,1.72,7.5,7.4,6.65,6.53,12.6,25,2.6,0,33,53,62.3,4,1,1,1,97.4,17,472,75,6.29,79,5.04,2,3:32
9,DEN,2014-11-09,353,5,118,0,2,192,30,32:22,Sun,9,10,@,LVR,W 41-17,33,49,16,67.3,5,2,10.2,4.1,105.2,0,0,0.0,7.2,7.2,7.41,7.41,10.7,15,2.0,0,30,47,63.8,2,0,0,2,68.8,27,471,76,6.2,62,3.58,2,3:08
10,DEN,2014-11-16,369,1,28,0,2,206,131,24:10,Sun,10,11,@,LAR,L 7-22,34,54,20,63.0,1,2,1.9,3.7,75.3,2,20,3.57,6.8,6.59,5.54,5.34,10.9,33,4.0,0,20,29,69.0,1,3,14,0,100.6,10,397,66,6.02,65,5.18,2,3:02
11,DEN,2014-11-23,249,4,201,1,1,216,97,34:17,Sun,11,12,,MIA,W 39-36,28,35,7,80.0,4,0,11.4,0.0,135.4,1,8,2.78,7.1,6.92,9.4,9.14,8.9,21,4.6,2,26,36,72.2,3,1,12,1,103.5,35,450,71,6.34,58,5.4,1,3:10
12,DEN,2014-11-30,174,2,214,0,1,110,41,38:47,Sun,12,13,@,KAN,W 29-16,17,34,17,50.0,2,0,5.9,0.0,85.3,1,5,2.86,5.1,4.97,6.29,6.11,10.2,15,2.7,0,15,23,65.2,2,6,43,1,87.2,45,388,80,4.85,44,3.43,1,3:05
13,DEN,2014-12-07,173,0,133,3,3,341,74,26:31,Sun,13,14,,BUF,W 24-17,14,20,6,70.0,0,2,0.0,10.0,56.9,0,0,0.0,8.7,8.65,4.15,4.15,12.4,16,4.6,1,38,57,66.7,1,4,14,2,73.8,29,306,49,6.24,77,5.39,3,3:07
14,DEN,2014-12-14,226,1,111,0,0,232,56,32:44,Sun,14,15,@,LAC,W 22-10,14,22,8,63.6,1,0,4.5,0.0,114.4,1,7,4.35,10.3,9.83,11.18,10.7,16.1,20,2.8,0,24,41,58.5,1,0,0,2,62.2,38,337,61,5.52,61,4.72,0,3:06
15,DEN,2014-12-22,300,2,85,1,4,146,207,28:22,Mon,15,16,@,CIN,L 28-37,28,44,16,63.6,2,4,4.5,9.1,61.8,2,11,4.35,6.8,6.52,3.64,3.48,10.7,37,5.6,1,17,25,68.0,2,0,0,1,93.1,19,385,65,5.92,62,5.69,4,3:20
16,DEN,2014-12-28,309,1,142,3,1,132,67,33:01,Sun,16,17,,LVR,W 47-14,23,39,16,59.0,1,0,2.6,0.0,93.1,1,3,2.5,7.9,7.73,8.44,8.23,13.4,18,3.7,0,18,36,50.0,1,3,26,1,56.7,34,451,74,6.09,57,3.49,1,3:18
17,DEN,2015-09-13,150,0,69,0,1,100,73,37:17,Sun,1,1,,BAL,W 19-13,24,40,16,60.0,0,1,0.0,2.5,59.9,4,25,9.09,3.8,3.41,2.63,2.39,6.3,23,3.2,0,18,32,56.3,0,2,17,2,35.9,25,219,69,3.17,57,3.04,1,2:56
18,DEN,2015-09-17,238,3,61,0,1,167,147,31:01,Thu,2,2,@,KAN,W 31-24,26,45,19,57.8,3,1,6.7,2.2,86.9,3,18,6.25,5.3,4.96,5.62,5.27,9.2,28,5.3,2,16,25,64.0,0,5,24,2,49.9,22,299,70,4.27,58,5.41,1,3:23
19,DEN,2015-09-27,313,2,41,1,2,262,28,28:52,Sun,3,3,@,DET,W 24-12,31,42,11,73.8,2,1,4.8,2.4,101.7,1,11,2.33,7.5,7.28,7.33,7.16,10.1,19,1.5,1,31,45,68.9,1,4,20,2,72.6,19,354,62,5.71,68,4.26,2,3:19
20,DEN,2015-10-04,200,1,144,1,2,212,113,26:06,Sun,4,4,,MIN,W 23-20,17,27,10,63.0,1,2,3.7,7.4,68.9,2,13,6.9,7.4,6.9,4.81,4.48,11.8,21,5.4,1,27,41,65.9,1,7,57,0,86.6,24,344,53,6.49,69,4.71,2,3:00
21,DEN,2015-10-11,254,0,43,0,2,223,65,25:51,Sun,5,5,@,LVR,W 16-10,22,35,13,62.9,0,2,0.0,5.7,62.3,2,12,5.41,7.3,6.86,4.69,4.43,11.5,25,2.6,0,26,39,66.7,1,4,26,1,79.3,18,297,55,5.4,68,4.24,2,3:02
22,DEN,2015-10-18,290,1,152,0,3,189,109,36:44,Sun,6,6,@,CLE,W 26-23 (OT),26,48,22,54.2,1,3,2.1,6.3,53.3,0,0,0.0,6.0,6.04,3.65,3.65,11.2,33,3.3,0,20,39,51.3,2,4,24,2,60.7,33,442,81,5.46,76,3.92,3,3:44
23,DEN,2015-11-01,340,0,160,3,1,50,90,33:27,Sun,7,8,,GNB,W 29-10,21,29,8,72.4,0,1,0.0,3.4,96.9,0,0,0.0,11.7,11.72,10.17,10.17,16.2,21,4.3,1,14,22,63.6,0,3,27,0,67.6,34,500,63,7.94,46,3.04,1,2:52
24,DEN,2015-11-08,274,2,35,0,2,245,120,21:21,Sun,8,9,@,IND,L 24-27,21,36,15,58.3,2,2,5.6,5.6,78.6,1,7,2.7,7.6,7.41,6.22,6.05,13.0,40,3.0,1,21,36,58.3,2,1,7,0,97.6,14,309,51,6.06,77,4.74,2,3:06
25,DEN,2015-11-15,152,1,69,1,5,197,106,26:33,Sun,9,10,,KAN,L 13-29,19,44,25,43.2,1,5,2.3,11.4,23.2,5,29,10.2,3.5,3.1,-1.2,-1.08,8.0,32,3.3,1,17,31,54.8,1,2,7,0,85.0,16,221,65,3.4,65,4.66,5,3:22
26,DEN,2015-11-22,219,2,170,0,0,261,86,33:13,Sun,10,11,@,CHI,W 17-15,20,27,7,74.1,2,0,7.4,0.0,127.1,5,31,15.63,8.1,6.84,9.59,8.09,11.0,25,3.4,1,18,32,56.3,0,2,4,1,69.9,36,389,68,5.72,59,5.88,0,3:01
27,DEN,2015-11-29,254,1,179,3,1,262,39,36:31,Sun,11,12,,NWE,W 30-24 (OT),23,42,19,54.8,1,1,2.4,2.4,72.5,3,16,6.67,6.0,5.64,5.45,5.09,11.0,16,2.4,0,23,42,54.8,3,3,18,0,97.5,32,433,77,5.62,61,4.93,1,3:28
28,DEN,2015-12-06,159,1,134,0,1,179,93,32:57,Sun,12,13,@,LAC,W 17-3,16,26,10,61.5,1,1,3.8,3.8,76.8,1,7,3.7,6.1,5.89,5.15,4.96,9.9,23,4.0,0,18,35,51.4,0,4,23,1,54.3,39,293,66,4.44,62,4.39,1,3:03
29,DEN,2015-12-13,276,0,34,0,2,99,27,35:58,Sun,13,14,,LVR,L 12-15,35,51,16,68.6,0,0,0.0,0.0,84.4,5,32,8.93,5.4,4.93,5.41,4.93,7.9,23,1.2,0,12,29,41.4,2,3,36,0,73.8,21,310,77,4.03,55,2.29,2,3:18
30,DEN,2015-12-20,281,3,104,1,2,354,23,28:44,Sun,14,15,@,PIT,L 27-34,21,44,23,47.7,3,1,6.8,2.3,83.1,2,15,4.35,6.4,6.11,6.73,6.43,13.4,17,1.4,1,40,55,72.7,3,3,26,2,92.5,25,385,71,5.42,75,5.03,2,3:31
31,DEN,2015-12-28,277,1,113,1,1,186,108,27:50,Mon,15,16,,CIN,W 20-17 (OT),27,39,12,69.2,1,0,2.6,0.0,100.3,3,22,7.14,7.1,6.6,7.62,7.07,10.3,33,3.3,1,22,35,62.9,1,2,14,0,86.1,21,390,63,6.19,70,4.2,1,3:22
32,DEN,2016-01-03,293,1,210,2,5,207,110,25:28,Sun,16,17,,LAC,W 27-20,19,31,12,61.3,1,2,3.2,6.5,77.5,2,8,6.06,9.5,8.88,7.19,6.76,15.4,29,3.8,0,21,35,60.0,2,3,21,1,83.9,32,503,65,7.74,67,4.73,5,3:21
33,DEN,2016-09-08,159,1,148,2,3,176,157,27:41,Thu,1,1,,CAR,W 21-20,18,26,8,69.2,1,2,3.8,7.7,69.1,2,19,7.14,6.1,5.68,3.42,3.18,8.8,32,4.9,1,18,33,54.5,1,3,18,1,67.2,29,307,57,5.39,68,4.9,3,3:12
34,DEN,2016-09-18,266,0,134,1,1,170,83,30:41,Sun,2,2,,IND,W 34-20,22,33,11,66.7,0,1,0.0,3.0,78.6,1,0,2.94,8.1,7.82,6.7,6.5,12.1,21,4.0,1,21,40,52.5,1,5,27,1,61.5,31,400,65,6.15,66,3.83,1,3:12
35,DEN,2016-09-25,303,4,52,0,1,189,143,27:54,Sun,3,3,@,CIN,W 29-17,23,35,12,65.7,4,0,11.4,0.0,132.1,2,9,5.41,8.7,8.19,10.94,10.35,13.2,29,4.9,2,21,31,67.7,0,4,17,1,70.5,23,355,60,5.92,64,5.19,1,3:05
36,DEN,2016-10-02,218,2,89,1,0,143,72,31:24,Sun,4,4,@,TAM,W 27-7,19,31,12,61.3,2,0,6.5,0.0,106.7,4,20,11.43,7.0,6.23,8.32,7.37,11.5,26,2.8,1,17,35,48.6,0,5,36,2,35.8,32,307,67,4.58,66,3.26,0,4:32
37,DEN,2016-10-09,183,1,84,0,1,250,122,31:08,Sun,5,5,,ATL,L 16-23,23,35,12,65.7,1,1,2.9,2.9,81.0,6,40,14.63,5.2,4.46,4.51,3.85,8.0,32,3.8,1,15,28,53.6,1,2,17,0,95.8,24,267,65,4.11,62,6.0,1,2:58
38,DEN,2016-10-13,220,1,84,0,2,166,99,26:32,Thu,6,6,@,LAC,L 13-21,30,50,20,60.0,1,0,2.0,0.0,77.9,2,10,3.85,4.4,4.23,4.8,4.62,7.3,29,3.4,0,18,29,62.1,1,2,12,0,89.2,16,304,68,4.47,60,4.42,2,3:18
