Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
1,SEA,2014-09-04,191,2,207,2,1,175,80,33:20,Thu,1,1,,GNB,W 36-16,19,28,9,67.9,2,0,7.1,0.0,110.9,1,0,3.45,6.8,6.59,8.25,7.97,10.1,21,3.8,1,23,33,69.7,1,3,14,1,79.7,37,398,66,6.03,57,4.47,1,2:56
2,SEA,2014-09-14,180,2,108,1,1,276,101,17:45,Sun,2,2,@,LAC,L 21-30,17,25,8,68.0,2,0,8.0,0.0,119.1,2,22,7.41,7.2,6.67,8.8,8.15,10.6,37,2.7,0,28,37,75.7,3,1,8,0,123.3,13,288,40,7.2,75,5.03,1,3:05
3,SEA,2014-09-21,255,2,129,1,1,296,36,38:04,Sun,3,3,,DEN,W 26-20 (OT),25,35,10,71.4,2,1,5.7,2.9,101.5,3,20,7.89,7.3,6.71,7.14,6.58,10.2,20,1.8,0,31,49,63.3,2,1,7,1,85.1,37,384,75,5.12,70,4.74,1,3:33
4,SEA,2014-10-06,178,2,225,1,0,275,32,34:56,Mon,4,5,@,WAS,W 27-17,18,24,6,75.0,2,0,8.3,0.0,127.3,3,23,11.11,7.4,6.59,9.08,8.07,9.9,17,1.9,0,21,36,58.3,2,1,8,0,101.0,36,403,63,6.4,54,5.69,0,3:10
5,SEA,2014-10-12,126,0,80,1,1,239,162,22:21,Sun,5,6,,DAL,L 23-30,14,28,14,50.0,0,1,0.0,3.6,47.6,2,0,6.67,4.5,4.2,2.89,2.7,9.0,36,4.5,1,21,32,65.6,2,1,11,0,108.7,18,206,48,4.29,69,5.81,1,3:06
6,SEA,2014-10-19,292,2,171,1,0,173,102,32:24,Sun,6,7,@,LAR,L 26-28,23,36,13,63.9,2,0,5.6,0.0,110.1,3,21,7.69,8.1,7.49,9.22,8.51,12.7,27,3.8,1,18,21,85.7,2,0,0,0,132.7,29,463,68,6.81,48,5.73,0,3:02
7,SEA,2014-10-26,191,1,119,0,2,152,114,29:00,Sun,7,8,@,CAR,W 13-9,20,32,12,62.5,1,1,3.1,3.1,77.5,1,8,3.03,6.0,5.79,5.19,5.03,9.6,31,3.7,0,12,22,54.5,0,3,19,1,57.4,26,310,59,5.25,56,4.75,2,2:49
8,SEA,2014-11-02,177,0,149,2,0,189,37,35:06,Sun,8,9,,LVR,W 30-24,17,35,18,48.6,0,0,0.0,0.0,63.9,1,2,2.78,5.1,4.92,5.06,4.92,10.4,18,2.1,0,24,41,58.5,2,1,5,2,66.0,38,326,74,4.41,60,3.77,0,3:19
9,SEA,2014-11-09,160,0,350,5,3,270,54,33:12,Sun,9,10,,NYG,W 38-17,10,17,7,58.8,0,2,0.0,11.8,53.7,2,12,10.53,9.4,8.42,4.12,3.68,16.0,17,3.2,1,29,44,65.9,1,2,13,1,80.7,45,510,64,7.97,63,5.14,3,2:56
10,SEA,2014-11-16,168,2,204,0,0,108,190,35:57,Sun,10,11,@,KAN,L 20-24,20,32,12,62.5,2,0,6.3,0.0,98.2,2,10,5.88,5.3,4.94,6.5,6.12,8.4,30,6.3,3,11,16,68.8,0,0,0,0,87.5,37,372,71,5.24,46,6.48,0,3:04
11,SEA,2014-11-23,169,1,124,0,0,140,64,35:27,Sun,11,12,,ARI,W 19-3,17,22,5,77.3,1,0,4.5,0.0,121.6,7,42,24.14,7.7,5.83,8.59,6.52,9.9,20,3.2,0,14,26,53.8,0,3,9,1,53.4,29,293,58,5.05,49,4.16,0,2:45
12,SEA,2014-11-27,222,1,157,0,0,100,64,35:19,Thu,12,13,@,SFO,W 19-3,15,22,7,68.2,1,0,4.5,0.0,118.7,4,14,15.38,10.1,8.54,11.0,9.31,14.8,18,3.6,0,16,29,55.2,0,4,21,2,33.7,34,379,60,6.32,51,3.22,0,3:01
13,SEA,2014-12-07,252,2,188,1,2,82,57,41:56,Sun,13,14,@,PHI,W 24-14,22,37,15,59.5,2,0,5.4,0.0,99.3,2,11,5.13,6.8,6.46,7.89,7.49,11.5,22,2.6,0,10,20,50.0,2,3,14,1,73.3,46,440,85,5.18,45,3.09,2,3:17
14,SEA,2014-12-14,138,1,152,1,1,105,140,28:58,Sun,14,15,,SFO,W 17-7,12,24,12,50.0,1,1,4.2,4.2,69.4,5,30,17.24,5.8,4.76,4.71,3.9,11.5,32,4.4,1,11,19,57.9,0,6,36,0,73.4,32,290,61,4.75,57,4.3,1,2:57
15,SEA,2014-12-21,329,2,267,3,0,187,29,33:03,Sun,15,16,@,ARI,W 35-6,21,32,11,65.6,2,0,6.3,0.0,121.7,1,10,3.03,10.3,9.97,11.53,11.18,15.7,15,1.9,0,18,45,40.0,0,4,29,1,43.5,34,596,67,8.9,64,3.38,0,3:14
16,SEA,2014-12-28,222,0,132,1,2,203,42,31:11,Sun,16,17,,LAR,W 20-6,17,25,8,68.0,0,1,0.0,4.0,81.9,3,17,10.71,8.9,7.93,7.08,6.32,13.1,19,2.2,0,26,37,70.3,0,4,40,2,61.0,34,354,62,5.71,60,4.08,2,2:57
17,SEA,2015-09-13,219,1,124,0,1,276,76,37:28,Sun,1,1,@,LAR,L 31-34 (OT),32,41,9,78.0,1,1,2.4,2.4,90.1,6,32,12.77,5.3,4.66,4.73,4.13,6.8,26,2.9,2,18,27,66.7,1,2,21,0,112.6,32,343,79,4.34,55,6.4,1,3:30
18,SEA,2015-09-20,205,2,119,0,2,234,127,26:42,Sun,2,2,@,GNB,L 17-27,19,30,11,63.3,2,1,6.7,3.3,91.8,2,1,6.25,6.8,6.41,6.67,6.25,10.8,29,4.4,0,25,33,75.8,2,2,15,0,115.0,25,324,57,5.68,64,5.64,2,3:26
19,SEA,2015-09-27,212,1,159,0,0,48,98,32:36,Sun,3,3,,CHI,W 26-0,20,30,10,66.7,1,0,3.3,0.0,101.4,4,23,11.76,7.1,6.24,7.73,6.82,10.6,27,3.6,0,9,17,52.9,0,2,15,0,58.7,29,371,63,5.89,46,3.17,0,2:54
20,SEA,2015-10-05,235,1,110,0,3,203,53,32:04,Mon,4,4,,DET,W 13-10,20,26,6,76.9,1,0,3.8,0.0,125.0,6,52,18.75,9.0,7.34,9.81,7.97,11.8,18,2.9,0,24,35,68.6,0,0,0,0,83.4,31,345,63,5.48,53,4.83,3,2:49
21,SEA,2015-10-11,197,1,200,1,1,310,109,30:35,Sun,5,5,@,CIN,L 24-27 (OT),15,23,8,65.2,1,1,4.3,4.3,91.4,4,16,14.81,8.6,7.3,7.48,6.37,13.1,31,3.5,1,30,44,68.2,2,4,21,1,93.9,30,397,57,6.96,79,5.3,1,3:19
22,SEA,2015-10-18,219,1,115,1,0,248,135,27:48,Sun,6,6,,CAR,L 23-27,18,30,12,60.0,1,0,3.3,0.0,96.7,4,22,11.76,7.3,6.44,7.97,7.03,12.2,33,4.1,3,20,36,55.6,1,3,21,2,63.2,26,334,60,5.57,72,5.32,0,3:12
23,SEA,2015-10-22,212,1,176,1,2,81,61,38:05,Thu,7,7,@,SFO,W 20-3,18,24,6,75.0,1,2,4.2,8.3,84.5,5,23,17.24,8.8,7.31,5.92,4.9,11.8,15,4.1,0,13,24,54.2,0,6,43,0,61.3,41,388,70,5.54,45,3.16,2,2:53
24,SEA,2015-11-01,210,1,113,0,1,91,129,29:38,Sun,8,8,@,DAL,W 13-12,19,30,11,63.3,1,1,3.3,3.3,81.2,0,0,0.0,7.0,7.0,6.17,6.17,11.1,30,4.3,0,13,26,50.0,0,1,6,0,58.3,31,323,61,5.3,57,3.86,1,3:15
25,SEA,2015-11-15,228,1,115,2,1,334,117,21:08,Sun,9,10,,ARI,L 32-39,14,32,18,43.8,1,1,3.1,3.1,67.2,2,12,5.88,7.1,6.71,6.34,5.97,16.3,33,3.5,1,29,47,61.7,3,3,29,1,95.5,18,343,52,6.6,83,5.43,1,3:53
26,SEA,2015-11-22,253,3,255,1,0,247,59,37:39,Sun,10,11,,SFO,W 29-13,24,29,5,82.8,3,0,10.3,0.0,138.5,2,7,6.45,8.7,8.16,10.79,10.1,10.5,16,3.7,0,22,34,64.7,1,2,17,0,96.1,44,508,75,6.77,52,5.88,0,3:06
27,SEA,2015-11-29,336,5,100,1,0,480,58,28:00,Sun,11,12,,PIT,W 39-30,21,30,9,70.0,5,0,16.7,0.0,147.9,2,9,6.25,11.2,10.5,14.53,13.63,16.0,14,4.1,2,37,59,62.7,1,2,10,4,65.6,27,436,59,7.39,75,7.17,0,3:30
28,SEA,2015-12-06,260,3,173,2,1,94,31,35:10,Sun,12,13,@,MIN,W 38-7,21,28,7,75.0,3,0,10.7,0.0,141.1,2,14,6.67,9.3,8.67,11.43,10.67,12.4,16,1.9,0,17,28,60.7,0,4,24,1,51.8,36,433,66,6.56,48,2.6,1,2:55
29,SEA,2015-12-13,301,5,123,0,1,274,28,35:43,Sun,13,14,@,BAL,W 35-6,24,33,9,72.7,5,0,15.2,0.0,140.3,0,0,0.0,9.1,9.12,12.15,12.15,12.5,14,2.0,0,23,40,57.5,0,1,0,1,68.1,36,424,69,6.14,55,5.49,1,3:01
30,SEA,2015-12-20,241,3,182,0,0,136,94,34:33,Sun,14,15,,CLE,W 30-13,21,30,9,70.0,3,0,10.0,0.0,128.3,2,8,6.25,8.0,7.53,10.03,9.41,11.5,17,5.5,0,19,32,59.4,1,3,25,1,66.7,36,423,68,6.22,52,4.42,0,2:56
31,SEA,2015-12-27,253,2,59,0,3,103,102,32:06,Sun,15,16,,LAR,L 17-23,25,41,16,61.0,2,1,4.9,2.4,88.4,4,36,8.89,6.2,5.62,6.05,5.51,10.1,30,3.4,1,14,23,60.9,1,0,0,0,86.0,22,312,67,4.66,53,3.87,3,3:16
32,SEA,2016-01-03,209,3,145,1,0,205,27,36:37,Sun,16,17,@,ARI,W 36-6,22,32,10,68.8,3,0,9.4,0.0,119.9,1,16,3.03,6.5,6.33,8.41,8.15,9.5,13,2.1,0,20,43,46.5,1,2,8,3,39.4,36,354,69,5.13,58,4.0,0,2:57
33,SEA,2016-09-11,240,1,112,0,2,150,64,34:32,Sun,1,1,,MIA,W 12-10,27,43,16,62.8,1,1,2.3,2.3,77.5,3,18,6.52,5.6,5.22,5.0,4.67,8.9,20,3.2,1,16,29,55.2,0,5,36,0,69.6,32,352,78,4.51,54,3.96,2,3:05
34,SEA,2016-09-18,239,0,67,0,1,219,64,30:03,Sun,2,2,@,LAR,L 3-9,22,35,13,62.9,0,0,0.0,0.0,84.7,2,15,5.41,6.8,6.46,6.83,6.46,10.9,25,2.6,0,18,30,60.0,0,3,20,0,82.5,24,306,61,5.02,58,4.88,1,3:04
35,SEA,2016-09-25,291,2,127,2,2,119,135,35:57,Sun,3,3,,SFO,W 37-18,22,32,10,68.8,2,1,6.3,3.1,107.3,2,17,5.88,9.1,8.56,8.94,8.41,13.2,31,4.4,2,14,25,56.0,0,0,0,1,51.9,31,418,65,6.43,56,4.54,2,2:59
36,SEA,2016-10-02,288,3,66,0,0,247,58,30:45,Sun,4,4,@,NYJ,W 27-17,23,32,9,71.9,3,0,9.4,0.0,133.5,2,21,5.88,9.0,8.47,10.88,10.24,12.5,20,2.9,0,23,41,56.1,1,4,14,3,51.6,26,354,60,5.9,65,4.69,0,3:04
37,SEA,2016-10-16,261,0,72,3,0,310,52,30:09,Sun,5,6,,ATL,W 26-24,25,37,12,67.6,0,0,0.0,0.0,88.8,1,9,2.63,7.1,6.87,7.05,6.87,10.4,18,2.9,0,27,42,64.3,3,4,25,1,100.3,27,333,65,5.12,64,5.66,0,3:14
38,SEA,2016-10-23,205,0,52,0,0,311,132,28:39,Sun,6,7,@,ARI,T 6-6 (OT),24,37,13,64.9,0,0,0.0,0.0,81.5,1,20,2.63,5.5,5.39,5.54,5.39,8.5,37,3.6,0,29,49,59.2,0,4,31,0,77.8,19,257,57,4.51,90,4.92,0,3:41
39,SEA,2016-10-30,285,0,74,1,1,252,123,23:48,Sun,7,8,@,NOR,L 20-25,23,36,13,63.9,0,1,0.0,2.8,78.0,1,11,2.7,7.9,7.7,6.67,6.49,12.4,35,3.5,1,27,35,77.1,1,2,13,0,105.9,17,359,54,6.65,72,5.21,1,3:00
40,SEA,2016-11-07,245,2,33,2,0,263,162,19:43,Mon,8,9,,BUF,W 31-25,20,26,6,76.9,2,0,7.7,0.0,137.0,4,37,13.33,9.4,8.17,10.96,9.5,12.3,38,4.3,2,27,39,69.2,1,5,26,1,85.7,12,278,42,6.62,82,5.18,0,3:15
41,SEA,2016-11-13,324,3,96,0,0,304,81,30:25,Sun,9,10,@,NWE,W 31-24,25,37,12,67.6,3,0,8.1,0.0,124.6,3,24,7.5,8.8,8.1,10.38,9.6,13.0,28,2.9,3,23,32,71.9,0,2,12,1,88.5,26,420,66,6.36,62,6.21,0,3:12
42,SEA,2016-11-20,287,2,152,1,0,195,113,28:54,Sun,10,11,,PHI,W 26-15,19,32,13,59.4,2,0,6.3,0.0,109.8,1,0,3.03,9.0,8.7,10.22,9.91,15.1,26,4.3,0,23,45,51.1,2,2,23,2,59.0,30,439,63,6.97,73,4.22,0,3:16
43,SEA,2016-11-27,118,0,127,0,3,220,118,26:21,Sun,11,12,@,TAM,L 5-14,17,33,16,51.5,0,2,0.0,6.1,38.8,6,33,15.38,3.6,3.03,0.85,0.72,6.9,35,3.4,0,21,28,75.0,2,0,0,1,106.3,22,245,61,4.02,63,5.37,3,2:59
44,SEA,2016-12-04,294,1,240,3,1,182,89,34:01,Sun,12,13,,CAR,W 40-7,28,39,11,71.8,1,1,2.6,2.6,93.4,3,21,7.14,7.5,7.0,6.9,6.4,10.5,21,4.2,0,14,33,42.4,1,0,0,1,57.9,29,534,71,7.52,54,5.02,1,3:10
45,SEA,2016-12-11,218,1,136,0,6,237,93,31:50,Sun,13,14,@,GNB,L 10-38,22,39,17,56.4,1,5,2.6,12.8,43.7,3,22,7.14,5.6,5.19,0.33,0.31,9.9,30,3.1,2,18,25,72.0,3,1,9,0,141.2,26,354,68,5.21,56,5.89,6,3:11
46,SEA,2016-12-15,227,3,72,0,1,136,47,32:31,Thu,14,15,,LAR,W 24-3,19,26,7,73.1,3,1,11.5,3.8,122.1,2,2,7.14,8.7,8.11,9.31,8.64,11.9,17,2.8,0,18,35,51.4,0,4,31,0,61.1,30,299,58,5.16,56,3.27,1,3:12
47,SEA,2016-12-24,313,4,78,0,1,276,94,33:42,Sat,15,16,,ARI,L 31-34,29,45,16,64.4,4,0,8.9,0.0,117.8,6,37,11.76,7.0,6.14,8.73,7.71,10.8,29,3.2,3,16,27,59.3,1,1,8,0,106.4,27,391,78,5.01,57,6.49,1,3:21
48,SEA,2017-01-01,289,1,87,1,0,191,62,29:34,Sun,16,17,@,SFO,W 25-23,23,38,15,60.5,1,0,2.6,0.0,94.2,2,11,5.0,7.6,7.23,8.13,7.73,12.6,31,2.0,2,17,22,77.3,1,5,24,0,117.8,25,376,65,5.78,58,4.36,0,3:03
49,SEA,2017-09-10,135,0,90,0,1,286,84,20:47,Sun,1,1,@,GNB,L 9-17,14,27,13,51.9,0,0,0.0,0.0,69.7,3,23,10.0,5.0,4.5,5.0,4.5,9.6,28,3.0,1,28,42,66.7,1,4,25,1,84.0,18,225,48,4.69,74,5.0,1,3:09
