Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,BUF,2014-09-07,1,3,9,108,4,43,3,2,33.3,41.7,Sun,1,1,@,CHI,W 23-20 (OT),15,7,8,0,12,4,33.3,0,0,,427,3,9,108,4,43,13,151,2,2,2,2,2,0,360,56,6.43,69,6.19,1,30:32,3:17,29,5,19,5,12,5,41.7,0,0,,2,2,2,3,3,0,0,0
2,BUF,2014-09-14,0,2,6,40,3,20,5,1,33.3,31.3,Sun,2,2,,MIA,W 29-10,13,3,10,0,15,5,33.3,0,0,,290,2,6,40,3,20,9,60,1,1,1,1,1,0,315,59,5.34,74,3.92,0,28:43,3:07,23,4,16,3,16,5,31.3,4,1,25.0,2,2,2,6,5,0,0,0
3,BUF,2014-09-21,0,0,11,110,6,44,1,2,42.9,38.5,Sun,3,3,,SDG,L 10-22,18,6,9,3,14,6,42.9,2,0,0.0,333,0,11,110,6,44,17,154,2,2,2,2,2,1,292,65,4.49,63,5.29,0,28:26,3:04,20,4,11,5,13,5,38.5,0,0,,1,1,1,1,1,0,0,0
4,BUF,2014-09-28,2,3,8,40,8,90,1,3,31.3,35.7,Sun,4,4,@,HOU,L 17-23,17,3,12,2,16,5,31.3,0,0,,301,3,8,40,8,90,16,130,2,2,2,3,3,0,316,69,4.58,63,4.78,2,29:04,3:24,19,2,13,4,14,5,35.7,0,0,,2,2,2,1,1,0,0,0
5,BUF,2014-10-05,1,2,11,74,8,62,3,0,31.3,9.1,Sun,5,5,@,DET,W 17-14,19,2,15,2,16,5,31.3,0,0,,273,2,11,74,8,62,19,136,2,2,2,3,0,0,343,67,5.12,57,4.79,1,32:19,3:24,13,3,7,3,11,1,9.1,0,0,,1,0,0,4,3,1,1,0
6,BUF,2014-10-12,3,0,8,107,9,60,0,3,53.3,46.7,Sun,6,6,,NWE,L 22-37,19,3,15,1,15,8,53.3,2,1,50.0,396,0,8,107,9,60,17,167,4,4,4,4,3,0,336,66,5.09,66,6.00,3,29:40,3:20,22,4,13,5,15,7,46.7,0,0,,3,2,2,0,0,1,1,0
7,BUF,2014-10-19,4,2,8,48,7,50,1,3,33.3,31.3,Sun,7,7,,MIN,W 17-16,22,3,17,2,12,4,33.3,1,1,100.0,276,2,8,48,7,50,15,98,1,1,1,3,3,0,373,68,5.49,60,4.60,4,27:37,3:10,16,6,8,2,16,5,31.3,0,0,,2,2,2,1,1,0,0,0
8,BUF,2014-10-26,0,6,7,49,10,90,3,1,25.0,47.4,Sun,8,8,@,NYJ,W 43-23,12,2,7,3,12,3,25.0,0,0,,312,6,7,49,10,90,17,139,3,2,2,1,1,0,280,53,5.28,81,3.85,0,27:43,3:20,22,11,9,2,19,9,47.4,1,1,100.0,5,5,4,3,3,0,0,0
9,BUF,2014-11-09,3,1,6,44,3,19,2,1,43.8,23.1,Sun,9,10,,KAN,L 13-17,21,6,15,0,16,7,43.8,1,0,0.0,278,1,6,44,3,19,9,63,2,2,2,1,1,0,364,71,5.13,59,4.71,3,30:42,3:02,16,7,8,1,13,3,23.1,1,1,100.0,1,1,1,2,2,0,0,0
10,BUF,2014-11-13,0,2,7,70,4,30,3,2,40.0,44.4,Thu,10,11,@,MIA,L 9-22,13,4,9,0,15,6,40.0,2,0,0.0,330,2,7,70,4,30,11,100,2,2,2,2,2,1,237,60,3.95,63,5.24,0,27:38,2:58,24,6,15,3,9,4,44.4,0,0,,0,0,0,4,3,0,0,0
