Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,CLE,2014-09-07,0,1,8,55,11,96,2,3,18.2,33.3,Sun,1,1,@,PIT,L 27-30,23,9,11,3,11,2,18.2,0,0,,503,1,8,55,11,96,19,151,3,3,3,3,3,0,389,64,6.08,67,7.51,0,27:33,3:07,24,6,16,2,12,4,33.3,1,1,100.0,3,3,3,2,2,0,0,0
2,CLE,2014-09-14,0,2,4,30,5,39,2,1,43.8,53.8,Sun,2,2,,NOR,W 26-24,23,7,14,2,16,7,43.8,2,2,100.0,397,2,4,30,5,39,9,69,3,3,3,1,1,0,324,72,4.50,69,5.75,0,28:10,3:08,26,10,16,0,13,7,53.8,0,0,,3,2,2,2,2,1,0,0
3,CLE,2014-09-21,0,1,12,94,5,32,0,3,45.5,33.3,Sun,3,3,,BAL,L 21-23,19,6,11,2,11,5,45.5,0,0,,377,1,12,94,5,32,17,126,2,2,2,3,3,0,375,55,6.82,64,5.89,0,29:05,2:57,23,12,8,3,12,4,33.3,1,0,0.0,3,3,3,2,0,0,0,0
4,CLE,2014-10-05,1,0,7,74,7,68,2,0,33.3,57.1,Sun,4,5,@,TEN,W 29-28,27,10,16,1,12,4,33.3,2,0,0.0,410,0,7,74,7,68,14,142,4,4,4,0,0,0,460,74,6.22,65,6.31,1,29:17,3:23,22,8,11,3,14,8,57.1,1,0,0.0,3,3,3,2,2,0,0,1
5,CLE,2014-10-12,1,1,6,60,6,42,1,1,36.4,37.5,Sun,5,6,,PIT,W 31-10,19,10,7,2,11,4,36.4,0,0,,359,1,6,60,6,42,12,102,1,1,1,1,1,0,368,56,6.57,76,4.72,1,26:55,3:07,22,5,12,5,16,6,37.5,2,0,0.0,4,4,4,1,1,0,0,0
6,CLE,2014-10-19,3,3,8,50,3,25,2,1,23.5,31.3,Sun,6,7,@,JAX,L 6-24,13,2,11,0,17,4,23.5,3,0,0.0,336,3,8,50,3,25,11,75,3,3,3,1,1,0,266,74,3.59,68,4.94,3,28:27,3:16,20,10,8,2,16,5,31.3,0,0,,0,0,0,2,2,0,0,0
7,CLE,2014-10-26,0,3,6,30,8,54,3,2,16.7,31.6,Sun,7,8,,OAK,W 23-13,15,1,12,2,12,2,16.7,0,0,,387,3,6,30,8,54,14,84,1,1,1,2,2,0,306,54,5.67,81,4.78,0,25:08,3:10,19,3,16,0,19,6,31.6,4,3,75.0,2,2,2,3,3,0,0,0
8,CLE,2014-11-02,2,2,7,44,4,33,3,1,35.7,33.3,Sun,8,9,,TAM,W 22-17,19,3,16,0,14,5,35.7,2,1,50.0,365,2,7,44,4,33,11,77,2,2,2,3,1,0,330,65,5.08,61,5.98,2,29:28,3:04,20,7,11,2,12,4,33.3,1,0,0.0,2,1,1,3,3,1,0,0
9,CLE,2014-11-06,1,4,6,62,7,55,1,1,43.8,17.6,Thu,9,10,@,CIN,W 24-3,21,9,11,1,16,7,43.8,0,0,,165,4,6,62,7,55,13,117,0,0,0,1,1,0,368,75,4.91,63,2.62,1,35:49,3:14,11,6,4,1,17,3,17.6,1,1,100.0,3,3,3,2,1,0,0,0
10,CLE,2014-11-16,2,1,8,67,5,55,0,3,20.0,38.9,Sun,10,11,,HOU,L 7-23,24,4,18,2,15,3,20.0,2,0,0.0,424,1,8,67,5,55,13,122,2,2,2,4,3,0,375,76,4.93,84,5.05,2,26:07,3:10,29,13,12,4,18,7,38.9,1,1,100.0,1,1,1,1,0,0,0,0
