Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,DAL,2014-09-07,4,0,10,72,11,78,1,0,55.6,58.3,Sun,1,1,,SFO,L 17-28,26,8,14,4,9,5,55.6,1,1,100.0,319,0,10,72,11,78,21,150,4,4,4,1,0,0,382,63,6.06,54,5.91,4,31:24,3:04,19,6,11,2,12,7,58.3,0,0,,2,2,2,1,1,0,0,0
2,DAL,2014-09-14,1,2,4,25,5,30,4,1,56.3,20.0,Sun,2,2,@,TEN,W 26-10,26,13,10,3,16,9,56.3,0,0,,314,2,4,25,5,30,9,55,1,1,1,1,1,0,368,76,4.84,49,6.41,1,41:11,2:56,13,4,9,0,10,2,20.0,1,0,0.0,2,2,2,4,4,0,0,0
3,DAL,2014-09-21,2,3,3,15,8,119,2,1,50.0,61.5,Sun,3,3,@,STL,W 34-31,19,5,10,4,10,5,50.0,0,0,,448,3,3,15,8,119,11,134,4,4,4,1,1,0,340,52,6.54,72,6.22,2,27:10,3:02,26,7,18,1,13,8,61.5,2,1,50.0,4,4,4,2,2,0,0,0
4,DAL,2014-09-28,0,3,6,50,3,20,1,1,57.1,40.0,Sun,4,4,,NOR,W 38-17,24,10,14,0,14,8,57.1,0,0,,438,3,6,50,3,20,9,70,2,2,2,2,1,0,445,65,6.85,59,7.42,0,34:45,3:00,20,4,14,2,10,4,40.0,2,1,50.0,5,5,5,1,1,0,0,0
5,DAL,2014-10-05,3,1,7,56,5,35,2,1,57.1,30.8,Sun,5,5,,HOU,W 20-17 (OT),24,8,16,0,14,8,57.1,0,0,,330,1,7,56,5,35,12,91,2,2,2,1,1,0,456,75,6.08,56,5.89,3,36:07,3:11,15,8,7,0,13,4,30.8,1,1,100.0,2,2,2,3,2,0,0,0
6,DAL,2014-10-12,2,1,6,46,9,58,3,3,58.8,38.5,Sun,6,6,@,SEA,W 30-23,23,6,13,4,17,10,58.8,0,0,,206,1,6,46,9,58,15,104,2,2,2,3,3,0,401,69,5.81,48,4.29,2,37:39,3:06,9,3,5,1,13,5,38.5,1,0,0.0,3,3,3,3,3,0,0,0
7,DAL,2014-10-19,1,2,6,46,6,40,1,0,64.3,38.5,Sun,7,7,,NYG,W 31-21,20,8,12,0,14,9,64.3,0,0,,352,2,6,46,6,40,12,86,3,3,3,0,0,0,423,60,7.05,59,5.97,1,33:49,2:59,20,5,13,2,13,5,38.5,1,1,100.0,4,4,4,1,1,0,0,0
8,DAL,2014-10-27,2,1,3,35,6,45,1,2,41.7,42.9,Mon,8,8,,WAS,L 17-20 (OT),20,4,15,1,12,5,41.7,1,0,0.0,409,1,3,35,6,45,9,80,2,2,2,2,2,0,395,64,6.17,64,6.39,2,28:37,3:13,19,5,14,0,14,6,42.9,1,1,100.0,2,2,2,1,1,0,0,0
9,DAL,2014-11-02,2,1,5,33,6,62,1,0,27.3,60.0,Sun,9,9,,ARI,L 17-28,18,5,10,3,11,3,27.3,1,0,0.0,339,1,5,33,6,62,11,95,4,4,4,0,0,0,266,59,4.51,65,5.22,2,28:32,2:56,22,5,15,2,15,9,60.0,0,0,,2,2,2,2,1,0,0,0
10,DAL,2014-11-09,1,3,9,65,2,19,1,0,30.8,28.6,Sun,10,10,@,JAX,W 31-17,16,6,10,0,13,4,30.8,0,0,,333,3,9,65,2,19,11,84,2,1,1,0,0,1,399,59,6.76,65,5.12,1,31:32,3:08,20,5,11,4,14,4,28.6,4,2,50.0,4,4,4,2,1,0,0,0
11,DAL,2014-11-23,1,1,7,63,5,30,1,0,40.0,68.8,Sun,11,12,@,NYG,W 31-28,18,5,13,0,10,4,40.0,0,0,,417,1,7,63,5,30,12,93,4,4,4,0,0,0,385,53,7.26,74,5.64,1,24:53,3:18,27,2,19,3,16,11,68.8,1,0,0.0,4,4,4,1,1,0,0,0
12,DAL,2014-11-27,3,1,6,42,4,20,1,4,33.3,53.3,Thu,12,13,,PHI,L 10-33,16,4,10,2,12,4,33.3,1,0,0.0,464,1,6,42,4,20,10,62,3,3,3,4,4,0,267,58,4.60,75,6.19,3,29:35,3:13,26,14,9,3,15,8,53.3,0,0,,1,1,1,1,1,0,0,0
13,DAL,2014-12-04,0,2,8,97,9,54,2,0,50.0,20.0,Thu,13,14,@,CHI,W 41-28,21,7,13,1,14,7,50.0,2,2,100.0,376,2,8,97,9,54,17,151,4,3,2,0,0,0,397,62,6.40,61,6.16,0,32:28,3:08,23,5,14,4,10,2,20.0,3,3,100.0,5,5,5,2,2,0,0,0
14,DAL,2014-12-14,1,3,11,79,8,95,1,2,38.5,45.5,Sun,14,15,@,PHI,W 38-27,26,6,17,3,13,5,38.5,0,0,,294,3,11,79,8,95,19,174,3,3,3,2,2,0,364,76,4.79,53,5.55,1,41:55,3:04,19,5,11,3,11,5,45.5,0,0,,5,5,5,1,1,0,0,0
15,DAL,2014-12-21,1,3,7,67,8,55,0,0,50.0,38.5,Sun,15,16,,IND,W 42-7,25,8,15,2,10,5,50.0,0,0,,229,3,7,67,8,55,15,122,1,1,1,0,0,0,377,62,6.08,56,4.09,1,35:29,2:49,17,0,12,5,13,5,38.5,1,0,0.0,6,6,6,1,0,0,0,0
16,DAL,2014-12-28,1,4,7,48,9,101,3,1,33.3,33.3,Sun,16,17,@,WAS,W 44-17,20,3,13,4,12,4,33.3,0,0,,413,4,7,48,9,101,16,149,2,2,2,1,1,0,473,61,7.75,68,6.07,1,30:24,3:12,20,5,13,2,12,4,33.3,2,0,0.0,5,5,5,3,3,0,0,0
