Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,DET,2014-09-08,0,2,8,85,4,25,2,0,66.7,23.1,Mon,1,1,,NYG,W 35-14,20,5,14,1,15,10,66.7,0,0,,197,2,8,85,4,25,12,110,2,2,2,0,0,0,417,63,6.62,57,3.46,0,36:04,2:56,16,4,8,4,13,3,23.1,3,2,66.7,4,3,3,3,2,1,1,0
2,DET,2014-09-14,3,0,5,33,4,45,0,3,40.0,25.0,Sun,2,2,@,CAR,L 7-24,21,2,18,1,15,6,40.0,2,1,50.0,313,0,5,33,4,45,9,78,2,1,1,3,3,0,323,70,4.61,62,5.05,3,30:41,3:05,20,3,14,3,12,3,25.0,0,0,,1,1,1,2,0,0,0,0
3,DET,2014-09-21,3,1,6,40,5,30,1,0,61.1,40.0,Sun,3,3,,GNB,W 19-7,21,6,13,2,18,11,61.1,0,0,,223,1,6,40,5,30,11,70,1,1,1,0,0,0,353,74,4.77,51,4.37,3,38:13,2:46,14,3,9,2,10,4,40.0,1,0,0.0,2,2,2,2,1,0,0,1
4,DET,2014-09-28,0,2,5,33,6,32,1,1,40.0,46.7,Sun,4,4,@,NYJ,W 24-17,17,5,12,0,15,6,40.0,0,0,,336,2,5,33,6,32,11,65,2,2,2,1,1,0,360,65,5.54,62,5.42,0,34:53,3:01,17,8,8,1,15,7,46.7,0,0,,3,3,3,2,1,0,0,0
5,DET,2014-10-05,2,1,8,62,11,74,0,3,9.1,31.3,Sun,5,5,,BUF,L 14-17,13,3,7,3,11,1,9.1,0,0,,343,1,8,62,11,74,19,136,1,0,0,4,3,0,273,57,4.79,67,5.12,2,27:41,3:24,19,2,15,2,16,5,31.3,0,0,,2,2,2,3,0,0,0,0
6,DET,2014-10-12,0,3,5,40,9,60,1,1,7.7,21.4,Sun,6,6,@,MIN,W 17-3,18,6,9,3,13,1,7.7,2,1,50.0,212,3,5,40,9,60,14,100,0,0,0,1,1,0,255,65,3.92,63,3.37,0,32:21,3:02,15,5,8,2,14,3,21.4,1,0,0.0,2,2,2,3,1,0,0,0
7,DET,2014-10-19,2,2,9,71,12,134,1,3,46.7,25.0,Sun,7,7,,NOR,W 24-23,21,4,13,4,15,7,46.7,0,0,,408,2,9,71,12,134,21,205,2,2,2,3,3,0,344,67,5.13,67,6.09,2,32:18,3:11,25,5,15,5,12,3,25.0,2,1,50.0,3,3,3,1,1,0,0,0
8,DET,2014-10-26,1,1,8,85,5,39,3,0,53.3,50.0,Sun,8,8,@,ATL,W 22-21,22,3,17,2,15,8,53.3,0,0,,291,1,8,85,5,39,13,124,3,3,3,0,0,0,385,70,5.50,55,5.29,1,30:55,3:00,22,4,15,3,8,4,50.0,0,0,,2,1,1,3,3,1,0,0
9,DET,2014-11-09,1,2,10,98,5,44,2,3,25.0,35.7,Sun,9,10,,MIA,W 20-16,19,2,15,2,12,3,25.0,3,2,66.7,228,2,10,98,5,44,15,142,1,1,1,3,3,0,351,64,5.48,60,3.80,1,31:34,3:08,20,2,15,3,14,5,35.7,0,0,,2,2,2,3,2,0,0,0
10,DET,2014-11-16,1,2,9,80,4,35,2,0,33.3,57.1,Sun,10,11,@,ARI,L 6-14,11,4,6,1,15,5,33.3,1,0,0.0,352,2,9,80,4,35,13,115,2,2,2,0,0,0,262,53,4.94,58,6.07,1,29:17,2:52,18,3,13,2,14,8,57.1,0,0,,0,0,0,2,2,0,0,0
