Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,IND,2014-09-07,2,0,9,45,7,70,1,1,30.8,50.0,Sun,1,1,@,DEN,L 24-31,24,2,20,2,13,4,30.8,4,2,50.0,361,0,9,45,7,70,16,115,4,4,4,1,1,0,408,70,5.83,69,5.23,2,27:36,3:13,24,8,13,3,14,7,50.0,0,0,,3,3,3,1,1,0,0,0
2,IND,2014-09-15,2,1,4,70,11,90,2,3,33.3,41.7,Mon,2,2,,PHI,L 27-30,25,7,14,4,12,4,33.3,1,1,100.0,458,1,4,70,11,90,15,160,3,3,3,4,3,0,341,72,4.74,64,7.16,2,36:15,3:01,24,9,13,2,12,5,41.7,0,0,,3,3,3,2,2,0,0,0
3,IND,2014-09-21,0,3,8,46,2,15,3,1,57.1,40.0,Sun,3,3,@,JAX,W 44-17,27,5,22,0,14,8,57.1,1,0,0.0,344,3,8,46,2,15,10,61,2,2,2,1,1,0,529,74,7.15,55,6.25,0,37:03,3:05,18,6,10,2,10,4,40.0,0,0,,5,5,5,3,3,0,0,0
4,IND,2014-09-28,1,3,11,88,6,68,2,1,50.0,11.1,Sun,4,4,,TEN,W 41-17,31,7,21,3,14,7,50.0,0,0,,261,3,11,88,6,68,17,156,2,2,2,1,1,0,498,82,6.07,47,5.55,1,42:21,3:11,16,4,9,3,9,1,11.1,0,0,,5,5,5,2,2,0,0,0
5,IND,2014-10-05,4,3,6,83,5,36,2,2,46.7,9.1,Sun,5,5,,BAL,W 20-13,26,6,19,1,15,7,46.7,1,0,0.0,287,3,6,83,5,36,11,119,1,1,1,2,2,0,432,80,5.40,57,5.04,4,38:43,3:08,15,4,9,2,11,1,9.1,3,1,33.3,2,2,2,2,2,0,0,0
6,IND,2014-10-09,2,2,5,51,5,66,2,0,50.0,12.5,Thu,6,6,@,HOU,W 33-28,27,6,18,3,16,8,50.0,0,0,,332,2,5,51,5,66,10,117,4,4,4,1,0,0,456,82,5.56,52,6.38,2,36:49,3:15,18,7,9,2,8,1,12.5,1,0,0.0,4,3,3,2,2,1,0,0
7,IND,2014-10-19,2,0,8,57,4,20,2,0,38.5,7.7,Sun,7,7,,CIN,W 27-0,27,11,15,1,13,5,38.5,0,0,,135,0,8,57,4,20,12,77,0,0,0,0,0,0,506,78,6.49,54,2.50,2,39:43,3:06,8,1,5,2,13,1,7.7,1,0,0.0,3,3,3,2,2,0,0,0
8,IND,2014-10-26,2,2,5,43,10,59,2,0,50.0,61.5,Sun,8,8,@,PIT,L 34-51,26,2,17,7,10,5,50.0,0,0,,639,2,5,43,10,59,15,102,7,7,7,0,0,0,448,57,7.86,81,7.89,2,20:17,3:31,34,7,25,2,13,8,61.5,1,1,100.0,4,4,4,2,2,0,0,0
9,IND,2014-11-03,0,1,4,30,4,30,4,1,33.3,25.0,Mon,9,9,@,NYG,W 40-24,22,5,15,2,15,5,33.3,0,0,,438,1,4,30,4,30,8,60,3,3,3,1,1,0,443,71,6.24,75,5.84,0,33:03,3:23,22,5,17,0,16,4,25.0,2,1,50.0,4,4,4,4,4,0,0,0
10,IND,2014-11-16,1,2,4,27,5,53,2,0,38.5,81.8,Sun,10,11,,NWE,L 20-42,17,1,14,2,13,5,38.5,3,1,33.3,503,2,4,27,5,53,9,80,6,6,6,0,0,0,322,56,5.75,74,6.80,1,25:39,2:58,33,17,13,3,11,9,81.8,0,0,,2,2,2,2,2,0,0,0
11,IND,2014-11-23,3,2,6,54,6,43,3,1,52.9,25.0,Sun,11,12,,JAX,W 23-3,24,12,9,3,17,9,52.9,0,0,,194,2,6,54,6,43,12,97,0,0,0,1,1,0,389,72,5.40,54,3.59,3,34:05,3:03,11,6,5,0,12,3,25.0,1,0,0.0,2,2,2,3,3,0,0,0
12,IND,2014-11-30,3,1,10,94,10,78,0,2,62.5,33.3,Sun,12,13,,WAS,W 49-27,19,4,14,1,8,5,62.5,0,0,,425,1,10,94,10,78,20,172,3,3,3,2,2,0,487,49,9.94,74,5.74,3,23:55,3:21,24,4,15,5,15,5,33.3,2,0,0.0,7,7,7,0,0,0,0,0
13,IND,2014-12-07,4,2,6,40,7,85,2,1,31.3,26.7,Sun,13,14,@,CLE,W 25-24,23,6,14,3,16,5,31.3,1,1,100.0,248,2,6,40,7,85,13,125,3,3,3,2,1,0,362,76,4.76,63,3.94,4,28:04,3:28,14,6,7,1,15,4,26.7,0,0,,3,1,1,2,2,2,0,0
14,IND,2014-12-14,2,2,7,45,8,66,1,1,16.7,31.3,Sun,14,15,,HOU,W 17-10,20,5,12,3,12,2,16.7,0,0,,289,2,7,45,8,66,15,111,1,1,1,1,1,0,278,64,4.34,67,4.31,2,28:55,3:06,14,5,7,2,16,5,31.3,3,0,0.0,2,2,2,1,1,0,0,0
15,IND,2014-12-21,3,1,8,55,7,67,0,0,38.5,50.0,Sun,15,16,@,DAL,L 7-42,17,0,12,5,13,5,38.5,1,0,0.0,377,1,8,55,7,67,15,122,6,6,6,1,0,0,229,56,4.09,62,6.08,3,24:31,2:49,25,8,15,2,10,5,50.0,0,0,,1,1,1,0,0,0,0,0
16,IND,2014-12-28,0,1,4,20,4,20,2,1,31.3,25.0,Sun,16,17,@,TEN,W 27-10,16,1,15,0,16,5,31.3,3,1,33.3,192,1,4,20,4,20,8,40,1,1,1,1,1,0,378,66,5.73,59,3.25,0,33:26,2:58,9,6,3,0,16,4,25.0,3,1,33.3,3,3,3,3,2,0,0,0
17,IND,2015-09-13,3,0,5,49,11,113,0,2,53.3,38.5,Sun,1,1,@,BUF,L 14-27,23,5,16,2,15,8,53.3,2,1,50.0,342,0,5,49,11,113,16,162,3,3,3,2,2,0,304,68,4.47,55,6.22,3,29:04,3:06,15,7,7,1,13,5,38.5,0,0,,2,0,0,1,0,2,1,0
18,IND,2015-09-21,5,1,11,84,8,90,0,2,42.9,33.3,Mon,2,2,,NYJ,L 7-20,17,4,11,2,14,6,42.9,0,0,,344,1,11,84,8,90,19,174,2,2,2,3,2,0,343,61,5.62,62,5.55,5,28:12,3:04,20,3,13,4,12,4,33.3,0,0,,1,1,1,1,0,0,0,0
19,IND,2015-09-27,2,2,11,71,6,55,0,2,36.4,30.8,Sun,3,3,@,TEN,W 35-33,20,9,10,1,11,4,36.4,1,1,100.0,433,2,11,71,6,55,17,126,4,3,3,2,2,0,378,56,6.75,74,5.85,2,25:01,3:13,28,7,18,3,13,4,30.8,1,1,100.0,5,5,5,0,0,0,0,0
20,IND,2015-10-04,2,0,4,45,13,92,3,2,46.7,38.9,Sun,4,4,,JAX,W 16-13 (OT),22,3,14,5,15,7,46.7,0,0,,431,0,4,45,13,92,17,137,1,1,1,4,2,0,326,74,4.41,79,5.46,2,34:14,3:33,21,5,15,1,18,7,38.9,0,0,,1,1,1,3,3,0,0,0
21,IND,2015-10-08,0,2,7,65,13,125,2,2,27.3,50.0,Thu,5,5,@,HOU,W 27-20,22,6,10,6,11,3,27.3,1,1,100.0,444,2,7,65,13,125,20,190,2,2,2,2,2,0,323,59,5.47,70,6.34,0,27:33,3:01,24,5,17,2,16,8,50.0,1,1,100.0,3,3,3,2,2,0,0,0
22,IND,2015-10-18,0,1,11,103,8,72,0,2,43.8,41.7,Sun,6,6,,NWE,L 27-34,24,6,16,2,16,7,43.8,3,1,33.3,417,1,11,103,8,72,19,175,4,4,4,2,2,0,409,75,5.45,64,6.52,0,32:32,3:26,22,5,15,2,12,5,41.7,1,1,100.0,4,4,3,0,0,0,0,0
23,IND,2015-10-25,3,1,7,42,12,100,0,0,23.1,35.0,Sun,7,7,,NOR,L 21-27,15,3,10,2,13,3,23.1,0,0,,449,1,7,42,12,100,19,142,4,4,3,0,0,0,376,61,6.16,83,5.41,3,21:37,3:35,22,9,12,1,20,7,35.0,1,1,100.0,3,3,3,0,0,0,0,0
24,IND,2015-11-02,4,3,2,15,6,55,4,3,33.3,25.0,Mon,8,8,@,CAR,L 26-29 (OT),19,5,14,0,18,6,33.3,1,1,100.0,379,3,2,15,6,55,8,70,3,3,2,3,3,0,359,84,4.27,73,5.19,4,35:58,3:50,17,7,10,0,16,4,25.0,2,2,100.0,2,2,2,4,4,0,0,0
25,IND,2015-11-08,0,2,4,30,8,56,2,1,60.0,50.0,Sun,9,9,,DEN,W 27-24,27,7,13,7,20,12,60.0,0,0,,309,2,4,30,8,56,12,86,3,3,3,1,1,0,365,77,4.74,51,6.06,0,38:39,3:06,16,2,13,1,12,6,50.0,0,0,,3,3,3,2,2,0,0,0
26,IND,2015-11-22,3,4,7,42,6,69,1,0,50.0,50.0,Sun,10,11,@,ATL,W 24-21,17,3,11,3,14,7,50.0,0,0,,375,4,7,42,6,69,13,111,3,3,3,1,0,0,276,61,4.52,71,5.28,3,32:39,3:05,21,3,15,3,16,8,50.0,1,0,0.0,3,3,3,1,1,0,0,0
27,IND,2015-11-29,0,1,6,45,12,95,4,2,43.8,46.2,Sun,11,12,,TAM,W 25-12,23,2,18,3,16,7,43.8,0,0,,344,1,6,45,12,95,18,140,1,1,0,3,2,0,336,71,4.73,62,5.55,0,32:25,3:15,21,5,14,2,13,6,46.2,1,0,0.0,2,2,1,4,4,0,0,0
28,IND,2015-12-06,3,2,5,30,4,48,1,3,21.4,61.5,Sun,12,13,@,PIT,L 10-45,11,0,11,0,14,3,21.4,3,1,33.3,522,2,5,30,4,48,9,78,5,4,4,4,3,0,240,57,4.21,71,7.35,3,27:10,3:05,24,7,16,1,13,8,61.5,0,0,,1,1,1,1,1,0,0,0
29,IND,2015-12-13,2,2,8,85,5,40,3,1,25.0,22.2,Sun,13,14,@,JAX,L 16-51,17,7,9,1,16,4,25.0,2,1,50.0,380,2,8,85,5,40,13,125,7,7,6,1,1,0,322,69,4.67,62,6.13,2,30:48,3:16,24,9,12,3,9,2,22.2,1,1,100.0,1,1,1,3,3,0,0,0
30,IND,2015-12-20,2,2,8,94,6,48,1,3,30.8,33.3,Sun,14,15,,HOU,L 10-16,14,3,10,1,13,4,30.8,0,0,,305,2,8,94,6,48,14,142,1,1,1,4,3,0,190,54,3.52,68,4.49,2,26:04,3:05,20,7,9,4,15,5,33.3,2,2,100.0,1,1,1,1,1,0,0,0
