Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,KAN,2014-09-07,3,0,3,25,12,110,1,4,8.3,43.8,Sun,1,1,,TEN,L 10-26,15,1,11,3,12,1,8.3,2,1,50.0,405,0,3,25,12,110,15,135,2,2,2,4,4,0,245,56,4.38,75,5.40,3,22:16,3:22,24,5,18,1,16,7,43.8,0,0,,1,1,1,2,1,0,0,0
2,KAN,2014-09-14,0,0,7,62,11,71,1,1,68.8,37.5,Sun,2,2,@,DEN,L 17-24,28,6,18,4,16,11,68.8,1,0,0.0,325,0,7,62,11,71,18,133,3,3,3,1,1,0,380,75,5.07,46,7.07,0,36:14,3:08,19,4,14,1,8,3,37.5,1,1,100.0,2,2,2,2,1,0,0,0
3,KAN,2014-09-21,2,0,4,23,6,65,0,2,56.3,26.7,Sun,3,3,@,MIA,W 34-15,23,8,14,1,16,9,56.3,1,1,100.0,332,0,4,23,6,65,10,88,1,1,1,3,2,1,342,71,4.82,67,4.96,2,33:42,3:01,18,6,12,0,15,4,26.7,2,0,0.0,5,4,4,0,0,1,0,0
4,KAN,2014-09-29,0,3,4,35,3,30,2,0,58.3,22.2,Mon,4,4,,NWE,W 41-14,26,10,15,1,12,7,58.3,0,0,,290,3,4,35,3,30,7,65,2,2,2,0,0,0,443,66,6.71,49,5.92,0,36:27,2:48,13,2,10,1,9,2,22.2,0,0,,5,5,5,2,2,0,0,0
5,KAN,2014-10-05,1,0,4,29,2,10,1,5,54.5,37.5,Sun,5,5,@,SFO,L 17-22,14,3,11,0,11,6,54.5,0,0,,357,0,4,29,2,10,6,39,1,1,1,5,5,0,265,50,5.30,70,5.10,1,23:56,2:55,22,10,10,2,16,6,37.5,1,1,100.0,2,2,2,1,1,0,0,0
6,KAN,2014-10-19,0,1,7,73,4,49,3,2,50.0,30.0,Sun,6,7,@,SDG,W 23-20,22,7,12,3,14,7,50.0,0,0,,251,1,7,73,4,49,11,122,2,2,2,2,2,0,365,70,5.21,49,5.12,0,39:00,3:04,19,5,11,3,10,3,30.0,0,0,,2,2,2,3,3,0,0,0
7,KAN,2014-10-26,1,1,7,51,8,68,2,0,50.0,27.3,Sun,7,8,,STL,W 34-7,23,9,10,4,12,6,50.0,0,0,,200,1,7,51,8,68,15,119,1,1,1,1,0,0,355,64,5.55,51,3.92,1,35:38,2:59,13,5,8,0,11,3,27.3,1,0,0.0,4,4,4,2,2,0,0,0
8,KAN,2014-11-02,0,0,3,20,5,40,1,1,61.5,33.3,Sun,8,9,,NYJ,W 24-10,23,6,14,3,13,8,61.5,0,0,,364,0,3,20,5,40,8,60,1,1,1,1,1,0,309,56,5.52,69,5.28,0,28:25,2:47,22,9,13,0,12,4,33.3,5,2,40.0,3,3,3,1,1,0,0,0
9,KAN,2014-11-09,1,3,3,19,6,44,1,2,23.1,43.8,Sun,9,10,@,BUF,W 17-13,16,7,8,1,13,3,23.1,1,1,100.0,364,3,3,19,6,44,9,63,1,1,1,2,2,0,278,59,4.71,71,5.13,1,29:18,3:02,21,6,15,0,16,7,43.8,1,0,0.0,2,2,2,1,1,0,0,0
10,KAN,2014-11-16,2,0,3,6,8,50,1,2,33.3,41.7,Sun,10,11,,SEA,W 24-20,20,14,4,2,6,2,33.3,0,0,,372,0,3,6,8,50,11,56,2,2,2,2,2,0,298,46,6.48,71,5.24,2,24:03,3:04,25,14,10,1,12,5,41.7,3,0,0.0,3,3,3,1,1,0,0,0
11,KAN,2014-11-20,0,1,7,59,7,60,2,1,14.3,50.0,Thu,11,12,@,OAK,L 20-24,16,3,11,2,14,2,14.3,1,0,0.0,351,1,7,59,7,60,14,119,3,3,3,1,1,0,313,62,5.05,66,5.32,0,29:56,3:12,18,8,9,1,16,8,50.0,1,1,100.0,2,2,2,2,2,0,0,0
12,KAN,2014-11-30,3,1,5,35,5,32,1,5,11.1,42.9,Sun,12,13,,DEN,L 16-29,11,2,8,1,9,1,11.1,2,1,50.0,388,1,5,35,5,32,10,67,2,2,2,5,5,0,151,44,3.43,80,4.85,3,21:13,3:05,21,9,11,1,21,9,42.9,2,2,100.0,2,1,1,1,1,1,0,0
13,KAN,2014-12-07,2,0,9,75,6,40,0,3,42.9,40.0,Sun,13,14,@,ARI,L 14-17,19,4,13,2,14,6,42.9,2,0,0.0,366,0,9,75,6,40,15,115,1,0,0,5,3,0,390,61,6.39,65,5.63,2,29:59,3:10,18,7,9,2,15,6,40.0,0,0,,2,2,2,0,0,0,0,0
