Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,LAC,2022-10-17,1,1,9,89,10,151,4,3,50.0,28.6,Mon,6,6,,DEN,W 19-16 (OT),24,7,10,7,22,11,50.0,3,1,33.3,258,1,9,89,10,151,19,240,1,1,1,3,3,0,297,83,3.58,55,4.69,1,38:49,3:19,13,3,8,2,14,4,28.6,0,0,,1,1,1,4,4,0,0,0
2,SDG,2015-10-25,2,0,9,86,14,136,2,3,50.0,41.7,Sun,7,7,,OAK,L 29-37,28,9,15,4,16,8,50.0,0,0,,412,0,9,86,14,136,23,222,4,4,4,3,3,0,417,80,5.21,58,7.10,2,29:11,3:26,19,8,10,1,12,5,41.7,0,0,,3,1,1,2,2,2,2,0
3,LAC,2017-09-24,3,0,8,61,13,122,1,1,38.5,33.3,Sun,3,3,,KAN,L 10-24,24,5,13,6,13,5,38.5,0,0,,311,0,8,61,13,122,21,183,3,3,3,1,1,0,330,68,4.85,51,6.10,3,29:34,3:08,16,8,7,1,12,4,33.3,1,0,0.0,1,1,1,1,1,0,0,0
4,LAC,2019-10-06,3,2,4,43,12,122,2,2,30.8,27.3,Sun,5,5,,DEN,L 13-20,19,0,14,5,13,4,30.8,1,0,0.0,350,2,4,43,12,122,16,165,2,2,2,3,2,0,246,64,3.84,55,6.36,3,30:24,3:03,15,8,6,1,11,3,27.3,0,0,,1,1,1,3,2,0,0,0
5,SDG,2015-12-24,1,1,9,75,16,121,2,2,31.3,26.7,Thu,15,16,@,OAK,L 20-23 (OT),19,4,13,2,16,5,31.3,1,0,0.0,281,1,9,75,16,121,25,196,2,1,1,2,2,1,343,75,4.57,65,4.32,1,35:04,3:52,14,4,8,2,15,4,26.7,0,0,,2,2,2,3,2,0,0,0
6,LAC,2021-11-14,1,1,7,52,10,118,2,2,41.7,35.7,Sun,9,10,,MIN,L 20-27,20,3,13,4,12,5,41.7,0,0,,381,1,7,52,10,118,17,170,3,3,3,2,2,0,253,55,4.60,72,5.29,1,23:50,3:17,24,8,14,2,14,5,35.7,2,2,100.0,2,2,2,2,2,0,0,0
7,SDG,2014-09-21,0,0,6,44,11,110,2,1,38.5,42.9,Sun,3,3,@,BUF,W 22-10,20,4,11,5,13,5,38.5,0,0,,292,0,6,44,11,110,17,154,1,1,1,1,1,0,333,63,5.29,65,4.49,0,31:34,3:04,18,6,9,3,14,6,42.9,2,0,0.0,2,2,2,2,2,0,0,1
8,LAC,2017-11-12,2,2,7,77,9,106,1,2,20.0,27.8,Sun,9,10,@,JAX,L 17-20 (OT),16,6,9,1,15,3,20.0,0,0,,398,2,7,77,9,106,16,183,2,1,0,2,2,0,322,67,4.81,81,4.91,2,31:47,3:43,20,3,14,3,18,5,27.8,2,1,50.0,2,2,2,1,1,0,0,0
9,SDG,2016-10-13,2,2,3,20,12,103,4,2,23.1,40.0,Thu,6,6,,DEN,W 21-13,16,5,9,2,13,3,23.1,1,1,100.0,304,2,3,20,12,103,15,123,1,1,1,3,2,0,265,60,4.42,68,4.47,2,33:28,3:18,16,6,10,0,15,6,40.0,1,0,0.0,1,1,1,4,4,0,0,1
10,LAC,2019-11-18,4,1,9,60,8,102,3,1,33.3,46.2,Mon,11,11,,KAN,L 17-24,23,6,14,3,15,5,33.3,1,1,100.0,310,1,9,60,8,102,17,162,3,3,3,1,1,0,438,73,6.00,60,5.17,4,31:02,3:22,18,7,9,2,13,6,46.2,0,0,,1,0,0,4,3,1,1,0
