Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,OAK,2014-09-07,0,2,4,20,11,105,0,2,25.0,41.7,Sun,1,1,@,NYJ,L 14-19,11,2,7,2,12,3,25.0,0,0,,402,2,4,20,11,105,15,125,2,1,1,2,2,0,158,49,3.22,65,6.18,0,25:10,2:58,20,10,9,1,12,5,41.7,0,0,,2,2,2,0,0,0,0,0
2,OAK,2014-09-14,4,0,5,24,7,85,0,3,22.2,60.0,Sun,2,2,,HOU,L 14-30,22,5,16,1,9,2,22.2,2,2,100.0,327,0,5,24,7,85,12,109,3,3,3,4,3,0,364,59,6.17,65,5.03,4,21:24,2:58,20,9,9,2,15,9,60.0,0,0,,2,2,2,0,0,0,0,0
3,OAK,2014-09-21,1,0,6,49,6,59,3,3,38.5,50.0,Sun,3,3,@,NWE,L 9-16,14,3,9,2,13,5,38.5,0,0,,297,0,6,49,6,59,12,108,1,1,1,3,3,0,241,56,4.30,71,4.18,1,28:25,2:52,21,5,14,2,18,9,50.0,1,0,0.0,0,0,0,3,3,0,0,0
4,OAK,2014-09-28,4,3,9,80,5,35,0,1,42.9,45.5,Sun,4,4,,MIA,L 14-38,17,2,15,0,14,6,42.9,1,0,0.0,435,3,9,80,5,35,14,115,5,5,5,1,1,0,317,64,4.95,66,6.59,4,29:06,2:57,24,8,15,1,11,5,45.5,2,1,50.0,2,2,2,0,0,0,0,0
5,OAK,2014-10-12,1,0,11,78,7,60,0,1,61.5,57.1,Sun,5,6,,SDG,L 28-31,17,5,11,1,13,8,61.5,0,0,,423,0,11,78,7,60,18,138,4,4,4,1,1,0,396,54,7.33,69,6.13,1,22:58,3:08,24,7,15,2,14,8,57.1,1,0,0.0,4,4,4,1,0,0,0,0
6,OAK,2014-10-19,0,1,8,74,6,43,2,1,33.3,60.0,Sun,6,7,,ARI,L 13-24,13,3,8,2,12,4,33.3,0,0,,365,1,8,74,6,43,14,117,3,3,3,1,1,0,220,48,4.58,69,5.29,0,23:03,2:57,25,7,14,4,15,9,60.0,1,0,0.0,1,1,1,2,2,0,0,0
7,OAK,2014-10-26,3,0,8,54,6,30,2,3,31.6,16.7,Sun,7,8,@,CLE,L 13-23,19,3,16,0,19,6,31.6,4,3,75.0,306,0,8,54,6,30,14,84,2,2,2,3,3,0,387,81,4.78,54,5.67,3,34:52,3:10,15,1,12,2,12,2,16.7,0,0,,1,1,1,2,2,0,0,0
8,OAK,2014-11-02,3,0,5,69,9,65,1,3,33.3,38.9,Sun,8,9,@,SEA,L 24-30,17,2,13,2,15,5,33.3,2,2,100.0,326,0,5,69,9,65,14,134,3,3,3,4,3,0,226,60,3.77,74,4.41,3,24:54,3:19,21,8,9,4,18,7,38.9,0,0,,3,3,3,2,1,0,0,0
9,OAK,2014-11-09,3,2,4,37,12,95,1,2,27.8,46.7,Sun,9,10,,DEN,L 17-41,10,0,9,1,18,5,27.8,0,0,,471,2,4,37,12,95,16,132,5,5,5,2,2,0,222,62,3.58,76,6.20,3,27:38,3:08,25,7,17,1,15,7,46.7,1,1,100.0,2,2,2,1,1,0,0,0
10,OAK,2014-11-16,1,0,8,41,6,40,2,2,20.0,26.7,Sun,10,11,@,SDG,L 6-13,9,2,7,0,15,3,20.0,1,1,100.0,300,0,8,41,6,40,14,81,1,1,1,3,2,0,233,55,4.24,68,4.41,1,25:14,3:05,18,6,11,1,15,4,26.7,0,0,,0,0,0,2,2,0,0,0
