Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,MIN,2014-09-07,0,2,7,60,13,121,2,2,25.0,28.6,Sun,1,1,@,STL,W 34-6,18,6,10,2,12,3,25.0,0,0,,318,2,7,60,13,121,20,181,0,0,0,3,2,0,355,57,6.23,63,5.05,0,28:17,3:03,15,4,10,1,14,4,28.6,0,0,,4,4,4,2,2,0,0,0
2,MIN,2014-09-14,4,0,7,58,15,163,0,3,36.4,35.7,Sun,2,2,,NWE,L 7-30,17,3,9,5,11,4,36.4,1,0,0.0,292,0,7,58,15,163,22,221,3,3,3,3,3,0,217,61,3.56,59,4.95,4,28:26,3:03,16,5,9,2,14,5,35.7,1,0,0.0,1,1,1,1,0,0,0,0
3,MIN,2014-09-21,0,0,5,44,4,30,3,0,40.0,69.2,Sun,3,3,@,NOR,L 9-20,13,3,8,2,15,6,40.0,0,0,,396,0,5,44,4,30,9,74,3,3,2,0,0,0,247,54,4.57,68,5.82,0,26:27,2:47,27,8,17,2,13,9,69.2,0,0,,0,0,0,3,3,0,0,0
4,MIN,2014-09-28,0,2,6,40,5,50,4,0,46.2,66.7,Sun,4,4,,ATL,W 41-28,26,11,14,1,13,6,46.2,1,1,100.0,411,2,6,40,5,50,11,90,4,4,4,0,0,0,558,74,7.54,64,6.42,0,32:52,3:19,23,6,16,1,15,10,66.7,0,0,,4,3,3,5,4,1,1,0
5,MIN,2014-10-02,3,1,9,91,5,30,1,0,33.3,36.4,Thu,5,5,@,GNB,L 10-42,20,6,13,1,15,5,33.3,2,1,50.0,320,1,9,91,5,30,14,121,6,6,6,0,0,0,299,75,3.99,52,6.15,3,32:09,3:02,15,6,8,1,11,4,36.4,0,0,,1,1,1,1,1,0,0,0
6,MIN,2014-10-12,3,0,9,60,5,40,1,1,21.4,7.7,Sun,6,6,,DET,L 3-17,15,5,8,2,14,3,21.4,1,0,0.0,255,0,9,60,5,40,14,100,2,2,2,3,1,0,212,63,3.37,65,3.92,3,27:39,3:02,18,6,9,3,13,1,7.7,2,1,50.0,0,0,0,1,1,0,0,0
7,MIN,2014-10-19,2,4,7,50,8,48,3,1,31.3,33.3,Sun,7,7,@,BUF,L 16-17,16,6,8,2,16,5,31.3,0,0,,373,4,7,50,8,48,15,98,2,2,2,1,1,0,276,60,4.60,68,5.49,2,32:23,3:10,22,3,17,2,12,4,33.3,1,1,100.0,1,1,1,3,3,0,0,0
8,MIN,2014-10-26,0,2,6,59,8,52,2,2,40.0,8.3,Sun,8,8,@,TAM,W 19-13 (OT),22,6,12,4,15,6,40.0,0,0,,225,2,6,59,8,52,14,111,1,1,1,2,2,0,332,65,5.11,56,4.02,0,30:34,3:09,15,3,9,3,12,1,8.3,2,2,100.0,2,1,1,3,2,0,0,0
9,MIN,2014-11-02,0,1,9,60,6,55,0,2,53.3,46.2,Sun,9,9,,WAS,W 29-26,24,6,17,1,15,8,53.3,1,0,0.0,347,1,9,60,6,55,15,115,3,2,2,2,2,0,352,71,4.96,62,5.60,0,30:26,3:11,21,6,10,5,13,6,46.2,1,0,0.0,4,3,3,0,0,1,1,0
10,MIN,2014-11-16,1,2,2,18,7,60,2,0,18.2,58.8,Sun,10,11,@,CHI,L 13-21,10,2,7,1,11,2,18.2,2,2,100.0,468,2,2,18,7,60,9,78,3,3,3,1,0,0,243,46,5.28,74,6.32,1,21:22,2:56,24,8,16,0,17,10,58.8,3,2,66.7,1,1,1,3,2,0,0,0
