Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,NWE,2014-09-07,2,3,9,100,4,26,2,4,29.4,53.8,Sun,1,1,@,MIA,L 20-33,20,7,12,1,17,5,29.4,4,2,50.0,360,3,9,100,4,26,13,126,3,3,3,4,4,0,315,80,3.94,71,5.07,2,29:33,3:17,25,11,10,4,13,7,53.8,0,0,,2,2,2,2,2,0,0,0
2,NWE,2014-09-14,0,4,15,163,7,58,3,0,35.7,36.4,Sun,2,2,@,MIN,W 30-7,16,5,9,2,14,5,35.7,1,0,0.0,217,4,15,163,7,58,22,221,1,1,1,1,0,0,292,59,4.95,61,3.56,0,31:34,3:03,17,3,9,5,11,4,36.4,1,0,0.0,3,3,3,3,3,0,0,0
3,NWE,2014-09-21,0,1,6,59,6,49,3,3,50.0,38.5,Sun,3,3,,OAK,W 16-9,21,5,14,2,18,9,50.0,1,0,0.0,241,1,6,59,6,49,12,108,0,0,0,3,3,0,297,71,4.18,56,4.30,0,31:35,2:52,14,3,9,2,13,5,38.5,0,0,,1,1,1,3,3,0,0,0
4,NWE,2014-09-29,3,0,3,30,4,35,0,2,22.2,58.3,Mon,4,4,@,KAN,L 14-41,13,2,10,1,9,2,22.2,0,0,,443,0,3,30,4,35,7,65,5,5,5,2,2,0,290,49,5.92,66,6.71,3,23:33,2:48,26,10,15,1,12,7,58.3,0,0,,2,2,2,0,0,0,0,0
5,NWE,2014-10-05,0,3,12,114,4,37,5,1,37.5,0.0,Sun,5,5,,CIN,W 43-17,30,11,17,2,16,6,37.5,1,1,100.0,320,3,12,114,4,37,16,151,2,2,2,2,1,0,505,82,6.16,48,6.67,0,38:56,3:00,17,4,8,5,7,0,0.0,1,0,0.0,4,4,4,5,5,0,0,0
6,NWE,2014-10-12,0,3,9,60,8,107,3,0,46.7,53.3,Sun,6,6,@,BUF,W 37-22,22,4,13,5,15,7,46.7,0,0,,336,3,9,60,8,107,17,167,3,2,2,0,0,0,396,66,6.00,66,5.09,0,30:20,3:20,19,3,15,1,15,8,53.3,2,1,50.0,4,4,4,4,3,0,0,0
7,NWE,2014-10-16,0,0,9,64,7,70,2,4,46.2,56.3,Thu,7,7,,NYJ,W 27-25,16,2,12,2,13,6,46.2,0,0,,423,0,9,64,7,70,16,134,2,1,1,5,4,0,323,53,6.09,80,5.29,0,19:06,3:04,28,13,11,4,16,9,56.3,0,0,,3,3,3,2,2,0,0,0
8,NWE,2014-10-26,0,2,7,38,5,41,3,0,63.6,36.4,Sun,8,8,,CHI,W 51-23,32,6,25,1,11,7,63.6,0,0,,384,2,7,38,5,41,12,79,3,1,1,0,0,0,487,71,6.86,64,6.00,0,32:43,3:02,27,11,13,3,11,4,36.4,3,1,33.3,6,6,6,3,3,0,0,0
9,NWE,2014-11-02,1,2,9,71,10,72,3,0,37.5,27.3,Sun,9,9,,DEN,W 43-21,29,3,22,4,16,6,37.5,1,1,100.0,472,2,9,71,10,72,19,143,3,3,3,1,0,0,398,79,5.04,75,6.29,1,29:27,3:32,26,2,20,4,11,3,27.3,4,0,0.0,5,4,4,3,3,1,0,0
10,NWE,2014-11-16,2,1,5,53,4,27,0,2,81.8,38.5,Sun,10,11,@,IND,W 42-20,33,17,13,3,11,9,81.8,0,0,,322,1,5,53,4,27,9,80,2,2,2,2,2,0,503,74,6.80,56,5.75,2,34:21,2:58,17,1,14,2,13,5,38.5,3,1,33.3,6,6,6,0,0,0,0,0
11,NWE,2014-11-23,1,1,11,89,9,54,2,3,42.9,29.4,Sun,11,12,,DET,W 34-9,29,4,22,3,14,6,42.9,1,1,100.0,335,1,11,89,9,54,20,143,0,0,0,4,3,0,439,73,6.01,73,4.59,1,29:49,3:18,21,5,12,4,17,5,29.4,3,2,66.7,4,4,4,2,2,0,0,0
12,NWE,2014-11-30,0,0,4,25,4,22,0,4,40.0,58.8,Sun,12,13,@,GNB,L 21-26,20,5,14,1,10,4,40.0,1,1,100.0,478,0,4,25,4,22,8,47,2,2,2,5,4,0,320,54,5.93,70,6.83,0,23:25,3:00,24,6,16,2,17,10,58.8,0,0,,3,3,3,1,0,0,0,0
13,NWE,2014-12-07,2,1,6,70,8,61,3,0,43.8,30.8,Sun,13,14,@,SDG,W 23-14,24,6,13,5,16,7,43.8,0,0,,216,1,6,70,8,61,14,131,2,2,2,0,0,0,397,73,5.44,54,4.00,2,34:33,3:06,13,2,8,3,13,4,30.8,1,0,0.0,2,2,2,3,3,0,0,0
14,NWE,2014-12-14,1,2,5,51,5,35,2,2,61.5,18.8,Sun,14,15,,MIA,W 41-13,23,10,12,1,13,8,61.5,0,0,,384,2,5,51,5,35,10,86,1,1,1,3,2,0,395,64,6.17,74,5.19,1,26:14,3:08,23,4,16,3,16,3,18.8,5,3,60.0,5,5,5,2,2,0,0,0
15,NWE,2014-12-21,1,1,5,38,2,14,1,3,46.2,38.5,Sun,15,16,@,NYJ,W 17-16,19,5,13,1,13,6,46.2,0,0,,307,1,5,38,2,14,7,52,1,1,1,4,3,0,231,63,3.67,61,5.03,1,27:39,2:51,16,5,10,1,13,5,38.5,0,0,,2,2,2,1,1,0,0,0
16,NWE,2014-12-28,0,1,5,55,5,44,3,1,33.3,45.5,Sun,16,17,,BUF,L 9-17,14,4,7,3,15,5,33.3,3,1,33.3,268,1,5,55,5,44,10,99,2,2,2,1,1,0,260,62,4.19,58,4.62,0,30:57,2:43,16,5,10,1,11,5,45.5,0,0,,0,0,0,3,3,0,0,0
17,NWE,2015-09-10,0,1,7,64,8,77,0,2,63.6,46.7,Thu,1,1,,PIT,W 28-21,26,5,19,2,11,7,63.6,0,0,,464,1,7,64,8,77,15,141,2,1,1,4,2,0,361,58,6.22,66,7.03,0,27:55,3:00,23,7,15,1,15,7,46.7,2,2,100.0,4,4,4,0,0,0,0,0
18,NWE,2015-09-20,2,3,11,119,14,140,4,0,30.0,30.8,Sun,2,2,@,BUF,W 40-32,28,4,21,3,10,3,30.0,2,0,0.0,349,3,11,119,14,140,25,259,5,3,2,0,0,0,507,76,6.67,65,5.37,2,29:57,3:38,23,11,11,1,13,4,30.8,1,1,100.0,4,4,4,4,4,0,0,0
19,NWE,2015-09-27,0,1,4,30,7,114,3,1,78.6,50.0,Sun,3,3,,JAX,W 51-17,35,12,19,4,14,11,78.6,0,0,,293,1,4,30,7,114,11,144,2,2,2,1,1,0,471,76,6.20,55,5.33,0,34:40,2:57,15,2,12,1,12,6,50.0,1,0,0.0,6,6,6,3,3,0,0,0
20,NWE,2015-10-11,0,2,9,65,7,50,3,2,30.0,28.6,Sun,4,5,@,DAL,W 30-6,20,5,11,4,10,3,30.0,1,0,0.0,289,2,9,65,7,50,16,115,0,0,0,2,2,0,356,55,6.47,66,4.38,0,26:48,3:03,18,5,10,3,14,4,28.6,2,1,50.0,3,3,3,3,3,0,0,0
21,NWE,2015-10-18,1,0,8,72,11,103,2,0,41.7,43.8,Sun,5,6,@,IND,W 34-27,22,5,15,2,12,5,41.7,1,1,100.0,409,0,8,72,11,103,19,175,4,4,3,0,0,0,417,64,6.52,75,5.45,1,27:28,3:26,24,6,16,2,16,7,43.8,3,1,33.3,4,4,4,2,2,0,0,0
22,NWE,2015-10-25,0,1,4,38,4,29,3,3,50.0,57.1,Sun,6,7,,NYJ,W 30-23,20,3,17,0,16,8,50.0,1,1,100.0,372,1,4,38,4,29,8,67,2,2,2,3,3,0,353,66,5.35,70,5.31,0,26:57,3:16,25,3,19,3,14,8,57.1,0,0,,3,3,3,3,3,0,0,0
23,NWE,2015-10-29,0,2,8,69,7,40,2,0,25.0,18.2,Thu,7,8,,MIA,W 36-7,24,8,16,0,12,3,25.0,1,1,100.0,270,2,8,69,7,40,15,109,1,1,1,1,0,0,437,66,6.62,62,4.35,0,32:37,3:02,18,2,16,0,11,2,18.2,2,1,50.0,4,4,4,2,2,0,0,1
24,NWE,2015-11-08,2,2,6,43,4,27,2,1,56.3,50.0,Sun,8,9,,WAS,W 27-10,27,10,15,2,16,9,56.3,1,1,100.0,250,2,6,43,4,27,10,70,1,1,1,1,1,0,460,76,6.05,56,4.46,2,37:05,2:58,16,3,12,1,14,7,50.0,1,0,0.0,3,3,3,2,2,0,0,0
25,NWE,2015-11-15,2,1,7,93,8,49,2,4,50.0,46.7,Sun,9,10,@,NYG,W 27-26,22,5,15,2,14,7,50.0,1,1,100.0,422,1,7,93,8,49,15,142,2,2,2,4,4,0,406,68,5.97,70,6.03,2,31:36,3:20,21,2,16,3,15,7,46.7,0,0,,3,3,3,2,2,0,0,0
26,NWE,2015-11-23,1,1,5,61,5,44,2,2,28.6,20.0,Mon,10,11,,BUF,W 20-13,18,4,12,2,14,4,28.6,0,0,,319,1,5,61,5,44,10,105,1,1,1,3,2,0,356,62,5.74,68,4.69,1,27:05,3:32,16,6,9,1,15,3,20.0,1,1,100.0,2,2,2,3,2,0,0,0
27,NWE,2015-11-29,1,1,5,47,6,46,1,1,15.4,25.0,Sun,11,12,@,DEN,L 24-30 (OT),16,1,13,2,13,2,15.4,1,0,0.0,433,1,5,47,6,46,11,93,4,3,3,2,1,0,301,61,4.93,77,5.62,1,25:57,3:28,23,9,12,2,16,4,25.0,1,1,100.0,3,3,3,1,1,0,0,0
28,NWE,2015-12-06,2,1,3,30,8,97,0,0,41.2,42.9,Sun,12,13,,PHI,L 28-35,27,8,18,1,17,7,41.2,2,1,50.0,248,1,3,30,8,97,11,127,5,5,5,0,0,0,427,86,4.97,58,4.28,2,34:16,3:10,15,6,8,1,14,6,42.9,0,0,,4,4,4,0,0,0,0,0
29,NWE,2015-12-13,1,1,6,46,4,36,2,2,43.8,21.4,Sun,13,14,@,HOU,W 27-6,18,7,11,0,16,7,43.8,0,0,,189,1,6,46,4,36,10,82,0,0,0,2,2,0,313,64,4.89,52,3.63,1,35:14,3:00,7,2,4,1,14,3,21.4,2,0,0.0,3,3,3,2,2,0,0,0
