Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,NYG,2014-09-08,2,0,4,25,8,85,0,2,23.1,66.7,Mon,1,1,@,DET,L 14-35,16,4,8,4,13,3,23.1,3,2,66.7,417,0,4,25,8,85,12,110,4,3,3,3,2,0,197,57,3.46,63,6.62,2,23:56,2:56,20,5,14,1,15,10,66.7,0,0,,2,2,2,0,0,0,0,0
2,NYG,2014-09-14,4,0,9,70,7,71,0,4,50.0,38.5,Sun,2,2,,ARI,L 14-25,24,5,15,4,12,6,50.0,1,0,0.0,266,0,9,70,7,71,16,141,2,1,1,4,4,0,341,68,5.01,61,4.36,4,32:29,3:00,21,6,9,6,13,5,38.5,0,0,,2,2,2,0,0,0,0,0
3,NYG,2014-09-21,1,3,4,31,5,40,3,1,33.3,16.7,Sun,3,3,,HOU,W 30-17,26,14,10,2,12,4,33.3,1,0,0.0,411,3,4,31,5,40,9,71,2,2,2,1,1,0,419,71,5.90,62,6.63,1,32:34,2:55,20,4,14,2,12,2,16.7,2,1,50.0,3,3,3,3,3,0,0,0
4,NYG,2014-09-25,1,6,7,66,11,88,1,0,68.8,12.5,Thu,4,4,@,WAS,W 45-14,31,9,19,3,16,11,68.8,0,0,,329,6,7,66,11,88,18,154,2,2,2,0,0,0,449,78,5.76,52,6.33,1,37:17,3:10,17,4,11,2,8,1,12.5,0,0,,6,6,6,1,1,0,0,0
5,NYG,2014-10-05,2,1,3,15,8,81,3,2,60.0,15.4,Sun,5,5,,ATL,W 30-20,22,7,11,4,15,9,60.0,0,0,,397,1,3,15,8,81,11,96,2,2,2,2,2,0,317,65,4.88,67,5.93,2,31:41,3:03,20,5,13,2,13,2,15.4,2,1,50.0,3,3,3,3,3,0,0,0
6,NYG,2014-10-12,1,2,10,75,3,25,0,2,14.3,30.8,Sun,6,6,@,PHI,L 0-27,12,2,9,1,14,2,14.3,1,0,0.0,448,2,10,75,3,25,13,100,3,3,3,2,2,0,254,60,4.23,71,6.31,1,27:34,2:52,24,11,13,0,13,4,30.8,0,0,,0,0,0,0,0,0,0,0
7,NYG,2014-10-19,2,1,6,40,6,46,0,1,38.5,64.3,Sun,7,7,@,DAL,L 21-31,20,5,13,2,13,5,38.5,1,1,100.0,423,1,6,40,6,46,12,86,4,4,4,1,1,0,352,59,5.97,60,7.05,2,26:11,2:59,20,8,12,0,14,9,64.3,0,0,,3,3,3,0,0,0,0,0
8,NYG,2014-11-03,1,0,4,30,4,30,1,4,25.0,33.3,Mon,8,9,,IND,L 24-40,22,5,17,0,16,4,25.0,2,1,50.0,443,0,4,30,4,30,8,60,4,4,4,4,4,0,438,75,5.84,71,6.24,1,26:57,3:23,22,5,15,2,15,5,33.3,0,0,,3,3,3,1,1,0,0,0
9,NYG,2014-11-09,2,3,4,35,6,50,1,1,50.0,58.3,Sun,9,10,@,SEA,L 17-38,20,2,15,3,12,6,50.0,1,0,0.0,510,3,4,35,6,50,10,85,5,5,5,1,1,0,324,63,5.14,64,7.97,2,26:48,2:56,27,19,8,0,12,7,58.3,1,1,100.0,2,2,2,1,1,0,0,0
10,NYG,2014-11-16,5,1,3,54,4,35,1,3,40.0,42.9,Sun,10,11,,SFO,L 10-16,17,2,14,1,15,6,40.0,3,0,0.0,333,1,3,54,4,35,7,89,1,1,1,3,3,0,330,68,4.85,68,4.90,5,25:01,3:08,20,9,10,1,14,6,42.9,1,0,0.0,1,1,1,1,1,0,0,0
11,NYG,2014-11-23,1,1,5,30,7,63,0,1,68.8,40.0,Sun,11,12,,DAL,L 28-31,27,5,19,3,16,11,68.8,1,0,0.0,385,1,5,30,7,63,12,93,4,4,4,1,1,0,417,74,5.64,53,7.26,1,35:07,3:18,18,5,13,0,10,4,40.0,0,0,,4,4,4,0,0,0,0,0
12,NYG,2014-11-30,3,0,6,40,7,49,1,2,46.7,25.0,Sun,12,13,@,JAX,L 24-25,22,8,14,0,15,7,46.7,0,0,,258,0,6,40,7,49,13,89,3,1,1,2,2,0,329,73,4.51,64,4.03,3,34:39,3:09,18,6,10,2,12,3,25.0,0,0,,3,3,3,2,1,0,0,0
13,NYG,2014-12-07,1,3,7,70,5,39,5,0,44.4,15.4,Sun,13,14,@,TEN,W 36-7,19,6,13,0,18,8,44.4,0,0,,207,3,7,70,5,39,12,109,1,1,1,1,0,0,402,73,5.51,57,3.63,1,34:43,3:04,12,2,9,1,13,2,15.4,3,1,33.3,3,3,3,5,5,0,0,0
14,NYG,2014-12-14,1,1,9,60,10,135,1,2,30.8,28.6,Sun,14,15,,WAS,W 24-13,17,2,11,4,13,4,30.8,2,1,50.0,372,1,9,60,10,135,19,195,1,1,1,2,2,0,287,57,5.04,68,5.47,1,27:29,3:06,21,8,10,3,14,4,28.6,1,0,0.0,3,3,3,1,1,0,0,0
15,NYG,2014-12-21,0,3,12,149,9,76,3,2,47.1,16.7,Sun,15,16,@,STL,W 37-27,19,3,13,3,17,8,47.1,0,0,,387,3,12,149,9,76,21,225,3,3,3,2,2,0,514,67,7.67,54,7.17,0,34:47,3:19,23,6,14,3,6,1,16.7,0,0,,4,4,4,4,3,0,0,0
16,NYG,2014-12-28,1,1,8,106,5,35,4,2,38.9,43.8,Sun,16,17,,PHI,L 26-34,22,4,17,1,18,7,38.9,0,0,,426,1,8,106,5,35,13,141,4,4,4,2,2,0,505,78,6.47,72,5.92,1,34:37,3:14,23,9,12,2,16,7,43.8,0,0,,2,2,2,4,4,0,0,0
17,NYG,2015-09-13,0,3,5,44,3,35,4,2,42.9,54.5,Sun,1,1,@,DAL,L 26-27,18,6,10,2,14,6,42.9,0,0,,436,3,5,44,3,35,8,79,3,3,3,2,2,0,285,61,4.67,68,6.41,0,22:50,3:15,27,4,21,2,11,6,54.5,0,0,,2,2,2,4,4,0,0,0
18,NYG,2015-09-20,1,0,6,35,6,65,2,1,58.8,64.7,Sun,2,2,,ATL,L 20-24,19,6,12,1,17,10,58.8,1,0,0.0,402,0,6,35,6,65,12,100,3,3,3,1,1,0,388,65,5.97,70,5.74,1,28:25,3:09,25,5,19,1,17,11,64.7,0,0,,2,2,2,2,2,0,0,0
19,NYG,2015-09-24,0,3,8,67,7,58,3,2,33.3,40.0,Thu,3,3,,WAS,W 32-21,19,5,13,1,12,4,33.3,1,1,100.0,393,3,8,67,7,58,15,125,2,1,1,2,2,0,363,63,5.76,70,5.61,0,31:30,3:19,22,3,16,3,15,6,40.0,3,2,66.7,3,3,3,3,3,0,0,1
20,NYG,2015-10-04,1,2,11,85,17,135,1,1,20.0,18.8,Sun,4,4,@,BUF,W 24-10,19,4,8,7,15,3,20.0,0,0,,313,2,11,85,17,135,28,220,1,1,1,2,1,0,303,64,4.73,68,4.60,1,30:33,3:19,14,2,11,1,16,3,18.8,3,1,33.3,3,2,1,1,1,1,1,0
21,NYG,2015-10-11,1,0,6,65,4,28,3,2,64.3,57.1,Sun,5,5,,SFO,W 30-27,30,6,23,1,14,9,64.3,0,0,,380,0,6,65,4,28,10,93,3,3,3,2,2,0,525,75,7.00,64,5.94,1,31:58,3:05,22,8,11,3,14,8,57.1,0,0,,3,3,3,3,3,0,0,0
22,NYG,2015-10-19,3,4,12,92,9,72,0,2,30.8,37.5,Mon,6,6,@,PHI,L 7-27,18,3,11,4,13,4,30.8,1,0,0.0,428,4,12,92,9,72,21,164,3,3,3,2,2,0,247,64,3.86,76,5.63,3,29:30,3:05,24,10,11,3,16,6,37.5,0,0,,1,1,1,0,0,0,0,0
23,NYG,2015-10-25,0,4,3,13,7,46,2,2,27.3,54.5,Sun,7,7,,DAL,W 27-20,13,4,7,2,11,3,27.3,0,0,,460,4,3,13,7,46,10,59,2,2,2,2,2,0,289,51,5.67,69,6.67,0,21:56,2:55,27,14,10,3,11,6,54.5,1,0,0.0,3,3,3,2,2,0,0,0
24,NYG,2015-11-01,1,2,6,53,12,93,0,1,12.5,63.6,Sun,8,8,@,NOR,L 49-52,28,5,16,7,8,1,12.5,2,2,100.0,608,2,6,53,12,93,18,146,7,7,7,1,1,0,416,65,6.40,76,8.00,1,25:01,3:33,35,10,24,1,11,7,63.6,1,1,100.0,7,7,7,0,0,0,0,0
25,NYG,2015-11-08,2,3,6,49,9,79,4,4,56.3,46.2,Sun,9,9,@,TAM,W 32-18,24,6,14,4,16,9,56.3,1,0,0.0,383,3,6,49,9,79,15,128,1,0,0,5,4,0,327,73,4.48,59,6.49,2,34:55,3:14,19,6,10,3,13,6,46.2,0,0,,3,2,2,4,4,1,0,0
26,NYG,2015-11-15,1,2,8,49,7,93,4,2,46.7,50.0,Sun,10,10,,NWE,L 26-27,21,2,16,3,15,7,46.7,0,0,,406,2,8,49,7,93,15,142,3,3,3,2,2,0,422,70,6.03,68,5.97,1,28:24,3:20,22,5,15,2,14,7,50.0,1,1,100.0,2,2,2,4,4,0,0,0
27,NYG,2015-11-29,3,0,4,35,7,80,0,2,20.0,26.7,Sun,11,12,@,WAS,L 14-20,17,1,14,2,15,3,20.0,2,2,100.0,407,0,4,35,7,80,11,115,2,2,2,3,2,0,332,67,4.96,66,6.17,3,24:00,3:13,18,5,12,1,15,4,26.7,2,1,50.0,2,2,2,0,0,0,0,0
28,NYG,2015-12-06,1,1,8,60,8,61,2,3,26.7,40.0,Sun,12,13,,NYJ,L 20-23 (OT),14,2,9,3,15,4,26.7,2,1,50.0,463,1,8,60,8,61,16,121,2,2,2,3,3,0,355,61,5.82,77,6.01,1,29:56,3:21,28,5,21,2,15,6,40.0,1,1,100.0,2,2,2,3,2,0,0,0
29,NYG,2015-12-14,1,1,3,25,12,123,1,1,45.5,43.8,Mon,13,14,@,MIA,W 31-24,25,6,15,4,11,5,45.5,0,0,,363,1,3,25,12,123,15,148,3,3,3,1,1,0,429,62,6.92,64,5.67,1,30:31,3:12,16,6,10,0,16,7,43.8,2,1,50.0,4,4,4,2,1,0,0,0
30,NYG,2015-12-20,2,1,7,47,7,88,0,1,40.0,52.9,Sun,14,15,,CAR,L 35-38,21,7,11,3,15,6,40.0,2,2,100.0,480,1,7,47,7,88,14,135,5,5,5,2,1,0,406,73,5.56,77,6.23,2,29:08,3:24,28,7,20,1,17,9,52.9,0,0,,5,5,5,0,0,0,0,0
31,NYG,2015-12-27,3,0,7,48,2,10,1,5,9.1,37.5,Sun,15,16,@,MIN,L 17-49,15,3,11,1,11,1,9.1,2,0,0.0,368,0,7,48,2,10,9,58,5,5,4,5,5,0,363,58,6.26,68,5.41,3,25:03,3:08,17,7,9,1,16,6,37.5,0,0,,2,2,2,1,1,0,0,0
32,NYG,2016-01-03,1,2,2,10,3,11,3,0,46.7,76.9,Sun,16,17,,PHI,L 30-35,30,11,18,1,15,7,46.7,2,1,50.0,435,2,2,10,3,11,5,21,5,5,5,0,0,0,502,81,6.20,65,6.69,1,31:54,2:57,23,7,16,0,13,10,76.9,0,0,,3,3,3,3,3,0,0,0
33,NYG,2016-09-11,1,0,4,40,6,50,0,4,50.0,58.8,Sun,1,1,@,DAL,W 20-19,18,6,11,1,10,5,50.0,0,0,,328,0,4,40,6,50,10,90,1,1,1,4,4,0,316,54,5.85,75,4.37,1,23:17,2:59,24,10,13,1,17,10,58.8,0,0,,3,3,2,0,0,0,0,0
34,NYG,2016-09-18,3,0,3,25,7,76,3,2,46.7,23.1,Sun,2,2,,NOR,W 16-13,22,5,15,2,15,7,46.7,1,0,0.0,288,0,3,25,7,76,10,101,1,1,1,3,2,0,417,75,5.56,59,4.88,3,34:07,3:07,16,1,15,0,13,3,23.1,0,0,,1,1,1,4,3,0,0,0
35,NYG,2016-09-25,3,1,11,128,8,70,2,5,44.4,43.8,Sun,3,3,,WAS,L 27-29,28,8,16,4,9,4,44.4,0,0,,403,1,11,128,8,70,19,198,2,2,2,5,5,0,457,61,7.49,68,5.93,3,26:34,3:26,20,5,13,2,16,7,43.8,1,1,100.0,3,3,3,2,2,0,0,0
36,NYG,2016-10-03,2,0,8,69,6,37,1,1,16.7,50.0,Mon,4,4,@,MIN,L 10-24,18,6,9,3,12,2,16.7,2,0,0.0,366,0,8,69,6,37,14,106,3,3,3,2,1,0,339,63,5.38,69,5.30,2,24:28,2:54,22,6,14,2,16,8,50.0,0,0,,1,1,1,1,1,0,0,0
37,NYG,2016-10-09,1,2,6,51,6,57,3,3,30.8,47.4,Sun,5,5,@,GNB,L 16-23,14,2,12,0,13,4,30.8,0,0,,406,2,6,51,6,57,12,108,2,2,2,3,3,0,221,54,4.09,77,5.27,1,23:22,3:15,23,9,13,1,19,9,47.4,0,0,,1,1,1,3,3,0,0,0
38,NYG,2016-10-16,3,0,7,119,15,111,2,3,28.6,27.8,Sun,6,6,,BAL,W 27-23,19,0,16,3,14,4,28.6,3,3,100.0,391,0,7,119,15,111,22,230,2,2,2,3,3,0,435,64,6.80,76,5.14,3,24:56,3:22,22,7,10,5,18,5,27.8,2,1,50.0,3,3,3,2,2,0,0,0
39,NYG,2016-10-23,1,4,3,33,8,43,1,1,21.1,47.4,Sun,7,7,@,LAR,W 17-10,13,4,9,0,19,4,21.1,0,0,,345,4,3,33,8,43,11,76,1,1,1,1,1,0,232,57,4.07,76,4.54,1,24:57,3:03,20,4,15,1,19,9,47.4,1,1,100.0,2,2,2,1,1,0,0,0
40,NYG,2016-11-06,2,2,5,30,4,43,0,3,30.8,20.0,Sun,8,9,,PHI,W 28-23,16,3,10,3,13,4,30.8,1,0,0.0,443,2,5,30,4,43,9,73,2,2,2,4,3,0,302,61,4.95,74,5.99,2,27:20,3:17,21,6,14,1,15,3,20.0,4,1,25.0,4,4,4,0,0,0,0,0
41,NYG,2016-11-14,2,1,2,15,9,60,0,2,42.9,18.2,Mon,9,10,,CIN,W 21-20,23,5,15,3,14,6,42.9,2,1,50.0,264,1,2,15,9,60,11,75,2,2,2,2,2,0,351,72,4.88,55,4.80,2,31:23,3:12,12,4,7,1,11,2,18.2,0,0,,3,3,3,0,0,0,0,0
42,NYG,2016-11-20,0,1,4,35,5,40,1,1,35.7,33.3,Sun,10,11,,CHI,W 22-16,19,7,11,1,14,5,35.7,2,2,100.0,315,1,4,35,5,40,9,75,2,2,1,2,1,0,329,65,5.06,59,5.34,0,29:31,3:07,17,6,10,1,12,4,33.3,0,0,,3,3,1,1,1,0,0,0
43,NYG,2016-11-27,1,3,9,100,5,35,0,2,30.8,21.4,Sun,11,12,@,CLE,W 27-13,13,3,10,0,13,4,30.8,0,0,,343,3,9,100,5,35,14,135,1,1,1,2,2,0,296,55,5.38,72,4.76,1,26:09,3:10,21,4,14,3,14,3,21.4,2,1,50.0,4,4,3,0,0,0,0,0
