Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,NYJ,2014-09-07,2,0,11,105,4,20,2,0,41.7,25.0,Sun,1,1,,OAK,W 19-14,20,10,9,1,12,5,41.7,0,0,,158,0,11,105,4,20,15,125,2,2,2,0,0,0,402,65,6.18,49,3.22,2,34:50,2:58,11,2,7,2,12,3,25.0,0,0,,2,1,1,2,2,1,0,0
2,NYJ,2014-09-14,1,1,7,82,3,34,1,3,47.1,50.0,Sun,2,2,@,GNB,L 24-31,19,7,11,1,17,8,47.1,3,2,66.7,390,1,7,82,3,34,10,116,3,2,2,3,3,0,313,71,4.41,68,5.74,1,30:26,3:21,25,5,17,3,14,7,50.0,0,0,,3,3,3,1,1,0,0,0
3,NYJ,2014-09-22,3,1,6,78,9,95,4,2,40.0,46.7,Mon,3,3,,CHI,L 19-27,21,3,15,3,15,6,40.0,2,1,50.0,257,1,6,78,9,95,15,173,3,3,3,2,2,0,414,72,5.75,63,4.08,3,31:52,3:14,17,4,11,2,15,7,46.7,0,0,,1,1,1,4,4,0,0,0
4,NYJ,2014-09-28,2,0,6,32,5,33,1,1,46.7,40.0,Sun,4,4,,DET,L 17-24,17,8,8,1,15,7,46.7,0,0,,360,0,6,32,5,33,11,65,3,3,3,2,1,0,336,62,5.42,65,5.54,2,25:07,3:01,17,5,12,0,15,6,40.0,0,0,,2,2,2,1,1,0,0,0
5,NYJ,2014-10-05,2,1,12,94,5,76,0,1,8.3,66.7,Sun,5,5,@,SDG,L 0-31,11,5,4,2,12,1,8.3,1,0,0.0,439,1,12,94,5,76,17,170,4,4,4,1,1,0,151,54,2.80,71,6.18,2,21:06,3:11,21,6,13,2,18,12,66.7,0,0,,0,0,0,0,0,0,0,0
6,NYJ,2014-10-12,2,0,2,9,11,101,1,1,35.7,43.8,Sun,6,6,,DEN,L 17-31,15,1,13,1,14,5,35.7,0,0,,359,0,2,9,11,101,13,110,4,4,4,1,1,0,204,62,3.29,68,5.28,2,26:26,3:16,21,7,13,1,16,7,43.8,0,0,,2,2,2,1,1,0,0,0
7,NYJ,2014-10-16,0,0,7,70,9,64,4,2,56.3,46.2,Thu,7,7,@,NWE,L 25-27,28,13,11,4,16,9,56.3,0,0,,323,0,7,70,9,64,16,134,3,3,3,2,2,0,423,80,5.29,53,6.09,0,40:54,3:04,16,2,12,2,13,6,46.2,0,0,,2,1,1,5,4,1,0,0
8,NYJ,2014-10-26,6,0,10,90,7,49,1,3,47.4,25.0,Sun,8,8,,BUF,L 23-43,22,11,9,2,19,9,47.4,1,1,100.0,280,0,10,90,7,49,17,139,5,5,4,3,3,0,312,81,3.85,53,5.28,6,32:17,3:20,12,2,7,3,12,3,25.0,0,0,,3,2,2,1,1,1,0,0
9,NYJ,2014-11-02,0,0,5,40,3,20,1,1,33.3,61.5,Sun,9,9,@,KAN,L 10-24,22,9,13,0,12,4,33.3,5,2,40.0,309,0,5,40,3,20,8,60,3,3,3,1,1,0,364,69,5.28,56,5.52,0,31:35,2:47,23,6,14,3,13,8,61.5,0,0,,1,1,1,1,1,0,0,0
10,NYJ,2014-11-09,0,4,9,75,3,20,2,2,40.0,54.5,Sun,10,10,,PIT,W 20-13,15,8,7,0,15,6,40.0,0,0,,362,4,9,75,3,20,12,95,1,1,1,3,2,0,275,58,4.74,62,5.84,0,30:33,2:58,22,4,15,3,11,6,54.5,1,0,0.0,2,2,2,3,2,0,0,0
11,NYJ,2014-11-24,1,0,9,60,4,24,1,1,20.0,53.8,Mon,11,12,@,BUF,L 3-38,11,4,6,1,15,3,20.0,1,1,100.0,336,0,9,60,4,24,13,84,5,5,5,1,1,0,218,57,3.82,62,5.42,1,29:06,2:50,21,5,14,2,13,7,53.8,1,0,0.0,0,0,0,1,1,0,0,0
12,NYJ,2014-12-01,1,1,7,57,3,20,2,3,46.7,38.5,Mon,12,13,,MIA,L 13-16,18,13,5,0,15,7,46.7,0,0,,291,1,7,57,3,20,10,77,1,1,1,4,3,0,326,64,5.09,55,5.29,1,32:35,2:52,16,5,9,2,13,5,38.5,0,0,,1,1,1,4,2,0,0,0
13,NYJ,2014-12-07,2,2,4,40,6,70,5,1,47.1,50.0,Sun,13,14,@,MIN,L 24-30 (OT),19,7,10,2,17,8,47.1,0,0,,411,2,4,40,6,70,10,110,3,3,3,3,1,0,410,74,5.54,58,7.09,2,35:52,3:17,19,5,12,2,12,6,50.0,0,0,,1,1,1,5,5,0,0,1
14,NYJ,2014-12-14,0,1,7,46,9,76,1,3,15.4,37.5,Sun,14,15,@,TEN,W 16-11,17,6,8,3,13,2,15.4,1,1,100.0,342,1,7,46,9,76,16,122,0,0,0,3,3,1,277,60,4.62,64,5.34,0,30:03,3:15,17,4,11,2,16,6,37.5,1,0,0.0,2,1,1,2,1,1,0,0
15,NYJ,2014-12-21,1,1,2,14,5,38,3,1,38.5,46.2,Sun,15,16,,NWE,L 16-17,16,5,10,1,13,5,38.5,0,0,,231,1,2,14,5,38,7,52,2,2,2,1,1,0,307,61,5.03,63,3.67,1,32:21,2:51,19,5,13,1,13,6,46.2,0,0,,1,1,1,4,3,0,0,0
16,NYJ,2014-12-28,1,1,5,40,5,40,3,1,42.9,30.8,Sun,16,17,@,MIA,W 37-24,18,2,15,1,14,6,42.9,2,1,50.0,387,1,5,40,5,40,10,80,3,3,3,2,1,0,494,62,7.97,66,5.86,1,31:16,3:09,23,7,14,2,13,4,30.8,1,0,0.0,4,4,4,4,3,0,0,0
17,NYJ,2015-09-13,1,5,4,30,12,109,1,1,53.8,50.0,Sun,1,1,,CLE,W 31-10,18,9,9,0,13,7,53.8,1,0,0.0,321,5,4,30,12,109,16,139,1,1,1,1,1,0,333,60,5.55,63,5.10,1,28:20,3:00,15,5,10,0,16,8,50.0,2,1,50.0,4,4,4,1,1,0,0,0
18,NYJ,2015-09-21,1,5,8,90,11,84,2,0,33.3,42.9,Mon,2,2,@,IND,W 20-7,20,3,13,4,12,4,33.3,0,0,,343,5,8,90,11,84,19,174,1,1,1,1,0,0,344,62,5.55,61,5.62,1,31:48,3:04,17,4,11,2,14,6,42.9,0,0,,2,2,2,3,2,0,0,0
19,NYJ,2015-09-27,4,1,6,53,5,21,1,1,41.2,28.6,Sun,3,3,,PHI,L 17-24,19,4,14,1,17,7,41.2,0,0,,231,1,6,53,5,21,11,74,3,3,3,1,1,0,323,75,4.31,67,3.45,4,31:49,3:15,18,8,6,4,14,4,28.6,0,0,,2,2,2,1,1,0,0,0
20,NYJ,2015-10-04,1,2,14,163,9,80,2,0,37.5,0.0,Sun,4,4,@,MIA,W 27-14,23,13,8,2,16,6,37.5,0,0,,226,2,14,163,9,80,23,243,2,2,2,0,0,0,425,72,5.90,58,3.90,1,37:23,3:27,17,4,8,5,12,0,0.0,4,0,0.0,3,3,3,3,2,0,0,0
21,NYJ,2015-10-18,3,2,1,5,3,15,2,2,50.0,33.3,Sun,5,6,,WAS,W 34-20,22,10,11,1,14,7,50.0,0,0,,225,2,1,5,3,15,4,20,2,2,2,2,2,0,474,67,7.07,62,3.63,3,32:39,3:03,14,1,12,1,15,5,33.3,2,1,50.0,4,4,4,3,2,0,0,0
22,NYJ,2015-10-25,1,0,4,29,4,38,3,3,57.1,50.0,Sun,6,7,@,NWE,L 23-30,25,3,19,3,14,8,57.1,0,0,,353,0,4,29,4,38,8,67,3,3,3,3,3,0,372,70,5.31,66,5.35,1,33:03,3:16,20,3,17,0,16,8,50.0,1,1,100.0,2,2,2,3,3,0,0,0
23,NYJ,2015-11-01,1,0,6,40,6,61,2,2,43.8,40.0,Sun,7,8,@,OAK,L 20-34,22,4,16,2,16,7,43.8,3,1,33.3,451,0,6,40,6,61,12,101,4,4,4,3,2,0,366,71,5.15,61,7.39,1,29:22,3:08,21,7,13,1,10,4,40.0,0,0,,2,2,2,2,2,0,0,0
24,NYJ,2015-11-08,0,4,6,41,4,30,0,3,33.3,43.8,Sun,8,9,,JAX,W 28-23,14,2,12,0,15,5,33.3,1,1,100.0,436,4,6,41,4,30,10,71,2,2,2,3,3,0,290,64,4.53,65,6.71,0,30:44,3:10,19,3,16,0,16,7,43.8,0,0,,4,4,4,0,0,0,0,0
25,NYJ,2015-11-12,4,0,3,20,5,44,1,3,23.1,31.3,Thu,9,10,,BUF,L 17-22,15,6,9,0,13,3,23.1,3,1,33.3,280,0,3,20,5,44,8,64,2,2,1,3,3,0,318,59,5.39,64,4.38,4,26:44,3:21,13,7,6,0,16,5,31.3,1,0,0.0,2,2,2,1,1,0,0,0
26,NYJ,2015-11-22,2,1,7,54,3,54,1,1,21.4,38.9,Sun,10,11,@,HOU,L 17-24,16,5,10,1,14,3,21.4,2,1,50.0,364,1,7,54,3,54,10,108,3,3,3,1,1,0,267,63,4.24,73,4.99,2,26:35,3:13,19,6,12,1,18,7,38.9,0,0,,2,2,2,1,1,0,0,0
27,NYJ,2015-11-29,0,2,6,40,6,45,1,0,58.8,26.7,Sun,11,12,,MIA,W 38-20,24,10,13,1,17,10,58.8,1,0,0.0,333,2,6,40,6,45,12,85,3,3,2,0,0,0,411,72,5.71,70,4.76,0,31:16,3:29,20,0,19,1,15,4,26.7,2,2,100.0,5,5,5,1,1,0,0,0
28,NYJ,2015-12-06,1,1,8,61,8,60,3,2,40.0,26.7,Sun,12,13,@,NYG,W 23-20 (OT),28,5,21,2,15,6,40.0,1,1,100.0,355,1,8,61,8,60,16,121,2,2,2,3,2,0,463,77,6.01,61,5.82,1,38:31,3:21,14,2,9,3,15,4,26.7,2,1,50.0,2,2,2,3,3,0,0,0
29,NYJ,2015-12-13,0,1,3,20,3,20,3,0,46.7,21.4,Sun,13,14,,TEN,W 30-8,24,11,13,0,15,7,46.7,1,1,100.0,292,1,3,20,3,20,6,40,1,0,0,0,0,0,439,71,6.18,58,5.03,0,35:56,2:59,15,0,14,1,14,3,21.4,3,1,33.3,3,3,3,4,3,0,0,0
30,NYJ,2015-12-19,1,4,8,61,6,54,2,3,35.7,18.2,Sat,14,15,@,DAL,W 19-16,20,4,15,1,14,5,35.7,1,0,0.0,309,4,8,61,6,54,14,115,1,1,1,3,3,0,372,67,5.55,56,5.52,1,32:17,3:04,15,5,9,1,11,2,18.2,1,1,100.0,2,2,1,3,2,0,0,0
31,NYJ,2015-12-27,1,1,6,39,1,7,2,2,38.5,10.0,Sun,15,16,,NWE,W 26-20 (OT),24,6,17,1,13,5,38.5,0,0,,284,1,6,39,1,7,7,46,2,2,2,2,2,0,428,69,6.20,55,5.16,1,34:04,3:05,16,2,13,1,10,1,10.0,3,3,100.0,3,2,2,2,2,0,0,0
32,NYJ,2016-01-03,3,1,6,41,4,45,1,3,27.3,45.0,Sun,16,17,@,BUF,L 17-22,15,4,10,1,11,3,27.3,0,0,,295,1,6,41,4,45,10,86,2,2,1,3,3,0,300,55,5.45,73,4.04,3,20:47,3:04,18,5,10,3,20,9,45.0,2,2,100.0,2,2,2,2,1,0,0,0
