Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
1,PHI,2014-09-07,3,1,6,50,7,55,2,1,42.1,14.3,Sun,1,1,,JAX,W 34-17,24,7,14,3,19,8,42.1,1,1,100.0,306,1,6,50,7,55,13,105,2,2,2,3,1,0,420,82,5.12,70,4.37,3,30:46,3:23,18,2,14,2,14,2,14.3,1,0,0.0,4,4,4,2,2,0,0,0
2,PHI,2014-09-15,1,2,11,90,4,70,3,2,41.7,33.3,Mon,2,2,@,IND,W 30-27,24,9,13,2,12,5,41.7,0,0,,341,2,11,90,4,70,15,160,3,3,3,2,2,0,458,64,7.16,72,4.74,1,23:45,3:01,25,7,14,4,12,4,33.3,1,1,100.0,3,3,3,4,3,0,0,0
3,PHI,2014-09-21,1,1,9,70,10,131,3,2,36.4,53.3,Sun,3,3,,WAS,W 37-34,22,3,14,5,11,4,36.4,0,0,,511,1,9,70,10,131,19,201,4,4,4,3,2,0,379,66,5.74,76,6.72,1,25:12,3:33,27,6,18,3,15,8,53.3,1,0,0.0,4,4,4,3,3,0,0,0
4,PHI,2014-09-28,4,1,10,70,10,80,0,4,38.5,42.1,Sun,4,4,@,SFO,L 21-26,11,1,10,0,13,5,38.5,2,0,0.0,407,1,10,70,10,80,20,150,2,2,2,4,4,0,213,56,3.80,76,5.36,4,17:43,3:25,20,8,8,4,19,8,42.1,0,0,,3,3,3,0,0,0,0,0
5,PHI,2014-10-05,3,3,4,39,10,82,2,0,53.3,50.0,Sun,5,5,,STL,W 34-28,22,7,13,2,15,8,53.3,0,0,,466,3,4,39,10,82,14,121,4,4,4,0,0,0,352,70,5.03,76,6.13,3,27:01,3:13,29,7,21,1,14,7,50.0,1,0,0.0,4,4,4,2,2,0,0,0
6,PHI,2014-10-12,2,1,3,25,10,75,2,0,30.8,14.3,Sun,6,6,,NYG,W 27-0,24,11,13,0,13,4,30.8,0,0,,254,1,3,25,10,75,13,100,0,0,0,0,0,0,448,71,6.31,60,4.23,2,32:26,2:52,12,2,9,1,14,2,14.3,1,0,0.0,3,3,3,2,2,0,0,0
7,PHI,2014-10-26,3,1,11,103,10,95,2,1,45.0,41.2,Sun,7,8,@,ARI,L 20-24,27,6,18,3,20,9,45.0,1,1,100.0,400,1,11,103,10,95,21,198,3,3,3,1,1,0,521,87,5.99,65,6.15,3,31:10,3:39,17,4,9,4,17,7,41.2,1,1,100.0,2,2,2,2,2,0,0,0
8,PHI,2014-11-02,4,1,7,55,9,54,1,0,56.3,38.5,Sun,8,9,@,HOU,W 31-21,30,12,15,3,16,9,56.3,2,2,100.0,300,1,7,55,9,54,16,109,3,3,3,1,0,0,483,79,6.11,59,5.08,4,32:13,3:02,15,5,8,2,13,5,38.5,1,0,0.0,4,4,4,1,1,0,0,0
9,PHI,2014-11-10,0,5,5,50,4,30,1,0,33.3,50.0,Mon,9,10,,CAR,W 45-21,17,3,14,0,15,5,33.3,1,0,0.0,317,5,5,50,4,30,9,80,3,3,3,0,0,0,365,62,5.89,81,3.91,0,21:55,3:10,21,7,13,1,20,10,50.0,1,0,0.0,6,6,6,1,1,0,0,0
10,PHI,2014-11-16,4,0,6,53,4,52,2,2,33.3,57.1,Sun,10,11,@,GNB,L 20-53,22,5,17,0,15,5,33.3,3,2,66.7,475,0,6,53,4,52,10,105,7,6,5,3,2,0,429,78,5.50,64,7.42,4,27:18,3:04,25,6,18,1,14,8,57.1,0,0,,2,2,2,2,2,0,0,0
