,Average
Game Order,9.0
Passing Yards,234.26666666666668
Passings TD,1.2666666666666666
Rushing Yards,79.93333333333334
Rushing TD,0.4
Turnovers,1.0
Opponent Passing Yards,260.93333333333334
Opponent Rushing Yards,112.46666666666667
Game Number,9.0
Week,9.866666666666667
Passing Completions,19.733333333333334
Passing Attempts,35.4
Passing Incompletions,15.666666666666666
Passing Completion Percentage,55.75999999999999
Passing TD,1.2666666666666666
Interceptions,0.8
TD Percentage per Pass,3.5333333333333328
Interception Percentage per Pass,2.226666666666667
Passer Rating,79.95333333333333
Times Sacked,1.7333333333333334
Sack Yards,11.466666666666667
Sack Percentage,4.713333333333334
Yards per Attempt,6.620000000000001
Net Yards per Attempt,6.337333333333334
Adjusted Yards per Attempt,6.314666666666667
Adjusted Net Yards per Attempt,6.058000000000001
Yards per Completion,11.986666666666666
Opponent Rushing Attempts,24.8
Opponent Rushing Yards per Attempt,4.466666666666667
Opponent Rushing TD,0.5333333333333333
Opponent Pass Completions,22.933333333333334
Opponent Pass Attempts,36.2
Opponent Completion Percentage,63.50000000000001
Opponent Passing TD,1.4
Opponent Times Sacked,2.3333333333333335
Opponent Sack Yards,16.266666666666666
Opponent Interceptions,1.1333333333333333
Opponent Passer Rating,85.14
Rushing Attempts,24.733333333333334
Rushing Yards per Attempt,3.093333333333333
Total Yardage,314.2
Offense Number of Plays,61.86666666666667
Yards per Offensive Play,5.077999999999999
Defense Number of Plays,63.333333333333336
Yards Allowed per Defensive Play,5.81
Turnovers Lost,1.0
Opponent Turnovers,1.6
Penalties,5.733333333333333
Penalty Yards,45.6
Opponent Penalties,8.266666666666667
Opponent Penalty Yards,76.33333333333333
Field Goals Made,1.8
Opponent Field Goals Made,1.6
3rd Down %,39.13333333333333
Oppoenent 3rd Down %,36.53333333333333
1st Downs,18.666666666666668
1st Downs by Rush,4.2
1st Downs by Pass,11.8
1st Downs by Pen,2.6666666666666665
3rd Down Attempts,14.066666666666666
3rd Down Conversions,5.6
3rd Down Conversion %,39.13333333333333
4th Down Attempts,0.26666666666666666
4th Down Conversions,0.2
4th Down Conversion %,75.0
Opponent Total Yards,373.4
Opponent Turnovers.1,1.6
Penalties.1,5.733333333333333
Penalty Yards.1,45.6
Opponent Penalties.1,8.266666666666667
Opponent Penalty Yards.1,76.33333333333333
Combined Penalties,14.0
Combined Penalty Yards,121.93333333333334
Opponent TD,2.0
Opponent XPA,2.0
Opponent XPM,2.0
Opponent Field Goals Attempted,2.066666666666667
Opponent Field Goals Made.1,1.6
Opponent Safeties,0.0
Total Yards,314.2
Offensive Plays,61.86666666666667
Yards per Play,5.077999999999999
Defensive Plays,63.333333333333336
Defensive Yards per Play,5.81
Turnovers.1,1.0
Opponent 1st Downs,19.0
Opponent 1st Downs by Rush,4.8
Opponent 1st Downs by Pass,12.4
Opponent 1st Downs by Penalty,1.8
Opponent 3rd Down Attempts,13.333333333333334
Opponent 3rd Down Conversions,5.0
Opponent 3rd Down Conversion %,36.53333333333333
Opponent 4th Down Attempts,0.8
Opponent 4th Down Conversions,0.3333333333333333
Opponent 4th Down Conversion %,45.0
Total TD,2.0
XPA,1.8
XPM,1.8
Field Goals Attempted,2.066666666666667
Field Goals Made.1,1.8
2PA,0.2
2PM,0.13333333333333333
Safeties,0.0
