Home Team Name,Away Team Name,Winner,Home Team Total Yards,Away Team Total Yards,Home Team Turnovers,Away Team Turnovers
Kansas City Chiefs,Detroit Lions,0,316,368,1,1
Atlanta Falcons,Carolina Panthers,1,221,281,0,3
Cleveland Browns,Cincinnati Bengals,1,350,142,2,0
Indianapolis Colts,Jacksonville Jaguars,0,280,342,3,2
Washington Commanders,Arizona Cardinals,1,248,210,3,2
Baltimore Ravens,Houston Texans,1,265,268,2,1
Minnesota Vikings,Tampa Bay Buccaneers,0,369,242,3,0
New Orleans Saints,Tennessee Titans,1,351,285,2,3
Pittsburgh Steelers,San Francisco 49ers,0,239,391,2,1
Chicago Bears,Green Bay Packers,0,311,329,2,0
Denver Broncos,Las Vegas Raiders,0,260,261,0,1
Los Angeles Chargers,Miami Dolphins,0,433,536,0,2
New England Patriots,Philadelphia Eagles,0,382,251,2,1
Seattle Seahawks,Los Angeles Rams,0,180,426,0,0
New York Giants,Dallas Cowboys,0,171,265,3,0
New York Jets,Buffalo Bills,1,289,314,1,4
Philadelphia Eagles,Minnesota Vikings,1,430,374,1,4
Atlanta Falcons,Green Bay Packers,1,446,224,1,0
Buffalo Bills,Las Vegas Raiders,1,450,240,0,3
Tampa Bay Buccaneers,Chicago Bears,1,437,236,0,2
Cincinnati Bengals,Baltimore Ravens,0,282,415,1,0
Houston Texans,Indianapolis Colts,0,389,353,1,0
Detroit Lions,Seattle Seahawks,0,418,393,3,0
Jacksonville Jaguars,Kansas City Chiefs,0,271,399,1,3
Tennessee Titans,Los Angeles Chargers,1,341,342,0,0
Arizona Cardinals,New York Giants,0,379,439,0,1
Los Angeles Rams,San Francisco 49ers,0,386,365,2,0
Dallas Cowboys,New York Jets,1,382,215,0,4
Denver Broncos,Washington Commanders,0,399,388,2,0
New England Patriots,Miami Dolphins,0,288,389,2,1
Carolina Panthers,New Orleans Saints,0,239,341,1,1
Pittsburgh Steelers,Cleveland Browns,1,255,408,2,4
San Francisco 49ers,New York Giants,1,441,150,0,1
Detroit Lions,Atlanta Falcons,1,358,183,1,1
Washington Commanders,Buffalo Bills,0,230,386,5,1
Cleveland Browns,Tennessee Titans,1,341,94,1,0
Baltimore Ravens,Indianapolis Colts,0,364,327,2,0
Miami Dolphins,Denver Broncos,1,726,363,0,3
Green Bay Packers,New Orleans Saints,1,340,252,1,0
Jacksonville Jaguars,Houston Texans,0,404,366,2,0
Minnesota Vikings,Los Angeles Chargers,0,475,475,2,1
New York Jets,New England Patriots,0,171,358,0,0
Seattle Seahawks,Carolina Panthers,1,425,378,1,0
Kansas City Chiefs,Chicago Bears,1,456,203,2,2
Arizona Cardinals,Dallas Cowboys,1,400,416,0,1
Las Vegas Raiders,Pittsburgh Steelers,0,362,333,3,0
Tampa Bay Buccaneers,Philadelphia Eagles,0,174,472,2,2
Cincinnati Bengals,Los Angeles Rams,1,309,292,1,2
Green Bay Packers,Detroit Lions,0,230,401,2,1
Jacksonville Jaguars,Atlanta Falcons,1,300,287,0,3
Buffalo Bills,Miami Dolphins,1,414,393,0,2
Carolina Panthers,Minnesota Vikings,0,232,265,1,2
Chicago Bears,Denver Broncos,0,471,311,2,0
Tennessee Titans,Cincinnati Bengals,1,400,211,1,1
Cleveland Browns,Baltimore Ravens,0,166,296,3,1
Indianapolis Colts,Los Angeles Rams,0,329,467,1,1
Houston Texans,Pittsburgh Steelers,1,451,225,0,1
New Orleans Saints,Tampa Bay Buccaneers,0,197,353,3,1
Philadelphia Eagles,Washington Commanders,1,415,365,0,0
Los Angeles Chargers,Las Vegas Raiders,1,305,264,1,3
San Francisco 49ers,Arizona Cardinals,1,395,362,0,0
Dallas Cowboys,New England Patriots,1,377,253,0,3
New York Jets,Kansas City Chiefs,0,336,401,1,2
New York Giants,Seattle Seahawks,0,248,281,3,0
Washington Commanders,Chicago Bears,0,388,451,2,0
Buffalo Bills,Jacksonville Jaguars,0,388,474,2,2
Atlanta Falcons,Houston Texans,1,447,313,2,0
Detroit Lions,Carolina Panthers,1,377,342,0,3
Indianapolis Colts,Tennessee Titans,1,429,348,0,1
Miami Dolphins,New York Giants,1,524,268,3,0
New England Patriots,New Orleans Saints,0,156,304,3,0
Pittsburgh Steelers,Baltimore Ravens,1,289,335,1,3
Arizona Cardinals,Cincinnati Bengals,0,294,380,3,1
Los Angeles Rams,Philadelphia Eagles,0,249,454,0,1
Denver Broncos,New York Jets,0,308,407,3,2
Minnesota Vikings,Kansas City Chiefs,0,329,333,1,0
San Francisco 49ers,Dallas Cowboys,1,421,197,1,4
Las Vegas Raiders,Green Bay Packers,1,279,285,1,3
Kansas City Chiefs,Denver Broncos,1,389,197,1,3
Tennessee Titans,Baltimore Ravens,0,233,360,2,1
Cleveland Browns,San Francisco 49ers,1,334,215,2,1
Atlanta Falcons,Washington Commanders,0,402,193,3,0
Miami Dolphins,Carolina Panthers,1,424,296,1,0
Chicago Bears,Minnesota Vikings,0,275,220,3,1
Cincinnati Bengals,Seattle Seahawks,1,214,384,1,2
Jacksonville Jaguars,Indianapolis Colts,1,233,354,1,4
Houston Texans,New Orleans Saints,1,297,430,1,2
Las Vegas Raiders,New England Patriots,1,348,259,1,1
Los Angeles Rams,Arizona Cardinals,1,382,345,1,2
Tampa Bay Buccaneers,Detroit Lions,0,251,380,1,0
New York Jets,Philadelphia Eagles,1,244,348,0,4
Buffalo Bills,New York Giants,1,297,317,2,0
Los Angeles Chargers,Dallas Cowboys,0,272,342,1,1
New Orleans Saints,Jacksonville Jaguars,0,407,330,1,2
Indianapolis Colts,Cleveland Browns,0,456,316,4,2
Tampa Bay Buccaneers,Atlanta Falcons,0,329,401,2,3
New England Patriots,Buffalo Bills,1,364,339,1,2
Chicago Bears,Las Vegas Raiders,1,323,235,0,3
Baltimore Ravens,Detroit Lions,1,503,337,1,1
New York Giants,Washington Commanders,1,356,273,2,1
Los Angeles Rams,Pittsburgh Steelers,0,354,300,1,0
Seattle Seahawks,Arizona Cardinals,1,318,249,3,0
Denver Broncos,Green Bay Packers,1,339,331,0,1
Kansas City Chiefs,Los Angeles Chargers,1,483,358,2,2
Philadelphia Eagles,Miami Dolphins,1,355,244,2,1
Minnesota Vikings,San Francisco 49ers,1,452,325,1,3
Buffalo Bills,Tampa Bay Buccaneers,1,427,302,1,0
Carolina Panthers,Houston Texans,1,224,229,0,1
Dallas Cowboys,Los Angeles Rams,1,387,280,1,1
Green Bay Packers,Minnesota Vikings,0,270,346,1,1
Tennessee Titans,Atlanta Falcons,1,375,342,1,1
