Home Team Name,Away Team Name,Winner,Home Team Total Yards,Away Team Total Yards,Home Team Turnovers,Away Team Turnovers
Tampa Bay Buccaneers,Dallas Cowboys,1,431,451,4,1
Atlanta Falcons,Philadelphia Eagles,0,260,434,0,0
Buffalo Bills,Pittsburgh Steelers,0,371,252,1,0
Carolina Panthers,New York Jets,1,381,252,1,1
Cincinnati Bengals,Minnesota Vikings,1,366,403,0,1
Indianapolis Colts,Seattle Seahawks,0,336,381,1,1
Tennessee Titans,Arizona Cardinals,0,248,416,3,1
Detroit Lions,San Francisco 49ers,0,430,442,1,2
Houston Texans,Jacksonville Jaguars,1,449,395,0,3
Washington Football Team,Los Angeles Chargers,0,259,424,1,2
Kansas City Chiefs,Cleveland Browns,1,397,457,0,2
New York Giants,Denver Broncos,0,314,420,1,1
New Orleans Saints,Green Bay Packers,1,322,229,0,3
New England Patriots,Miami Dolphins,0,393,259,2,1
Los Angeles Rams,Chicago Bears,1,386,322,0,2
Las Vegas Raiders,Baltimore Ravens,1,491,406,1,2
Washington Football Team,New York Giants,1,407,391,1,0
Miami Dolphins,Buffalo Bills,0,216,314,3,2
Carolina Panthers,New Orleans Saints,1,383,128,1,2
Chicago Bears,Cincinnati Bengals,1,206,248,1,4
Cleveland Browns,Houston Texans,1,355,302,2,2
Indianapolis Colts,Los Angeles Rams,0,354,371,2,2
Jacksonville Jaguars,Denver Broncos,0,189,398,2,0
New York Jets,New England Patriots,0,336,260,4,0
Philadelphia Eagles,San Francisco 49ers,0,328,306,0,0
Pittsburgh Steelers,Las Vegas Raiders,0,331,425,1,0
Tampa Bay Buccaneers,Atlanta Falcons,1,341,348,1,3
Arizona Cardinals,Minnesota Vikings,1,474,419,2,0
Los Angeles Chargers,Dallas Cowboys,0,408,419,2,1
Seattle Seahawks,Tennessee Titans,0,397,532,0,1
Baltimore Ravens,Kansas City Chiefs,1,481,405,2,2
Green Bay Packers,Detroit Lions,1,323,344,0,2
Houston Texans,Carolina Panthers,0,193,407,0,0
New York Giants,Atlanta Falcons,0,346,296,1,1
Buffalo Bills,Washington Football Team,1,481,290,0,3
Cleveland Browns,Chicago Bears,1,418,47,0,0
Pittsburgh Steelers,Cincinnati Bengals,0,342,268,2,1
Tennessee Titans,Indianapolis Colts,1,368,265,3,0
Jacksonville Jaguars,Arizona Cardinals,0,361,407,4,1
Detroit Lions,Baltimore Ravens,0,285,387,0,1
Kansas City Chiefs,Los Angeles Chargers,0,437,352,4,0
New England Patriots,New Orleans Saints,0,300,252,3,0
Denver Broncos,New York Jets,1,343,162,1,2
Las Vegas Raiders,Miami Dolphins,1,497,330,1,0
Minnesota Vikings,Seattle Seahawks,1,453,389,0,0
Los Angeles Rams,Tampa Bay Buccaneers,1,407,446,0,0
San Francisco 49ers,Green Bay Packers,0,298,353,2,0
Dallas Cowboys,Philadelphia Eagles,1,380,367,1,2
Cincinnati Bengals,Jacksonville Jaguars,1,420,341,0,0
Atlanta Falcons,Washington Football Team,0,374,412,0,0
Buffalo Bills,Houston Texans,1,450,109,1,5
Dallas Cowboys,Carolina Panthers,1,433,379,0,2
Chicago Bears,Detroit Lions,1,373,351,1,2
Minnesota Vikings,Cleveland Browns,0,255,327,1,0
