Home Team Name,Away Team Name,Winner,Home Team Total Yards,Away Team Total Yards,Home Team Turnovers,Away Team Turnovers
Chicago Bears,Green Bay Packers,0,254,213,1,0
Minnesota Vikings,Atlanta Falcons,1,269,345,0,3
New York Jets,Buffalo Bills,0,223,370,1,4
Carolina Panthers,Los Angeles Rams,0,343,349,3,1
Cleveland Browns,Tennessee Titans,0,346,339,3,0
Jacksonville Jaguars,Kansas City Chiefs,0,428,491,2,0
Miami Dolphins,Baltimore Ravens,0,200,643,3,0
Philadelphia Eagles,Washington Redskins,1,436,398,0,0
Seattle Seahawks,Cincinnati Bengals,1,232,429,1,3
Los Angeles Chargers,Indianapolis Colts,1,435,376,2,0
Arizona Cardinals,Detroit Lions,0,387,477,1,2
Dallas Cowboys,New York Giants,1,494,470,0,2
Tampa Bay Buccaneers,San Francisco 49ers,0,295,256,4,2
New England Patriots,Pittsburgh Steelers,1,465,308,0,1
New Orleans Saints,Houston Texans,1,510,414,1,1
Oakland Raiders,Denver Broncos,1,357,344,0,0
Carolina Panthers,Tampa Bay Buccaneers,0,352,289,1,0
New York Giants,Buffalo Bills,0,370,388,2,0
Cincinnati Bengals,San Francisco 49ers,0,316,571,1,1
Tennessee Titans,Indianapolis Colts,0,243,288,0,2
Baltimore Ravens,Arizona Cardinals,1,440,349,0,0
Washington Redskins,Dallas Cowboys,0,255,474,0,1
Detroit Lions,Los Angeles Chargers,1,339,424,2,2
Green Bay Packers,Minnesota Vikings,1,335,421,2,4
Houston Texans,Jacksonville Jaguars,1,263,281,0,1
Miami Dolphins,New England Patriots,0,184,379,4,1
Pittsburgh Steelers,Seattle Seahawks,0,261,425,1,2
Oakland Raiders,Kansas City Chiefs,0,307,467,2,1
Denver Broncos,Chicago Bears,0,372,273,1,0
Los Angeles Rams,New Orleans Saints,1,380,244,1,1
Atlanta Falcons,Philadelphia Eagles,1,367,286,3,3
New York Jets,Cleveland Browns,0,262,375,1,1
Jacksonville Jaguars,Tennessee Titans,1,292,340,0,1
Indianapolis Colts,Atlanta Falcons,1,379,397,0,1
Buffalo Bills,Cincinnati Bengals,1,416,306,2,4
Dallas Cowboys,Miami Dolphins,1,476,283,1,1
Green Bay Packers,Denver Broncos,1,312,310,0,3
Philadelphia Eagles,Detroit Lions,0,373,287,2,0
Kansas City Chiefs,Baltimore Ravens,1,503,452,0,0
Minnesota Vikings,Oakland Raiders,1,385,302,0,1
New England Patriots,New York Jets,1,381,105,2,1
